Date,load,temp
2021-01-01 00:00:00,573.0,3.7
2021-01-01 01:00:00,530.0,3.3
2021-01-01 02:00:00,453.0,3.1
2021-01-01 03:00:00,440.0,3.1
2021-01-01 04:00:00,435.0,2.9
2021-01-01 05:00:00,408.0,2.4
2021-01-01 06:00:00,426.0,2.4
2021-01-01 07:00:00,458.0,2.4
2021-01-01 08:00:00,584.0,2.2
2021-01-01 09:00:00,698.0,4.0
2021-01-01 10:00:00,737.0,5.6
2021-01-01 11:00:00,703.0,7.1
2021-01-01 12:00:00,654.0,9.0
2021-01-01 13:00:00,601.0,10.1
2021-01-01 14:00:00,592.0,11.3
2021-01-01 15:00:00,595.0,12.5
2021-01-01 16:00:00,632.0,12.5
2021-01-01 17:00:00,646.0,12.2
2021-01-01 18:00:00,671.0,10.2
2021-01-01 19:00:00,695.0,8.1
2021-01-01 20:00:00,702.0,7.3
2021-01-01 21:00:00,718.0,6.2
2021-01-01 22:00:00,670.0,6.8
2021-01-01 23:00:00,602.0,6.2
2021-01-02 00:00:00,540.0,5.7
2021-01-02 01:00:00,472.0,5.0
2021-01-02 02:00:00,433.0,3.8
2021-01-02 03:00:00,416.0,2.9
2021-01-02 04:00:00,419.0,2.5
2021-01-02 05:00:00,409.0,2.8
2021-01-02 06:00:00,409.0,3.2
2021-01-02 07:00:00,449.0,3.2
2021-01-02 08:00:00,591.0,3.4
2021-01-02 09:00:00,706.0,3.8
2021-01-02 10:00:00,753.0,4.6
2021-01-02 11:00:00,746.0,5.4
2021-01-02 12:00:00,712.0,6.3
2021-01-02 13:00:00,696.0,7.2
2021-01-02 14:00:00,669.0,8.2
2021-01-02 15:00:00,667.0,8.5
2021-01-02 16:00:00,680.0,8.6
2021-01-02 17:00:00,745.0,8.4
2021-01-02 18:00:00,736.0,7.9
2021-01-02 19:00:00,751.0,7.6
2021-01-02 20:00:00,747.0,7.4
2021-01-02 21:00:00,753.0,6.8
2021-01-02 22:00:00,679.0,6.8
2021-01-02 23:00:00,626.0,6.6
2021-01-03 00:00:00,548.0,6.6
2021-01-03 01:00:00,471.0,6.4
2021-01-03 02:00:00,442.0,6.2
2021-01-03 03:00:00,413.0,6.2
2021-01-03 04:00:00,405.0,6.2
2021-01-03 05:00:00,404.0,6.0
2021-01-03 06:00:00,414.0,6.1
2021-01-03 07:00:00,434.0,5.8
2021-01-03 08:00:00,551.0,5.8
2021-01-03 09:00:00,691.0,6.0
2021-01-03 10:00:00,732.0,6.5
2021-01-03 11:00:00,746.0,7.1
2021-01-03 12:00:00,713.0,7.8
2021-01-03 13:00:00,692.0,9.3
2021-01-03 14:00:00,676.0,10.5
2021-01-03 15:00:00,660.0,10.7
2021-01-03 16:00:00,692.0,11.2
2021-01-03 17:00:00,736.0,10.7
2021-01-03 18:00:00,746.0,9.4
2021-01-03 19:00:00,790.0,7.3
2021-01-03 20:00:00,791.0,6.0
2021-01-03 21:00:00,773.0,4.9
2021-01-03 22:00:00,720.0,4.1
2021-01-03 23:00:00,614.0,2.9
2021-01-04 00:00:00,539.0,2.3
2021-01-04 01:00:00,454.0,1.7
2021-01-04 02:00:00,419.0,1.2
2021-01-04 03:00:00,402.0,1.5
2021-01-04 04:00:00,399.0,1.9
2021-01-04 05:00:00,412.0,2.2
2021-01-04 06:00:00,433.0,2.5
2021-01-04 07:00:00,541.0,2.7
2021-01-04 08:00:00,639.0,2.9
2021-01-04 09:00:00,750.0,3.4
2021-01-04 10:00:00,778.0,4.3
2021-01-04 11:00:00,757.0,5.4
2021-01-04 12:00:00,714.0,6.3
2021-01-04 13:00:00,704.0,7.1
2021-01-04 14:00:00,697.0,8.3
2021-01-04 15:00:00,701.0,8.6
2021-01-04 16:00:00,721.0,8.6
2021-01-04 17:00:00,765.0,8.4
2021-01-04 18:00:00,776.0,8.0
2021-01-04 19:00:00,773.0,7.6
2021-01-04 20:00:00,758.0,7.4
2021-01-04 21:00:00,768.0,7.2
2021-01-04 22:00:00,677.0,6.6
2021-01-04 23:00:00,595.0,6.6
2021-01-05 00:00:00,520.0,6.2
2021-01-05 01:00:00,474.0,6.0
2021-01-05 02:00:00,428.0,6.3
2021-01-05 03:00:00,402.0,6.0
2021-01-05 04:00:00,395.0,6.0
2021-01-05 05:00:00,412.0,5.9
2021-01-05 06:00:00,436.0,5.6
2021-01-05 07:00:00,518.0,5.5
2021-01-05 08:00:00,640.0,5.9
2021-01-05 09:00:00,737.0,6.0
2021-01-05 10:00:00,769.0,6.2
2021-01-05 11:00:00,752.0,6.3
2021-01-05 12:00:00,717.0,6.4
2021-01-05 13:00:00,701.0,6.6
2021-01-05 14:00:00,693.0,6.7
2021-01-05 15:00:00,699.0,6.8
2021-01-05 16:00:00,710.0,6.9
2021-01-05 17:00:00,762.0,6.7
2021-01-05 18:00:00,759.0,6.3
2021-01-05 19:00:00,781.0,6.0
2021-01-05 20:00:00,774.0,5.8
2021-01-05 21:00:00,768.0,5.5
2021-01-05 22:00:00,700.0,5.2
2021-01-05 23:00:00,634.0,5.0
2021-01-06 00:00:00,532.0,4.8
2021-01-06 01:00:00,476.0,4.7
2021-01-06 02:00:00,427.0,4.6
2021-01-06 03:00:00,419.0,4.4
2021-01-06 04:00:00,427.0,4.3
2021-01-06 05:00:00,396.0,4.2
2021-01-06 06:00:00,451.0,3.9
2021-01-06 07:00:00,546.0,3.8
2021-01-06 08:00:00,662.0,3.9
2021-01-06 09:00:00,757.0,4.0
2021-01-06 10:00:00,778.0,4.3
2021-01-06 11:00:00,752.0,4.4
2021-01-06 12:00:00,742.0,4.8
2021-01-06 13:00:00,703.0,5.0
2021-01-06 14:00:00,695.0,5.0
2021-01-06 15:00:00,707.0,4.9
2021-01-06 16:00:00,735.0,4.7
2021-01-06 17:00:00,766.0,4.5
2021-01-06 18:00:00,749.0,4.3
2021-01-06 19:00:00,784.0,4.1
2021-01-06 20:00:00,772.0,4.2
2021-01-06 21:00:00,778.0,4.0
2021-01-06 22:00:00,703.0,3.9
2021-01-06 23:00:00,631.0,3.8
2021-01-07 00:00:00,547.0,3.6
2021-01-07 01:00:00,482.0,3.6
2021-01-07 02:00:00,472.0,3.5
2021-01-07 03:00:00,428.0,3.2
2021-01-07 04:00:00,428.0,2.6
2021-01-07 05:00:00,433.0,2.3
2021-01-07 06:00:00,451.0,1.9
2021-01-07 07:00:00,549.0,1.7
2021-01-07 08:00:00,654.0,1.4
2021-01-07 09:00:00,778.0,1.0
2021-01-07 10:00:00,775.0,0.4
2021-01-07 11:00:00,771.0,0.0
2021-01-07 12:00:00,743.0,-0.1
2021-01-07 13:00:00,768.0,-0.2
2021-01-07 14:00:00,775.0,-0.4
2021-01-07 15:00:00,779.0,-0.3
2021-01-07 16:00:00,809.0,-0.6
2021-01-07 17:00:00,785.0,-0.9
2021-01-07 18:00:00,758.0,-1.0
2021-01-07 19:00:00,783.0,-0.9
2021-01-07 20:00:00,777.0,-1.0
2021-01-07 21:00:00,769.0,-1.2
2021-01-07 22:00:00,740.0,-1.2
2021-01-07 23:00:00,667.0,-1.2
2021-01-08 00:00:00,586.0,-1.2
2021-01-08 01:00:00,517.0,-1.3
2021-01-08 02:00:00,471.0,-1.3
2021-01-08 03:00:00,454.0,-1.4
2021-01-08 04:00:00,440.0,-1.4
2021-01-08 05:00:00,450.0,-1.4
2021-01-08 06:00:00,470.0,-1.4
2021-01-08 07:00:00,552.0,-1.4
2021-01-08 08:00:00,681.0,-1.5
2021-01-08 09:00:00,760.0,-0.5
2021-01-08 10:00:00,745.0,1.7
2021-01-08 11:00:00,753.0,2.6
2021-01-08 12:00:00,696.0,3.7
2021-01-08 13:00:00,684.0,4.6
2021-01-08 14:00:00,699.0,5.2
2021-01-08 15:00:00,681.0,6.2
2021-01-08 16:00:00,742.0,6.3
2021-01-08 17:00:00,759.0,6.0
2021-01-08 18:00:00,783.0,4.7
2021-01-08 19:00:00,820.0,3.3
2021-01-08 20:00:00,797.0,2.3
2021-01-08 21:00:00,795.0,0.7
2021-01-08 22:00:00,758.0,-0.1
2021-01-08 23:00:00,696.0,-0.9
2021-01-09 00:00:00,599.0,-1.3
2021-01-09 01:00:00,520.0,-2.0
2021-01-09 02:00:00,476.0,-2.0
2021-01-09 03:00:00,461.0,-2.7
2021-01-09 04:00:00,456.0,-2.8
2021-01-09 05:00:00,460.0,-2.6
2021-01-09 06:00:00,472.0,-2.1
2021-01-09 07:00:00,486.0,-1.6
2021-01-09 08:00:00,599.0,-1.2
2021-01-09 09:00:00,734.0,-0.8
2021-01-09 10:00:00,804.0,-0.1
2021-01-09 11:00:00,794.0,0.8
2021-01-09 12:00:00,777.0,1.8
2021-01-09 13:00:00,744.0,2.5
2021-01-09 14:00:00,744.0,3.2
2021-01-09 15:00:00,733.0,3.6
2021-01-09 16:00:00,770.0,4.0
2021-01-09 17:00:00,811.0,4.0
2021-01-09 18:00:00,795.0,3.7
2021-01-09 19:00:00,830.0,3.5
2021-01-09 20:00:00,790.0,3.1
2021-01-09 21:00:00,772.0,3.1
2021-01-09 22:00:00,727.0,2.7
2021-01-09 23:00:00,661.0,2.6
2021-01-10 00:00:00,598.0,2.3
2021-01-10 01:00:00,510.0,2.3
2021-01-10 02:00:00,465.0,2.2
2021-01-10 03:00:00,439.0,1.9
2021-01-10 04:00:00,421.0,1.7
2021-01-10 05:00:00,437.0,1.6
2021-01-10 06:00:00,438.0,1.6
2021-01-10 07:00:00,483.0,1.2
2021-01-10 08:00:00,573.0,1.5
2021-01-10 09:00:00,695.0,1.8
