Country,Model,Voll,Deviation_proposed,Deviation_baseline,Deviation,Value,Total Cost,Ratio,Value_baseline,Value_proposed
Netherlands,Proposed_vs_autoformer,15737.0,18601.591927800004,82407.07316099998,63805.48123319999,1004106.8581668683,213051288.57415453,0.0047129818593769236,1296840110.3346567,292733252.1677887
Netherlands,Proposed_vs_CNN,15737.0,18601.591927800004,11449.575689999994,-7152.01623780001,-112551.27953425875,213051288.57415453,-0.0005282825571603347,180181972.63352993,292733252.1677887
Netherlands,Proposed_vs_impactnet,15737.0,18601.591927800004,15514.562439600002,-3087.0294882000017,-48580.58305580343,213051288.57415453,-0.00022802294875064552,244152669.11198524,292733252.1677887
Netherlands,Proposed_vs_informer,15737.0,18601.591927800004,24324.254721900004,5722.662794099999,90057.54439075167,213051288.57415453,0.000422703589325658,382790796.55854034,292733252.1677887
Netherlands,Proposed_vs_LSTM,15737.0,18601.591927800004,19071.485279699984,469.893351899982,7394.711678850017,213051288.57415453,3.4708598705687797e-05,300127963.8466386,292733252.1677887
Netherlands,Proposed_vs_nbeats,15737.0,18601.591927800004,30477.529870199993,11875.937942399989,186891.63539954863,213051288.57415453,0.0008772142926255957,479624887.56733733,292733252.1677887
Netherlands,Proposed_vs_ANN,15737.0,18601.591927800004,34421.12237759998,15819.530449799979,248951.95068850226,213051288.57415453,0.0011685071343835226,541685202.8562909,292733252.1677887
Poland,Proposed_vs_autoformer,12125.0,25018.635766736792,139656.28055138674,114637.64478464992,1389981.4430138804,372589453.0251877,0.0037305979321962056,1693332401.685564,303350958.6716836
Poland,Proposed_vs_CNN,12125.0,25018.635766736792,158177.68906312616,133159.05329638938,1614553.5212187213,372589453.0251877,0.004333331252695375,1917904479.8904047,303350958.6716836
Poland,Proposed_vs_impactnet,12125.0,25018.635766736792,70483.06863489909,45464.432868162294,551256.2485264678,372589453.0251877,0.0014795272492300043,854607207.1981514,303350958.6716836
Poland,Proposed_vs_informer,12125.0,25018.635766736792,38272.13632800125,13253.500561264458,160698.69430533156,372589453.0251877,0.00043130231680086787,464049652.9770152,303350958.6716836
Poland,Proposed_vs_LSTM,12125.0,25018.635766736792,28280.444900957278,3261.809134220488,39549.435752423415,372589453.0251877,0.00010614749137772777,342900394.42410696,303350958.6716836
Poland,Proposed_vs_nbeats,12125.0,25018.635766736792,78133.99716418052,53115.361397443725,644023.7569440051,372589453.0251877,0.0017285077495214768,947374715.6156888,303350958.6716836
Poland,Proposed_vs_ANN,12125.0,25018.635766736792,41025.3059083984,16006.670141661605,194080.87546764695,372589453.0251877,0.0005208973949526337,497431834.13933057,303350958.6716836
Croatia,Proposed_vs_autoformer,5788.0,6067.804956720007,31436.889274960005,25369.08431824,146836.2600339731,40205942.57584915,0.0036521034112547957,181956715.12346852,35120455.0894954
Croatia,Proposed_vs_CNN,5788.0,6067.804956720007,21749.0308724,15681.225915679994,90762.9355999558,40205942.57584915,0.0022574507593928453,125883390.6894512,35120455.0894954
Croatia,Proposed_vs_impactnet,5788.0,6067.804956720007,13528.829934360003,7461.024977639998,43184.41257058031,40205942.57584915,0.0010740803424546565,78304867.66007571,35120455.0894954
Croatia,Proposed_vs_informer,5788.0,6067.804956720007,17410.162484,11342.357527279994,65649.5653678966,40205942.57584915,0.0016328323914816237,100770020.457392,35120455.0894954
Croatia,Proposed_vs_LSTM,5788.0,6067.804956720007,13265.38429112,7197.579334399994,41659.58918750717,40205942.57584915,0.001036155018848661,76780044.27700257,35120455.0894954
Croatia,Proposed_vs_nbeats,5788.0,6067.804956720007,10369.598326880001,4301.793370159992,24898.780026486038,40205942.57584915,0.0006192810920802091,60019235.11598145,35120455.0894954
Croatia,Proposed_vs_ANN,5788.0,6067.804956720007,6391.683459200003,323.87850247999654,1874.60877235422,40205942.57584915,4.6625166635945434e-05,36995063.86184962,35120455.0894954
Germany,Proposed_vs_autoformer,12610.0,67179.65528600727,411947.701402427,344768.0461164197,4347525.061528052,983120862.126496,0.004422167435369372,5194660514.684605,847135453.1565516
Germany,Proposed_vs_CNN,12610.0,67179.65528600727,123092.93511646346,55913.27983045619,705066.4586620525,983120862.126496,0.0007171716986424129,1552201911.8186042,847135453.1565516
