True,Baseline,Proposed
9819.00008986,9665.69822068,9791.7228004
9396.99997024,9248.95752196,9371.40484954
9238.9999261,8910.6956104,9108.6059236
9123.0000025,8841.931897,9049.7903917
9078.99994444,8813.1416926,9045.8223754
9309.000127,8946.4715428,9158.4276718
9275.99992996,8865.54747796,9083.60349826
9457.000006,9184.1715121,9428.368072
9717.00007,9626.50241968,9859.968724
9759.0000541,9925.56334552,10129.5591556
9720.0000445,10172.44197472,10242.6413098
9675.99998644,10152.70251772,10357.9794994
9382.99993006,9859.7579242,10050.5569846
9153.0000886,9564.18501874,9807.37676626
9211.99995094,9495.97968604,9732.14504644
9337.99997146,9455.56765888,9758.20856566
9977.99982988,9868.9468171,10165.7396326
10972.00002208,10773.9570892,10960.0394188
11426.9998612,11198.6866228,11193.6983764
11093.99989468,10803.4267648,10894.7385526
10633.000243,10191.2934802,10368.9458644
10649.9999848,10426.1592496,10443.34755148
10694.999943399998,10316.9069662,10501.1746438
10270.0002586,9890.6820502,10071.25268134
9957.0000766,9696.05564314,10061.22086212
9714.99999604,9390.75893176,9709.76206444
9510.000124,9128.036344,9553.3225528
9656.9998978,9243.59270116,9704.70164128
10090.9998472,9727.92918688,10201.9924228
11332.0001002,11140.9070116,11367.3864964
12207.9998173,11905.8414988,12194.799247300001
12248.0002732,12136.9387954,12415.43562088
12361.9999864,12166.6909018,12441.29850508
12384.00004954,12058.825531,12347.611024
12395.99987932,12226.03111372,12302.814361
11890.0001326,11863.8739192,12045.809154999999
11791.99978312,11827.3520011,12020.0813464
11744.999887,11803.52473348,11902.151479
11897.0001868,11760.1256254,11935.1610904
11978.00011228,11769.0788182,11981.54912134
12249.0000373,12150.9525478,12340.137523
12792.0001972,12766.4552182,12676.24477408
12839.00009332,12679.9972834,12603.7743952
12292.9998907,12026.76192634,12168.21582346
11704.99997686,11295.3591382,11525.5927696
11747.99992972,11477.974527400002,11623.62784306
11718.0001165,11448.532822,11525.18931652
11323.0001767,11026.4202076,11052.176327500001
10918.9999723,10919.11062514,10980.396949
10622.00017732,10480.3225186,10572.3895018
10305.9999526,10125.2578846,10333.3800496
10290.999739,10073.2571896,10374.2428063
10684.9999147,10528.3627015,10864.2155602
11676.0001324,11747.2463716,11910.0847828
12317.99986012,12462.6210754,12579.8953486
12296.9999704,12558.0642664,12725.44776688
12184.99999006,12665.1778528,12726.947651800001
11886.0000529,12523.7980426,12585.5402125
11747.0000974,12533.7226882,12465.84835894
11339.99985028,12211.63178188,12243.70418692
11428.99986694,12173.91424006,12186.117024340001
11206.999912,12087.3053344,12043.14761992
11453.9999728,12001.9904257,12058.7525356
11594.9997976,11936.7260572,12068.8654684
11971.9998904,12273.7778824,12420.4570222
12667.000009,12944.2140256,12874.2656719
12843.0001048,12955.7520742,12754.51235212
12320.9997664,12280.3058542,12235.9608076
11734.0000942,11464.4035228,11577.959805999999
11800.0002154,11731.60734592,11706.11128066
11701.0000336,11846.0725924,11717.947246
11332.0001002,11206.2965638,11244.8763382
10898.0001508,10837.13378926,11036.65225252
10666.00003072,10384.2424939,10602.8828185
10464.99982906,9997.6646542,10359.649934320001
10370.9999686,9956.83996426,10425.0158824
10745.999851,10435.21108852,10869.2331412
11844.0000688,11566.553422,11899.7378554
12437.9997952,12149.4871822,12501.88530106
12449.9996932,12323.36727328,12688.02909688
12416.0002096,12493.15389148,12734.59763794
12110.0000818,12431.8685227,12619.548564699999
11911.00002232,12474.2808967,12529.602882399999
11580.99996208,12230.664889,12357.79927168
11513.0000398,12244.17947566,12305.1297478
11426.9998612,12141.2571214,12190.899451000001
11591.99989132,12097.3248058,12169.2853084
11697.99999088,11955.94404052,12120.439788399999
12053.99992108,12194.2981714,12359.037874
12758.99986372,12904.2398344,12829.2674188
12832.00003912,13051.63821766,12872.88271606
12278.0000182,12481.148263,12420.02887348
11679.0001069,11511.2426926,11738.0011972
11789.00014972,11684.85959092,11857.867148199999
11798.000005,11853.6003283,11866.895383
11559.99993592,11238.62629468,11428.1565313
11157.0001096,10841.01298312,11064.7448392
10780.0000168,10432.2366283,10669.080436600001
10460.9998858,10045.46668108,10413.29207074
10443.0000388,9950.8527724,10384.8029212
10823.9998702,10496.19349228,10797.39980068
11853.0003334,11703.2120671,11876.2943935
12579.99999808,12427.6115947,12587.6969878
12811.0001494,12516.8041282,12706.27467232
12925.9999678,12601.757812,12784.807762600001
12839.00009332,12428.5219906,12626.4179776
12653.00017348,12398.3534011,12552.430931679999
12198.9998938,12084.5369668,12333.114274
12227.0001106,12090.08570872,12225.57813292
11976.9997342,12008.5992382,12038.0351449
12059.0001742,11922.44037988,12025.24600972
12081.999865,11934.9134518,11987.6151073
12370.0001458,12272.74189348,12256.642109920002
12846.9998434,12959.52921094,12699.5279872
12834.9999454,12869.3463277,12596.247000399999
12327.9998206,12153.50220208,12126.656676999999
11754.99998392,11394.6028654,11511.863903919999
11771.00016628,11640.0659296,11696.445871060001
11785.0000018,11741.193211,11745.975433
11371.0001098,11076.55215214,11222.0625469
11001.9998353,11190.5118202,11033.1715999
10668.999937,10634.2664062,10619.914282599999
10407.9997678,10331.9910904,10379.706614319999
10418.99983348,10143.99546268,10354.5111946
10790.00011372,10615.4758894,10751.288265399999
11780.000158,11670.40083946,11788.0832047
12488.9997028,12450.57028528,12583.104144519999
12740.99988028,12664.8865534,12755.327854
13057.9998691,12797.01464008,12783.4010662
13084.0002166,12577.8951382,12647.76490246
13152.00007066,12583.3469395,12585.0991702
12988.00014574,12167.1343318,12331.524748
12935.0002324,12014.88530188,12199.1663506
12760.0002418,11840.739835,11990.6103064
12665.9999038,11728.8440266,11946.2062495
12533.0002384,11729.1735292,11971.7959126
12479.0000152,12117.3842146,12260.580041199999
12747.99993448,12520.9771456,12548.0918668
12619.99984,12501.232231,12183.948515200002
12036.9999064,11618.83538806,11705.462985999999
11433.9999154,10942.43572534,11158.387431520001
11620.999804,11288.5200832,11417.89699372
11700.00013306,11570.8123966,11478.14146174
11256.99998728,10729.72760728,10927.7324734
10808.0002336,11216.264188,10689.17511514
10378.0000228,10688.9113084,10263.19006066
10149.00021832,10125.3670366,9903.45119692
9952.9996558,9820.2428536,9712.2001108
9827.0000446,9758.14041388,9728.866939
10135.00017814,9921.9998056,9979.3987492
10181.00017372,10155.88225192,10073.043661
10726.9998988,10657.2128854,10488.63075952
11199.9998578,11202.5413939,10877.5147081
11247.0000268,11223.98914792,10952.252788
11053.000084,11363.8213192,10985.0215828
10770.9997522,11164.2962386,10981.1047315
10374.99998008,10803.31372426,10700.9630536
10190.99986132,10582.17798028,10517.59813126
10203.0000322,10589.08041166,10405.0819984
10435.9999846,10600.6789714,10483.11449032
10745.999851,11484.9534334,10861.977262
11203.0001734,12362.6439832,11634.879163
11309.9998324,12082.624078,11470.714554999999
10852.000087,11133.82945948,10851.9407356
10409.00014588,10398.1945072,10331.443966
10482.9998125,10691.9873482,10497.9167977
10535.99986228,11029.5900499,10662.182712400001
10107.99999832,10484.7370348,10180.53136588
9720.99994504,9942.3007132,9724.2665233
9273.99999244,9642.5260015,9335.1294103
9007.999843,9103.910341,9048.84881926
8907.000133,9071.18302396,8980.28710528
8978.000098,9030.09984844,9025.47084856
9175.99998406,9173.9013322,9262.21771624
9062.0000662,9304.2254092,9344.87825296
9304.99991086,9562.85247748,9677.931158200001
9649.00001128,10094.56393288,10001.03786032
9654.99996028,10418.4626692,10176.89251108
9804.0000127,10649.4842416,10288.95695932
10087.0001086,10656.6115261,10323.1265836
10032.9998854,10203.0116296,10024.911039999999
9843.0000223,9957.9128602,9846.22143892
9841.00001656,9935.8409614,9778.41935464
9881.9996908,9856.39290448,9915.147106600001
10172.99987788,10684.16960908,10400.25570628
10761.0000646,11669.6993332,11187.4528354
10965.0000361,11540.33599846,11266.684907800001
10616.9999242,11096.289085,10809.4608238
10140.00002194,10535.10201886,10255.52847712
10136.999911,10790.92026508,10316.0119198
10044.0000193,10460.75388448,10284.31759
9595.9999615,9846.76351504,9783.6673828
