True,Baseline,Proposed
1799.9999899200002,1874.79868376,1828.2285716000001
1712.00000096,1827.0405016,1745.00225752
1673.999962,1815.80595776,1707.89397332
1677.99999648,1791.45392824,1634.0951438
1736.9999952,1825.88621704,1729.62345616
1828.9999994,1861.1855372,1820.342288
1948.9999756,1930.9130288,1857.80934048
2178.0000352,2124.6934988000003,2119.14897332
2394.0000116,2306.18570788,2331.4457692
2543.00001652,2353.30560304,2509.1748844
2617.99998,2376.23333384,2568.75666224
2556.9999448,2306.2823504,2489.8169432000004
2412.99997336,2187.930184,2392.8898636
2295.99999416,2082.8176388,2291.89802616
2232.9999802,1999.2192616,2232.53300616
2234.99999744,2022.8483866,2200.4877472
2378.9999304000003,2250.084042,2388.36434624
2612.00006296,2426.7108976,2600.07316772
2692.00002144,2456.8894148,2649.17943896
2665.0000292,2471.81453696,2626.3085816000003
2653.999944,2477.7197932,2612.58595944
2495.9999096,2341.87758176,2445.8127544
2219.0000904,2112.44327536,2142.8050728
1999.00000256,1951.97155512,1997.75613656
1857.9999704,1961.4624932,1938.91452152
1783.99998668,1883.52079144,1829.19178372
1775.00001492,1878.6653658,1796.0235436799999
1820.0000084,1867.5813942,1806.608776
1971.00001132,1941.9245618,1924.42064472
2353.99999388,2174.09264132,2297.2264672
2683.0000112,2378.372514,2594.3590224
2918.9999676,2591.9444024,2807.1272559999998
2993.9999888,2652.0903740000003,2914.47541224
2983.9999988,2634.6516228,2922.4841392
3033.000046,2641.4343,2965.71264816
3019.9999628,2576.987034,2929.2385335999998
2964.0000188000004,2500.3770096,2874.2092476
2890.9999956,2402.6530092000003,2799.9382299999997
2827.9999624,2331.39060812,2742.28839828
2827.9999624,2321.128704,2729.39040252
2976.0000068,2583.63722456,2901.6849296
3146.0000292,2797.1822924,3046.0103264
3168.0001996,2789.6696496000004,3030.2999044
3065.9999168,2751.36446424,2924.70204944
3001.000078,2716.2810746,2883.59271104
2788.0000024,2557.2925852,2679.9916448
2510.9999908,2252.424588,2375.6362012
2241.0000684,2018.63053608,2128.241451
2057.00000228,1980.25774136,2140.0046908
1972.0000488,1919.2422372,2058.53545048
1944.00001908,1910.2555218,2020.5131316
1974.9999496,1890.72928832,2022.9644422800002
2108.00002824,1923.2670528,2087.9458106800002
2435.9999696,2194.8794796,2422.62284012
2735.9999582,2373.06337068,2706.5186024
2934.0000488,2568.7423092,2907.95153228
2997.000082,2655.34724424,3015.9039592
2971.00005028,2649.79996744,3018.3124224000003
2984.99997856,2656.23645932,3049.257846
2948.9999376,2602.015388,2997.0917798399996
2861.0000256000003,2510.00803412,2915.86165424
2788.0000024,2420.3832464,2812.3214788
2735.9999582,2337.9708228,2751.4578552000003
2758.0000324,2375.80385856,2727.0197844
2897.9999886,2646.38848456,2874.6738936
3128.0000472,2802.83392696,3067.8519592000002
3166.0000092,2773.2361884,3114.8087184
3086.0000892,2738.0966372000003,3027.56447664
3019.00000228,2727.4162053600003,2967.6948684
2791.0000956000003,2528.460868,2780.8077056
2497.0000048,2208.6005818000003,2464.568676
2207.0000062,2079.9176898,2194.7255596
2042.99999704,1946.264721,2122.5784456
1966.99999608,1876.99202452,2060.4969300000002
1944.00001908,1902.70514936,2018.2781747200002
1976.99998608,1854.539945,2041.94002696
2135.99996176,1830.71886252,2140.8262388
2469.9999356,2218.1098556,2429.0495196
2765.99994744,2405.39055336,2706.4429892
2950.9999356,2594.7588296,2891.86167824
2993.00000904,2709.3946938,2966.4665868
2956.99998732,2707.3455376,2970.0509988
2964.0000188000004,2690.5115958,2979.4543564
2918.9999676,2583.3187256,2917.07564052
2828.9999614,2493.5322834,2834.312414
2746.0000444,2396.1302644,2732.94133692
2696.9999972,2299.38532988,2676.0188734
2733.99994096,2411.12084104,2656.416969
2881.0000056,2719.1602444,2886.9076476
3118.99996,2762.59981616,3111.72243
3156.0000192,2793.1315028,3134.4477559999996
3094.999984,2688.6269416,3053.6201312000003
3036.9999458,2683.936422,3010.41511428
2796.99995492,2456.5669524,2793.1359279999997
2503.99997856,2185.78351948,2467.6117706
2217.0000924,2033.16991548,2191.3631772
2049.00002952,2056.69437488,2131.1569844
1964.99999808,1971.85145828,2021.8807108
1950.9999736,1939.6906054,1984.62156576
1986.0000348,1932.56443648,2001.273324
2137.99995976,1958.05993768,2088.98613672
2483.0000188000004,2287.2328264,2450.44312976
