True,Baseline,Proposed
3303.7999514760004,3278.319380712001,3259.759070604
3243.5000393640003,3208.33590996,3221.29725684
3232.3000062600004,3200.9017832400004,3213.43321788
3251.8000764360004,3214.281845916,3216.6650499840002
3325.000047576,3343.20156432,3260.0705034000002
3512.900019168,3512.61624588,3417.000057564
3745.099950324,3770.362444008,3712.540574136
4055.999959440001,4040.59860702,4058.96643192
4237.6000392000005,4240.49433948,4259.169774
4301.700110232,4305.777293364,4388.19767268
4330.400068272,4289.51681868,4405.230311880001
4331.59984332,4225.57810128,4333.682928072
4283.800000200001,4163.920688604,4280.599845840001
4155.000048636,4097.25358896,4244.0371752480005
4098.20002008,4061.24746356,4227.251560032
4260.20008092,4169.2833951600005,4411.04134434
4750.39990524,4603.275002964,4860.173977488001
5030.90008644,4830.443556480001,4893.25560732
4753.400084088,4532.785741632,4602.64195524
4466.39995752,4204.61500308,4344.69461124
4230.39998448,3967.513838316,4099.650564264
3939.700037856,3724.937651448,3831.311359752
3749.300021256,3494.8154604,3578.2114128000003
3617.699983392,3315.68679084,3404.1507921600005
3542.2000597920005,3364.1098896720005,3471.712866096
3508.0000339440003,3313.7935384800003,3450.2592310080004
3530.2000076040003,3355.9469407680003,3461.3616951000004
3628.900016496,3449.528848344,3540.937163328
3885.9000321,3766.865759436,3812.9844584400003
4537.999968516,4451.966570844001,4473.578321568
5144.79991176,5058.51160968,5131.64623572
5339.500221120001,5272.03676952,5359.113738192
5306.100097320001,5288.653774872,5342.856696564
5291.000112600001,5282.363870112,5380.68401916
5223.099960672,5203.4645968800005,5322.83117376
5119.09997652,5081.669405964,5193.895850556
5078.900061120001,5045.55689484,5144.556086760001
5001.499863,4929.0444358800005,5033.301665160001
4894.100061072,4786.40993184,4907.26364616
4935.099878520001,4814.97100716,5024.03924106
5343.89999448,5240.33737386,5432.3398083600005
5520.500023236,5342.19829104,5390.546408808001
5238.199984404,5010.671350128,5059.840358400001
4893.800097804,4672.0116892080005,4755.517733472
4617.80006784,4380.29540196,4474.881946560001
4276.59994548,4041.26493198,4159.761112128001
4000.89999582,3709.58451786,3818.852175336
3782.59996224,3510.77507454,3620.870176536
3685.500030528,3733.8790458,3643.93609956
3649.899981036,3679.50333996,3625.336816464
3677.1000057,3678.60138252,3647.0945110800003
3784.899953712,3708.120982680001,3716.301721056
4078.900003440001,3988.77057984,3974.5931118840003
4773.10001274,4637.43909876,4645.34488056
5352.299941284,5231.750754636,5362.4931136800005
5545.89983916,5440.53076788,5599.286200680001
5562.69996684,5452.956206916,5569.840957392
5608.69979628,5462.867868720001,5612.790321516
5591.69992716,5393.614429524,5574.06611304
5488.300025592001,5225.8851834,5458.431814200001
5512.200103200001,5180.68041852,5424.79332708
5502.8001618,5037.7911661200005,5341.99796442
5369.799905232,4868.049954120001,5225.123279040001
5460.199955076,4840.83596316,5372.805818844001
5815.299936,5288.19436956,5714.55788298
5959.3999648320005,5438.024090832,5553.3784395600005
5666.000114724,5024.317357608001,5190.672171960001
5346.099998196,4675.87703718,4916.690115720001
5027.49999558,4426.326441,4631.4144756000005
4737.199960968001,4141.03636644,4317.238355760001
4362.80008044,3834.279704808,3975.778179408
4177.8999756,3646.08566076,3768.9747091440004
4024.89998316,4280.20543452,3994.7271270600004
4045.40000892,4244.19228696,3967.188673296
4000.70005932,4212.118064004,3973.74744876
4085.100024552,4205.542591404001,4043.0957651400004
4346.29995504,4423.254519084,4294.346348232
4979.3000844,5154.459556044,4940.772457392
5555.10003912,5788.3997575680005,5592.98069112
5775.79989588,5941.596097404001,5805.331199640001
5790.2998760400005,5902.920107760001,5758.23006144
6058.099934712,5886.35327184,5797.63978878
6021.00006888,5799.779987100001,5750.09605944
5919.499973688,5571.190772592001,5643.107795100001
5846.800019352,5542.6712060400005,5564.325206760001
5667.299955552,5447.07600618,5472.645641340001
5513.000005248001,5297.20380084,5326.35356724
5569.900021560001,5177.253487404,5421.19017876
5845.999883232001,5814.070784916001,5788.790501760001
6075.49983288,5982.107445600001,5744.47286976
5825.400142800001,5470.40927844,5369.7368618400005
5448.500022204,5095.64791272,5083.145503008
5322.3998961,4887.63222258,4805.61163824
4980.79990074,4596.13748448,4505.226260400001
4629.6998982000005,4237.824904368001,4174.48798608
4249.499986596,4082.721931056,3972.103756164
4191.19994664,4715.33006784,4119.673785360001
4251.100024764,4699.09697958,4074.881494356
4269.00001776,4606.327028760001,4080.7508887680006
4151.6999845440005,4504.468023168,4148.242155924
4328.500066836001,4693.386051912001,4385.996030460001
4996.500085080001,5480.393775648,5106.258396480001
5603.800045128,5959.090209552,5816.019863448
5769.39997728,6066.5928471120005,6045.348238320001
5763.39993168,6057.591647364001,5946.94905096
5836.19983476,5993.873464800001,5995.239274920001
5891.09986188,5937.63649644,5943.405200880001
5749.40008536,5619.88063548,5819.42408958
5682.8998400400005,5606.2948625280005,5714.26899912
5644.7999406,5498.64811464,5623.5990252480005
5589.799886712,5419.3515432,5450.507891820001
5604.00002064,5178.3490614,5511.490084800001
5765.30001114,5997.864548448,5942.941738320001
5958.700050540001,6260.91957756,5940.326256804001
5657.799909360001,5593.532944992,5518.9296732
5332.700039400001,5178.873538728,5189.389223328
4992.19979232,5074.52564556,4907.699410200001
4630.100161320001,4857.700343604,4601.90462844
4210.199961,4453.672292520001,4268.7140598000005
4082.599979544,4382.135988120001,4065.5927761680005
3928.400056008,4655.966443728001,3953.1750167280006
3884.80008876,4598.652198,3913.268393544
3907.80000348,4448.71581792,3918.09409992
3984.899965248,4407.82343952,3998.088713076
4239.200077368,4500.104608992,4252.166885928
4845.09997476,5251.68733008,4996.7247942
5413.60000404,6035.57963352,5750.351978160001
5647.999977924001,6253.03525236,5963.5689432
5660.2001226600005,6184.52042736,5847.088591116
5702.39998824,6167.75658084,5898.370684368
5696.500086444001,6106.17496848,5795.168183520001
5648.299941192001,5676.522314328,5638.88221032
5435.899926444001,5458.319069520001,5478.84016176
5273.70004614,5098.306424472001,5372.78135832
5165.70000558,4957.42625106,5207.697789
5158.39988508,4743.504339180001,5233.39460328
5437.100052600001,5548.75356696,5690.239674756
5583.699970392001,6065.91185364,5705.6810534880005
5174.7000739800005,5390.828933712,5305.9758441
4869.200027880001,4888.19887188,4941.94648452
4588.899978240001,4748.93500464,4711.446033120001
4353.600036528,4619.03284704,4449.261595800001
4096.2000699,4381.494513804,4124.266160964
3839.699993076,4153.67391372,3907.7011860840003
3688.600002072,3794.367268836,3735.2663905440004
3622.800061164,3692.29966608,3647.434812756
3601.3000017960003,3677.15637804,3649.3203017280002
3625.800044952001,3731.97213924,3649.659081936
3705.400051728,3768.047471928,3690.168986688
3915.30006048,3920.50699212,4019.5508527800002
4158.29995668,4289.031665448,4497.953253240001
4483.499892420001,4533.276122472,4832.512362840001
4651.99993764,4666.7484242400005,4901.362417956
4695.7998804,4678.29675648,4946.044695120001
4658.400090312,4583.047241952,4915.11539634
4586.600064792,4456.871549604,4790.35833636
4510.30016112,4330.9918413000005,4640.23586904
4465.49995068,4141.148018784001,4593.728727552
4441.899875352001,4170.729179880001,4518.800719872001
4531.8999351600005,4370.3988378,4640.945263248001
4875.89994876,4717.408471152001,5130.2511666
5088.499939020001,4929.528574800001,5228.972046912
4796.799997800001,4581.01526292,4861.16628672
4493.600060208,4193.013224400001,4534.664091408
4283.49999792,3986.924258916,4317.405834276
4040.59997244,3810.622828008,4090.130699976
3825.800056488,3667.186939464,3832.653762672
3678.00001254,3503.778584436,3665.880466596
3571.8000246720003,3435.6142822560005,3491.5107538800003
3506.400034788,3368.272236,3417.721584504
3509.1999650400003,3386.973262392,3394.87842
3486.20005032,3545.525910816,3418.5234761640004
3545.300031336,3789.85112268,3451.32566304
3689.7999721800006,4016.265769296,3624.0967420200004
3922.100008128,4186.490261952,3913.7601007920002
4215.90000432,4344.44493444,4247.025884568
4410.20005056,4611.264933648,4397.57206122
4532.999878500001,4620.465913848,4522.4481078
4479.69992856,4520.0995854,4522.417678440001
4484.899955076,4566.51450252,4464.83167512
4384.99985904,4452.553428360001,4354.754752716
4362.50007816,4357.57812918,4309.24733274
4416.50009844,4302.11457372,4230.9592215
4514.400088248,4647.027312072,4306.434645564001
4911.49995924,4875.147251232,4912.81739448
5111.80005108,4929.511409520001,5087.851871676
4855.70012034,4575.046582968001,4757.697489960001
4560.000083700001,4186.654424448,4412.486270796
4306.40004192,3898.719726408,4187.419449768
4013.70002808,3531.6427884000004,3944.240995644
3763.40001138,3334.33218612,3696.6266820600003
3621.900054324,3248.8886889,3509.74301208
