True,Baseline,Proposed
3303.7999514760004,3288.4102246320003,3259.759070604
3243.5000393640003,3254.509030704,3221.29725684
3232.3000062600004,3247.96878594,3213.43321788
3251.8000764360004,3212.071191924,3216.6650499840002
3325.000047576,3365.90245206,3260.0705034000002
3512.900019168,3509.3946349200005,3417.000057564
3745.099950324,3661.4220582,3712.540574136
4055.999959440001,3905.13119256,4058.96643192
4237.6000392000005,4168.455053364,4259.169774
4301.700110232,4095.43699518,4388.19767268
4330.400068272,4199.96633316,4405.230311880001
4331.59984332,4135.892517204,4333.682928072
4283.800000200001,4045.093062504,4280.599845840001
4155.000048636,4017.35038092,4244.0371752480005
4098.20002008,4027.121443476,4227.251560032
4260.20008092,4296.459784320001,4411.04134434
4750.39990524,4856.32489752,4860.173977488001
5030.90008644,5026.173392520001,4893.25560732
4753.400084088,4669.16599788,4602.64195524
4466.39995752,4462.508744592,4344.69461124
4230.39998448,4057.691402724,4099.650564264
3939.700037856,3792.00185424,3831.311359752
3749.300021256,3726.720811944,3578.2114128000003
3617.699983392,3458.8072283520005,3404.1507921600005
3542.2000597920005,3393.3747804840004,3471.712866096
3508.0000339440003,3369.576563208,3450.2592310080004
3530.2000076040003,3418.203148632,3461.3616951000004
3628.900016496,3546.539403564,3540.937163328
3885.9000321,3812.61930612,3812.9844584400003
4537.999968516,4505.065530960001,4473.578321568
5144.79991176,5241.778126032001,5131.64623572
5339.500221120001,5482.996266168,5359.113738192
5306.100097320001,5372.97056652,5342.856696564
5291.000112600001,5435.463889320001,5380.68401916
5223.099960672,5327.377866312,5322.83117376
5119.09997652,5155.502190756,5193.895850556
5078.900061120001,5148.00201672,5144.556086760001
5001.499863,5044.31007132,5033.301665160001
4894.100061072,4922.341940208,4907.26364616
4935.099878520001,5079.061336728,5024.03924106
5343.89999448,5557.931920200001,5432.3398083600005
5520.500023236,5497.993259208,5390.546408808001
5238.199984404,5169.51635448,5059.840358400001
4893.800097804,4866.47113848,4755.517733472
4617.80006784,4526.61771036,4474.881946560001
4276.59994548,4233.752129592,4159.761112128001
4000.89999582,3936.419752848,3818.852175336
3782.59996224,3740.193138000001,3620.870176536
3685.500030528,3731.168414016001,3643.93609956
3649.899981036,3703.404939036001,3625.336816464
3677.1000057,3753.768767832,3647.0945110800003
3784.899953712,3885.50191464,3716.301721056
4078.900003440001,4211.605953480001,3974.5931118840003
4773.10001274,4917.655662720001,4645.34488056
5352.299941284,5569.33844382,5362.4931136800005
5545.89983916,5783.751711840001,5599.286200680001
5562.69996684,5673.08520108,5569.840957392
5608.69979628,5733.82200858,5612.790321516
5591.69992716,5638.362804552,5574.06611304
5488.300025592001,5531.944856640001,5458.431814200001
5512.200103200001,5437.12306968,5424.79332708
5502.8001618,5315.166486120001,5341.99796442
5369.799905232,5196.8973168,5225.123279040001
5460.199955076,5344.220946204001,5372.805818844001
5815.299936,5789.91170664,5714.55788298
5959.3999648320005,5777.752446480001,5553.3784395600005
5666.000114724,5379.15864996,5190.672171960001
5346.099998196,5062.53569748,4916.690115720001
5027.49999558,4636.838313960001,4631.4144756000005
4737.199960968001,4284.42458232,4317.238355760001
4362.80008044,4062.08388084,3975.778179408
4177.8999756,3841.351410048,3768.9747091440004
4024.89998316,3767.324306484,3994.7271270600004
4045.40000892,3749.434534632,3967.188673296
4000.70005932,3763.317344952,3973.74744876
4085.100024552,3854.86149972,4043.0957651400004
4346.29995504,4267.61431152,4294.346348232
4979.3000844,4958.793270552,4940.772457392
5555.10003912,5679.90371844,5592.98069112
5775.79989588,5890.10232504,5805.331199640001
5790.2998760400005,5809.90301592,5758.23006144
6058.099934712,5791.691668152001,5797.63978878
6021.00006888,5771.406481476,5750.09605944
5919.499973688,5694.87613392,5643.107795100001
5846.800019352,5581.768096152,5564.325206760001
5667.299955552,5541.468856200001,5472.645641340001
5513.000005248001,5371.294337916001,5326.35356724
5569.900021560001,5558.742082404,5421.19017876
5845.999883232001,6076.865799048001,5788.790501760001
6075.49983288,6076.861351680001,5744.47286976
5825.400142800001,5608.097451,5369.7368618400005
5448.500022204,5311.593377040001,5083.145503008
5322.3998961,4851.68851638,4805.61163824
4980.79990074,4455.979345164,4505.226260400001
4629.6998982000005,4218.95152296,4174.48798608
4249.499986596,3953.7584802,3972.103756164
4191.19994664,3828.199060416,4119.673785360001
4251.100024764,3765.547309884,4074.881494356
4269.00001776,3759.97105164,4080.7508887680006
4151.6999845440005,3769.6784076,4148.242155924
4328.500066836001,4111.136711376001,4385.996030460001
4996.500085080001,4754.942228448001,5106.258396480001
5603.800045128,5591.4578577,5816.019863448
5769.39997728,5794.081855368,6045.348238320001
5763.39993168,5777.35764504,5946.94905096
5836.19983476,5762.417336436,5995.239274920001
5891.09986188,5729.02762884,5943.405200880001
5749.40008536,5627.81372568,5819.42408958
5682.8998400400005,5516.19571224,5714.26899912
5644.7999406,5423.88025122,5623.5990252480005
5589.799886712,5305.484292900001,5450.507891820001
5604.00002064,5422.907096880001,5511.490084800001
5765.30001114,6005.208986580001,5942.941738320001
5958.700050540001,6041.082042048,5940.326256804001
5657.799909360001,5593.1374023240005,5518.9296732
