True,Baseline,Proposed
3303.7999514760004,3247.964611656,3259.759070604
3243.5000393640003,3139.83200832,3221.29725684
3232.3000062600004,3128.79356292,3213.43321788
3251.8000764360004,3201.227650476,3216.6650499840002
3325.000047576,3205.76755494,3260.0705034000002
3512.900019168,3418.137452424,3417.000057564
3745.099950324,3622.38431028,3712.540574136
4055.999959440001,3916.504868076,4058.96643192
4237.6000392000005,4121.971670184001,4259.169774
4301.700110232,4205.586518916,4388.19767268
4330.400068272,4208.210153940001,4405.230311880001
4331.59984332,4136.08320786,4333.682928072
4283.800000200001,4110.639464424001,4280.599845840001
4155.000048636,4066.954685088,4244.0371752480005
4098.20002008,4058.18151048,4227.251560032
4260.20008092,4216.94045436,4411.04134434
4750.39990524,4614.510380940001,4860.173977488001
5030.90008644,4733.98736178,4893.25560732
4753.400084088,4416.61167276,4602.64195524
4466.39995752,4218.62967396,4344.69461124
4230.39998448,3971.856810204,4099.650564264
3939.700037856,3702.758627232,3831.311359752
3749.300021256,3471.950995344,3578.2114128000003
3617.699983392,3316.7615714400004,3404.1507921600005
3542.2000597920005,3395.09766744,3471.712866096
3508.0000339440003,3363.6239562,3450.2592310080004
3530.2000076040003,3328.0147779,3461.3616951000004
3628.900016496,3477.09211374,3540.937163328
3885.9000321,3662.47421184,3812.9844584400003
4537.999968516,4409.163501720001,4473.578321568
5144.79991176,5021.676752364,5131.64623572
5339.500221120001,5242.937718720001,5359.113738192
5306.100097320001,5227.594299120001,5342.856696564
5291.000112600001,5251.56522252,5380.68401916
5223.099960672,5188.8218328,5322.83117376
5119.09997652,5115.788481912,5193.895850556
5078.900061120001,5156.610677724,5144.556086760001
5001.499863,4914.13092852,5033.301665160001
4894.100061072,4789.65651048,4907.26364616
4935.099878520001,4919.273256288,5024.03924106
5343.89999448,5262.736698840001,5432.3398083600005
5520.500023236,5319.177699960001,5390.546408808001
5238.199984404,4964.499711840001,5059.840358400001
4893.800097804,4724.523869832001,4755.517733472
4617.80006784,4434.7179222,4474.881946560001
4276.59994548,4131.746985048,4159.761112128001
4000.89999582,3722.954281368,3818.852175336
3782.59996224,3500.9989404240005,3620.870176536
3685.500030528,3652.344121848,3643.93609956
3649.899981036,3601.655089020001,3625.336816464
3677.1000057,3601.22615208,3647.0945110800003
3784.899953712,3641.31566352,3716.301721056
4078.900003440001,3880.54192896,3974.5931118840003
4773.10001274,4591.98192624,4645.34488056
5352.299941284,5156.9275722,5362.4931136800005
5545.89983916,5357.141681592,5599.286200680001
5562.69996684,5339.477321076,5569.840957392
5608.69979628,5342.59231224,5612.790321516
5591.69992716,5290.20855912,5574.06611304
5488.300025592001,5175.81971838,5458.431814200001
5512.200103200001,5237.3629039200005,5424.79332708
5502.8001618,4982.7452341200005,5341.99796442
5369.799905232,4865.218229088001,5225.123279040001
5460.199955076,4921.00815894,5372.805818844001
5815.299936,5262.66725748,5714.55788298
5959.3999648320005,5365.84424448,5553.3784395600005
5666.000114724,5007.53189844,5190.672171960001
5346.099998196,4792.938980160001,4916.690115720001
5027.49999558,4509.25385928,4631.4144756000005
4737.199960968001,4196.993618760001,4317.238355760001
4362.80008044,3857.581260312,3975.778179408
4177.8999756,3608.955482604,3768.9747091440004
4024.89998316,3989.967389976,3994.7271270600004
4045.40000892,3905.567502768,3967.188673296
4000.70005932,3897.79537608,3973.74744876
4085.100024552,3828.60622866,4043.0957651400004
4346.29995504,4108.301709336,4294.346348232
4979.3000844,4837.26675528,4940.772457392
5555.10003912,5474.188761,5592.98069112
5775.79989588,5628.4289449200005,5805.331199640001
5790.2998760400005,5751.444977364001,5758.23006144
6058.099934712,5629.771972032,5797.63978878
6021.00006888,5627.1661264800005,5750.09605944
5919.499973688,5569.93240152,5643.107795100001
5846.800019352,5533.518210600001,5564.325206760001
5667.299955552,5299.18717092,5472.645641340001
5513.000005248001,5198.99362662,5326.35356724
5569.900021560001,5153.70206004,5421.19017876
5845.999883232001,5658.9222846,5788.790501760001
6075.49983288,5684.321554356,5744.47286976
5825.400142800001,5344.41768372,5369.7368618400005
5448.500022204,5120.86565964,5083.145503008
5322.3998961,4761.43249884,4805.61163824
4980.79990074,4465.00254768,4505.226260400001
4629.6998982000005,4085.8258038,4174.48798608
4249.499986596,3902.548325076,3972.103756164
4191.19994664,4171.11032712,4119.673785360001
4251.100024764,4087.10851836,4074.881494356
4269.00001776,4061.601848568,4080.7508887680006
4151.6999845440005,3905.647945512,4148.242155924
4328.500066836001,4227.516880644,4385.996030460001
4996.500085080001,4980.01946568,5106.258396480001
5603.800045128,5644.731552564001,5816.019863448
5769.39997728,5796.398622000001,6045.348238320001
5763.39993168,5959.09953342,5946.94905096
5836.19983476,5791.04656572,5995.239274920001
5891.09986188,5775.890598780001,5943.405200880001
5749.40008536,5731.02562842,5819.42408958
5682.8998400400005,5624.5761198,5714.26899912
5644.7999406,5401.5542688000005,5623.5990252480005
5589.799886712,5265.175495008,5450.507891820001
5604.00002064,5144.052207768,5511.490084800001
5765.30001114,5787.947452440001,5942.941738320001
5958.700050540001,5752.37045904,5940.326256804001
5657.799909360001,5473.9137264,5518.9296732
5332.700039400001,5271.524034804001,5189.389223328
4992.19979232,4859.53402464,4907.699410200001
4630.100161320001,4588.6177264200005,4601.90462844
4210.199961,4188.35090028,4268.7140598000005
4082.599979544,4002.687720720001,4065.5927761680005
3928.400056008,3992.727254904,3953.1750167280006
3884.80008876,3937.311957288001,3913.268393544
3907.80000348,3865.60930572,3918.09409992
3984.899965248,3783.74145336,3998.088713076
4239.200077368,4116.753230004,4252.166885928
4845.09997476,4774.97551464,4996.7247942
5413.60000404,5407.73689056,5750.351978160001
5647.999977924001,5571.8771497200005,5963.5689432
5660.2001226600005,5699.74561176,5847.088591116
5702.39998824,5628.20170002,5898.370684368
5696.500086444001,5506.1735294400005,5795.168183520001
5648.299941192001,5450.523301560001,5638.88221032
5435.899926444001,5253.54703212,5478.84016176
5273.70004614,5092.791298032001,5372.78135832
5165.70000558,4939.351952448,5207.697789
5158.39988508,4897.07488212,5233.39460328
5437.100052600001,5476.64534664,5690.239674756
5583.699970392001,5404.9717200000005,5705.6810534880005
5174.7000739800005,5222.760946392,5305.9758441
4869.200027880001,4922.62462116,4941.94648452
4588.899978240001,4596.709400400001,4711.446033120001
4353.600036528,4295.994995352001,4449.261595800001
4096.2000699,3960.50424018,4124.266160964
3839.699993076,3753.467283096,3907.7011860840003
3688.600002072,3714.533229072,3735.2663905440004
3622.800061164,3678.628807956,3647.434812756
3601.3000017960003,3577.882775712,3649.3203017280002
3625.800044952001,3536.69250168,3649.659081936
3705.400051728,3618.907872936,3690.168986688
3915.30006048,3945.91102134,4019.5508527800002
4158.29995668,4196.60466912,4497.953253240001
4483.499892420001,4497.589817448001,4832.512362840001
4651.99993764,4727.959968768,4901.362417956
4695.7998804,4747.10300112,4946.044695120001
4658.400090312,4722.6011244,4915.11539634
4586.600064792,4629.2703760800005,4790.35833636
4510.30016112,4501.3574403600005,4640.23586904
4465.49995068,4425.14515764,4593.728727552
4441.899875352001,4376.638573128001,4518.800719872001
4531.8999351600005,4329.139980672,4640.945263248001
4875.89994876,4965.327936600001,5130.2511666
5088.499939020001,4993.93777692,5228.972046912
4796.799997800001,4797.281913036,4861.16628672
4493.600060208,4545.824371284,4534.664091408
4283.49999792,4338.848819088,4317.405834276
4040.59997244,4038.710933376,4090.130699976
3825.800056488,3749.294910684001,3832.653762672
3678.00001254,3592.066602624001,3665.880466596
3571.8000246720003,3478.9093317120005,3491.5107538800003
3506.400034788,3445.962527352,3417.721584504
3509.1999650400003,3435.29446188,3394.87842
3486.20005032,3294.496330704,3418.5234761640004
3545.300031336,3443.76026094,3451.32566304
3689.7999721800006,3605.74569228,3624.0967420200004
3922.100008128,3894.51037062,3913.7601007920002
4215.90000432,4227.797884080001,4247.025884568
4410.20005056,4450.335362088001,4397.57206122
4532.999878500001,4532.520889164,4522.4481078
4479.69992856,4572.62300148,4522.417678440001
4484.899955076,4477.32994956,4464.83167512
4384.99985904,4272.39796296,4354.754752716
4362.50007816,4446.153899880001,4309.24733274
4416.50009844,4299.269818680001,4230.9592215
4514.400088248,4253.636467968,4306.434645564001
4911.49995924,4837.84179216,4912.81739448
5111.80005108,4987.13681496,5087.851871676
4855.70012034,4802.23632,4757.697489960001
4560.000083700001,4490.121204120001,4412.486270796
4306.40004192,4273.019034000001,4187.419449768
4013.70002808,3938.723177376,3944.240995644
3763.40001138,3667.807074216,3696.6266820600003
3621.900054324,3482.654912844,3509.74301208
