True,Baseline,Proposed
12013.839831255,12245.772632148,12043.5287911324
11912.329766264,12097.47608239,11903.729790311
11852.550224787,12057.847009845998,11995.909612658
11903.890019708,12134.140162354,12122.454896984
12084.420131898,12262.843801548,12214.3211489036
11866.790175683,11908.876598137998,12020.895415449999
12066.389582744,11840.6880581762,12162.658499235
12207.149860115998,12260.382957538,12293.586881177998
12386.780491392,12405.324173942,12392.3207347664
12432.3402479158,12397.6225807576,12288.850879562
12235.370200268,12274.4697670664,12166.753583262998
12087.029724694,12075.216675132,12089.712194412
11984.7101268804,11984.120522631998,11890.210122966
11889.660051952,11790.023323182,11795.6934472078
11895.390374312,11803.8324017556,11945.384941118
12130.119951876,12421.183390146,12367.687236984999
12648.259892586,12860.270339295,12810.122032133
12751.6698489504,12978.253982925598,12763.50625906
12507.160188454,12599.426364962,12387.754346699
12051.670441128,12028.96678414,12070.1777850484
12325.509967956,12376.622646442,12211.3721293476
12213.46020291,12321.8785009496,12053.93461728
11868.800280922,11855.440842974,11708.573878864
11597.3101862616,11478.949679096,11361.590880198
11443.5597472902,11388.047698669,11407.2271075742
11401.249902162,11404.046179676,11334.3654597784
11564.4799315518,11428.45595529,11492.027093339
11985.900516494,11845.487652394,11909.891883476
12819.459762132,12476.1162169844,12717.872727131598
12920.94037686,12780.601387996,12986.83409243
13099.479850934,12721.523162104,13132.973684959601
13220.5197330442,12763.325564226,13031.1406653896
13144.860210432,12733.841857707,13002.271620800399
13134.010234385798,12634.4526109776,12909.707347732001
13047.679833259,12530.3227703878,12878.374264528
12949.049904158,12317.5430229104,12820.997165691999
12902.730131186,12217.56826502,12663.109813336
12875.0701446822,12034.634711874998,12645.297894947998
12825.070286812,12099.823118604,12746.6530216062
12974.64967006,12315.628156827,12921.5679170404
13354.1999675282,12577.443490682,13147.90706476
13490.229933674,12944.3883767664,13289.7980325684
13291.48957581,12825.0587063696,13133.839822186
12754.829912086,12346.297860378,12702.98846438
12898.799768967998,12531.395259118,12682.9538997024
12737.8399056142,12412.669768354,12436.948764834
12323.6297433684,11908.209225229,12051.2625300276
12094.639872315998,11577.755311460998,11750.440173082
11996.0396929722,11908.112887928,12006.900051483999
12009.31996462,11973.545382429998,11961.760285659999
12207.010096156,11999.0815557302,12162.350519365998
12669.1000966616,12645.139562347598,12661.084933049799
13632.949901428,13321.915191588,13460.444237169999
13711.3998115016,13328.344333747998,13636.144506227998
13891.030043452,13373.07678746,13872.647788275799
13975.0597301344,13445.18999925,13805.780017735999
13822.200286408,13432.584787528998,13814.125423619
13673.620215474,13388.7778707264,13761.366026189999
13504.0099613102,13179.9902811036,13684.327133124
13357.260498757998,12987.548885254,13584.580589814
13343.200244381998,12794.331200438,13404.012541692
13352.5897868776,12603.6348574604,13313.566291606
13276.2798626944,12613.2227649478,13361.410490056
13422.4797533896,13043.282759245998,13472.0622161764
