True,Baseline,Proposed
12013.839831255,12292.606037673,12043.5287911324
11912.329766264,12114.34758899,11903.729790311
11852.550224787,12023.967227628,11995.909612658
11903.890019708,11893.9455144598,12122.454896984
12084.420131898,11830.284328488,12214.3211489036
11866.790175683,11718.086313813,12020.895415449999
12066.389582744,12044.147645981,12162.658499235
12207.149860115998,12161.2358019536,12293.586881177998
12386.780491392,12388.4160292182,12392.3207347664
12432.3402479158,12361.743774586,12288.850879562
12235.370200268,12209.745476516,12166.753583262998
12087.029724694,12001.1553534024,12089.712194412
11984.7101268804,11912.387668476,11890.210122966
11889.660051952,11958.285154626,11795.6934472078
11895.390374312,12037.9109787602,11945.384941118
12130.119951876,12428.319338618,12367.687236984999
12648.259892586,12656.6702887104,12810.122032133
12751.6698489504,12717.187484402,12763.50625906
12507.160188454,12378.218950528,12387.754346699
12051.670441128,12158.914322578,12070.1777850484
12325.509967956,12240.602363942,12211.3721293476
12213.46020291,12012.51956099,12053.93461728
11868.800280922,11634.402642763,11708.573878864
11597.3101862616,11226.4653865362,11361.590880198
11443.5597472902,11289.8426520064,11407.2271075742
11401.249902162,11104.2111552764,11334.3654597784
11564.4799315518,11103.0139771276,11492.027093339
11985.900516494,11090.081418245998,11909.891883476
12819.459762132,11219.166413388,12717.872727131598
12920.94037686,11171.860805341,12986.83409243
13099.479850934,11429.6007219538,13132.973684959601
13220.5197330442,11505.669553306,13031.1406653896
13144.860210432,11686.248582882,13002.271620800399
13134.010234385798,11707.1428955764,12909.707347732001
13047.679833259,11754.9789078516,12878.374264528
12949.049904158,11661.825829186,12820.997165691999
12902.730131186,11683.767273434998,12663.109813336
12875.0701446822,11758.28392618,12645.297894947998
12825.070286812,11923.890242384,12746.6530216062
12974.64967006,12157.623502576,12921.5679170404
13354.1999675282,12444.382210878,13147.90706476
13490.229933674,12566.4114221622,13289.7980325684
13291.48957581,12440.643524947998,13133.839822186
12754.829912086,12059.4450110658,12702.98846438
12898.799768967998,12260.8784207762,12682.9538997024
12737.8399056142,12200.260994359,12436.948764834
12323.6297433684,11881.1568126256,12051.2625300276
12094.639872315998,11649.0906369822,11750.440173082
11996.0396929722,11834.563102292,12006.900051483999
12009.31996462,11763.8967469822,11961.760285659999
