True,Baseline,Proposed
70650.999838512,69908.533601776,69410.5000772448
68347.99918655999,67895.27256267199,67466.91323984
66002.998532536,64284.44165316799,64593.380528672
65104.99888814239,63282.475288272006,62919.355990191994
65943.000836736,62862.604468512,64071.00425126719
67331.000289968,63682.862603264,65469.866921216
68241.999488952,65311.401943776,67381.1845268512
70888.99898891359,67802.34735621119,69704.150603152
72926.0000584128,70083.63966286399,71831.124637176
73372.00177233279,69654.224122184,72729.94470766559
73757.00060698399,70687.1715852784,72797.467067376
73802.999378768,70778.314464496,73842.605933056
69353.001774016,65748.4345270528,68713.8039265936
66094.0005827072,63040.363025308805,66660.11784512
64452.99980960321,61866.175656761596,65064.97049271999
63939.998353856005,61300.1540030592,64462.273854511994
66744.0015684,63942.24645055999,67284.6068092512
75210.999140608,70246.80109519999,75419.94293312
77554.9997792016,72624.92241532,76935.6962956
75754.999782688,70586.367058272,73774.7670309936
73770.001453584,68177.337638496,71543.281048416
77352.001168864,72459.2667584512,74830.54107369599
77142.99923592,72159.25308526399,74541.292424496
73448.000361024,68389.362873904,71193.56893395519
73187.9982871344,73719.42379977759,72379.728063456
71778.000432448,71645.007424272,71405.4339601728
70464.000829056,69228.768590928,69058.6458108672
71272.999100144,70606.774349904,69220.77751155199
75804.9986161936,75319.95431017599,73778.6753600336
82706.999818032,82210.2053307072,80789.09554745599
85976.998595056,85486.5388308,85745.347733824
88118.000623312,86913.670024792,86807.928729104
88165.998779952,85282.01758714879,87454.2978758112
87355.00112400799,85276.080157032,87091.11591526559
87536.00197889599,84622.013217128,87772.7795342208
86905.998717792,83764.800377792,87141.338266432
85010.00046998399,81705.576097168,84801.8234851696
82407.00164896,78371.31922268799,83131.55804862079
81195.9984668608,76643.35974345599,81953.887422192
80783.998569584,76706.338751408,81170.4735252032
82888.998750336,80755.9839254272,83036.27492464
91018.000151136,85352.673716144,89374.1588949264
90759.99875411199,83935.584666768,88853.48354816
86547.000930336,80945.5856882224,84430.74088592
83133.99930076,77183.66523808,79888.661756976
86310.999226776,80858.631504128,83393.27978728799
85650.00130137279,79537.4121510912,82343.84434368319
81747.999232384,75730.38376978399,78227.71881569599
82159.99912966079,82196.0319853952,79964.567320976
80324.001161672,80085.880562368,78885.0157796
78616.00000073599,78127.5751516,75990.09384950399
78554.00292007999,78072.102719424,75802.72015726399
82754.997974672,83023.1978494736,80206.20541641599
88540.0006748928,88895.880843184,87470.73934397599
91075.00103066879,92781.89946141119,92581.073365216
93135.0005170528,93080.312334704,93239.14553488
92729.99685175999,93016.73900233599,93695.4859096192
92116.0015896,91809.775934256,93149.312107392
92790.999085024,91453.6502841408,93722.053503024
91812.999498208,90056.5079249744,92567.77858643199
89507.001383984,85758.590832224,90109.39827596479
86730.00117008,83491.695388544,88588.253357424
