True,Baseline,Proposed
70650.999838512,69839.159146304,70737.4895451552
68347.99918655999,67522.9903325088,68618.5459968
66002.998532536,64759.794595176005,65767.481332576
65104.99888814239,64020.141709344,65201.061093911994
65943.000836736,64400.7444813312,65588.55092307199
67331.000289968,65854.607999952,66976.408255248
68241.999488952,65513.414104784,67558.620081248
70888.99898891359,69088.90855172799,70201.147935984
72926.0000584128,71587.655118128,72642.76829792
73372.00177233279,72152.62119998719,73637.48002891199
73757.00060698399,73016.0511895184,74582.972654192
73802.999378768,74163.0540300768,74978.902536064
69353.001774016,69415.076375248,70605.62446136
66094.0005827072,66741.23666785599,67318.44841670399
64452.99980960321,64618.0081696624,65331.428092575996
63939.998353856005,63419.1356656976,64976.073772192
66744.0015684,66708.1076036976,67928.234957592
75210.999140608,74641.720330704,75879.0818006528
77554.9997792016,76000.035863376,77453.675864336
75754.999782688,73760.860485664,75302.040597072
73770.001453584,71911.549004752,73205.00242548
77352.001168864,75175.7557027392,76228.3365437152
77142.99923592,74668.23882774399,75850.169209824
73448.000361024,72047.88831779199,72707.59229558079
73187.9982871344,74926.52898891359,73815.44789126399
71778.000432448,72913.3474084,72012.5563772656
70464.000829056,70583.925160128,70547.135186768
71272.999100144,70814.342152192,71924.430340464
75804.9986161936,73626.9656547872,75982.974876608
82706.999818032,81390.1552095008,82787.29175462399
85976.998595056,84910.5570750912,87538.85086006399
88118.000623312,86716.5364920336,88421.513058496
88165.998779952,87671.70820723199,89267.82456683199
87355.00112400799,87075.25843544,89269.820721664
87536.00197889599,87027.825533,89979.553895184
86905.998717792,86203.261776256,89074.1755839648
85010.00046998399,83931.786158544,87134.031952144
82407.00164896,81716.2842727328,84424.44233912
81195.9984668608,79474.966743104,83260.742212496
80783.998569584,78465.33876128,82949.6689371328
82888.998750336,82827.92545654399,85858.24740870079
91018.000151136,89286.6452706752,91081.092209928
90759.998754112,87678.678599024,90788.05861860479
86547.000930336,84448.883930728,86313.508955424
83133.99930076,80602.87174376,82831.86608582399
86310.999226776,83500.43906351199,85313.11238219199
85650.00130137279,83230.515647904,83936.30173209599
81747.999232384,79194.326107864,80492.48244353599
82159.99912966079,82197.9570796992,81826.785977792
80324.001161672,80139.82454718719,79649.342818768
78616.00000073599,78016.5805448784,77708.150075152
78554.00292007999,78031.97483926239,78478.862871768
82754.997974672,82334.532830496,82250.952729472
88540.0006748928,90182.4342866432,89315.693522512
91075.0010306688,93806.1116476,94486.335321856
93135.0005170528,94356.856579792,94851.599355872
92729.99685176,94863.033640832,95252.53577494399
92116.0015896,93403.8418746208,94795.69410048
92790.999085024,93407.5809504032,95473.682598128
91812.999498208,92633.6865801472,94134.366066624
89507.001383984,90194.4170296784,92284.4473412
86730.00117008,87636.727047312,89331.875942752
85347.99987141599,85455.1087592656,87511.19539457599
84506.9991685408,84729.124042992,87335.4045684
86145.0005413584,89433.1436552,90385.8366499808
93580.998354944,96350.072089952,95927.210267968
93312.0000182096,94075.353528144,94329.285094928
89149.001673944,89437.45250721599,89869.2395315168
86050.99844489599,85602.16076990399,86296.00868539201
89023.999745144,88340.23273455999,88592.652650112
88444.000485584,87928.543565592,87597.753577728
84534.999600592,84013.6976291696,83883.75893168799
84868.00215489599,83517.6047030576,84957.464129624
82838.0011934096,80821.3615492016,82568.53514919999
80932.001499288,78289.567315248,80532.483060752
81158.997895936,79096.126918216,81293.276453664
84765.997996976,81977.318016288,84790.236097072
90343.0000716928,89212.2771980992,91397.641021976
92630.001768768,92723.982547072,95965.93179568
95285.003976192,94011.9649531488,96339.28380979199
95767.001077568,94275.117592448,96576.49677235201
95434.999830704,93457.036493872,95765.696147872
95728.001767792,93351.6059264928,96169.58480888
95050.000350048,92641.33269296,94499.746381504
92858.0007648656,89789.99283069119,92487.56029438719
91075.0010306688,87774.888093888,89468.925861072
90016.996333392,84886.322851024,87373.74495328
89324.9998676608,83439.3780438112,87094.08947536
90593.000053264,87207.20814586399,89629.71645579199
96327.998105936,93185.4153776496,96057.257494256
94794.996415296,91427.754535728,92760.824200816
89726.998318624,87909.302312624,87969.290318352
86011.99913512,82908.191552944,84310.306211056
88342.002787712,85517.18529851199,86011.036587968
86999.000798824,84947.2559617744,84792.836266392
82623.9985373088,80892.2605760016,81346.6254680624
82496.001730256,78522.8893908976,82297.8507399376
80075.001841536,75845.782837232,79731.127026448
77678.001031136,73191.9802607216,77308.560576088
77344.00039941599,74888.3436451856,77416.9789156672
80257.00077384,79029.70599668959,80507.9413384
85199.00209431999,85514.5599350048,87354.3816054048
86960.999566464,89104.1553747232,91747.81115384
89593.0014189888,89867.0947955808,92226.7823687328
90786.000447312,89113.49402011199,92284.247079712
90745.999830096,89528.112820848,90874.4210623024
90870.000451456,88926.456250368,90885.439966176
89973.99825390399,87138.670266608,88998.23578171039
88049.99892803999,84594.54832305599,87043.70756100799
85650.998732784,82454.395791112,83939.480075712
84052.999269192,80193.566332504,81709.180803952
83129.002453632,78696.1840545264,80937.17922776
83567.00016807999,81582.18918036799,82541.251136472
88701.99865258399,85816.317821152,89859.629564112
87198.0012854544,83861.6261612352,86154.226781912
81734.00030836799,80022.87571422399,80958.2887266096
78015.9991405584,76080.883364096,77157.624784592
80385.998242328,77863.113706576,79362.022493896
79118.99871816,75290.82336972479,78515.3395328
74891.000662928,72309.04221823999,74421.135531696
74789.0010270416,71692.5191392976,75189.1473822432
72216.0007309152,68588.778095616,72664.9094664352
69950.000649888,66639.94634524,69755.210822544
69596.997786976,66808.42439708,68947.00713736
72799.999406192,69246.824425088,70453.49033095999
78059.9985274864,75010.23053884,75259.7117785568
80438.999706144,78091.81878592,78879.741150408
83129.002453632,80018.327840432,80433.721846928
84127.9991344624,80218.702379272,81354.873011344
84177.00053655679,80096.287699696,80309.789056072
84103.998118128,79468.855537696,80480.0772133616
83307.99746361599,78068.297751152,79326.70541148
80198.00115545599,75230.159642976,76550.41903287999
76557.99989920799,73318.0028771056,73085.468927312
74182.998782272,70883.684307424,70794.567945264
72217.0013923504,70223.887304944,69607.598725744
73217.00196464,72865.53659315199,69813.312494256
79132.997642176,77548.134686192,78047.42339804959
78965.998941328,76939.48188372799,77676.683181344
74874.0004006112,74573.70506933119,73741.33176056
71987.0004273776,70996.612406512,70573.60200342399
75357.99753284799,74277.470524224,74502.55151664
74582.998494384,72768.668173392,74189.20688839999
70157.9993373776,69365.67638819199,69669.802527936
69454.999471888,67862.3301939008,69315.7466772
66686.003257456,64836.23117512159,66784.82907176
64283.001062464,62517.4092196128,64276.179251776004
63102.99900471199,61495.03491708,63896.823269052795
64253.000599552,61736.9243083872,64618.678076640004
65999.00299284799,63292.724154424,66040.915784272
67089.9991552608,64850.878041952,67902.097603384
69914.0013864032,66253.8996908032,69810.5307975872
