True,Baseline,Proposed
70650.999838512,69290.74629144,70737.4895451552
68347.99918655999,66763.840375808,68618.5459968
66002.998532536,64182.33413448,65767.481332576
65104.99888814239,63382.315330112,65201.061093911994
65943.000836736,63835.0845903168,65588.55092307199
67331.000289968,64978.421999640006,66976.408255248
68241.999488952,66259.323547104,67558.620081248
70888.99898891359,68225.955959744,70201.147935984
72926.0000584128,69509.748378688,72642.76829792
73372.00177233279,70215.90656164479,73637.48002891199
73757.00060698399,70240.941831664,74582.972654192
73802.999378768,70167.49754595199,74978.902536064
69353.001774016,65594.13046652959,70605.62446136
66094.0005827072,62640.51447832,67318.44841670399
64452.99980960321,59902.2764904304,65331.428092575996
63939.998353856005,60827.514927216,64976.073772192
66744.0015684,61720.0958833472,67928.234957592
75210.999140608,69695.578119456,75879.0818006528
77554.9997792016,72002.4522161888,77453.675864336
75754.999782688,69940.8235056992,75302.040597072
73770.001453584,67771.223490952,73205.00242548
77352.001168864,71011.9143222096,76228.3365437152
77142.99923592,70590.8096332816,75850.169209824
73448.000361024,67553.96238664,72707.59229558079
73187.9982871344,72703.8267336016,73815.44789126399
71778.000432448,70484.243389464,72012.5563772656
70464.000829056,68431.79892921599,70547.135186768
71272.999100144,70033.9321775232,71924.430340464
75804.9986161936,74190.221115936,75982.974876608
82706.999818032,79189.25174016,82787.29175462399
85976.998595056,83996.1585988496,87538.85086006399
88118.000623312,85578.374873168,88421.513058496
88165.998779952,87048.252204776,89267.82456683199
87355.00112400799,84751.7516531216,89269.820721664
87536.00197889599,84479.0252226864,89979.553895184
86905.998717792,83115.584933936,89074.1755839648
85010.00046998399,81847.235259736,87134.031952144
82407.00164896,79881.859326432,84424.44233912
81195.9984668608,76686.448263616,83260.742212496
80783.998569584,76485.34890739039,82949.6689371328
82888.998750336,78718.915025424,85858.24740870079
91018.000151136,84233.6299633296,91081.092209928
90759.998754112,85398.4063339504,90788.05861860479
86547.000930336,79840.23077712,86313.508955424
83133.99930076,77293.537734464,82831.86608582399
86310.999226776,81067.37309713759,85313.11238219199
85650.00130137279,81629.5671724,83936.30173209599
81747.999232384,76179.14069417599,80492.48244353599
82159.99912966079,77682.3163432,81826.785977792
80324.001161672,75936.959954704,79649.342818768
78616.00000073599,72689.933108368,77708.150075152
78554.00292007999,75718.972094992,78478.862871768
82754.997974672,78167.2501823968,82250.952729472
88540.0006748928,84058.971583568,89315.693522512
91075.0010306688,87082.18683692,94486.335321856
93135.0005170528,87990.01415233599,94851.599355872
92729.99685176,87654.05741808159,95252.53577494399
92116.0015896,87808.402822912,94795.69410048
92790.999085024,85391.175602224,95473.682598128
91812.999498208,84779.964620752,94134.366066624
89507.001383984,80869.949508224,92284.4473412
86730.00117008,79158.82814410399,89331.875942752
85347.99987141599,76344.62774379199,87511.19539457599
84506.9991685408,79183.321416096,87335.4045684
86145.0005413584,80876.596897616,90385.8366499808
93580.998354944,86986.875288728,95927.210267968
93312.0000182096,83635.383006184,94329.285094928
89149.001673944,81230.9260083824,89869.2395315168
86050.99844489599,78308.97329944,86296.00868539201
89023.999745144,81240.66776076639,88592.652650112
88444.000485584,78390.4629289312,87597.753577728
84534.999600592,75882.301488576,83883.75893168799
84868.00215489599,82210.23504692799,84957.464129624
82838.0011934096,79938.3634282736,82568.53514919999
80932.001499288,77434.1749174384,80532.483060752
81158.997895936,81938.376846944,81293.276453664
84765.997996976,85265.0599611488,84790.236097072
90343.0000716928,88413.095615952,91397.641021976
92630.001768768,91148.195958528,95965.93179568
95285.003976192,91585.69624928,96339.28380979199
95767.001077568,92145.1131499072,96576.49677235201
95434.999830704,89692.960325712,95765.696147872
95728.001767792,88241.12267814399,96169.58480888
95050.000350048,87532.184090528,94499.746381504
92858.0007648656,84371.295524224,92487.56029438719
91075.0010306688,80308.50673654399,89468.925861072
90016.996333392,77876.453705696,87373.74495328
89324.9998676608,80052.291542792,87094.08947536
90593.000053264,81120.925603048,89629.71645579199
96327.998105936,85036.3794299872,96057.257494256
94794.996415296,86204.401974728,92760.824200816
89726.998318624,85141.79836928,87969.290318352
86011.99913512,79243.33849204,84310.306211056
88342.002787712,83304.5374619072,86011.036587968
86999.000798824,80841.124774048,84792.836266392
82623.9985373088,77506.803299088,81346.6254680624
82496.001730256,79781.592921424,82297.8507399376
80075.001841536,77243.87934548799,79731.127026448
77678.001031136,74426.881744392,77308.560576088
77344.00039941599,75864.575116864,77416.9789156672
80257.00077384,79104.22071235519,80507.9413384
85199.00209431999,85030.272100608,87354.3816054048
86960.999566464,88148.815052272,91747.81115384
89593.0014189888,88522.58050945599,92226.7823687328
90786.000447312,88912.2854890752,92284.247079712
90745.999830096,90138.777928264,90874.4210623024
90870.000451456,89345.20754380959,90885.439966176
89973.99825390399,88573.05286447999,88998.23578171039
88049.99892803999,85483.10208526399,87043.70756100799
85650.998732784,81256.008436752,83939.480075712
84052.999269192,81562.58293468799,81709.180803952
83129.002453632,81281.6141290096,80937.17922776
83567.00016807999,83163.369908992,82541.251136472
88701.99865258399,89667.656317696,89859.629564112
87198.0012854544,87323.0503726048,86154.226781912
81734.00030836799,83985.4736794576,80958.2887266096
78015.9991405584,79591.2844293776,77157.624784592
80385.998242328,83436.235876464,79362.022493896
79118.99871816,81223.443334784,78515.3395328
74891.000662928,78485.468270848,74421.135531696
74789.0010270416,73936.205568528,75189.1473822432
72216.0007309152,71242.753155408,72664.9094664352
69950.000649888,67648.44058863999,69755.210822544
69596.997786976,68642.855157424,68947.00713736
72799.999406192,70264.9964663968,70453.49033095999
78059.9985274864,75159.066814736,75259.7117785568
80438.999706144,80998.00057968,78879.741150408
83129.002453632,81507.914778488,80433.721846928
84127.9991344624,82446.995806128,81354.873011344
84177.00053655679,82285.0017044656,80309.789056072
84103.998118128,81925.43737079999,80480.0772133616
83307.99746361599,81131.710653184,79326.70541148
80198.00115545599,78674.392374608,76550.41903287999
76557.99989920799,75348.0839431872,73085.468927312
74182.998782272,75116.4001357104,70794.567945264
72217.0013923504,74543.5708834256,69607.598725744
73217.00196464,76242.688186352,69813.312494256
79132.997642176,80228.02099851199,78047.42339804959
78965.998941328,78427.15341755199,77676.683181344
74874.0004006112,76344.4636585728,73741.33176056
71987.0004273776,72607.51581598399,70573.60200342399
75357.99753284799,76837.28392436799,74502.55151664
74582.998494384,75604.51554854719,74189.20688839999
70157.9993373776,71215.1777945152,69669.802527936
69454.999471888,70585.90839486399,69315.7466772
66686.003257456,67826.660392864,66784.82907176
64283.001062464,64737.3491584,64276.179251776004
63102.99900471199,62847.927239456,63896.823269052795
64253.000599552,63069.5307880336,64618.678076640004
65999.00299284799,64966.5193612,66040.915784272
67089.9991552608,67407.0634791392,67902.097603384
69914.0013864032,69723.42738638399,69810.5307975872
71379.002027776,71294.5976246272,71123.89796228
70950.998007584,71175.129372944,70674.049289776
70713.0007951968,71874.3352522432,71121.52389464
70956.99939217599,71713.32695390559,70723.171494768
67075.9982932304,69305.2271350368,66789.522296632
63818.000347376,65371.79047248,63625.0096434
61572.9992983776,63275.16574396,61962.732702208
60515.0010611488,62977.477042048005,61477.686458176
61845.999634848,64346.6028190432,64583.664616480004
68182.9985785584,69140.3996563216,69713.71405821119
69108.99930100799,70429.639833744,70217.34327632
65883.9986343328,67743.72306661599,67080.0875036144
64102.000207576,65055.33533112799,65363.03064739199
67809.999929072,70032.088479824,68605.131707128
67761.000464992,71366.921738016,68200.962034032
63895.998966928,66200.19731177921,64941.464711036795
62872.000608328,70041.79534794879,64019.47309437599
60369.9988237408,66763.3390760832,61464.7256638736
57802.9992662016,63597.39616822399,58804.3402984512
56710.9992123296,62685.935075808,58071.2243351904
57180.99871256,63638.029870144,58782.7275618624
58104.998758144,63408.814447008,58846.834494195195
58473.9992839232,64556.33538341599,58253.1451009136
60829.000738256,66644.5704475984,60421.0661491856
63020.998385424,68580.596444824,63817.128240895996
64198.9984743008,69909.192526672,65281.843994152005
65373.999808896,70954.9425128928,66889.133006768
66462.001093056,70081.662888176,67135.7427551488
62828.0005753952,66287.82269486079,62228.7878410736
59891.0004766464,61992.558743824,59507.46484286719
58475.999314784,61493.313314288,58316.0963306592
57783.998973024,60915.894843904,58412.7186225904
59309.0005402208,63189.74775928,60889.201925568
65801.002521648,69787.3973656992,68178.429386608
67774.999389008,72291.264166144,69580.879967216
65368.999731744,69779.03547956799,66218.8875226528
63187.99708627199,66903.6661767536,63651.918973344
66464.003707936,71755.63251624799,66002.627079776
65954.997145872,70821.835807872,65924.3099798576
62293.9994416144,66914.601746008,62135.351644816
