True,Baseline,Proposed
70650.999838512,70616.7577080832,70737.4895451552
68347.99918655999,67726.0690474416,68618.5459968
66002.998532536,65609.0202311648,65767.481332576
65104.99888814239,63811.424018512,65201.061093911994
65943.000836736,65312.971735440005,65588.55092307199
67331.000289968,65112.0493845296,66976.408255248
68241.999488952,66478.5685321568,67558.620081248
70888.99898891359,68838.29421959199,70201.147935984
72926.0000584128,71572.845458088,72642.76829792
73372.00177233279,72056.19593952,73637.48002891199
73757.00060698399,73177.078868,74582.972654192
73802.999378768,73965.828118632,74978.902536064
69353.001774016,69317.2757705616,70605.62446136
66094.0005827072,66447.117142464,67318.44841670399
64452.99980960321,64838.83005243201,65331.428092575996
63939.998353856005,63872.86165901121,64976.073772192
66744.0015684,66982.58406113599,67928.234957592
75210.999140608,75329.185718768,75879.0818006528
77554.9997792016,76463.405416344,77453.675864336
75754.999782688,74248.600569712,75302.040597072
73770.001453584,71232.85636187199,73205.00242548
77352.001168864,74583.93197132,76228.3365437152
77142.99923592,74512.994184232,75850.169209824
73448.000361024,70883.606786848,72707.59229558079
73187.9982871344,72666.1879099344,73815.44789126399
71778.000432448,70726.84726208,72012.5563772656
70464.000829056,68789.385196184,70547.135186768
71272.999100144,69448.616944464,71924.430340464
75804.9986161936,75074.93437960799,75982.974876608
82706.999818032,81633.940624896,82787.29175462399
85976.998595056,86097.523710592,87538.85086006399
88118.000623312,87633.677904656,88421.513058496
88165.998779952,88319.7065780448,89267.82456683199
87355.00112400799,87618.0168102896,89269.820721664
87536.00197889599,87668.3386461952,89979.553895184
86905.998717792,87346.3265715536,89074.1755839648
85010.00046998399,84933.271249864,87134.031952144
82407.00164896,82829.055964944,84424.44233912
81195.9984668608,81014.8445088352,83260.742212496
80783.998569584,80162.08328857599,82949.6689371328
82888.998750336,82598.826314272,85858.24740870079
91018.000151136,89922.45999096,91081.092209928
90759.998754112,88312.51008457279,90788.05861860479
86547.000930336,83581.806598096,86313.508955424
83133.99930076,79822.1788189888,82831.86608582399
86310.999226776,82156.9958533456,85313.11238219199
85650.00130137279,81024.7671425632,83936.30173209599
81747.999232384,76675.93776552,80492.48244353599
82159.99912966079,81285.49855587199,81826.785977792
80324.001161672,79161.8197923328,79649.342818768
78616.00000073599,76982.072980192,77708.150075152
78554.00292007999,77031.07502829119,78478.862871768
82754.997974672,82366.1315092832,82250.952729472
88540.0006748928,88186.65801345599,89315.693522512
91075.0010306688,92091.2182614528,94486.335321856
93135.0005170528,93374.4086039232,94851.599355872
92729.99685176,93582.4234415328,95252.53577494399
92116.0015896,93360.775318624,94795.69410048
92790.999085024,92893.11306376,95473.682598128
91812.999498208,92501.4183893568,94134.366066624
89507.001383984,89386.69591008,92284.4473412
86730.00117008,87285.27459592,89331.875942752
85347.99987141599,85092.8932219008,87511.19539457599
84506.9991685408,83790.181906384,87335.4045684
86145.0005413584,86383.842728024,90385.8366499808
93580.998354944,94311.22280072,95927.210267968
93312.0000182096,92638.5264481088,94329.285094928
89149.001673944,87722.2994271392,89869.2395315168
86050.99844489599,83557.63309848,86296.00868539201
89023.999745144,85422.480994832,88592.652650112
88444.000485584,84908.354844728,87597.753577728
84534.999600592,80905.62189328,83883.75893168799
84868.00215489599,83835.234281136,84957.464129624
82838.0011934096,81523.8252307072,82568.53514919999
80932.001499288,78328.3818676512,80532.483060752
81158.997895936,78098.156093008,81293.276453664
84765.997996976,83487.6746546688,84790.236097072
90343.0000716928,88322.247960928,91397.641021976
92630.001768768,91814.7030128656,95965.93179568
95285.003976192,93247.2696912448,96339.28380979199
95767.001077568,93556.62459384,96576.49677235201
95434.999830704,93112.2869882848,95765.696147872
95728.001767792,92412.0100330272,96169.58480888
95050.000350048,92162.268453376,94499.746381504
92858.0007648656,88360.213663024,92487.56029438719
91075.0010306688,86251.201792464,89468.925861072
90016.996333392,83738.72762406399,87373.74495328
89324.9998676608,82014.547272912,87094.08947536
90593.000053264,83113.73090016,89629.71645579199
96327.998105936,92241.707663632,96057.257494256
94794.996415296,90906.218710568,92760.824200816
89726.998318624,86172.06943448799,87969.290318352
86011.99913512,81884.7933328032,84310.306211056
88342.002787712,83663.22258304,86011.036587968
86999.000798824,83009.016752104,84792.836266392
82623.9985373088,79791.961298464,81346.6254680624
82496.001730256,81762.359919088,82297.8507399376
80075.001841536,79359.028261648,79731.127026448
77678.001031136,76118.215981488,77308.560576088
77344.00039941599,75956.747081728,77416.9789156672
80257.00077384,81817.305857352,80507.9413384
85199.00209431999,87390.65283691039,87354.3816054048
86960.999566464,91412.0178588,91747.81115384
89593.0014189888,91648.642956992,92226.7823687328
90786.000447312,91601.1700022544,92284.247079712
90745.999830096,90629.699585952,90874.4210623024
90870.000451456,90374.3313044928,90885.439966176
89973.99825390399,89453.757668368,88998.23578171039
88049.99892803999,85853.1103785312,87043.70756100799
85650.998732784,83806.693789072,83939.480075712
84052.999269192,81541.400437296,81709.180803952
83129.002453632,80049.5272882528,80937.17922776
83567.00016807999,81366.9255228976,82541.251136472
88701.99865258399,89065.0455981264,89859.629564112
87198.0012854544,87621.297222664,86154.226781912
81734.00030836799,82420.49216719839,80958.2887266096
78015.9991405584,77996.95298104,77157.624784592
80385.998242328,79844.59776956799,79362.022493896
79118.99871816,78668.126128048,78515.3395328
74891.000662928,75377.594088456,74421.135531696
74789.0010270416,73587.311296144,75189.1473822432
72216.0007309152,71249.358554488,72664.9094664352
69950.000649888,68935.50825192,69755.210822544
69596.997786976,68694.4089244832,68947.00713736
72799.999406192,73543.922383752,70453.49033095999
78059.9985274864,78460.894248256,75259.7117785568
80438.999706144,82876.298295968,78879.741150408
83129.002453632,84143.423791072,80433.721846928
84127.9991344624,84212.7833884336,81354.873011344
84177.00053655679,82848.98521302399,80309.789056072
84103.998118128,83186.4387404,80480.0772133616
83307.99746361599,82236.08815902399,79326.70541148
80198.00115545599,79053.49383144,76550.41903287999
76557.99989920799,76856.63176812799,73085.468927312
74182.998782272,75034.336207952,70794.567945264
72217.0013923504,73472.56146352,69607.598725744
73217.00196464,74961.266605024,69813.312494256
79132.997642176,81150.690274208,78047.42339804959
