True,Baseline,Proposed
52431.85685831155,51452.99285842822,52487.46599085294
51076.93923160378,50463.23520831477,51676.71978978563
50243.37766817164,48998.69464749207,50656.84432084357
50135.82671602661,48868.33784787865,50630.082541912416
49777.29545061087,48295.66477653152,49670.09247182094
49271.69469655005,47499.70517760453,48513.590339609334
50500.53043068267,48771.582678457606,50320.581084702855
53783.87787869228,51709.5575097219,54085.34649786458
57142.42834953156,55660.492292585885,57540.60909454583
59074.55176300892,58073.616375043406,60076.90305818105
60797.12408153652,61060.39220390929,61531.87797646088
59909.37744839513,59686.2417998872,61063.80397391439
57856.367728882935,57156.53622239332,58783.164856238145
56491.61169926802,55892.963413761165,57602.59275460406
55934.21456759183,55461.46014218309,56426.17096017406
56368.61172695511,55683.182602026216,56729.37899303157
59545.14494765744,59875.88727841805,60518.1722382173
64934.214641393584,63956.3007718822,63339.41378919267
64891.17332776344,63487.78092847448,63534.668525713314
62705.26542511077,60802.72880862326,60822.27648370032
61288.41896227181,59550.35322072633,59501.45027780586
61679.97960482331,59964.8515600253,59836.81730132106
59263.05998487139,58098.52093680977,57563.80731821932
56992.755857077806,55762.88390541509,55243.6551011267
55965.99885256635,54406.15844838589,56037.40407245011
55020.47958067184,54603.04884091164,55174.44782231795
55101.02046039796,54599.99184061623,55304.20155873392
56652.13343910188,55785.91176713348,56361.8547912199
60433.07055146975,60261.51243795933,59611.4592448616
68497.77669540557,67400.73858805986,67186.17314269225
73440.26472526617,72913.90065483697,73764.86133911453
75457.16450665129,76148.64148098632,76647.16405828488
76207.22379211648,76427.54348437185,77643.31164098557
77173.15206376,77061.58627841242,78322.16144157926
77991.64293742988,77817.13294057507,78991.1737454464
77501.69373490376,77487.28546316906,78247.37027783785
77428.49880831082,75132.09033562028,77835.1976510802
76684.0016594436,74523.89181264097,76601.16768967819
75882.53927874874,74016.57611177147,75692.08911183421
74834.2650155995,70536.47691686978,74216.40615420335
75771.29654678941,72458.5267735711,75629.94777634945
78854.4401528646,74517.89017844606,76909.83999162755
78105.3278261392,74965.26112563486,77472.21114868435
74647.68242753806,72846.85552296902,74431.77583486433
71497.48915869187,69683.52807232895,71125.10012626337
