True,Baseline,Proposed
52431.85685831155,51999.411611987045,52487.46599085294
51076.93923160378,50370.96789837588,51676.71978978563
50243.37766817164,49750.44713143125,50656.84432084357
50135.82671602661,49303.37975474754,50630.082541912416
49777.29545061087,48689.50083860036,49670.09247182094
49271.69469655005,47938.08771930047,48513.590339609334
50500.53043068267,50162.15126281236,50320.581084702855
53783.87787869228,53951.07363873534,54085.34649786458
57142.42834953156,57152.13852788208,57540.60909454583
59074.55176300892,58757.15973811822,60076.90305818105
60797.12408153652,61059.20963821031,61531.87797646088
59909.37744839513,60260.261908714434,61063.80397391439
57856.367728882935,57610.69400927754,58783.164856238145
56491.61169926802,56970.33060546656,57602.59275460406
55934.21456759183,55545.884458922985,56426.17096017406
56368.61172695511,55420.72913602386,56729.37899303157
59545.14494765744,58878.27304239642,60518.1722382173
64934.214641393584,63536.170520078114,63339.41378919267
64891.17332776344,63612.38257501953,63534.668525713314
62705.26542511077,61462.63898133069,60822.27648370032
61288.41896227181,59094.32462396812,59501.45027780586
61679.97960482331,59565.18241335543,59836.81730132106
59263.05998487139,56781.1354987,57563.80731821932
56992.755857077806,53581.73435715734,55243.6551011267
55965.99885256635,56142.62160951861,56037.40407245011
55020.47958067184,55340.74419810335,55174.44782231795
55101.02046039796,55557.88999276433,55304.20155873392
56652.13343910188,56795.85005948165,56361.8547912199
60433.07055146975,61335.62009800247,59611.4592448616
68497.77669540557,68523.32872321938,67186.17314269225
73440.26472526617,73901.5786204453,73764.86133911453
75457.16450665129,75841.30352998848,76647.16405828488
76207.22379211648,76072.3863824658,77643.31164098557
77173.15206376,75782.22961587616,78322.16144157926
77991.64293742988,77434.44833712053,78991.1737454464
77501.69373490376,76489.32234761171,78247.37027783785
77428.49880831082,76059.73111712548,77835.1976510802
76684.0016594436,74361.51648036475,76601.16768967819
75882.53927874874,73636.62953303682,75692.08911183421
74834.2650155995,72582.21136533655,74216.40615420335
75771.29654678941,74809.3269251505,75629.94777634945
78854.4401528646,78304.11032378332,76909.83999162755
78105.3278261392,78192.16711421072,77472.21114868435
74647.68242753806,73815.1924226799,74431.77583486433
71497.48915869187,70001.63235518087,71125.10012626337
69167.59142220486,67990.51264683098,68808.54000911769
65674.11247056337,63754.607622111536,64656.003600724885
63262.2135442936,60998.95179912809,61754.360721837686
61570.08073871194,60955.41117998058,61485.51596397715
60299.06229707928,59782.62770070875,60399.936057382976
59802.16268925724,59672.635497994335,60157.18839497452
60849.12344360903,60176.79134706893,60702.573196454774
63890.59361568824,63341.33489209063,63223.010358646614
70619.05035970917,69755.83856664435,69881.05913454757
75056.16418066202,75621.78127667189,76199.34002078994
