True,Baseline,Proposed
4422.2900040904,4406.5643186716,4437.2080911988
4235.3600400535,4167.6359306635,4252.1332608346
4113.790060288,4033.838117644,4122.057499888
4135.710016045,4064.4750731596,4139.0879903356
4237.119953128,4120.6202707828,4184.0515846819
4407.800047066899,4351.8178050295,4434.833232913
4744.049978233,4624.2008225074,4768.8819220249
5016.520130172999,4930.4620306918005,5106.834655663
5251.460095005999,5188.281626968,5414.819625004
5363.250020071,5303.077020152499,5587.4610602059
5387.629901716,5379.737905403799,5672.3085236962
5284.780052235999,5320.5915909451,5588.308726589799
5114.0500635739,5129.6624705659,5382.961336591
5061.5100135268,5017.6953394600005,5277.419130136
5045.030105548,5009.371333167999,5230.2807640465
5117.5798976761,5123.6462040040005,5265.856680727
5399.769984076,5312.142376456,5457.1552613785
5657.559991620999,5508.7013331172,5694.603560134
5693.9600414911,5579.008074604,5688.1189141101995
5546.7699190978,5406.5722738318,5497.7480272075
5288.599935677499,5153.1111411742,5292.423807796
5047.3099970605,4920.626170774,5049.389729508999
4815.849790303,4661.7982732129,4819.394998942
4555.1100473344,4401.141966114999,4545.986782693
4498.6499980531,4542.9199252084,4480.800922303
4365.1900259755,4344.5559109012,4320.8080169965
4296.7400498929,4240.551665776,4254.651638971
4428.499939051,4298.9435038498,4384.802532088
4881.6899750245,4656.0390224926,4830.602456098
5666.950062493,5669.7372049378,5738.361159859
6029.860201944999,6017.144662276,6105.7206322438
6118.8399710680005,6134.300445727,6169.85369947
6178.970002057,6232.139429074,6272.174867944
6145.080026623,6223.546730995,6287.589799163799
6182.5799360455,6258.243507003999,6350.0020423501
6186.7800129265,6316.102385309199,6328.651996015
6147.3701073922,6225.065329110999,6259.188460846
6136.509955220799,6191.5711754782,6229.3032621628
6159.619842108999,6238.1110224535,6266.873553604
6119.489907854801,6263.519801461,6243.696439378
6233.0099034382,6354.7696717075,6280.668936919
6390.689956255899,6255.124724197,6377.832528467799
6317.849933485,6217.789257048999,6289.7593131055
6092.740063118499,6149.990813224,6128.762095191099
5883.079970504499,5931.250678723,5870.5569026311005
5627.6500994011,5641.139442408099,5587.3557953938
5421.099978243999,5402.0821476115,5359.7365395444995
5096.369926425099,5075.241795574,5013.077901922
4914.170098181799,5160.664390026999,4916.230902544899
4715.229973873,4910.092800031,4713.4578046819
4656.879980647,4811.923844314,4614.3964006165
4778.40010195,4847.589868833999,4753.9903052275
5162.080007754999,5202.522291679,5159.296636423
5833.560001639,6049.346702125,6021.7078538068
6176.380009038099,6373.163709517899,6379.263230647
6269.0200782619,6469.194117931,6442.5891709519
6324.780078469,6566.08162051,6514.787596896999
6377.210149813,6629.985665155,6542.8617186579995
6418.509999292,6635.833790851,6607.454353996
6427.5198767245,6630.082843831,6591.411532495
6343.959813127,6551.0823819550005,6508.245441403
6270.510139207,6481.2404663815,6469.0543691932
6286.7300217061,6528.791479236999,6509.114247775
6211.839964,6521.203565155,6497.080046658999
6327.7299951961,6522.440780239,6485.023001302
6480.1500708718,6359.9321800879,6518.825951056
6421.279954165,6328.362853193199,6424.189512732999
6211.2799174885,6195.8371743118005,6223.0914416458
6003.869982613,6009.699252745,6007.722319381
5737.820150215,5762.0809517212,5725.7379399322
5509.8398828365,5539.68987238,5495.7786360691
5202.439979889999,5202.132126547,5161.629649861
4974.3201088165,5229.6766970452,5022.4219217049995
4784.8299580561,4997.008247502999,4806.180512041
4708.820169934,4851.0188981902,4704.1263673618
4853.9900274268,4894.6288443448,4818.934488052
5223.820013823999,5255.297927494,5204.6524627612
5890.529912623,5991.4530498085,6075.4310179735
6225.7900717219,6343.416265234,6446.017366312
6292.200093343899,6475.743525565,6494.153445562
6317.950013017,6614.89214878,6550.827469234
6312.939872098,6682.337050779999,6560.958708814
6329.079872275,6689.153699773,6601.029320563
6309.129960349,6674.110585771,6564.0564604149995
6235.9201146988,6592.429370344,6471.628044897099
6211.480040291799,6515.257172962,6416.1728158734995
6221.990059144,6536.4580790380005,6428.4155522752
6174.5500402912,6565.739682109001,6350.6396504989
6306.9200882482,6596.715385084,6370.0166071042
6542.110034347,6413.464685494,6536.257194759999
6498.39014575,6451.3504450252,6531.106362325
6304.650059646099,6307.55370772,6328.9353733855
6074.4701094235,6079.902868800999,6107.5670633485
5830.429978015,5845.955866976799,5833.7537788198
5572.209918568,5634.846289141,5601.443294908
5280.630015121,5278.089590479,5270.543521244799
5084.7600480205,5256.802383937,5091.846657925
4887.199969693,5039.111634094,4888.4004164272
4796.0400259825,4896.863446243,4778.362390822
4927.850027428,4919.32368643,4889.353130059
5305.020049761999,5209.080039274,5251.5571286392
5963.040071805999,5888.393069571999,6100.715785386999
6277.509904735,6237.1725955375,6430.579735894
6298.580054726799,6397.495255649799,6460.2429465718
6283.940014666,6535.7756526640005,6504.405433272999
6279.409965415,6605.594180086,6501.096644398
6298.950131431,6627.146089738,6556.398200575
6345.69996412,6573.957444549999,6517.129675509999
6278.289872392,6451.548210883,6416.662516627
6303.7200452125,6369.9267168289,6361.789199317
6355.399918934199,6424.5831226315,6390.386925585999
6308.679965062,6515.27675374,6338.463778828
6375.680093315799,6529.804240588,6425.948519289999
6536.369965537,6378.680629980099,6566.410867666
6474.860069870199,6432.338742451,6509.8383739539995
6251.9600353438,6242.904143083,6297.073277599
6030.999875746,6017.405739316,6064.370235349
5776.3799598985,5815.244722068999,5792.5151736631
5563.2099040459,5583.182768995,5586.812102458
5233.2599431585,5248.218025819,5252.22954706
