True,Baseline,Proposed
4422.2900040904,4395.9420366922,4437.2080911988
4235.3600400535,4211.603298538,4252.1332608346
4113.790060288,4088.6136035854,4122.057499888
4135.710016045,4100.8573915474,4139.0879903356
4237.119953128,4148.408150578,4184.0515846819
4407.800047066899,4219.4662137688,4434.833232913
4744.049978233,4550.2900937869,4768.8819220249
5016.520130172999,4912.199546701,5106.834655663
5251.460095005999,5237.9510261782,5414.819625004
5363.250020071,5413.942841278,5587.4610602059
5387.629901716,5367.38265205,5672.3085236962
5284.780052235999,5285.7262752025,5588.308726589799
5114.0500635739,5091.3485809498,5382.961336591
5061.5100135268,5048.5149401215,5277.419130136
5045.030105548,4937.632439074,5230.2807640465
5117.5798976761,4987.2086120245,5265.856680727
5399.769984076,5331.468821906199,5457.1552613785
5657.559991620999,5532.48849736,5694.603560134
5693.9600414911,5519.284888669,5688.1189141101995
5546.7699190978,5333.406013542999,5497.7480272075
5288.599935677499,5132.746189276,5292.423807796
5047.3099970605,4903.907812432,5049.389729508999
4815.849790303,4643.9231622802,4819.394998942
4555.1100473344,4416.8390781022,4545.986782693
4498.6499980531,4534.055199358,4480.800922303
4365.1900259755,4372.871673967,4320.8080169965
4296.7400498929,4317.519171506499,4254.651638971
4428.499939051,4470.1523150554,4384.802532088
4881.6899750245,4973.200197097,4830.602456098
5666.950062493,5741.789609043999,5738.361159859
6029.860201944999,6117.056488538499,6105.7206322438
6118.8399710680005,6202.111943403999,6169.85369947
6178.970002057,6316.315018054,6272.174867944
6145.080026623,6308.901517938999,6287.589799163799
6182.5799360455,6252.598441228,6350.0020423501
6186.7800129265,6239.571422146,6328.651996015
6147.3701073922,6120.957233341,6259.188460846
6136.509955220799,6157.67735641,6229.3032621628
6159.619842108999,6213.2354570395,6266.873553604
6119.489907854801,6118.0286379055,6243.696439378
6233.0099034382,6228.5638702291,6280.668936919
6390.689956255899,6361.29569119,6377.832528467799
6317.849933485,6264.8688445438,6289.7593131055
6092.740063118499,6056.613346405,6128.762095191099
5883.079970504499,5832.6659940805,5870.5569026311005
5627.6500994011,5566.830281115999,5587.3557953938
5421.099978243999,5319.911594038,5359.7365395444995
5096.369926425099,4982.4552693829,5013.077901922
4914.170098181799,4776.640007571999,4916.230902544899
4715.229973873,4634.274335053,4713.4578046819
4656.879980647,4588.092707533,4614.3964006165
4778.40010195,4815.9845350642,4753.9903052275
5162.080007754999,5229.5102604322,5159.296636423
5833.560001639,5926.021160569,6021.7078538068
6176.380009038099,6144.413011046499,6379.263230647
6269.0200782619,6199.4882641948,6442.5891709519
6324.780078469,6281.489298995799,6514.787596896999
6377.210149813,6344.2486658632,6542.8617186579995
6418.509999292,6294.348648601,6607.454353996
6427.5198767245,6198.4735447660005,6591.411532495
6343.959813127,6225.316253155,6508.245441403
6270.510139207,6231.8650443571005,6469.0543691932
6286.7300217061,6174.732214047999,6509.114247775
6211.839964,6087.9069469369,6497.080046658999
