True,Baseline,Proposed
4422.2900040904,4441.5810590974,4437.2080911988
4235.3600400535,4304.7224078695,4252.1332608346
4113.790060288,4126.5787740496,4122.057499888
4135.710016045,4082.2361441908,4139.0879903356
4237.119953128,4223.8160473408,4184.0515846819
4407.800047066899,4491.4629097489,4434.833232913
4744.049978233,4695.422566498,4768.8819220249
5016.520130172999,5038.792177326999,5106.834655663
5251.460095005999,5332.8978560932,5414.819625004
5363.250020071,5497.2853044148,5587.4610602059
5387.629901716,5538.316172021199,5672.3085236962
5284.780052235999,5508.0481691281,5588.308726589799
5114.0500635739,5242.025060866,5382.961336591
5061.5100135268,5189.5440432385,5277.419130136
5045.030105548,5174.202322372,5230.2807640465
5117.5798976761,5278.509851991999,5265.856680727
5399.769984076,5595.9517206751,5457.1552613785
5657.559991620999,5628.041062268499,5694.603560134
5693.9600414911,5560.737395695,5688.1189141101995
5546.7699190978,5409.1478713528,5497.7480272075
5288.599935677499,5187.374021647,5292.423807796
5047.3099970605,4964.3785126975,5049.389729508999
4815.849790303,4759.2057542299,4819.394998942
4555.1100473344,4439.903203987,4545.986782693
4498.6499980531,4625.2611578968,4480.800922303
4365.1900259755,4428.9295195639,4320.8080169965
4296.7400498929,4345.7656041139,4254.651638971
4428.499939051,4466.3399013181,4384.802532088
4881.6899750245,4923.081382771,4830.602456098
5666.950062493,5759.8038160219,5738.361159859
6029.860201944999,6169.4046107005,6105.7206322438
6118.8399710680005,6204.248786455,6169.85369947
6178.970002057,6294.139786969,6272.174867944
6145.080026623,6376.116164494,6287.589799163799
6182.5799360455,6346.1903900875,6350.0020423501
6186.7800129265,6446.5876020802,6328.651996015
6147.3701073922,6283.8879080401,6259.188460846
6136.509955220799,6232.6364182282,6229.3032621628
6159.619842108999,6252.288956153499,6266.873553604
6119.489907854801,6326.5181626021,6243.696439378
6233.0099034382,6336.789622308999,6280.668936919
6390.689956255899,6340.5242931055,6377.832528467799
6317.849933485,6255.082299178,6289.7593131055
6092.740063118499,6022.953263809,6128.762095191099
5883.079970504499,5817.0957220219,5870.5569026311005
5627.6500994011,5575.2070829872,5587.3557953938
5421.099978243999,5309.099741119,5359.7365395444995
5096.369926425099,5022.733582421501,5013.077901922
4914.170098181799,4899.172890226,4916.230902544899
4715.229973873,4725.3694083712,4713.4578046819
4656.879980647,4642.1692684819,4614.3964006165
4778.40010195,4647.0962998765,4753.9903052275
5162.080007754999,5063.433498619,5159.296636423
5833.560001639,5804.499951444999,6021.7078538068
6176.380009038099,6178.83547486,6379.263230647
6269.0200782619,6301.378873117,6442.5891709519
6324.780078469,6366.0590417848,6514.787596896999
6377.210149813,6433.186408834899,6542.8617186579995
6418.509999292,6448.109971309,6607.454353996
6427.5198767245,6474.790594369,6591.411532495
6343.959813127,6389.001041632,6508.245441403
6270.510139207,6393.17609863,6469.0543691932
6286.7300217061,6404.129730885999,6509.114247775
6211.839964,6421.9865301652,6497.080046658999
6327.7299951961,6493.000717909,6485.023001302
6480.1500708718,6390.931198693,6518.825951056
6421.279954165,6262.045441398999,6424.189512732999
6211.2799174885,6080.676309532,6223.0914416458
6003.869982613,5840.264967675999,6007.722319381
5737.820150215,5568.459111759999,5725.7379399322
5509.8398828365,5339.218821317199,5495.7786360691
5202.439979889999,5028.222545884,5161.629649861
4974.3201088165,4935.712797616,5022.4219217049995
4784.8299580561,4749.832834669,4806.180512041
4708.820169934,4630.3239130915,4704.1263673618
4853.9900274268,4698.406822108,4818.934488052
5223.820013823999,5134.847496840999,5204.6524627612
5890.529912623,5824.4627359195,6075.4310179735
6225.7900717219,6229.7119565125,6446.017366312
6292.200093343899,6305.7292143388,6494.153445562
6317.950013017,6386.048695437999,6550.827469234
6312.939872098,6389.422536008799,6560.958708814
6329.079872275,6404.885403873999,6601.029320563
6309.129960349,6466.298701035999,6564.0564604149995
6235.9201146988,6370.769524279,6471.628044897099
6211.480040291799,6320.0290565122,6416.1728158734995
6221.990059144,6303.818493012999,6428.4155522752
6174.5500402912,6376.788437872,6350.6396504989
6306.9200882482,6464.92877179,6370.0166071042
6542.110034347,6407.392106064999,6536.257194759999
6498.39014575,6317.35497493,6531.106362325
6304.650059646099,6076.432719811,6328.9353733855
6074.4701094235,5867.9698467289,6107.5670633485
5830.429978015,5646.307933804,5833.7537788198
5572.209918568,5393.847995334099,5601.443294908
5280.630015121,5042.201770948,5270.543521244799
5084.7600480205,5016.8528946169,5091.846657925
4887.199969693,4845.445773643,4888.4004164272
4796.0400259825,4697.7485816209,4778.362390822
