True,Baseline,Proposed
3144.839924957,3112.3334729484004,3127.3762918194
2967.0000043990003,2864.0697346442003,2891.5202601978
2806.7499830300003,2702.2426621054,2743.5614400558
2719.3399620535,2577.9231657041,2656.238487324
2656.180048088,2507.4987262639,2591.35787979
2642.4600075408,2488.7445185517,2599.880061142
2720.659973839,2566.2340751161,2573.0362467630002
2810.449994871,2693.2704364668,2697.281481816
2993.3199794136,2824.468572877,2889.3965845785
3295.4699777088,3128.2723082969,3244.1752180721
3507.1500393289,3353.6025942280003,3457.8101653905005
3560.70005612,3445.70842541,3560.046344879
3643.2900524298,3514.009593332,3614.1094768130006
3618.189965382,3459.7722627392004,3560.8656132322003
3493.5699731858003,3348.688103158,3431.682697923
3403.57000609,3292.7133865128,3374.7234044900006
3467.6999181190004,3379.1574504368,3418.303843043
3666.840007658,3625.509479691,3640.4940147495004
4019.250049181,3888.885790933,3948.841027752
4020.679945381,3860.6417040731,4023.0883879370003
3821.3799250605,3680.5065514365,3791.6519167920005
3574.1799362750003,3463.5929143009,3515.5804275618
3314.59005234,3220.4327863815,3260.2442983136
3250.429988152,3178.041803874,3189.439630823
3035.5699617219,3122.1188121696005,3013.6932026406002
2874.8099958494004,2879.1999326069,2818.847215729
2745.2399516864,2726.345365469,2728.5840233936
2689.7899758619,2613.0472913844,2663.7505402648003
2687.1199866401003,2553.1499342768,2666.2538533252
2791.7799956111003,2491.105370432,2768.2949141518
3183.5299941672,2554.261709657,3063.511159265
3753.0200381402,2923.2853731961004,3691.489863911
3974.6799670341,3143.4280578830003,3946.7384586440003
4155.9699784451,3421.2099516460003,4115.229966524001
4193.3900822368005,3623.728637228001,4148.526653776
4214.170079848,3638.0297751570006,4141.9121404630005
4241.939907440001,3701.642748625,4148.0956022411
4223.620139495,3622.554350516101,4077.0632393230003
4229.1499211168,3518.3580320150004,4065.9523241550005
4299.699942745,3505.418093099,4106.8024380834995
4429.730040468001,3614.831574394,4175.725579767801
4568.7699141472,3873.24738921,4329.614925484
4749.060055098,4182.771424378,4494.3002672725
4646.129909682,4120.8160114528,4508.133425043001
4395.710012247,3962.529486244001,4284.296852201001
4096.599973273,3649.9278792678,3942.3179034570003
3697.040037096,3382.856405398,3573.3643670010997
