True,Baseline,Proposed
24983.00000608,24913.17392592,25211.14768808
23731.000118144,23442.48193856,23916.0463208
23482.99995048,22747.02321304,23404.2217352
23423.999957856,22521.51899904,22961.10231736
23945.99988704,23131.85498116,23034.506136784
25101.0003192,23901.7715936,24097.02879592
26169.99992576,25198.0565788,25677.8337256
28975.000624,27729.394404,28653.0036804
31732.99964152,31009.97835632,32172.285416
33767.99991504,32647.95063808,34219.58867648
34924.99954672,33048.7733384,34827.22237856
35169.99984952,32473.0915824,34380.556615199996
33516.9991448,30527.21060704,32031.9480032
32404.0007552,29344.4304,30780.83927136
32236.999152,29155.6601452,30766.1325728
32629.00045616,28953.43361368,30867.205674240002
33908.00002952,30288.74930144,32564.84164352
37566.00030992,33941.18477432,36078.034386240004
38804.99990912,36227.58951048,37281.40126632
37673.0001076,35144.246323600004,36069.56996072
35275.000447679995,32732.76456704,34482.35964168
32393.0006496,30178.23676512,31905.4652316
29178.00011376,27197.81512056,28839.83703136
26492.00014808,24597.59261768,25977.165697520002
24828.00015744,24753.23591512,24718.44090896
24014.99972976,23936.9850464,23864.41221856
23956.99999264,23511.0506296,23551.72335612
24583.00026448,24269.37922096,24139.6734676
27505.00003672,26584.91948272,26562.615170240002
34081.99965072,33534.639478080004,32448.72987312
40563.001212,40659.8586992,39678.996824
47081.99822,45804.2892328,45605.76806472
50043.99960576,48051.5812984,48247.29793136
51132.0002144,48118.91964976,48837.9945856
51656.0011464,47581.4046536,48820.740321599995
48768.000880880005,45037.63269264,46482.551071919996
48300.9976272,44491.1454792,45493.6633
49301.0010796,45147.9509648,46221.2686456
49996.99915456,45462.09988224,46174.31163744
49627.9980712,45747.94606896,46193.409771599996
48652.99936704,46001.65998,46114.1077808
50545.99991672,47304.33642,47953.129533600004
49949.0011528,47794.207926,48376.73401
47241.999756000005,45298.5938044,45399.9451872
43499.99907904,41257.065252,42024.2898304
38881.00022888,37251.04031912,37780.535976
34724.000486000004,33177.61637856,33944.2819352
31302.00001216,29787.5535064,30570.293397679998
29314.9997896,30391.52569792,29555.9406272
28326.99973112,29104.8092472,28538.623484
28063.0000656,28921.96609848,28033.46371648
28480.99998,29254.962328,28482.05285896
30542.9992832,31251.63231552,30904.1093072
36523.9993232,36909.87761776,37063.1971224
42407.0004716,44689.14738,44564.93143344
48832.00067559999,50147.2899416,50143.093179999996
52475.000812,52906.8307772,52470.1298636
52901.9987636,53257.3894704,52833.2952352
52533.0013688,52704.6382624,52221.2360808
50004.0016808,49841.8730752,49539.3619744
48743.0018704,49132.5179048,48660.60640728
50010.00009904,49340.48465536,49238.125476
50170.9991856,49107.5955344,49397.4261856
49963.99883776,49250.51248016,49192.42175856
48890.00082256,49399.4446476,49136.7556504
50773.0008664,50752.73427840001,51467.48458256
50367.0010672,51155.5865064,51500.1185024
47564.9987584,48443.1342376,48276.456408
43973.0011608,44480.579804,44533.98318552
39430.99977112,39383.932516,39813.8423808
35118.00057984,35432.89704544,35760.813718000005
32680.999316,31889.82245848,32204.706628879998
30620.000022400003,31360.7776256,30198.52302544
29563.99972096,30065.6422416,29152.5310168
29294.000407680003,29668.2224428,28629.8251792
29659.999822880003,29874.04736952,29236.1445244
31803.00031352,31409.77686648,31419.39417192
38356.99929688,36950.18907032,37330.45214704
45108.00099112,44620.9827912,44715.3812384
51279.99917616,50921.39327456,50028.5879824
54283.99932576,53818.77846624,52246.6932924
54771.00113208,54933.344084,52373.13671936
54344.99950152,54569.0209144,51828.07410976
51082.999744,51682.616156,49265.584756
49751.9992616,51354.8527636,48396.066572640004
50187.9993488,50944.6131696,49226.977828
50377.99871376,50501.3835048,49268.8142952
51084.9997632,50683.7049272,49173.1617376
51262.0014624,52264.916828,49705.053319119994
53109.9987112,53568.47319448,51581.369282399995
52498.0010328,52198.0801208,51836.8963256
49274.9987808,49505.47353432,48361.8219816
45394.00127768,45620.76943824,44619.8803216
40910.0004448,40713.73339672,39937.534142000004
36592.9999856,36251.65777432,35869.9151752
32984.999775360004,32950.971170000004,32408.6319472
30820.00030304,31977.21223184,30864.72245368
29669.00031912,30627.39107696,29824.55550096
29244.9991176,30280.6566008,29309.009158319997
29674.99996688,30110.16070176,29533.88590728
31967.0006584,31349.666043520003,31483.583312720002
37734.00028336,37284.46441048,38133.806990319994
44509.99934872,45487.478814400005,46032.7750328
50007.00048008,51651.7265152,51814.12315616
52944.001216,54722.6330448,54015.39018976
53498.9983472,55670.8470656,54021.6304136
53369.0011976,55540.68761936,53435.8133144
50154.00025192,52461.127728,50510.2401472
48570.0002096,51712.5795584,49467.881779999996
49576.0016704,52043.8573288,50691.8976288
50959.0006028,51772.6436596,50982.2569736
51529.9999368,52028.3202944,51130.274787999995
