True,Baseline,Proposed
24983.00000608,24571.7780256,25211.14768808
23731.000118144,23903.40357648,23916.0463208
23482.99995048,23099.95528968,23404.2217352
23423.999957856,23413.34948676,22961.10231736
23945.99988704,24553.6282612,23034.506136784
25101.0003192,25157.91766888,24097.02879592
26169.99992576,27284.7876768,25677.8337256
28975.000624,30004.21378304,28653.0036804
31732.99964152,32121.9447688,32172.285416
33767.99991504,32980.815308959995,34219.58867648
34924.99954672,32914.42245848,34827.22237856
35169.99984952,31877.02315528,34380.556615199996
33516.9991448,29845.35242192,32031.9480032
32404.0007552,28825.16393968,30780.83927136
32236.999152,29044.21194416,30766.1325728
32629.00045616,30387.9936968,30867.205674240002
33908.00002952,32240.595498,32564.84164352
37566.00030992,35729.3851376,36078.034386240004
38804.99990912,36879.99208496,37281.40126632
37673.0001076,36327.6367824,36069.56996072
35275.000447679995,33959.4890484,34482.35964168
32393.0006496,31341.69383584,31905.4652316
29178.00011376,27820.49650808,28839.83703136
26492.00014808,25514.42314048,25977.165697520002
24828.00015744,24799.53513008,24718.44090896
24014.99972976,24184.14602568,23864.41221856
23956.99999264,23397.3712596,23551.72335612
24583.00026448,23928.3907016,24139.6734676
27505.00003672,27062.28595064,26562.615170240002
34081.99965072,32595.5312824,32448.72987312
40563.001212,40339.95275928,39678.996824
47081.99822,46968.902872000006,45605.76806472
50043.99960576,49335.66985504,48247.29793136
51132.0002144,49548.73624472,48837.9945856
51656.0011464,49225.8425712,48820.740321599995
48768.000880880005,45985.46064416,46482.551071919996
48300.9976272,44758.2750928,45493.6633
49301.0010796,46059.324468,46221.2686456
49996.99915456,46636.1394316,46174.31163744
49627.9980712,47635.4297624,46193.409771599996
48652.99936704,48402.9186876,46114.1077808
50545.99991672,49592.04034896,47953.129533600004
49949.0011528,48807.57462144,48376.73401
47241.999756000005,46293.7980304,45399.9451872
43499.99907904,42358.8996,42024.2898304
38881.00022888,38577.85018752,37780.535976
34724.000486000004,34555.26853832,33944.2819352
31302.00001216,30922.867684,30570.293397679998
29314.9997896,28315.95208408,29555.9406272
28326.99973112,27703.3962036,28538.623484
28063.0000656,27683.680030720003,28033.46371648
28480.99998,28253.81788104,28482.05285896
30542.9992832,30141.6388728,30904.1093072
36523.9993232,35726.100679840005,37063.1971224
42407.0004716,44208.41899456,44564.93143344
48832.00067559999,50487.3259928,50143.093179999996
52475.000812,52879.19485616,52470.1298636
52901.9987636,52492.6157352,52833.2952352
52533.0013688,51618.2098,52221.2360808
50004.0016808,48808.2463492,49539.3619744
48743.0018704,47922.293172000005,48660.60640728
50010.00009904,48741.7395632,49238.125476
50170.9991856,48829.9740168,49397.4261856
49963.99883776,49619.90782959999,49192.42175856
48890.00082256,50478.7480416,49136.7556504
50773.0008664,50695.532909600006,51467.48458256
50367.0010672,50527.615314,51500.1185024
47564.9987584,47281.2173456,48276.456408
43973.0011608,43756.7531832,44533.98318552
39430.99977112,39354.38018312,39813.8423808
35118.00057984,35424.625654560004,35760.813718000005
32680.999316,31559.87215984,32204.706628879998
30620.000022400003,29566.4366296,30198.52302544
29563.99972096,28891.39900176,29152.5310168
29294.000407680003,28425.70395736,28629.8251792
29659.999822880003,28478.2991344,29236.1445244
31803.00031352,30333.103825600003,31419.39417192
38356.99929688,36209.68974848,37330.45214704
45108.00099112,43007.0123792,44715.3812384
51279.99917616,48964.9630176,50028.5879824
