True,Baseline,Proposed
24983.00000608,25226.09701192,25211.14768808
23731.000118144,24329.94742536,23916.0463208
23482.99995048,23426.33219336,23404.2217352
23423.999957856,23343.88836912,22961.10231736
23945.99988704,23419.80508152,23034.506136784
25101.0003192,24125.1446396,24097.02879592
26169.99992576,25743.69624312,25677.8337256
28975.000624,28731.50566352,28653.0036804
31732.99964152,31360.4825408,32172.285416
33767.99991504,31921.06251248,34219.58867648
34924.99954672,32974.33082048,34827.22237856
35169.99984952,32528.21629192,34380.556615199996
33516.9991448,30287.9701956,32031.9480032
32404.0007552,30356.56470656,30780.83927136
32236.999152,29376.3999692,30766.1325728
32629.00045616,30242.8570576,30867.205674240002
33908.00002952,32452.86065048,32564.84164352
37566.00030992,35119.25510008,36078.034386240004
38804.99990912,37120.73947808,37281.40126632
37673.0001076,36521.1140496,36069.56996072
35275.000447679995,34062.54864432,34482.35964168
32393.0006496,31816.07175048,31905.4652316
29178.00011376,28210.49656352,28839.83703136
26492.00014808,25756.72464688,25977.165697520002
24828.00015744,24733.7959744,24718.44090896
24014.99972976,24222.83861024,23864.41221856
23956.99999264,23764.13748544,23551.72335612
24583.00026448,24029.54823008,24139.6734676
27505.00003672,27304.1669612,26562.615170240002
34081.99965072,33643.69995128,32448.72987312
40563.001212,40730.1503576,39678.996824
47081.99822,46811.7046416,45605.76806472
50043.99960576,48914.44900808,48247.29793136
51132.0002144,48799.576184,48837.9945856
51656.0011464,48471.3681152,48820.740321599995
48768.000880880005,46872.5822752,46482.551071919996
48300.9976272,45679.443772,45493.6633
49301.0010796,47508.2400168,46221.2686456
49996.99915456,47596.5154544,46174.31163744
49627.9980712,47957.0189152,46193.409771599996
48652.99936704,48306.9730944,46114.1077808
50545.99991672,49464.1686296,47953.129533600004
49949.0011528,49264.4822864,48376.73401
47241.999756000005,46347.2739536,45399.9451872
43499.99907904,42846.0272272,42024.2898304
38881.00022888,38284.54737184,37780.535976
34724.000486000004,34211.710732,33944.2819352
31302.00001216,31086.9717184,30570.293397679998
29314.9997896,29385.035298,29555.9406272
28326.99973112,28755.03621728,28538.623484
28063.0000656,28115.13868088,28033.46371648
28480.99998,28351.81677264,28482.05285896
30542.9992832,31529.0948152,30904.1093072
36523.9993232,37177.99002768,37063.1971224
42407.0004716,44480.2847192,44564.93143344
48832.00067559999,50060.81124256,50143.093179999996
52475.000812,51839.9168464,52470.1298636
52901.9987636,51997.08884704,52833.2952352
52533.0013688,51306.0592624,52221.2360808
50004.0016808,49196.0635968,49539.3619744
48743.0018704,47960.2914876,48660.60640728
50010.00009904,49767.392852,49238.125476
50170.9991856,49659.89755776,49397.4261856
49963.99883776,49650.5536156,49192.42175856
48890.00082256,50491.49529512,49136.7556504
50773.0008664,51304.15637528,51467.48458256
50367.0010672,51348.2768808,51500.1185024
47564.9987584,48268.8415808,48276.456408
43973.0011608,44004.2514608,44533.98318552
39430.99977112,39740.6449568,39813.8423808
35118.00057984,35461.7514208,35760.813718000005
32680.999316,31998.123908,32204.706628879998
30620.000022400003,29897.0627544,30198.52302544
29563.99972096,29151.5842864,29152.5310168
29294.000407680003,28437.53521848,28629.8251792
29659.999822880003,28522.67783912,29236.1445244
31803.00031352,31002.92255088,31419.39417192
38356.99929688,36592.5450632,37330.45214704
45108.00099112,43983.4684744,44715.3812384
51279.99917616,49689.4166936,50028.5879824
54283.99932576,51683.5628864,52246.6932924
54771.00113208,51847.2160968,52373.13671936
54344.99950152,51267.63102464,51828.07410976
51082.999744,49049.6359616,49265.584756
49751.9992616,47633.1428552,48396.066572640004
50187.9993488,49341.5301572,49226.977828
50377.99871376,48979.88775104,49268.8142952
51084.9997632,49331.4009616,49173.1617376
51262.0014624,49704.216016,49705.053319119994
53109.9987112,50793.5277028,51581.369282399995
52498.0010328,51310.6105356,51836.8963256
49274.9987808,48351.7829508,48361.8219816
45394.00127768,44381.7550848,44619.8803216
40910.0004448,40025.6743324,39937.534142000004
36592.9999856,35573.698397119995,35869.9151752
32984.999775360004,31999.9354008,32408.6319472
30820.00030304,31063.922316800003,30864.72245368
29669.00031912,30152.54143648,29824.55550096
29244.9991176,29497.21137488,29309.009158319997
29674.99996688,29478.816936,29533.88590728
31967.0006584,32016.71670944,31483.583312720002
