True,Baseline,Proposed
751.00000576,732.8066368,737.2398639999999
746.0000032,722.58009088,731.3737792
746.0000032,739.3837936,747.59444608
771.000016,765.2732080000001,770.2218975999999
816.9999808,776.0827984,804.3242368
855.9999904,842.3483065600001,863.3502112
938.9999776,915.5097616,932.98311616
997.0000384,960.129184,997.144888
999.0000256,1013.190016,1024.5678592
988.0000096,990.1632064,1019.4800223999999
981.9999616,962.0739616,1005.27427264
975.0000064000001,957.9279712,998.0150656
964.999984,950.96997184,989.4707449599999
964.999984,938.7052672,992.7762015999999
957.0000352,933.2045248,991.7067424
980.999968,949.98413056,1033.9146976
1068.000016,1033.28153248,1081.1166592
1073.9999776,1057.66654144,1084.2705184000001
1054.0000192,1044.8522464,1058.94370624
1005.9999808,982.0899903999999,979.7862640000001
923.9999872,877.619776,886.2639232
855.9999904,830.352496,808.8830636800001
796.99998784,758.91832384,761.23892416
767.999992,729.3212608,730.69593664
765.00000256,727.1928832000001,748.9539328000001
778.00000576,737.3087680000001,743.99563552
785.0000127999999,758.3072512,768.94548448
821.999992,799.53834208,819.10516864
947.0000128,937.9046848,938.76330208
1057.9999936,1063.8185152,1071.07888
1169.999968,1166.2357792,1173.4994272
1216.0000192,1221.4248160000002,1234.802992
1204.0000095999999,1212.0382336,1227.70240672
1175.0000224,1184.0243295999999,1206.1162912
1138.9999936,1142.2185663999999,1160.0576608000001
1153.999984,1153.02198784,1171.0870528
1152.9999904000001,1155.1975744000001,1162.89860512
1141.9999744000002,1139.2159935999998,1151.15764
1125.9999904000001,1117.6609561599998,1126.0564960000002
1115.999968,1118.23397824,1116.43642624
1174.0000288,1144.68952,1158.44281024
1164.0000064,1146.0102649599999,1161.0399424
1124.9999968000002,1123.9292415999998,1126.1600550399999
1053.0000255999998,1049.2964550400002,1044.4232704
956.0000416,942.5678656,948.3526912
870.9999808,874.8088384,859.3865593600001
800.0000032,787.75584448,800.40794944
771.000016,758.06674816,764.74766272
760.0,755.62067776,782.19911488
753.9999952000001,762.4594105599999,782.4757504
769.99998784,796.1144483200001,810.2086384
818.0000089600001,834.35500192,871.5826624
944.000032,972.85072,1002.14219488
1053.0000255999998,1098.3884512,1139.0773216
1162.0000192,1201.4165632,1232.1013504
1208.9999776,1243.40417248,1279.9698016
1205.0000031999998,1238.4833727999999,1270.074928
1186.0000384,1205.7407968,1244.41564864
1143.9999616,1164.55474624,1208.02429696
1156.9999648,1173.0381808,1213.2705568000001
1151.0000031999998,1167.4949728000001,1202.2930912000002
1135.0000192,1156.1723392,1199.8266303999999
1120.0000288,1124.2434352,1172.2432576
1109.0000128000001,1118.715088,1159.7336608
1180.999984,1152.3138016,1184.855152
1179.9999904000001,1158.74829472,1196.27987584
1129.9999648,1143.1637824,1161.8771584
1060.9999744000002,1065.8544448,1069.358224
964.999984,952.0233952,969.7654969600001
880.0000096,885.4299472,882.34323808
821.999992,804.58315168,827.6537920000001
781.99999744,774.03478144,799.85655328
773.9999968,760.3871584000001,780.2613529600001
766.0000047999999,768.20580544,776.49560896
782.9999910399999,800.5212716799999,812.4787897599999
828.9999904,836.40806464,881.3525152
960.000016,957.2920672,1011.49317184
1079.000032,1089.89538304,1136.0994592
1190.0000128000001,1187.9420512000002,1227.3953756800001
1245.0000064,1230.6884512000001,1271.89083136
1236.9999712,1231.97543968,1269.3887392000001
1214.000032,1195.1063824,1238.7524224
1180.999984,1156.6704352000002,1215.5183392
1183.9999648,1162.2565408,1213.9313699200002
1184.9999584,1155.5559616,1203.0705183999999
1172.0000416,1145.94471328,1202.651824
1156.9999648,1120.62907264,1174.47776896
1142.999968,1113.9748384,1166.1058768
1206.9999904000001,1149.4062256,1185.7637344
1192.0,1158.7151344,1196.90264704
1149.000016,1136.2220608,1164.8036992
1078.0000384,1062.4085536,1069.200112
985.0000288,955.5771136,971.7365056
892.0000192,883.11890272,884.14784032
827.9999968,803.8932304,830.70806656
787.0,774.9054688,802.529968
773.9999968,775.1151443199999,776.382736
765.00000256,778.8970624,772.7257695999999
775.999984,810.89779072,794.19623008
826.0000096,836.8464496,847.0979391999999
959.0000224,953.8457958399999,971.0599936
1076.9999584,1088.4473017599998,1122.1236543999999
1182.9999712,1194.243808,1217.27799616
1226.0000416,1235.3868831999998,1263.9662752
1223.999968,1235.2162864,1248.995056
1205.0000031999998,1203.5693056,1226.3515168
1172.0000416,1158.8438271999999,1183.64221696
1187.000032,1161.9016528,1194.2533984000002
1175.0000224,1166.0086336,1182.86536
1163.0000128000001,1151.76397792,1182.7905375999999
1160.000032,1125.7741408000002,1156.0892828800002
1147.0000288,1123.27315456,1137.2751039999998
1203.000016,1159.1253184,1153.4652544
1179.9999904000001,1168.4323696000001,1166.48958784
1130.9999584,1147.61557696,1138.5487263999999
1066.0000288,1074.6434848,1044.567256
973.0000192,970.2995353599999,944.85360352
881.0000032,894.1915292799999,855.7350361599999
811.0000192,818.18298688,800.86965376
773.9999968,784.7257792,766.97703328
753.9999952000001,761.57124448,760.29956608
746.9999968,763.78235008,751.6720336000001
761.9999872000001,797.27964736,769.64122048
813.0000064000001,829.22777536,818.7378304
931.0000287999999,940.8553311999999,937.2083872
1039.0000288,1085.3012703999998,1067.6221024000001
1147.0000288,1182.60308416,1162.9597504
1189.0000192,1221.4988607999999,1211.5584543999998
1175.0000224,1227.8864992,1207.34209984
1151.9999968000002,1190.5420864,1189.4569888
1124.0000031999998,1151.0772016,1152.9759712
1125.9999904000001,1150.2179968,1155.6674176000001
1114.9999744000002,1147.8644608,1148.637136
1097.0000031999998,1131.69051904,1138.6041952
1084.9999936,1119.1177984,1110.549856
1072.999984,1110.7461567999999,1093.86941152
1129.9999648,1145.2599846399999,1114.1617216
1123.0000095999999,1138.9471600000002,1113.369952
1084.9999936,1106.8556166399999,1093.76945536
1024.0000384,1044.1686064,1030.4368124799998
935.9999968,955.76678752,939.3291616
854.9999968,880.3973632,852.63104704
787.9999935999999,802.6128256,793.6907295999999
752.000008,772.16915488,754.03501312
734.9999872000001,744.2148064,743.88158752
728.9999910399999,737.49017344,734.0948608
735.9999808,755.69138752,744.133504
764.0000089600001,775.99839424,756.90993856
813.0000064000001,800.6525392,802.15139776
866.0000127999999,886.7850016,859.51937344
957.0000352,969.88662112,928.198768
1007.999968,1004.87438752,980.38365088
1003.9999935999999,1054.47441568,1001.2580896000001
987.000016,1028.231824,990.09336064
968.9999584,1003.62740224,970.4100063999999
961.0000096,994.9830304,960.57988096
948.0000064000001,985.1863072,953.3500672
935.9999968,977.58687424,948.28664704
935.0000032,977.4838768,936.34910464
943.0000384,980.12718976,957.3491776
1013.0000224,1038.068896,993.9615232000001
1031.9999871999999,1052.572216,1010.32683232
1004.9999872,1036.6919132799999,1007.0257216
957.0000352,977.8509472000001,959.9737504
883.999984,900.0059296,882.79940416
822.99999424,833.87488576,809.33177344
768.99999424,763.6409824,759.43784704
735.9999808,735.6022124799999,725.7308224
720.9999904,719.07807424,711.4130464
714.99999424,713.1785958400001,700.398688
723.00001216,738.0650272,715.6317510399999
746.9999968,757.53554368,720.4663840000001
780.0000015999999,770.72727712,752.6144416
814.0,830.90867872,789.6832988799999
895.9999935999999,899.9629024000001,854.2202627199999
950.9999872,943.98384928,913.6376896
962.9999968000001,990.2522415999999,940.0786816
953.999968,974.3915776,936.3913024000001
936.9999904,940.8724384,916.0037536
922.9999935999999,930.5091904,911.36124832
912.9999712000001,930.1413856,910.6584448
905.0000224,922.883008,905.8622512
911.9999776,915.1069216000001,905.35993888
929.0000416,932.7135135999999,940.9441503999999
1003.9999935999999,1021.5467449600001,989.9340304
1028.0000128000001,1041.3840639999999,1011.01423072
1014.000016,1028.4488608,996.78383104
952.9999744,961.3074208,935.6792800000001
868.9999935999999,859.9504921600001,848.70656032
795.99999424,814.49652352,771.9575007999999
740.999992,745.1567132800001,727.7435968
717.000016,717.7878544,698.36667232
