True,Baseline,Proposed
751.00000576,749.991856,740.86504384
746.0000032,736.9602304,725.1555711999999
746.0000032,737.10769792,740.30410048
771.000016,777.1888307199999,762.32893792
816.9999808,822.74327392,788.8882115199999
855.9999904,866.5362976,840.6157791999999
938.9999776,909.278464,911.6738176000001
997.0000384,966.4512448,987.4460128
999.0000256,1005.5596,1013.0795104
988.0000096,1005.22612192,1011.5650048
981.9999616,1003.60330528,996.1953952
975.0000064,997.5129088,992.0757568
964.999984,995.8003744,981.86325088
964.999984,979.70911744,978.55983328
957.0000352,962.416624,1000.93681984
980.999968,1025.1200416,1030.3430079999998
1068.000016,1075.1455552,1066.18782784
1073.9999776,1062.5557792,1079.3401887999999
1054.0000192,1051.91020192,1035.123952
1005.9999808,998.572,985.6018048000001
923.9999872,897.1808224,903.26358976
855.9999904,816.72156544,823.8705087999999
796.99998784,773.06806048,761.4646528000001
767.999992,737.42844928,725.2230150400001
765.00000256,772.8486304,758.37666496
778.00000576,753.77394688,752.85539392
785.0000127999999,753.93189472,786.3272464
821.999992,834.2931136,844.4693056
947.0000128,963.70928896,946.9926688
1057.9999936,1113.1724416000002,1062.0149152
1169.999968,1196.104864,1178.9182191999998
1216.0000192,1262.607808,1230.7115199999998
1204.0000096,1263.3489472,1231.50412768
1175.0000224,1239.02417632,1225.206976
1138.9999936,1223.7068128,1174.67737888
1153.999984,1222.6161856,1176.1113856
1152.9999904,1207.8033375999998,1169.80222432
1141.9999744000002,1160.073472,1141.8682144
1125.9999904,1088.4464896,1142.571856
1115.999968,1097.623336,1141.81659904
1174.0000288,1179.4415008,1185.7830016
1164.0000064,1128.0505216,1173.00718048
1124.9999968000002,1094.9038528,1110.53677504
1053.0000255999998,1022.4824224,1058.5053472
956.0000416,936.8630464,971.97879712
870.9999808,866.9364332800001,894.0010431999999
800.0000032,810.77535328,817.5061984
771.000016,775.43149792,775.19388928
760.0,788.1886912,765.2229664
753.9999952000001,767.11643968,765.98671648
769.99998784,753.8955808000001,806.84756608
818.0000089600001,836.4391427200001,874.8763168
944.000032,973.43336704,985.1863936
1053.0000255999998,1121.33776,1105.492864
1162.0000192,1201.9576,1212.01470688
1208.9999776,1272.2156608,1257.09960928
1205.0000031999998,1273.2018736,1249.0929904
1186.0000384,1237.46728288,1240.3087024000001
1143.9999616,1236.0237376,1199.0795296000001
1156.9999648,1225.781968,1200.7180624
1151.0000031999998,1215.2101504,1191.5082457600001
1135.0000192,1166.07682912,1163.9053984000002
1120.0000288,1082.5473568,1157.128312
1109.0000128,1070.2036739199998,1158.1658032
1180.999984,1148.1854368,1199.5214655999998
1179.9999904,1113.5070947200002,1173.0661312
1129.9999648,1103.9729152,1125.42228544
1060.9999744000002,1029.1851616,1060.12909696
964.999984,936.5992672,971.83048288
880.0000096,868.8379935999999,892.5590272
821.999992,812.0494681600001,820.8412816
781.99999744,775.3026496,781.06568512
773.9999968,784.10048512,772.2737248
766.0000047999999,761.57768128,773.3955856
782.9999910399999,744.5415711999999,813.33503104
828.9999904,840.3991398400001,880.6064512
960.000016,968.67702976,987.61366336
1079.000032,1120.0736416,1103.4280767999999
1190.0000128,1209.89894368,1204.0881376
1245.0000064,1276.6562752,1247.3277951999999
1236.9999712,1276.91392,1239.71054656
1214.000032,1245.7847344,1231.4179264
1180.999984,1231.37918464,1189.0203232
1183.9999648,1228.06598656,1189.8780592
1184.9999584,1222.3383232,1180.0461884800002
1172.0000416,1173.7027263999998,1153.04175616
1156.9999648,1118.9244697600002,1143.0745312
1142.999968,1092.4051648,1142.563432
1206.9999904,1142.5685296,1185.4049152
1192.0,1141.63939264,1163.6857696
1149.000016,1132.18902112,1118.05090528
1078.0000384,1068.19420864,1055.9019424
985.0000288,974.91348544,965.3488672
892.0000192,893.9524864,887.65179232
827.9999968,829.04420992,817.34623744
787.0,786.3126534400001,779.81633248
773.9999968,786.0951328000001,768.3415744
765.00000256,761.45233216,766.9306019200001
775.999984,756.52246912,791.6268064000001
826.0000096,833.40205312,853.529728
959.0000224,959.040976,961.0736483200001
1076.9999584,1112.9214496,1093.4725503999998
1182.9999712,1208.28004096,1194.8734912
1226.0000416,1257.5808832,1238.8802944
1223.999968,1255.54936,1232.6846713599998
1205.0000031999998,1233.0267808,1210.5294304
1172.0000416,1202.5897024,1173.6081616000001
1187.000032,1192.363312,1175.2458304000002
1175.0000224,1190.991712,1166.8962208
1163.0000128,1147.27465984,1141.49396416
1160.000032,1094.645344,1133.8334204799999
1147.0000288,1058.79683488,1129.62434944
1203.000016,1138.81789696,1182.7915744
