True,Baseline,Proposed
1230.0000032,1162.3447197,1202.43621685
1230.99999115,1153.91682685,1193.0892734
1240.99999015,1181.72495485,1223.68032935
1264.9999997,1240.3895722,1253.738726
1328.9999933,1298.7272495,1323.17282675
1370.9999891,1337.8422524,1403.3872615
1476.0000025,1429.9998398,1463.158891
1558.99998225,1554.7169947,1569.893184
1585.0000155,1587.1796955,1634.4235425
1587.9999913,1612.5671120000002,1656.2269150000002
1585.9999915,1606.435567,1662.21724685
1565.9999935,1577.07077225,1637.6286519999999
1548.9999951999998,1562.9145035,1616.818683
1531.999973,1570.6538732,1610.081751
1532.9999968000002,1572.63741785,1650.39575715
1568.00000525,1586.58299615,1694.2111850000001
1691.999957,1685.7510630000002,1697.4233450000002
1722.0000257,1671.675636,1695.5900955000002
1683.0000535,1628.535658,1669.5653855
1615.9999885,1556.0862735,1586.6175675
1468.0000152500002,1442.997568,1468.065322
1358.00000235,1315.1279075,1331.9208840000001
1282.9999739999998,1225.67421075,1253.1272923
1245.99998965,1190.717772,1202.4032707000001
1230.0000032,1170.82827565,1219.6051045
1229.0000033,1156.996545,1210.87592825
1252.000001,1195.3176855,1234.42999965
1333.9999808500002,1343.499239,1366.3627199
1595.9999905,1573.415805,1592.0002777
1765.9999735,1692.85613865,1804.83944525
1912.00001865,1826.6419932,1892.9968657499999
1969.999977,1899.3178063,1923.2227058
1935.00004025,1865.06013185,1934.68279165
1914.9999825,1888.0388705,1906.3732775
1890.99999685,1873.734601,1904.807708
1894.0000085,1853.2024695,1876.8995585
1871.99997485,1809.54609615,1866.8505167
1855.00002435,1800.4169295,1839.4389374999998
1819.000016,1731.382377,1836.56227375
1799.999994,1710.1442395,1818.28450975
1894.0000085,1800.5547608000002,1813.0213115
1893.0000325,1759.888146,1811.8552305
1832.0000147,1713.62053035,1782.13922525
1730.000001,1605.314179,1669.0694127000002
1556.9999705,1476.0690376500002,1515.4416228
1423.00001975,1340.657768,1382.7782914999998
1350.00000315,1268.02763975,1300.1178232
1298.00000835,1232.980142,1250.8651453500001
1286.9999975,1177.42034975,1267.563203
1291.999997,1196.767101,1247.7887254
1305.00000765,1235.89287085,1274.64724665
1376.9999885,1388.269914,1395.8618685000001
1611.999965,1615.2641075,1628.0525195
1777.99998425,1744.4866275,1852.5847023
1912.00001865,1869.0668115,1947.6808903
