True,Baseline,Proposed
1230.0000032,1161.2285897,1202.43621685
1230.99999115,1155.2843968,1193.0892734
1240.99999015,1175.7111771,1223.68032935
1264.9999997,1170.7837619,1253.738726
1328.9999933,1229.05092225,1323.17282675
1370.9999891,1269.5636569,1403.3872615
1476.0000025,1344.1585682999998,1463.158891
1558.99998225,1465.6024987,1569.893184
1585.0000155,1529.8469415,1634.4235425
1587.9999913,1586.3210163,1656.2269150000002
1585.9999915,1594.6608735,1662.21724685
1565.9999935,1596.804106,1637.6286519999999
1548.9999951999998,1561.754995,1616.818683
1531.999973,1562.6520815,1610.081751
1532.9999968000002,1594.76881785,1650.39575715
1568.00000525,1638.9612443,1694.2111850000001
1691.999957,1670.7613415,1697.4233450000002
1722.0000257,1650.4355865000002,1695.5900955000002
1683.0000535,1623.961676,1669.5653855
1615.9999885,1577.2527588,1586.6175675
1468.0000152500002,1445.98536675,1468.065322
1358.00000235,1320.570057,1331.9208840000001
1282.9999739999998,1227.9936221,1253.1272923
1245.99998965,1174.6093632,1202.4032707000001
1230.0000032,1183.36920315,1219.6051045
1229.0000033,1169.37178575,1210.87592825
1252.000001,1156.88021175,1234.42999965
1333.9999808500002,1140.36457085,1366.3627199
1595.9999905,1390.365466,1592.0002777
1765.9999735,1592.77985985,1804.83944525
1912.00001865,1734.7064487500002,1892.9968657499999
1969.999977,1821.6764575,1923.2227058
1935.00004025,1822.433729,1934.68279165
1914.9999825,1848.275126,1906.3732775
1890.99999685,1802.701172,1904.807708
1894.0000085,1811.7146985,1876.8995585
1871.99997485,1759.9177341999998,1866.8505167
1855.00002435,1730.857533,1839.4389374999998
1819.000016,1712.378292,1836.56227375
1799.999994,1717.1965798,1818.28450975
1894.0000085,1796.6073889999998,1813.0213115
1893.0000325,1752.88586425,1811.8552305
1832.0000147,1736.038814,1782.13922525
1730.000001,1688.930241,1669.0694127000002
1556.9999705,1539.5154475,1515.4416228
1423.00001975,1376.952547,1382.7782914999998
1350.00000315,1263.2409358,1300.1178232
1298.00000835,1195.6736282,1250.8651453500001
1286.9999975,1256.6548367,1267.563203
1291.999997,1257.5281666,1247.7887254
1305.00000765,1288.4144951,1274.64724665
1376.9999885,1346.33228525,1395.8618685000001
1611.999965,1591.94087425,1628.0525195
1777.99998425,1779.667547,1852.5847023
1912.00001865,1888.8950163,1947.6808903
1957.9999782,1937.10309685,1980.2085035
1949.000003,1939.700274,1986.7002215
1935.00004025,1950.3435415,1962.2910798
1916.9999823,1927.28559825,1954.7227982499999
1919.999982,1927.554772,1930.464358
1889.999985,1886.04889675,1923.391153
1859.000012,1860.541562,1903.91746885
1822.99997975,1842.10776685,1918.478747
1802.9999937,1839.348237,1902.60203675
1896.0000322,1891.46191215,1881.6305157
1896.0000322,1847.5909885,1852.2498155
1832.0000147,1794.4259165,1807.9380683
1732.99998875,1705.28342165,1695.628455
1564.99998165,1547.2209269999998,1536.5998387
1439.99997025,1384.6640732,1398.8496792
1359.00000225,1295.7825305,1318.866465
1317.9999944,1247.24479725,1268.92365075
