True,Baseline,Proposed
11487.000035,11414.6587079,11352.2416679
11229.9999875,11091.4758962,11097.782822
11140.9999442,10930.7391074,10914.840125
11108.9999699,10724.2947476,10937.1127019
11183.9999201,10742.6195135,10976.2456706
11505.9998354,10790.7212588,11207.6640809
11865.999908,11062.8564368,11483.3298062
12279.9998468,11708.4890384,12134.5425446
12540.999905,12255.589976,12759.5492528
12376.0001036,12589.3358255,13077.463679
12221.000162,12757.066595,13229.766598999999
12208.0000994,12659.8154375,13300.5003089
12044.9998025,12492.339545,13106.083361
12021.0000722,12262.6546322,13013.0114072
12234.000002,12188.346968,13155.1726712
12999.0000728,12470.7008216,13633.4261
14142.999794,13594.644728,14779.678088
14900.000066,14358.1153142,15208.424609000002
14995.000181,14763.050981,14852.936860999998
14509.0002722,14249.59403,14660.44685
13889.0001719,13541.8491278,13836.730019
13209.999719,12812.9111474,12949.259435
12428.0000201,12026.9666426,12215.3024924
11823.99974,11457.253997,11704.1265236
11527.9998386,11593.1420591,11588.817275000001
11448.0001811,11409.61871,11505.973345999999
11425.0000361,11335.5283034,11429.5678994
11561.000066,11428.47293,11561.051709200001
12097.0000529,11879.6159048,12038.9049032
13484.999759,13293.0636881,13295.5898642
15236.000297,15116.296034,15317.340896900001
16298.000411,16302.223133,16413.0171632
16533.000344,16785.250664,16605.011444
16118.99996,16690.4813852,16489.901644999998
15779.9998601,16586.0066351,16351.157291
15539.000078,16348.7005661,16083.140213
15616.0000892,16220.265152,16023.530159
15722.0000945,16145.9123,16010.695710799999
15985.999799,16085.329484,16235.113239799999
16453.00013,16177.235459,16573.865252
16891.999606999998,16542.661184,17160.663338
16898.9999318,16787.339097199998,16989.101066
16821.000224,16826.8750832,16699.319273
16144.99964,16095.183986,16300.821866
15267.0001295,15175.785884,15189.207551
14189.9998919,14072.444498,13990.564427000001
13321.000322,13061.5504502,13129.675621999999
12600.000035,12349.125383,12437.957252
12155.999849,12103.5972491,12153.331654099999
11977.0000658,11902.9765505,12002.5332875
11898.0001049,11731.9540835,11861.7621605
11955.0000626,11766.9560414,11992.9183031
12447.0001544,12088.2644498,12424.607373499999
13763.999921,13382.4527249,13692.273749
15474.9997955,15165.1384808,15608.013869
16358.000015,16351.2811679,16620.147130999998
16477.9997795,16742.249909,16770.029276
16123.999556,16629.306008,16581.420296
15704.000102,16421.631338,16353.486799999999
15397.999672999998,16018.5835418,16049.341742
15399.00026,15806.1942038,16000.639088
15466.0001888,15714.7100558,15980.4307922
15812.9999762,15683.021165,16251.8202602
16304.0000375,15612.938894,16622.192825
16794.9999875,15955.8624302,17282.266379
16875.9997868,16397.203214,17006.372600000002
16954.999859,16626.396959899997,16709.639009
16244.9999075,16000.033616,16326.2199695
15374.000054,15114.003254,15251.249510000001
14367.9999785,14061.61946,14114.1381458
13483.0002545,13049.4111818,13251.178493
12762.999998,12368.676341,12554.113604900002
12308.000033,12357.9706166,12355.8573635
12103.9999325,12134.911838,12212.4830408
12042.9999641,11844.841778,12059.4473216
12106.9998014,11906.8601414,12190.0044476
12531.9998531,12248.374397,12576.2655326
13852.999853,13536.753591199998,13880.3434805
15513.999872,15278.7522965,15869.512106
16583.9997848,16556.0042732,16911.8459552
16819.000163,17034.046232,17170.994204000002
16492.0002065,16996.985558,17030.395592
16291.9997828,16806.541908799998,16791.0255758
16089.000158,16418.1572198,16427.424836899998
16109.0003228,16237.682489,16371.6893585
16044.999929,16137.2784251,16323.311144000001
16115.9998685,16068.611111,16619.8213559
16526.0001305,15942.1971275,16966.33799
17117.999821999998,16215.28559,17569.343582
17169.0002645,16609.809587,17206.560119
17195.000501000002,16860.267977000003,16775.8264478
16533.000344,16296.464471,16502.698919000002
15670.999652,15266.586204800002,15442.944839
14672.0002352,14206.248245,14285.331347
13778.999822000002,13225.175474,13479.4531235
12877.999943899998,12576.7408949,12786.8485829
