True,Baseline,Proposed
11487.000035,11331.305804,11352.2416679
11229.9999875,11013.5705708,11097.782822
11140.9999442,10893.373694,10914.840125
11108.9999699,10738.3256708,10937.1127019
11183.9999201,10818.622388,10976.2456706
11505.9998354,11002.1892554,11207.6640809
11865.999908,11362.2886076,11483.3298062
12279.9998468,12103.360514,12134.5425446
12540.999905,12764.717357,12759.5492528
12376.0001036,13070.078924,13077.463679
12221.000162,13259.963402,13229.766598999999
12208.0000994,13298.061392,13300.5003089
12044.9998025,13094.007311,13106.083361
12021.0000722,12903.9664565,13013.0114072
12234.000002,12954.024188,13155.1726712
12999.0000728,13204.4553095,13633.4261
14142.999794,14596.655255,14779.678088
14900.000066,15149.9757479,15208.424609000002
14995.000181,15073.4161508,14852.936860999998
14509.0002722,14570.22707,14660.44685
13889.0001719,13794.036452,13836.730019
13209.999719,13111.2815162,12949.259435
12428.0000201,12328.232147,12215.3024924
11823.99974,11707.9744985,11704.1265236
11527.9998386,11433.8106554,11588.817275000001
11448.0001811,11089.5904742,11505.973345999999
11425.0000361,11102.8200374,11429.5678994
11561.000066,11106.434171,11561.051709200001
12097.0000529,11450.8059428,12038.9049032
13484.999759,12550.1302892,13295.5898642
15236.000297,14761.9665851,15317.340896900001
16298.000411,16396.8766598,16413.0171632
16533.000344,16830.8441525,16605.011444
16118.99996,16806.3070658,16489.901644999998
15779.9998601,16820.829935,16351.157291
15539.000078,16475.2274078,16083.140213
15616.0000892,16478.820616999998,16023.530159
15722.0000945,16289.5890248,16010.695710799999
15985.999799,16196.983418,16235.113239799999
16453.00013,16431.204918800002,16573.865252
16891.999606999998,17479.4918711,17160.663338
16898.9999318,17382.493142,16989.101066
16821.000224,17246.419988,16699.319273
16144.99964,16527.4960025,16300.821866
15267.0001295,15502.0532639,15189.207551
14189.9998919,14397.43382,13990.564427000001
13321.000322,13407.1245959,13129.675621999999
12600.000035,12479.2423175,12437.957252
12155.999849,12284.490134,12153.331654099999
11977.0000658,12010.5156122,12002.5332875
11898.0001049,11964.2468666,11861.7621605
11955.0000626,11922.195278,11992.9183031
12447.0001544,12344.7318155,12424.607373499999
13763.999921,13540.70207,13692.273749
15474.9997955,15347.5515011,15608.013869
16358.000015,16589.5656752,16620.147130999998
16477.9997795,16866.941525000002,16770.029276
16123.999556,16735.687661,16581.420296
15704.000102,16648.224225500002,16353.486799999999
15397.999672999998,16307.967326,16049.341742
15399.00026,16268.2016168,16000.639088
15466.0001888,16141.547114,15980.4307922
15812.9999762,16205.8267595,16251.8202602
16304.0000375,16395.574894999998,16622.192825
16794.9999875,17262.989219000003,17282.266379
16875.9997868,17134.977524,17006.372600000002
16954.999859,16856.184713900002,16709.639009
16244.9999075,16168.230176,16326.2199695
15374.000054,15296.8318685,15251.249510000001
14367.9999785,14279.008394,14114.1381458
13483.0002545,13471.204124,13251.178493
12762.999998,12692.3495405,12554.113604900002
12308.000033,12442.8436559,12355.8573635
12103.9999325,12167.9761742,12212.4830408
12042.9999641,12074.1283481,12059.4473216
12106.9998014,11926.1822666,12190.0044476
12531.9998531,12241.4294996,12576.2655326
13852.999853,13309.0330121,13880.3434805
15513.999872,15269.008537999998,15869.512106
16583.9997848,17054.523205999998,16911.8459552
16819.000163,17369.852467099998,17170.994204000002
16492.0002065,17347.856582,17030.395592
16291.9997828,17359.946544500002,16791.0255758
16089.000158,17013.8323712,16427.424836899998
16109.0003228,16943.1113495,16371.6893585
16044.999929,16778.757422000002,16323.311144000001
16115.9998685,16670.255504,16619.8213559
16526.0001305,16661.0570042,16966.33799
17117.999821999998,17957.588033,17569.343582
17169.0002645,17477.1812831,17206.560119
