True,Baseline,Proposed
11487.000035,11080.6641029,11352.2416679
11229.9999875,10589.0747081,11097.782822
11140.9999442,10770.8537636,10914.840125
11108.9999699,10362.566186,10937.1127019
11183.9999201,10850.0518385,10976.2456706
11505.9998354,11354.4637724,11207.6640809
11865.999908,12096.2590175,11483.3298062
12279.9998468,13054.5532418,12134.5425446
12540.999905,13214.614217,12759.5492528
12376.0001036,13261.035221,13077.463679
12221.000162,13299.494936,13229.766598999999
12208.0000994,13018.0957025,13300.5003089
12044.9998025,12975.606371,13106.083361
12021.0000722,12686.6824784,13013.0114072
12234.000002,12808.3797905,13155.1726712
12999.0000728,13551.972308,13633.4261
14142.999794,14213.550638,14779.678088
14900.000066,14604.634352,15208.424609000002
14995.000181,14800.153949,14852.936860999998
14509.0002722,14049.350861,14660.44685
13889.0001719,13643.7831215,13836.730019
13209.999719,12797.565326,12949.259435
12428.0000201,11881.0468889,12215.3024924
11823.99974,11474.5490153,11704.1265236
11527.9998386,11238.4444298,11588.817275000001
11448.0001811,11022.1642664,11505.973345999999
11425.0000361,10949.362046,11429.5678994
11561.000066,10998.6510284,11561.051709200001
12097.0000529,11743.390715,12038.9049032
13484.999759,13355.212829,13295.5898642
15236.000297,15266.490932,15317.340896900001
16298.000411,16374.3150368,16413.0171632
16533.000344,16512.682974199997,16605.011444
16118.99996,16200.876692,16489.901644999998
15779.9998601,15773.1747215,16351.157291
15539.000078,15501.732386,16083.140213
15616.0000892,15744.725885,16023.530159
15722.0000945,15814.3254479,16010.695710799999
15985.999799,15591.420152,16235.113239799999
16453.00013,16248.332786,16573.865252
16891.999606999998,16663.715516,17160.663338
16898.9999318,16909.093061,16989.101066
16821.000224,17187.7877045,16699.319273
16144.99964,15887.438084,16300.821866
15267.0001295,15311.216837,15189.207551
14189.9998919,13873.6697099,13990.564427000001
13321.000322,12845.6140925,13129.675621999999
12600.000035,12014.3911895,12437.957252
12155.999849,11734.94861,12153.331654099999
11977.0000658,11427.31541,12002.5332875
11898.0001049,11276.0983328,11861.7621605
11955.0000626,11310.1835126,11992.9183031
12447.0001544,12094.1378621,12424.607373499999
13763.999921,13552.513226,13692.273749
15474.9997955,15306.7642805,15608.013869
16358.000015,16424.168978,16620.147130999998
16477.9997795,16669.2552509,16770.029276
16123.999556,16355.349962,16581.420296
15704.000102,16048.1526128,16353.486799999999
15397.999672999998,15722.934458,16049.341742
15399.00026,15836.3443721,16000.639088
15466.0001888,15875.693708,15980.4307922
15812.9999762,15700.9034021,16251.8202602
16304.0000375,16051.891625,16622.192825
16794.9999875,16458.737645,17282.266379
16875.9997868,16652.017886,17006.372600000002
16954.999859,16872.313976,16709.639009
16244.9999075,15802.6012172,16326.2199695
15374.000054,15106.141022,15251.249510000001
