True,Baseline,Proposed
11487.000035,11477.7038138,11352.2416679
11229.9999875,11124.848756,11097.782822
11140.9999442,11016.9592106,10914.840125
11108.9999699,10765.6932278,10937.1127019
11183.9999201,10903.328366,10976.2456706
11505.9998354,11170.3408502,11207.6640809
11865.999908,11725.8757679,11483.3298062
12279.9998468,12276.1989518,12134.5425446
12540.999905,13019.8842935,12759.5492528
12376.0001036,13253.494646,13077.463679
12221.000162,13344.116219,13229.766598999999
12208.0000994,13436.9842712,13300.5003089
12044.9998025,13022.7315701,13106.083361
12021.0000722,13255.643849,13013.0114072
12234.000002,13027.6606019,13155.1726712
12999.0000728,13507.574738,13633.4261
14142.999794,14317.4509688,14779.678088
14900.000066,14913.746729,15208.424609000002
14995.000181,15222.3732815,14852.936860999998
14509.0002722,14529.1211975,14660.44685
13889.0001719,13828.140998,13836.730019
13209.999719,12977.7427745,12949.259435
12428.0000201,12165.8964224,12215.3024924
11823.99974,11516.4831824,11704.1265236
11527.9998386,11610.5532746,11588.817275000001
11448.0001811,11370.4895255,11505.973345999999
11425.0000361,11363.346848,11429.5678994
11561.000066,11423.2805624,11561.051709200001
12097.0000529,11966.9209604,12038.9049032
13484.999759,13369.869926,13295.5898642
15236.000297,15233.20778,15317.340896900001
16298.000411,16094.8685618,16413.0171632
16533.000344,16589.125594999998,16605.011444
16118.99996,16462.437256999998,16489.901644999998
15779.9998601,16211.263208,16351.157291
15539.000078,16003.802234,16083.140213
15616.0000892,15824.8622189,16023.530159
15722.0000945,15977.8275965,16010.695710799999
15985.999799,16137.403415,16235.113239799999
16453.00013,16179.1747502,16573.865252
16891.999606999998,17048.2721528,17160.663338
16898.9999318,16800.2521232,16989.101066
16821.000224,16885.465184,16699.319273
16144.99964,16198.106435,16300.821866
15267.0001295,15087.2261435,15189.207551
14189.9998919,13984.1429735,13990.564427000001
13321.000322,12920.2933874,13129.675621999999
12600.000035,12205.381989500002,12437.957252
12155.999849,12112.9160642,12153.331654099999
11977.0000658,11991.470624,12002.5332875
11898.0001049,11801.69522,11861.7621605
11955.0000626,11614.3787669,11992.9183031
12447.0001544,12044.2064561,12424.607373499999
13763.999921,13214.857964,13692.273749
15474.9997955,15245.2778198,15608.013869
16358.000015,16137.745106,16620.147130999998
16477.9997795,16781.5038608,16770.029276
16123.999556,16615.4409218,16581.420296
15704.000102,16336.0222718,16353.486799999999
15397.999672999998,16121.119112,16049.341742
15399.00026,15764.1883595,16000.639088
15466.0001888,16169.2535795,15980.4307922
15812.9999762,16093.940765,16251.8202602
16304.0000375,16118.706128,16622.192825
16794.9999875,16999.3967612,17282.266379
16875.9997868,16824.929114,17006.372600000002
16954.999859,16997.555414000002,16709.639009
16244.9999075,16201.737041,16326.2199695
15374.000054,15324.8737922,15251.249510000001
14367.9999785,14059.2703622,14114.1381458
13483.0002545,13058.218796,13251.178493
12762.999998,12276.1707929,12554.113604900002
12308.000033,12124.944923,12355.8573635
12103.9999325,12210.996518,12212.4830408
12042.9999641,11766.132644,12059.4473216
12106.9998014,11321.7482504,12190.0044476
12531.9998531,11305.9164932,12576.2655326
13852.999853,12398.8180505,13880.3434805
15513.999872,14361.843419,15869.512106
16583.9997848,15666.273854,16911.8459552
16819.000163,16286.6315612,17170.994204000002
16492.0002065,16010.1311972,17030.395592
16291.9997828,15956.7719738,16791.0255758
16089.000158,15711.5403431,16427.424836899998
16109.0003228,15666.2711828,16371.6893585
16044.999929,15657.603584,16323.311144000001
16115.9998685,15448.9076252,16619.8213559
16526.0001305,15728.222321,16966.33799
17117.999821999998,16726.513202000002,17569.343582
17169.0002645,16929.153439100002,17206.560119
17195.000501000002,16634.388299899998,16775.8264478
16533.000344,15755.668901,16502.698919000002
15670.999652,15376.912775,15442.944839
14672.0002352,14182.2939251,14285.331347
13778.999822000002,13133.277289999998,13479.4531235
12877.999943899998,12266.507393,12786.8485829
12385.0001555,12492.6569726,12457.399915099999
12230.9999105,12253.148054,12327.5149298
12148.9999694,12108.9008054,12164.442287900001
12208.999796,11824.5809486,12267.873044
12593.0001554,12335.4239078,12703.5238379
13947.999968,13456.593773,14022.562064000002
15588.9997109,15500.492504000002,16030.290521
16575.0000668,16487.8241192,17085.331046
16844.999842999998,17121.847129100002,17275.464836
16613.000558,17045.604737,17046.951467
16510.000199000002,16777.485263000002,16722.971636000002
16404.999778999998,16544.582221999997,16281.536915
16345.000175,16265.988305,16159.307255
16228.999976,16645.412231000002,16068.554348
16332.999809,16501.034983999998,16372.013798
16676.0000309,16555.565306,16698.982034
17032.000538,17525.382308,17510.701838
17200.000097,17338.993763,17415.952148
17219.00012,17498.412092,17002.017431
16520.999978,16627.613135,16639.794363499997
15560.000162,15611.9779298,15548.666483
14556.0001475,14389.641707,14381.7476432
13667.9998868,13447.6212122,13536.704173999999
12955.000289,12593.123921,12815.883525199999
12514.9998911,12380.2465325,12438.3258776
12305.0000528,12293.4054866,12260.1181052
12262.9999961,11988.9803978,12120.220683200001
12350.9998976,11742.9452924,12230.051078
12714.9999809,12083.65151,12634.427128399999
13925.9999648,13208.5312268,13803.511421
15448.999559,15185.595866,15652.844396
16502.9999855,16298.5163978,16739.5125968
16833.0002561,16910.726945000002,16992.804573499998
16627.9997912,16750.0116371,16819.124819
16484.999992999998,16511.0470868,16492.9461452
16262.000426,16267.000022,16079.9453465
16330.000274,16003.8036809,15902.846456
16337.9999615,16122.864296,15821.667575
16341.000053,15965.570684,16034.608961
16647.000482,16049.169227,16291.033030999999
16867.0001801,16877.4778508,17074.34351
16796.000018,16758.870338,16961.729056999997
16644.0002792,16735.238009,16495.041479
15968.0000291,15850.287257,16086.4964645
15001.999838,15192.766925,14999.1232895
14084.999694499998,14100.6698441,14033.006456
13271.0002439,13140.821204,13314.075236
12584.0001035,12336.746597,12627.123845
12106.0001048,12195.1264736,11996.449073
11868.9998882,11857.713623,11795.0348054
11788.9998968,11676.0149261,11594.436812
11705.9999252,11371.9585742,11576.6930321
11801.9998481,11620.5261998,11659.1539778
12247.0000646,12110.64176,12074.920025
12871.9998722,13141.481213,12947.9173796
13817.9998985,13957.766543,13863.1262609
14608.999538,14821.8337421,14361.342569
14794.000172,15000.7884488,14324.355352999999
14726.999798,14887.808264,14082.448142000001
14492.9997842,14786.283743,13690.080026
14228.0001605,14181.993749,13321.775526500001
14011.999694000002,14590.613891,13088.2257212
13895.999495,14291.817910999998,13297.9940555
14176.000244,14514.9795308,13573.909538
14713.999958,15246.707357,14457.093291199999
15079.999991,15484.710164,15024.766253000002
15120.000098,15668.5691939,14824.2763319
14585.9998382,14795.747582,14552.402375
13869.000341,14150.3518268,13690.9276868
13240.0003001,13262.7363302,12864.2122112
12501.9999398,12562.091255,12288.9312266
11889.000053,11779.4313245,11758.041134
11446.0000088,11626.7687942,11384.6747105
11183.9999201,11313.5160572,11077.5653996
11068.000055,11105.8862411,10941.4762184
11006.999864,10836.8660162,10875.732644
11063.999933,10948.4710895,10882.2154238
11319.0000308,11192.9673611,11127.957365
11594.99999,11976.0015935,11591.626487000001
12231.999941,12597.4472582,12222.671554100001
12710.000051,13320.670874,12741.2325005
12782.000021,13608.197729,12914.903351
12559.999928,13686.403787,12914.8156466
12269.0000678,13780.3559012,12832.2513032
11977.0000658,13388.4532418,12598.884809
12118.000025599998,13580.12453,12400.4898878
12606.9999146,13344.2303015,12572.719737200001
13233.9997832,13812.817214,13017.0005105
14083.999664,14511.6346319,14055.850781000001
14546.999873,15059.7063281,14684.353422200002
14512.999949,15219.429953,14461.8392345
14014.9997855,14502.239465,14093.237564
13427.99969,13976.968019,13434.287027
12694.9998161,13104.355985,12651.5332706
11880.0001124,12281.998127,11920.5222164
11386.0001822,11634.5919599,11408.9873051
