True,Baseline,Proposed
17786.0001308,17897.30614586,17812.832778850003
17770.00033376,17745.91862805,17620.297626339998
17738.9998839,17733.9029914,17599.43286457
17798.999735960002,17715.4024213,17698.2783954
18006.0004059,18127.55247785,17769.62216733
18393.00017215,18294.10344246,18140.863415
18786.99977296,18461.6242729,18738.87177153
19102.99959675,18865.6170021,19349.246952100002
19633.999989,19712.9060165,19774.4044316
19790.000156200003,19770.7545967,20005.090092730003
19552.99956023,19380.0689724,19907.7115472
19324.0000891,19510.52075517,19684.9029993
19114.9999044,19113.65033924,19487.97670145
19165.0000366,19022.4771262,19465.76789296
19246.0000055,19145.6594373,19366.16480295
19520.99981286,19589.7635608,19736.964882
19913.0000522,20120.82864143,20246.7415073
20803.000259300003,20781.7573311,20738.50701747
20853.9998423,20714.3771787,20810.322309440002
20729.99972905,20765.0885765,20783.583015
20338.99970696,20330.4899659,20492.9804317
19936.000296960003,19936.33753496,20040.7933265
19305.00040676,19345.29283655,19443.8606059
19102.99959675,19192.14539625,18855.13564506
18912.99986084,19030.880484,18822.2236689
18809.00026034,19165.151793700003,18747.4181489
18933.9996711,18942.0213368,18905.24001446
19190.9995535,19404.08890224,19130.6216883
19840.9997392,20233.4834552,19626.8704711
21409.0000834,21890.0808207,21065.938596300002
23027.0005598,23643.253952,22779.97617744
23603.99990867,23523.6616927,23243.79002256
23328.00019064,23361.4379515,22854.124696500003
23033.9997812,22910.5798706,22412.5329961
22523.999352500003,22471.40907917,21943.9683873
21896.00026734,22483.3161865,21521.60446476
21333.0004343,21903.11139044,21308.850514539998
21222.0000795,21847.9230049,21159.048475199997
21110.0002739,21676.8329701,20963.56647573
21192.99960427,21651.618298,21140.049099440002
21383.0005665,22050.5355953,21550.81847296
21808.9996081,22360.07823113,22070.567532499997
21776.00025664,22707.4261665,22206.45666486
21599.00043247,22437.520799,22080.0730454
21110.9997247,21755.72750085,21688.20478875
20651.99979874,21222.1702314,20977.717135500003
20035.0004974,20527.718398340003,20147.62495975
19451.99953845,20115.20397146,19447.33798955
19106.0002485,19439.9256516,19118.15568563
19183.0008813,19458.9474077,18992.9504064
19175.0006762,19337.9939332,19076.2742517
19322.99987185,19523.98023033,19302.7740228
19657.99968456,20425.97660625,19816.44804635
21118.000479,21403.395801,21290.2693139
22672.99968514,23206.4173074,22994.68166265
22958.0001321,23864.5372644,23396.4202624
22725.99954935,23451.61922495,23130.2321774
22491.0006142,23132.139105,22873.6707044
22165.9997549,22541.1555693,22592.5061864
21904.00047244,22183.716093360003,22259.34769317
21844.0003138,21799.681109,22099.5270793
21855.999855,21635.5366441,22054.869103600002
21829.99972494,21934.5885722,21950.2394812
22076.0001301,22162.8435138,22186.093008099997
22376.00000356,22311.9364336,22429.98107706
22758.99982055,22926.9343807,22693.45608235
22676.0001836,22699.9348842,22716.188222899997
22430.0003916,22505.723352250003,22635.356873
22123.000377,21961.3269469,22244.2604315
21797.0000669,21420.7926831,21556.0803055
20895.9997694,20687.2218552,20744.1200374
20718.00049443,20516.22609375,20034.06650143
20421.0000464,19754.66788423,20056.84999413
20292.9998306,20016.1335642,19910.1090028
20294.00004785,19861.70078725,20023.4546946
20371.00037407,20094.3819776,20160.9696207
20660.00000384,20996.76587064,20641.19745244
22275.999126,22117.3715682,22161.3106138
23404.0004529,23732.99053116,23925.4271182
23882.0000612,24285.0347279,24312.985626499998
23707.99950917,23815.23076945,24091.9322491
23391.9993788,23383.1223549,23833.34627507
23067.0000524,22951.7183079,23588.2443026
22693.0000446,22936.0857937,23263.28421844
22445.9992689,22509.2559203,23120.52370854
22329.0006764,22179.49770585,23035.0728112
22176.9998453,22443.76935927,22882.51661043
22369.000169,22489.2761017,23063.0880916
22506.9994915,22353.2281609,23149.5620464
22855.9994332,23063.8407455,23371.967441599998
22865.000622,22995.4718726,23369.703348299998
22709.9999056,23000.5503703,23272.40466686
22314.99993425,22316.164171800003,22875.995653830003
21829.00012085,21770.407317700003,22128.70981634
21093.0004129,21073.17786984,21275.2346307
20577.9996644,20863.10281566,20476.8144683
20346.00030797,19939.62851797,20242.5428942
20294.00004785,20033.8063683,20103.84242324
20197.000435200003,19844.8641801,20221.67322715
20327.99992314,20254.9839106,20331.7776019
20779.00041045,20942.65419406,20844.14390846
22207.0002312,22338.2839188,22351.6002211
23650.0002449,24307.12488993,24120.7093808
24108.0001069,24823.4305962,24527.591626499998
24010.000277,24179.3887928,24276.9272198
23616.0005229,23749.8073639,23869.95376655
23151.99997056,23289.16876784,23572.871768240002
22880.0000485,23150.5354379,23190.167034500002
22460.99961514,22673.9568279,22965.5619278
22266.0000193,22476.2280569,22849.034702049998
21925.0002827,22339.97991936,22603.0785977
22073.999695600003,22194.5638135,22810.91147905
22228.99995213,22343.7042532,22955.7283743
22735.9994225,22954.5204491,23296.4445244
22649.99974696,23096.62089226,23229.770579030002
22529.99973626,22697.117414,22991.7484585
22125.00035163,22103.8989101,22503.117422249998
21581.99965173,21457.7309744,21771.32951034
21028.00008775,20867.7254289,20989.97818944
20504.0004498,20632.9985835,20220.060616349998
20294.99965194,19985.3881889,19983.2344644
20178.0001397,20368.3939842,19835.7112342
20157.99978024,20198.88973445,19941.19544835
20125.999573,20825.74788214,19993.7670203
20580.0000989,21519.254529060003,20411.74500936
22108.000337340003,22996.6368766,21677.102760499998
23383.99963357,24291.8423368,23236.1892912
23650.0002449,24765.7736285,23730.965876839997
23729.99999655,24442.33111534,23566.33808857
23509.99972145,23952.967199600003,23221.8352156
22710.999356400003,23696.0454951,22924.2809308
22489.9996305,23543.13611417,22526.361551399998
22321.0004713,22947.03330563,22271.9721977
22110.00046526,22883.14785865,22095.6503752
21804.00005475,22702.8228678,21812.19938356
21822.000133,22455.0679053,21983.49053484
21982.99985355,22751.6549302,22125.9834004
22382.00008074,22644.79263895,22209.7103984
22170.00001074,22984.0226425,21903.26299425
21537.0002992,22313.4693336,21453.703432939998
20941.99995234,21733.690530450003,20919.5021922
20508.00024577,21152.86720924,20273.10508795
19728.9999336,20391.51532806,19686.4282348
19390.99962243,19946.91607786,18995.3386646
19059.999912270003,18749.34439104,18978.276874440002
18919.9996954,18702.1638751,18758.647407850003
18871.9999977,18337.7690187,18720.49674594
18908.999605,18436.0708299,18749.8171374
19137.999536,18732.78109996,18866.6839005
19545.99987896,19018.3735529,19367.66428573
19955.9994301,19731.8051406,20270.6976685
20651.00034794,20143.3397378,20937.78876946
21181.00021636,20971.0766127,21223.1543532
21421.99968856,21206.28080316,21392.1841704
21255.0003507,20890.81657463,21288.7624732
20994.99981655,20519.33818733,21077.2314706
20714.9995361,20441.3799519,20848.18601247
20523.00013214,20243.2097057,20857.4810582
20470.0007278,20501.1354597,20653.7065296
20616.0002554,20311.8667638,21023.8328991
20962.0003118,21087.78487394,21400.550738600003
21396.99962246,21287.63211274,21537.75371955
21276.00016096,20998.59140125,21237.073085199998
20737.00033006,20306.346790900003,20864.3775753
20261.9999939,19870.383899300003,20403.41231825
19791.00022016,19450.09552336,19881.008429200003
19181.0004468,19041.17176144,19390.45958176
18803.99978725,18734.11778876,18810.7483795
18620.9998859,18191.2268445,18552.5712299
18521.99983875,18081.9188113,18347.4354861
18534.9995972,18109.4159715,18338.924825299997
18561.000647,18327.77803637,18395.30902613
18606.9999102,18629.93914554,18512.8124026
18877.9997683,19414.73335984,18915.833273199998
19059.0000016,20267.599677600003,19622.76444516
19594.9999472,20417.3394812,20204.06296537
20074.99999,20911.65113827,20487.7057228
20116.9999171,20905.69306255,20657.4084831
19815.0002223,20726.3337987,20473.878045060002
19503.99979857,20341.72459,20254.99877973
19215.9996196,19997.2007163,20042.52810943
19110.99980185,19920.96760653,19975.9026037
19181.0004468,20133.70776065,19757.52490325
19360.9996964,20159.09718335,20074.73709765
19736.0006879,20636.2391341,20568.413674249998
20357.9993893,21047.6357703,21003.7411788
20476.9999492,21211.5365041,20973.4955289
20306.9998063,21200.1501229,20816.761869050002
20024.9998578,20623.3152542,20472.090070500002
19528.99986467,19852.9103722,19928.84349344
18956.99991586,19518.0023802,19345.9144275
18444.9999724,18983.2425507,18755.4045579
