True,Baseline,Proposed
16015.306118530349,15740.995806273619,15792.290618792304
15663.265444987734,15134.531464642074,15369.547169558715
15568.367453765482,15136.86116346126,15227.412094182688
15445.918318664802,15102.156496350777,15067.410833147638
15657.142870258333,15012.782507411599,15103.314119830371
15784.6939543429,15312.949851631653,15569.797598033649
16429.591837900858,15810.20635368561,16128.675208980192
17525.510004397976,16982.8928005029,16987.402960566586
18410.204209173404,17763.100647349933,18120.075746274804
18813.26510989471,18279.06036319924,18809.53269584776
18878.571295619342,18717.96202418858,19003.280524662478
18958.16270255013,18635.263909761663,18990.38356682408
19052.040805366665,18522.79157197162,19158.21331194037
18630.61188552124,18252.41349284653,18812.256429053887
18198.97936264396,17899.115654951867,18442.00862393062
18288.776142222116,18338.587427071412,18693.875050139344
19383.67324056985,19086.704623852456,19369.498030461247
20453.06103640201,20082.79759967507,20072.519967727698
20686.73493035804,20035.07254404435,20538.255340974036
20074.48984472648,19617.226505735263,20020.99820201983
19071.428417960586,18676.573519296035,19164.836835327118
18236.734699426084,17834.425885296623,18288.276225840484
17353.060972928208,16779.381118110614,17175.335832814755
16536.734831113954,15863.911824933075,16206.938961874446
16118.367493569149,15738.276939510144,16018.816298362806
15943.87780048019,15418.550182523722,15783.629088209633
15937.75522575079,15677.36043252654,15902.741170861937
16452.041032795398,15965.194736384117,16273.709651901738
17419.387636930398,16507.43692925899,17239.786409440203
20010.203989811438,19420.32477967748,20135.656899772737
22326.530414461467,21404.983966685955,22348.8654691556
23535.714148901083,22715.149335536,23465.379305768274
24030.612195883812,23072.592497763322,23951.996289503026
23960.20420864325,22899.71580921192,24174.399354806577
24204.081705631135,22984.75615723456,24370.662987004973
24106.12242704418,22912.187174520113,24430.795996721434
24393.877393139715,23525.206172001468,24426.5548182153
23900.000414306378,22734.045879825837,24056.287842257338
23471.428441454,22430.60489437986,23569.307939875034
23451.020350582527,22970.80421361616,23632.379396146192
24071.428377626762,23657.27641169523,23945.484841765254
24728.57126317556,23814.90343858742,24361.611403670257
24696.938796058756,23866.02468131814,24719.228578089416
23992.857448973526,23157.07984093902,23746.553514185223
22336.734754833124,21514.27792755171,22271.834105996244
20838.775870956335,20172.559871750782,20727.433137733642
19469.387517165957,18629.869974218585,19320.79821162032
18583.67371892073,17337.65794459144,18382.758947289673
18052.040665965473,17823.137213021088,17983.72923070063
17786.734747296516,17508.826511771615,17679.810154130973
17885.71450416102,17614.53641135736,17763.20077809422
18091.836369430865,17681.7390350371,17993.240619132077
18910.204057672065,18581.597370055417,18843.472446653956
20902.04110012586,21008.48642242406,21454.993448472393
22901.0209006507,22764.299963928148,23582.160657325672
24086.73481445026,23792.504972670835,24576.7701054789
24343.877939174505,24131.904987688118,24978.587851304277
24281.632156006817,23880.96613494266,25014.403394551293
24516.325938368558,23991.196959753113,25114.569531147437
24537.754507517588,24064.585864320623,25084.371042465733
24693.877951097933,24020.919569330523,24991.020874943082
24275.51017114925,23495.725262409156,24487.333737592984
23790.816464538177,23130.177261145083,23992.65173117046
23475.510354564212,23141.255054238984,24054.9031181206
24282.65263428437,23953.629497150985,24317.983007945673
24869.387827528524,24228.151425929147,24723.049472911873
24868.36734925097,24389.46176003787,24900.404763383696
24106.12242704418,23724.64346214946,24003.71698948783
22671.428919804883,21981.611263603765,22570.173584862212
21191.836285436708,20514.2879634397,21050.38059494864
19942.856405127823,19057.136560696268,19596.659149467872
18872.449310761778,18021.891579050098,18644.431992784128
