True,Baseline,Proposed
16015.306118530349,15913.556028584617,15891.301638864155
15663.265444987734,15421.66426341781,15530.247576188256
15568.367453765482,15112.97400849672,15293.794796009364
15445.918318664802,15138.406332737592,15246.222222248442
15657.142870258333,15329.212618170464,15337.710164382523
15784.6939543429,15483.923761105703,15664.363786347736
16429.591837900858,16067.1599820823,16254.510208423737
17525.510004397976,17118.483985190138,17376.396302789486
18410.204209173404,17953.17239487811,18495.69875851033
18813.26510989471,18527.93230502877,19109.533253805974
18878.571295619346,18934.579036645588,19367.670902446953
18958.16270255013,18893.23005316611,19371.200548050023
19052.040805366665,19221.32959847112,19476.66815777883
18630.61188552124,18689.797561067902,18919.552641476577
18198.97936264396,18237.642069778944,18489.121687530725
18288.77614222212,18514.014279040985,18566.817393846202
19383.67324056985,19819.206585903463,19429.998235396073
20453.06103640201,20284.306077309804,20149.904369181342
20686.73493035804,20465.69889303612,20513.519065500514
20074.48984472648,20014.456523350425,20186.681403522238
19071.428417960586,19096.424237042276,19340.937910806082
18236.734699426084,18131.41853929136,18445.602860499814
17353.060972928208,17134.576278768134,17253.49311384248
16536.734831113954,16214.78337249528,16350.406557729664
16118.367493569149,15982.594038484358,15989.883379706824
15943.87780048019,15654.393035223427,15821.347410534001
15937.75522575079,15472.619604694451,15859.596470043474
16452.041032795398,15833.165197847087,16122.414309305077
17419.387636930398,16918.597360170512,17155.666261482875
20010.20398981144,19313.265548265204,19973.49582300748
22326.530414461467,21395.17896954777,22116.18020039794
23535.714148901083,22687.637713070635,23354.169293708845
24030.61219588381,23151.07494564105,23873.81246424265
23960.20420864325,23154.881093667587,23868.37237122835
24204.08170563113,23588.571089511403,24126.528748300145
24106.12242704418,23640.99594900132,24105.75228246663
24393.877393139715,23796.035798017576,24189.2042531009
23900.000414306374,23270.016112928657,23658.336116449926
23471.428441454,22776.88679664838,23128.358391336507
23451.020350582527,22906.11296928132,22911.26314028786
24071.42837762676,23826.702350001728,23539.80638476844
24728.57126317556,23910.67060596109,23881.47416206205
24696.93879605876,23905.226088908024,24298.951677941142
23992.85744897353,23284.26063297808,23724.787243409664
22336.734754833124,21886.01073502396,22235.90206306147
