True,Baseline,Proposed
16015.306118530349,16279.65113597726,15891.301638864155
15663.265444987734,15829.221462214631,15530.247576188256
15568.367453765482,15560.208936391587,15293.794796009364
15445.918318664802,15660.245301183644,15246.222222248442
15657.142870258333,15908.699761220723,15337.710164382523
15784.6939543429,16145.715131663905,15664.363786347736
16429.591837900858,16557.452752167672,16254.510208423737
17525.510004397976,17256.376259912486,17376.396302789486
18410.204209173404,18477.64071703641,18495.69875851033
18813.26510989471,19268.809857289594,19109.533253805974
18878.571295619346,19299.03297312048,19367.670902446953
18958.16270255013,19208.12974144456,19371.200548050023
19052.040805366665,19933.97293526657,19476.66815777883
18630.61188552124,19313.253013488677,18919.552641476577
18198.97936264396,19318.7970714142,18489.121687530725
18288.77614222212,19281.573799028807,18566.817393846202
19383.67324056985,20657.873386194304,19429.998235396073
20453.06103640201,20787.16562447296,20149.904369181342
20686.73493035804,20690.23876906825,20513.519065500514
20074.48984472648,20345.104757394016,20186.681403522238
19071.428417960586,19326.39904471013,19340.937910806082
18236.734699426084,18607.738277840173,18445.602860499814
17353.060972928208,17679.439567149544,17253.49311384248
16536.734831113954,16674.649373498134,16350.406557729664
16118.367493569149,16300.699090323636,15989.883379706824
15943.87780048019,16095.219742951957,15821.347410534001
15937.75522575079,15941.092720603045,15859.596470043474
16452.041032795398,16435.503533448627,16122.414309305077
17419.387636930398,17684.539451582004,17155.666261482875
20010.20398981144,20505.156157535188,19973.49582300748
22326.530414461467,22469.864404345662,22116.18020039794
23535.714148901083,23534.508303398838,23354.169293708845
24030.61219588381,23981.431631495947,23873.81246424265
23960.20420864325,23958.565839616716,23868.37237122835
24204.08170563113,23996.277230947,24126.528748300145
24106.12242704418,23874.747411103875,24105.75228246663
24393.877393139715,23867.91861231794,24189.2042531009
23900.000414306374,23865.70025180793,23658.336116449926
23471.428441454,23580.93962262363,23128.358391336507
23451.020350582527,23641.07410701968,22911.26314028786
24071.42837762676,24575.534323980937,23539.80638476844
24728.57126317556,24385.5852697948,23881.47416206205
24696.93879605876,23910.503377295383,24298.951677941142
23992.85744897353,23749.263975275026,23724.787243409664
22336.734754833124,22200.911308110168,22235.90206306147
20838.77587095633,20989.94232655667,20694.078834725402
19469.38751716596,19482.70416881619,19298.825485701906
18583.67371892073,18443.408979671032,18323.516644046686
18052.040665965476,18051.32087485669,17879.32604470121
17786.734747296516,17520.52706205715,17627.87193890637
17885.71450416102,17679.32262505791,17706.787942584095
18091.836369430865,17826.015787584358,17810.73766460902
18910.204057672065,18599.45028359811,18441.89713815348
20902.04110012586,21014.024434163257,20977.448841054604
22901.0209006507,22945.448572714064,22974.89585961168
24086.73481445026,23669.60989446158,24104.526086386017
24343.877939174505,24313.841517779947,24595.98812991976
24281.632156006817,24334.54513444163,24544.502641329847
24516.32593836856,23954.515779585683,24741.593568779263
24537.754507517588,24120.26607900952,24698.534399377128
24693.877951097933,24481.949682403178,24685.46962300118
24275.51017114925,23947.57505261873,24068.07643091451
23790.816464538177,23832.60991644664,23581.170704915676
23475.51035456421,23841.86574290482,23409.32437499509
24282.65263428437,24661.42792161541,23996.592075039858
24869.387827528524,24683.31128195056,24379.7661841254
24868.36734925097,24488.8305373787,24794.34506979877
24106.12242704418,23961.179856661205,24005.03535304294
22671.428919804883,22576.4316826461,22492.22939503551
21191.836285436708,20795.041298301137,20888.350912135014
19942.856405127823,19782.95394762543,19494.064952923767
18872.449310761775,18705.142044624878,18483.54739867357
18246.93903979774,17805.864290961865,18087.16237246453
17917.347118745784,17582.66121197974,17811.20174627657
17953.06090910097,17525.34041624492,17841.74530998276
18262.244739281447,17725.206690686176,17960.68647727037
19132.652690575007,18530.685531826733,18478.732569806212
21175.51010767545,20593.507161241505,21094.05912977935
23142.85714614756,23029.286172061595,23138.10263167551
24340.816504341845,23826.62271730377,24276.82248851803
24598.978780132005,23982.62907132452,24760.13265073604
24309.183594821163,24322.661134014867,24678.8809020528
24461.224093015582,24294.389609155824,24838.12255563009
24529.592155976752,24304.70204354156,24789.92766708141
24473.468800070503,24544.27598307658,24795.892156158567
24132.653535048936,23938.6452778183,24180.73162897394
23635.71512138293,23636.98393570376,23734.406578387236
23453.06130713764,23810.013401060874,23744.726386170933
24142.85743301671,24247.359127612865,24393.5736091438
24961.22497378995,24608.351843617744,24536.33881510942
24793.877448900195,24192.2832366207,24850.078372952972
24181.63265820455,23775.416827964476,24137.43061211874
22697.95899553392,22438.79585470477,22693.295173856768
21152.04058197132,20913.48092705956,21061.15696353397
19782.65311298869,19582.10509417213,19609.870803931168
18878.571295619346,18586.23081333298,18573.346537739075
18302.04044274684,18037.26068975625,18075.002164550217
18076.53081741512,17689.518707223855,17836.091683363564
18062.24471140121,17789.720383598156,17857.303179676674
18346.93898000388,17767.676578123413,18022.52200457561
19062.2455881422,18513.595470036904,18622.7432901551
20990.81592674688,20885.45537875644,21196.92687938774
23154.08181732881,22807.12362699947,23115.52337004097
24222.4488399475,23576.59521654607,24232.97952691283
24383.6736426399,24197.545925680097,24713.16100890879
24193.877807663357,24124.985791043204,24642.676485797412
24364.28603004598,24012.45299138989,24851.468995808078
24298.979696853385,24167.58338573309,24787.336655038547
24479.591669735823,24226.406142632204,24768.3010484632
23953.06174550813,23724.530649160683,24169.547658949425
23588.775627570794,23445.257302737617,23627.33982610904
23362.24463915376,23649.593331021744,23497.839952943854
24152.041000174897,24445.343710894937,24184.69777973619
24964.28640862261,24145.454343777943,24509.486374421605
24855.101868982576,24278.130381848037,24865.89726093464
24221.428361669947,23705.703414811665,24139.696752247524
22779.591359019814,22178.60633687971,22663.279840380375
21241.83677167764,20752.69395673798,21074.867649571144
20012.244946366547,19363.7954444796,19673.225988555794
18960.20365910524,18431.72037429019,18668.94500176745
18344.897581044897,17952.466613225457,18202.55944228907
18075.510339137563,17730.879783075983,17945.43047448891
18004.08187361945,17813.998623590454,17974.76671801326
18331.63328052017,18052.919722470167,18094.578536131892
19166.32699905468,18561.40561468007,18555.405585824752
21072.44917504053,20712.28227960708,21045.947118223732
23067.34706245515,22817.559934470923,22952.294035379382
24111.224818431947,23426.11994327043,24081.488199398413
24286.734547394582,23890.149702100847,24543.293404064538
24226.530753057712,24025.51717789401,24413.44196728466
24370.407867435584,24059.75923801653,24533.20703806023
24231.632554573644,23995.76551712863,24429.362018286327
24325.509772582423,24010.446542337235,24349.858207323294
23856.12279773077,23487.089538719345,23706.820484602482
23324.489892243477,23272.12107057805,23183.65135516459
23166.326671851693,23302.727308166894,23111.656760151163
23836.73518513685,24298.3986730942,23776.72206687121
24624.489704795124,23991.935331824745,24130.73910600281
24512.24549993794,24043.815002269555,24492.183958770547
23697.95987227491,23520.13710837248,23699.457261932464
22129.592411285725,21943.4907961547,22272.174756981956
20881.63300925439,20675.977142735566,20729.20127856426
19659.18349961046,19233.483170327272,19401.83185519193
18626.530857218782,18239.852172083232,18407.562468152584
18022.44900793581,17805.625392867987,17819.07742010475
17705.10238381062,17368.191775412324,17461.95573802845
17654.081861696017,17379.190378212144,17363.351729523947
17665.306680345228,17155.179617217567,17278.302091019883
17838.775305284795,17660.943103432972,17247.002754022873
18232.65278631587,17935.92808160297,18285.298847744558
19625.509781002627,19266.37073724469,19355.053543859172
20976.53085300868,20283.181044249188,20639.719785482834
21671.428632935727,20883.00667329419,21746.336457482837
21846.93909923816,21702.904194143965,22065.169116232726
21930.61241927916,21614.570001784992,22287.310868312605
21767.346954967576,21600.39125244537,21983.625675926218
21627.55101636012,21368.928345601387,21750.52675954305
20859.18396182781,20766.044673486787,20953.83818851353
20364.28591484508,20361.664966806504,20413.439345128456
20382.653049161447,20610.97474100685,20345.935591876063
20892.857385499723,21594.70341325964,21018.60862314245
21832.653140692208,21883.61143132804,21597.067914517196
21713.265292956232,21375.81731131467,21929.310867071406
21054.08130338437,20865.97338666864,21270.01199995933
19915.306440993067,19794.18953143565,20083.24737695058
18935.714687399264,18921.033219786783,18999.37631044308
17965.30591109181,17665.406958557473,17747.256099943366
16844.897740613003,17116.77601128687,16740.91306868175
16330.612523440232,16142.605327340632,16187.457707126445
15937.75522575079,15647.63015461525,15800.683462753343
15831.63256334729,15467.273743706077,15646.061832869327
15856.122567328975,15811.692240842349,15637.34175750686
15997.95902008766,15894.016376524774,15619.091417814165
15884.69389454904,16022.875353939346,15926.222494002805
16678.57157880855,16408.704181226116,16402.340053979573
17589.79571184506,17689.17938344977,17453.8140320019
18371.428983985566,18306.445753091542,18471.06865996742
18719.387744417967,19055.076285838502,18975.033921888535
18769.3874933191,19141.63009752625,19206.131993001494
18852.041219890303,19014.698968742094,19152.7825094075
18803.06106445897,19528.342405356496,19249.88529408751
18485.714145397866,18747.79892143436,18707.781278690392
18031.632575094,18216.737306820934,18148.55682310385
17934.6937747846,18082.3496081486,18153.084974258552
18708.16322070468,19959.26280545888,19128.244873274998
20161.22459960014,20491.878142490263,20159.431536684424
20361.22448001242,20731.172925178547,20647.34181442122
20011.224468088996,20286.48771829797,20214.90824558965
19021.42940639925,18794.15090289712,19227.964919294605
18142.857481417304,18643.93355108209,18353.784442669203
17346.938545666766,17241.152257678164,17178.247440200885
16429.591837900858,16220.763050772232,16301.803182934045
