True,Baseline,Proposed
5969.0000858,5730.59582135,5898.7978008499995
5917.99996965,5698.29887,5813.280114
5909.999925149999,5730.82367235,5791.6749935
5982.00001635,5850.20769875,5811.94821665
6049.0000153,6002.8915302000005,5846.803594499999
6252.9999644,6224.6146786,6030.347885
6567.999951,6457.49634,6385.285615500001
6709.0000265,6661.620937,6631.75518675
6797.9998643,6626.5293055,6744.92867535
6790.000026,6564.000702,6710.3884226499995
6771.0002425,6705.1923373,6712.2784003
6735.0000938,6535.292507,6640.232842
6610.0001073,6454.699752500001,6603.84137725
6621.9999163,6387.7692945,6591.044863
6751.999943499999,6542.2192805,6755.1207805
6960.0000695,6824.055502499999,7119.9720915
7550.99994175,7284.8465185,7491.343962
7799.0000325,7469.217671,7702.7814419999995
7671.999905999999,7343.717134,7480.9107575
7367.000207,7087.949747,7166.4289515
6896.9999897,6506.48971775,6784.4453073
6521.99997865,6084.1696935,6373.602839
6203.99998825,5814.895484799999,6007.525153500001
6033.99994475,5649.1403776,5809.25029585
5900.99991375,5809.2670496,5924.7678145
5888.9999501,5733.570411,5905.28794585
5984.0000017,5775.2924035,5944.877985
6252.9999644,6085.187806,6193.935005400001
7005.0001265,6868.198283,6894.6114720000005
7812.9999815,7890.1383705,7899.07147
8479.9999672,8359.77382,8558.8542495
8782.999835499999,8736.979449350001,8912.252697
8784.999975499999,8657.59708885,8995.443056
8713.0000905,8547.2534375,8863.392576
8621.000042700001,8592.440981849999,8834.0087667
8607.9999575,8478.55249475,8777.35949225
8440.000054,8335.443251,8711.6816477
8338.99994325,8079.15495125,8560.999451200001
8267.9998705,8212.55733,8612.9198895
8369.00008435,8267.060114,8904.3926623
8753.00005525,8546.41188375,8837.6642803
8851.999871349999,8845.089748499999,8903.728389
8615.000138200001,8563.9657413,8738.1639137
8228.999718,8051.9373245,8269.724991250001
7619.0001138,7323.776356799999,7605.98265625
7079.0001515,6803.6520125,7088.4515347
6784.99993375,6486.4454797,6715.4138775
6604.9999635,6346.8935468,6495.8916048
6534.9999092,6276.103231,6451.491796
6519.9999933,6251.6051245,6407.675842500001
6581.9999,6384.049188749999,6447.23453925
6732.00009,6682.4669322,6627.208219
7190.9997435000005,7486.154784349999,7226.0032245
7909.0,8177.1819673,8106.2308155
8470.9999558,8646.21670465,8651.751989
8737.000017800001,8799.0224003,8908.248293
8766.999746500001,8716.35419125,8924.692743
8693.000237,8631.406235,8796.509544
8631.000021,8659.4547962,8743.376959000001
8554.999856,8587.9810305,8644.78949135
8320.999972,8366.52877735,8559.307374
8139.9998802,8233.5141577,8402.8392055
8167.0000175,8231.7409408,8423.82021015
8234.000068000001,8393.43633085,8624.1734607
8757.0000775,8640.0826155,8642.647743500002
8920.000146499999,8696.456509849999,8796.736054699999
8711.0001567,8567.4847505,8723.4245315
8300.9999123,8213.484198999999,8287.10094975
7606.9999955,7361.246041349999,7610.14542185
7067.999897,6946.44577025,7089.857097
6728.99988,6659.906384,6723.9663318
6532.0000085,6474.853225,6501.43307515
6460.9998842,6263.46177915,6404.0369279999995
6466.000028,6294.0080925,6339.654586500001
6562.0000465,6431.478024,6394.6166809999995
6742.999829,6712.19019825,6592.674513149999
7235.000246,7363.495838,7190.554351500001
7940.9998687,8129.42609885,8038.404934
8548.00013925,8571.289140500001,8591.462201999999
8760.999842000001,8807.140855149999,8841.55728475
8767.999971149999,8782.878692999999,8863.059769200001
8631.000021,8669.2712565,8742.504733
8572.9998788,8733.766698700001,8699.7001905
8499.00006,8499.2861625,8642.9322995
8273.0002205,8381.708860499999,8529.271251
8117.99993825,8171.2923798,8382.4384992
8092.9999925,8220.6890332,8419.29948135
8161.9998737,8388.8101823,8721.6277047
8633.99997325,8780.28248035,8695.6382567
8854.000166,8883.609455,8770.4669995
8728.0001095,8635.3812555,8741.687665500001
8335.999991,8352.131017,8349.708167
7702.0001502,7625.237354499999,7697.26584975
7170.99989,7158.7533627,7154.73034915
6803.999975,6870.4737000000005,6757.2001013
6659.000135,6584.43527665,6516.1978715000005
6556.000142000001,6421.976070250001,6559.310683
6508.999945,6451.1428025000005,6523.3427015
6562.0000465,6483.2914445,6590.5860680000005
6697.99992665,6687.86519665,6803.2375505
7199.00004575,7296.881897,7354.91858815
7959.999961500001,8120.898852499999,8127.672007
8490.0001517,8637.368817300001,8631.794406500001
8661.000059,8790.566550700001,8808.199022
8583.999824,8724.941648,8745.215747499999
8421.99997965,8576.62894725,8512.046333999999
8318.999832000001,8534.204379800001,8420.55771375
8215.999839,8386.958197,8313.65084935
8068.00014985,8292.105011349999,8194.592155
7995.999903999999,8093.75081825,8049.754182000001
7988.999929500001,8120.1905555,8075.7747662
