True,Baseline,Proposed
5969.0000858,5908.7126701,5898.7978008499995
5917.99996965,5854.3835065,5813.280114
5909.999925149999,5843.89591675,5791.6749935
5982.00001635,5843.5013015,5811.94821665
6049.0000153,5961.090717749999,5846.803594499999
6252.9999644,6180.2437378,6030.347885
6567.999951,6406.8766113,6385.285615500001
6709.0000265,6597.50835665,6631.75518675
6797.9998643,6704.2378375,6744.92867535
6790.000026,6737.1795247,6710.3884226499995
6771.0002425,6715.9575238,6712.2784003
6735.0000938,6628.57104635,6640.232842
6610.0001073,6632.935423999999,6603.84137725
6621.9999163,6646.792888800001,6591.044863
6751.999943499999,6732.3410417,6755.1207805
6960.0000695,7149.020516500001,7119.9720915
7550.99994175,7547.720073,7491.343962
7799.0000325,7673.401035,7702.7814419999995
7671.999905999999,7557.947593,7480.9107575
7367.000207,7177.0274253,7166.4289515
6896.9999897,6708.902803200001,6784.4453073
6521.99997865,6265.6018774,6373.602839
6203.99998825,5963.3604127,6007.525153500001
6033.99994475,5780.9620787,5809.25029585
5900.99991375,5976.896721,5924.7678145
5888.9999501,6009.7411849,5905.28794585
5984.0000017,6080.4792290000005,5944.877985
6252.9999644,6184.765085200001,6193.935005400001
7005.0001265,6864.20589015,6894.6114720000005
7812.9999815,7590.429248,7899.07147
8479.9999672,8432.130431,8558.8542495
8782.999835499999,8673.2014285,8912.252697
8784.999975499999,8765.277461000001,8995.443056
8713.0000905,8582.07118385,8863.392576
8621.000042700001,8450.6085285,8834.0087667
8607.9999575,8374.2287493,8777.35949225
8440.000054,8297.002158250001,8711.6816477
8338.99994325,8142.9268892,8560.999451200001
8267.9998705,8295.0319688,8612.9198895
8369.00008435,8608.3156497,8904.3926623
8753.00005525,8901.422042,8837.6642803
8851.999871349999,8693.2636575,8903.728389
8615.000138200001,8530.838371,8738.1639137
8228.999718,8240.076936649999,8269.724991250001
7619.0001138,7706.56392325,7605.98265625
7079.0001515,7078.4712485,7088.4515347
6784.99993375,6773.4973245,6715.4138775
6604.9999635,6611.515368,6495.8916048
6534.9999092,6391.26464225,6451.491796
6519.9999933,6324.2994911000005,6407.675842500001
6581.9999,6409.902287,6447.23453925
6732.00009,6569.194364499999,6627.208219
7190.9997435000005,7134.7985932,7226.0032245
7909.0,7834.78372275,8106.2308155
8470.9999558,8448.95671185,8651.751989
8737.000017800001,8700.57782925,8908.248293
8766.999746500001,8638.1422735,8924.692743
8693.000237,8474.957810150001,8796.509544
8631.000021,8353.862066,8743.376959000001
8554.999856,8264.775933500001,8644.78949135
8320.999972,8255.195366,8559.307374
8139.9998802,8140.6961145,8402.8392055
8167.0000175,8251.561091,8423.82021015
8234.000068000001,8557.32182265,8624.1734607
8757.0000775,8796.111578,8642.647743500002
8920.000146499999,8729.3971145,8796.736054699999
8711.0001567,8513.586648,8723.4245315
8300.9999123,8217.69351425,8287.10094975
7606.9999955,7725.44823475,7610.14542185
7067.999897,7070.750605,7089.857097
6728.99988,6751.92071115,6723.9663318
6532.0000085,6580.953434999999,6501.43307515
6460.9998842,6493.4674145,6404.0369279999995
6466.000028,6473.4658083,6339.654586500001
6562.0000465,6539.2788685,6394.6166809999995
6742.999829,6636.93158,6592.674513149999
7235.000246,7173.29051425,7190.554351500001
7940.9998687,7948.4135835,8038.404934
8548.00013925,8628.87513,8591.462201999999
8760.999842000001,8753.812741,8841.55728475
8767.999971149999,8768.6639867,8863.059769200001
8631.000021,8608.3273,8742.504733
8572.9998788,8507.769746,8699.7001905
8499.00006,8397.0601412,8642.9322995
8273.0002205,8357.166421,8529.271251
8117.99993825,8266.3711998,8382.4384992
8092.9999925,8299.36252965,8419.29948135
8161.9998737,8496.82686665,8721.6277047
8633.99997325,8770.445348500001,8695.6382567
8854.000166,8792.54931835,8770.4669995
8728.0001095,8533.94348525,8741.687665500001
8335.999991,8244.8590755,8349.708167
7702.0001502,7597.955548,7697.26584975
7170.99989,7135.9866145,7154.73034915
6803.999975,6792.763106,6757.2001013
6659.000135,6595.4666158,6516.1978715000005
6556.000142000001,6488.9333858,6559.310683
6508.999945,6405.8860265,6523.3427015
6562.0000465,6604.0251530000005,6590.5860680000005
6697.99992665,6735.40239,6803.2375505
7199.00004575,7279.839776299999,7354.91858815
