True,Baseline,Proposed
1425.0000014299999,1418.03178995,1396.9185629600001
1363.99998998,1357.06188395,1364.19625874
1369.99999946,1361.3371931,1368.0975495799998
1389.0000116,1359.06948164,1360.1740097
1415.00001692,1379.5850651599999,1403.1128297
1493.00001947,1451.5438493000001,1491.69368432
1641.9999643400001,1595.24302232,1647.2459027
1795.9999484,1735.8499298000002,1777.8678851
1884.9999728,1805.04642827,1913.32425296
1964.0000261,1852.3044617599999,2003.9105998999999
2011.00002437,1895.1468504499999,2032.7827321999998
1898.0000291000001,1855.0559792,1967.0915675
1804.99998944,1792.62660926,1876.7978401700002
1774.0000387999999,1705.1006656999998,1793.9232757999998
1739.00000585,1665.6418748,1770.7891484
1736.9999714,1658.8696907,1783.61803946
1782.0000424999998,1787.21768576,1871.1109676
1946.99996795,1795.7383193,1883.43081506
1963.00000217,1851.7604717,1920.06505766
1925.999975,1846.2787855400002,1877.47732487
1791.99995996,1662.64975514,1763.0193944
1710.0000092,1622.6038208,1668.36578105
1608.99997925,1512.53302547,1545.96423593
1530.00001982,1435.81106297,1481.75472872
1508.0000029399998,1461.73925774,1460.3673611
1447.0000049,1423.13842523,1435.37000807
1464.9999797,1424.83893392,1446.71968226
1511.0000344999999,1452.43151084,1499.8332593
1642.9999748599998,1602.3690024500002,1676.43070256
1981.0000172,1940.56289975,2044.9073837
2150.99999525,2103.925196,2246.0061575
2248.00003676,2173.0572326,2297.646056
2240.00001965,2148.7518087500002,2299.6712342
2244.0000215,2164.1245633999997,2323.7943490999996
2284.00004,2166.02040215,2354.1523094000004
2278.9999874,2188.9943470999997,2333.300564
2228.9999978,2167.0140161,2324.6303285
2177.99997086,2093.0020805,2242.73281673
2135.0000548999997,2046.8559908,2224.8290855
2140.9999571,2099.55843065,2242.2919898
2182.999943,2140.2852040999996,2285.597171
2255.99996,2129.8085075,2242.139384
2248.00003676,2154.5497563500003,2247.8393045000003
2142.99997814,2089.3891583,2174.6459153
1984.999952,1907.7366814400002,2002.1926448
1866.0000143,1799.1476776999998,1866.8960705
1745.0000287399998,1667.3083354999999,1722.9633221
1645.9999796000002,1559.69502995,1635.82027427
1579.9999826,1580.57653214,1557.79500728
1550.00001566,1544.30798024,1543.39101785
1562.9999915,1552.31399162,1560.5131874600002
1584.00001127,1558.5843198799998,1577.99663588
1688.9999492,1725.9758786,1728.4060387999998
1985.9999357,2023.5086444,2044.81049645
2177.99997086,2183.16967337,2250.1552115
2269.0000163,2236.6230464,2303.4609001999997
2287.9999748,2259.81302645,2318.2478389999997
2292.0000437,2267.3851841,2322.746894
2309.9998844,2274.6493811,2351.6498693000003
2294.9999948000004,2312.1920171,2330.5347515
2237.0000015,2256.229271,2299.4254289
2179.0000081999997,2195.4125071999997,2218.83139595
2155.9999808000002,2146.8372496399998,2218.95585416
2154.0000134,2167.4161417699997,2228.7802079000003
2144.99997236,2213.55147665,2278.271288
2278.0000037,2163.4261705999998,2252.6019196400002
2255.99996,2231.8194503,2258.6629178000003
2172.00004184,2152.3163879000003,2197.6443335000004
2007.9999794,1980.3362222,2038.93061375
1894.00001384,1870.49696393,1910.91796256
1775.0000225,1722.6797006,1756.384931
1685.0000144,1633.8145808,1658.56926647
1626.0000374,1603.57162466,1612.1257832
1620.9999848,1567.5663647000001,1585.94018348
1628.0000048,1588.50748775,1603.390241
1669.9999907000001,1584.0168676399999,1633.5255953
1767.0000188,1775.7133004,1772.1529454000001
2065.9999727,2049.6345428,2050.1509619
2248.00003676,2204.4940676300002,2223.18766127
2311.0000022,2264.2319567,2257.8602622500002
2301.0000311,2280.0014462,2243.06004755
2309.9998844,2288.9208395,2237.4244280000003
2319.9999896,2308.3503203,2258.4712889
2298.00008,2331.6790267999995,2224.67906783
2223.9999452,2274.2658551,2193.1089374000003
2180.9999755999997,2215.8568568,2102.85018335
