True,Baseline,Proposed
1425.00000143,1397.9696924,1424.56046186
1363.99998998,1387.22287817,1388.9823372199999
1369.99999946,1364.38816925,1379.0084888000001
1389.0000116,1350.3855143,1372.46096243
1415.00001692,1389.83550824,1388.9027891
1493.00001947,1471.09485152,1535.74145768
1641.99996434,1578.23090858,1702.1302166
1795.9999484,1783.90419545,1872.8367005
1884.9999728,1910.7451613,1960.4276021
1964.0000261,1994.7891179,2010.7389719
2011.00002437,2039.592062,2054.6050934
1898.0000291,1977.2202746,2010.2989898
1804.99998944,1831.8212768,1920.7081208
1774.0000388,1761.500846,1833.21449534
1739.00000585,1744.5865448,1815.0056732
1736.9999714,1716.6276335,1838.42576885
1782.0000424999998,1800.3217232,1922.0186801
1946.99996795,1929.7270163,1965.84103136
1963.00000217,1911.0338786,1955.6498068399999
1925.999975,1861.8539105,1906.7381191999998
1791.99995996,1782.6348719,1779.51172313
1710.0000092,1685.7719342300002,1690.86066716
1608.99997925,1550.0511614000002,1563.5825219
1530.00001982,1494.00653384,1496.05841135
1508.0000029399998,1467.10862174,1465.5257858
1447.0000049,1453.8149669,1446.6663372799999
1464.9999797,1455.80334806,1449.5607785
1511.0000345,1491.74371703,1491.6161074699999
1642.9999748599998,1567.522514,1611.26655086
1981.0000172,1912.67482007,1928.9910755
2150.99999525,2141.5364912,2119.2989564
2248.00003676,2245.72099385,2186.8248773
2240.00001965,2272.1984354,2191.67308847
2244.0000215,2323.5470687,2220.7787291
2284.00004,2354.5296668,2260.24895873
2278.9999874,2324.3365154000003,2245.0160972000003
2228.9999978,2256.1415696000004,2189.1016271
2177.99997086,2139.3270596,2117.6162696
2135.0000549,2150.70297716,2100.77136515
2140.9999571,2140.4211815,2100.6547652
2182.999943,2220.22305893,2164.1761919
2255.99996,2292.2078987000004,2187.4753964
2248.00003676,2237.03949395,2196.6675490999996
2142.99997814,2153.47573604,2124.3530513
1984.999952,2016.5033945,1956.7255034
1866.0000143,1884.51793694,1847.25960635
1745.0000287399998,1742.14517384,1703.7245851399998
1645.9999796000002,1626.4490042,1619.2400564
1579.9999826,1522.47234314,1588.50924446
1550.00001566,1531.20655775,1566.0519197600001
1562.9999915,1525.22955983,1568.2405256299999
