True,Baseline,Proposed
1425.00000143,1339.98048074,1424.56046186
1363.99998998,1311.4283915,1388.9823372199999
1369.99999946,1321.80590774,1379.0084888000001
1389.0000116,1329.9329846,1372.46096243
1415.00001692,1401.00957848,1388.9027891
1493.00001947,1452.60340022,1535.74145768
1641.99996434,1605.2612042,1702.1302166
1795.9999484,1754.189714,1872.8367005
1884.9999728,1834.5885644,1960.4276021
1964.0000261,1871.7394943,2010.7389719
2011.00002437,1899.680168,2054.6050934
1898.0000291,1865.75761514,2010.2989898
1804.99998944,1780.96796867,1920.7081208
1774.0000388,1704.54449936,1833.21449534
1739.00000585,1673.37737966,1815.0056732
1736.9999714,1725.2453018,1838.42576885
1782.0000424999998,1802.622611,1922.0186801
1946.99996795,1862.35603454,1965.84103136
1963.00000217,1842.6443537,1955.6498068399999
1925.999975,1783.06755896,1906.7381191999998
1791.99995996,1685.8056872,1779.51172313
1710.0000092,1610.35343714,1690.86066716
1608.99997925,1506.39446387,1563.5825219
1530.00001982,1433.72386352,1496.05841135
1508.0000029399998,1389.12453686,1465.5257858
1447.0000049,1368.4479797,1446.6663372799999
1464.9999797,1357.28271983,1449.5607785
1511.0000345,1392.17721608,1491.6161074699999
1642.9999748599998,1510.17837698,1611.26655086
1981.0000172,1845.6672359,1928.9910755
2150.99999525,2059.70230145,2119.2989564
2248.00003676,2134.61309594,2186.8248773
2240.00001965,2095.99340897,2191.67308847
2244.0000215,2113.707791,2220.7787291
2284.00004,2129.5668593,2260.24895873
2278.9999874,2137.4485868,2245.0160972000003
2228.9999978,2103.8796824600004,2189.1016271
2177.99997086,2045.70922124,2117.6162696
2135.0000549,2023.58945306,2100.77136515
2140.9999571,2068.10085035,2100.6547652
2182.999943,2096.4924353,2164.1761919
2255.99996,2138.51823545,2187.4753964
2248.00003676,2099.91891827,2196.6675490999996
2142.99997814,2030.7875924,2124.3530513
1984.999952,1867.8276632,1956.7255034
1866.0000143,1764.07135526,1847.25960635
1745.0000287399998,1633.1800196,1703.7245851399998
1645.9999796000002,1542.32115464,1619.2400564
1579.9999826,1516.2099536,1588.50924446
1550.00001566,1474.33671902,1566.0519197600001
1562.9999915,1492.30283357,1568.2405256299999
1584.00001127,1493.60576258,1599.02869214
1688.9999492,1645.91796404,1724.5514684
1985.9999357,1945.9092656,2044.8495866
2177.99997086,2128.0067399,2233.5171563
2269.0000163,2183.1533534,2303.2488881
2287.9999748,2168.0782739300003,2310.6254609
2292.0000437,2138.23431893,2326.9279979000003
2309.9998844,2162.6321645,2356.0181768
2294.9999948000004,2137.68064685,2338.8852926
2237.0000015,2114.0809913000003,2295.1460297
2179.0000082,2071.4840458400004,2213.1572896999996
2155.9999808,2009.143316,2196.08441525
2154.0000134,2060.73811667,2189.9929898
2144.99997236,2127.750743,2256.85130726
2278.0000037,2152.6206608,2274.77396
2255.99996,2133.8439788,2275.0338457999997
2172.00004184,2064.51623666,2210.80644965
2007.9999794,1920.8018567,2040.5881568
1894.00001384,1810.1786096,1929.4344101
1775.0000225,1694.5280876000002,1778.40581384
1685.0000144,1572.88473047,1681.68944747
1626.0000374,1492.52651237,1632.9913409
1620.9999848,1449.7017176,1605.60751745
1628.0000048,1446.64012073,1602.72261074
1669.9999907,1478.00147087,1649.9115425
1767.0000188,1602.7896071,1775.90728946
2065.9999727,1915.6754819,2060.0244767
2248.00003676,2117.29223036,2209.4885819
2311.0000022,2184.7933964,2252.48577563
2301.0000311,2177.73203906,2237.29590656
2309.9998844,2144.80390475,2244.1644281
2319.9999896,2151.9657164,2284.3995239
2298.00008,2134.4668733,2265.20396714
2223.9999452,2120.84909876,2213.6502413
2180.9999756,2078.71976,2137.0350224000003
2146.0000097,2019.4218128,2114.5424294
2136.9999686600004,2092.12056074,2113.8508757
2195.9999993,2136.50567606,2187.2033075
2301.0000311,2189.63407115,2262.98128646
2309.9998844,2165.6942039,2303.1196157
2225.99999306,2055.6368588,2229.52345715
2040.9999779,1923.0741812,2048.2031594
1950.9999698,1810.88594687,1933.1289992
1834.9999832,1681.39146386,1784.64737765
1687.9999655,1551.21115322,1695.39861116
1671.00002804,1551.79320086,1626.1761107
1644.0000122,1514.0615375,1607.5685288
1661.999987,1514.4005423,1608.0280358599998
1675.0000433,1517.83277816,1650.13059485
1791.0000298999998,1641.51159896,1780.3009955000002
2081.9999801000004,1981.81204634,2065.7705275999997
2224.99998254,2125.50733046,2218.3406569999997
2311.0000022,2214.3931553,2263.4160252499996
2314.999937,2141.3358373700003,2255.3821076599997
2358.9998903,2089.7215519700003,2270.2743686
2374.0000481,2172.39320963,2309.4921818000003
2380.999934,2144.1715562,2287.6986521
2313.9999533,2127.1165841,2230.6203281
2250.0000578,2046.81058454,2156.4391582999997
2218.99997306,2008.232777,2142.4342370599998
2184.99997745,2061.4574693,2126.6340923
2223.9999452,2137.5346790000003,2199.5328638
2306.0000837,2184.0251375,2264.84460596
2314.999937,2188.8431627600003,2269.70961986
2209.0000556,2032.73534126,2190.1473389000002
2055.0000179,1920.2381003,2016.8414606
1937.0000639,1824.7716398,1911.6506045
1800.0000173,1651.1337299000002,1770.84190334
1714.9999277,1576.4828078,1678.39912964
1647.9999469999998,1558.6562243,1633.9348685
1627.0000211,1516.90854755,1607.7057533299999
1639.9999432999998,1514.60924213,1607.69856557
1659.0000359,1558.03688345,1644.3667757
1746.00002585,1676.03225123,1781.3577035
2023.0000031,1931.6022707,2086.6301849
2208.00003167,2112.0701618,2253.61414667
2313.9999533,2188.916435,2294.3870237
2325.9998918,2175.6634661,2282.9273740999997
2335.0000133000003,2164.1896019,2284.3623782
2362.9999592000004,2199.3195107,2318.4869393
2343.0000170000003,2177.73875747,2304.0874154000003
2256.9999437,2153.03643785,2246.7392822
2235.0000341,2058.42014453,2173.8319283
2194.0000319,2040.5744786,2158.64783894
2169.0000371,2058.1592798,2151.01997615
2201.0000519,2120.7749951,2200.0910550500003
2220.0000104,2155.78602425,2222.9326030700004
2218.99997306,2146.1323664,2195.0170463
2148.9999608,2048.60724293,2128.5189214399998
