True,Baseline,Proposed
1425.00000143,1418.03178995,1424.56046186
1363.99998998,1357.06188395,1388.9823372199999
1369.99999946,1361.3371931,1379.0084888000001
1389.0000116,1359.06948164,1372.46096243
1415.00001692,1379.58506516,1388.9027891
1493.00001947,1451.5438493,1535.74145768
1641.99996434,1595.24302232,1702.1302166
1795.9999484,1735.8499298000002,1872.8367005
1884.9999728,1805.04642827,1960.4276021
1964.0000261,1852.30446176,2010.7389719
2011.00002437,1895.14685045,2054.6050934
1898.0000291,1855.0559792,2010.2989898
1804.99998944,1792.62660926,1920.7081208
1774.0000388,1705.1006656999998,1833.21449534
1739.00000585,1665.6418748,1815.0056732
1736.9999714,1658.8696907,1838.42576885
1782.0000424999998,1787.21768576,1922.0186801
1946.99996795,1795.7383193,1965.84103136
1963.00000217,1851.7604717,1955.6498068399999
1925.999975,1846.27878554,1906.7381191999998
1791.99995996,1662.64975514,1779.51172313
1710.0000092,1622.6038208,1690.86066716
1608.99997925,1512.53302547,1563.5825219
1530.00001982,1435.81106297,1496.05841135
1508.0000029399998,1461.73925774,1465.5257858
1447.0000049,1423.13842523,1446.6663372799999
1464.9999797,1424.83893392,1449.5607785
1511.0000345,1452.43151084,1491.6161074699999
1642.9999748599998,1602.3690024500002,1611.26655086
1981.0000172,1940.56289975,1928.9910755
2150.99999525,2103.925196,2119.2989564
2248.00003676,2173.0572326,2186.8248773
2240.00001965,2148.75180875,2191.67308847
2244.0000215,2164.1245634,2220.7787291
2284.00004,2166.02040215,2260.24895873
2278.9999874,2188.9943471,2245.0160972000003
2228.9999978,2167.0140161,2189.1016271
2177.99997086,2093.0020805,2117.6162696
2135.0000549,2046.8559908,2100.77136515
2140.9999571,2099.55843065,2100.6547652
2182.999943,2140.2852041,2164.1761919
2255.99996,2129.8085075,2187.4753964
2248.00003676,2154.5497563500003,2196.6675490999996
2142.99997814,2089.3891583,2124.3530513
1984.999952,1907.73668144,1956.7255034
1866.0000143,1799.1476776999998,1847.25960635
1745.0000287399998,1667.3083355,1703.7245851399998
1645.9999796000002,1559.69502995,1619.2400564
1579.9999826,1580.57653214,1588.50924446
1550.00001566,1544.30798024,1566.0519197600001
1562.9999915,1552.31399162,1568.2405256299999
1584.00001127,1558.5843198799998,1599.02869214
1688.9999492,1725.9758786,1724.5514684
1985.9999357,2023.5086444,2044.8495866
2177.99997086,2183.16967337,2233.5171563
2269.0000163,2236.6230464,2303.2488881
2287.9999748,2259.81302645,2310.6254609
2292.0000437,2267.3851841,2326.9279979000003
2309.9998844,2274.6493811,2356.0181768
2294.9999948000004,2312.1920171,2338.8852926
2237.0000015,2256.229271,2295.1460297
2179.0000082,2195.4125072,2213.1572896999996
2155.9999808,2146.83724964,2196.08441525
2154.0000134,2167.41614177,2189.9929898
2144.99997236,2213.55147665,2256.85130726
2278.0000037,2163.4261706,2274.77396
2255.99996,2231.8194503,2275.0338457999997
2172.00004184,2152.3163879000003,2210.80644965
2007.9999794,1980.3362222,2040.5881568
1894.00001384,1870.49696393,1929.4344101
1775.0000225,1722.6797006,1778.40581384
1685.0000144,1633.8145808,1681.68944747
1626.0000374,1603.57162466,1632.9913409
1620.9999848,1567.5663647,1605.60751745
