True,Baseline,Proposed
19338.0008978,19201.6597195,19261.834841099997
19363.9998926,19056.49795104,19094.7829974
19412.0003716,18866.116999700003,19132.9459224
19553.0005512,18843.628994,19124.6098898
19853.9993518,19039.02192022,19176.3132884
20286.000092,19301.4359058,19756.903943600002
20841.000609,19654.5148244,20453.3652734
21213.99994956,20237.9603342,21013.4220432
21892.9993532,20922.5558956,21596.1194704
21848.9999556,21161.256734,21872.0673236
21621.9997361,21039.6701013,21866.426173760003
21234.0001789,20912.9593706,21637.821058200003
20719.0006562,20651.6517974,21439.78199064
20574.0002879,20477.3021312,21265.631218000002
20494.0009774,20681.3421067,21451.9412788
21015.0003368,21200.4176976,21883.8447147
21890.9997052,21914.4116554,22697.94444364
22758.99976744,22401.1170516,23063.1308738
22706.99963536,22469.794248,22819.83370164
22349.00051144,22004.5868532,22530.522129440003
21576.000511960003,21295.7794824,21937.155866
20854.000106400003,20604.149445,20991.3241474
20491.999544,19946.1268845,20231.23705342
20175.9998126,19414.43637136,19743.74090356
20323.9996529,19658.0731266,19860.7285244
20296.0001174,19698.9980654,19878.214732
20237.999613,19897.89394642,20110.1435482
20548.0004004,20257.9943076,20575.317734559998
21219.9999648,21091.82127822,21559.47163584
23447.9997321,23073.6397382,23458.671246439997
25075.9997608,24636.996681800003,24885.8028842
25263.0007714,24940.08511456,25068.4135962
25131.99954596,24613.4401142,24861.7678294
24820.0001818,24303.631257300003,24668.66146496
24336.9994906,24003.74815316,24363.4002004
23867.9999062,23445.3028854,23897.92910202
23522.0000986,23217.757226200003,23594.1106192
23537.00031524,23093.3942965,23348.0316153
23270.00052976,23299.6901249,23255.0863694
23241.0004561,23319.12099018,23148.8140052
24259.99983064,23943.9026164,23857.000056800003
24461.00034118,24005.62318024,24028.6912624
24229.9995759,23689.697364400003,23666.382539960003
23408.0005232,22830.9217498,23122.596477439998
22548.0001242,22089.7682872,22386.335725
21846.0004836,21116.7029697,21236.96715662
21041.9991556,20181.5238402,20233.761073399997
20570.0000992,19481.2703208,19576.8195726
20162.0004912,20271.8079474,20122.3806798
19990.0004114,20203.31393304,20152.82817724
20264.0003932,20340.079858,20331.7563232
20710.0004548,20578.9913736,20676.545629599997
21804.000734,21236.70541698,21570.2758054
24249.99980524,23166.127029000003,23633.89932944
25363.99959962,24857.37163898,25327.47263664
25595.9992962,25223.041734,25601.073403000002
25361.99995162,25055.85741362,25578.61199976
25283.0008222,24918.88027584,25680.0291472
25124.0002398,24675.209598,25627.4401902
24992.0002616,24231.9911896,25390.285508200002
24906.00040024,24096.16813438,25320.85772964
24735.99961136,24095.30400078,25429.8606846
24950.000512,24544.8682564,25775.468596900002
25170.00035664,24499.6565722,25890.1600148
25949.9994812,25102.8557476,26241.630288
26302.0000182,25193.5969172,26006.92053276
26132.00012202,24952.696466,25612.15823744
25652.0001526,24012.272724,25070.657844
24857.99956416,23196.78163284,24227.74657964
23911.9993038,22320.72298916,23059.971429960002
23243.0001041,21431.780542,22095.32730864
22347.9996162,20702.533912,21381.33513624
22619.99995,22854.1801556,21981.0204659
22571.999471000003,22764.1210088,21988.196167039998
22677.9995617,23024.241291,22112.91189178
23177.999939,23337.4343736,22451.226088
24043.999282,23883.5159249,23501.093778759998
26094.00038258,25864.41383264,25533.6843727
27191.998708,27471.1709936,26887.0898814
27379.9995426,27810.327363,26902.7746204
27095.9995354,27533.7796154,26729.90148
26823.9992016,27163.5787108,26556.4123766
26322.000069,26824.063476000003,26299.79379942
25739.0000165,26201.3855866,25880.9634194
25482.00025642,25980.283436,25622.05828044
24989.99954236,26022.5554591,25515.10692862
24841.9998806,26577.2283552,25428.1234904
25023.9999858,26391.78492756,25323.898979999998
26216.99944522,26913.9976448,25920.51967056
26646.0001778,26761.6030424,26070.468096419998
26206.00013144,26428.43740416,25864.2743929
25534.0003885,25394.2919458,25451.771113400002
24803.0004957,24657.4171943,24689.9784268
23649.0000641,23716.4248024,23469.7307282
22813.9997286,22786.7188166,22504.4292226
21705.000304,21961.64369824,21840.4059327
21618.9993714,23334.9883756,21519.1080268
21794.00017298,23180.481645,21467.419804099998
21905.99992184,23277.482427,21555.15096784
22130.0004908,23657.388766,21745.0137961
22839.99997318,23957.0699414,22727.713846159997
24629.9996992,25506.741794,24733.62860016
25494.00010836,27352.5025972,26188.9770566
25725.9996264,27653.956674800003,26278.63680942
25547.9997099,27350.9957196,26025.9557534
25102.000541,26966.46698,25723.5036372
24649.99975,26508.20425558,25308.21834742
24206.00005056,25847.851391,24768.19965744
23784.000407,25493.3298692,24436.5855318
23437.99952816,25196.6374534,24166.7973086
23552.9999988,25919.5137762,23929.1694956
23542.9999734,25931.702702,23879.9495884
24352.99970978,26273.9495988,24711.824581200002
24845.99971222,26012.6223862,24894.07000036
24622.0002145,25724.4409722,24461.07479236
23907.000183800003,24566.14558236,23850.134658180003
22873.000057,23659.8240516,23029.435912300003
