True,Baseline,Proposed
19338.0008978,19211.49691642,19261.834841099997
19363.9998926,19235.363608,19094.7829974
19412.0003716,19086.38019084,19132.9459224
19553.0005512,19259.38723624,19124.6098898
19853.9993518,19741.515581,19176.3132884
20286.000092,20548.1575156,19756.903943600002
20841.000609,20767.0814782,20453.3652734
21213.99994956,21498.88765764,21013.4220432
21892.9993532,22108.123984600003,21596.1194704
21848.9999556,22346.6480684,21872.0673236
21621.9997361,22060.5136155,21866.426173760003
21234.0001789,21820.8584808,21637.821058200003
20719.0006562,21503.94051818,21439.78199064
20574.0002879,21300.6375558,21265.631218000002
20494.0009774,21383.476545,21451.9412788
21015.0003368,21681.0616608,21883.8447147
21890.9997052,22711.9730456,22697.94444364
22758.99976744,23136.1823002,23063.1308738
22706.99963536,22902.69715082,22819.83370164
22349.00051144,22465.9145738,22530.522129440003
21576.000511960003,21835.2371997,21937.155866
20854.000106400003,21033.40834642,20991.3241474
20491.999544,20073.7106758,20231.23705342
20175.9998126,19879.83480396,19743.74090356
20323.9996529,19794.39805776,19860.7285244
20296.0001174,19968.2685226,19878.214732
20237.999613,19801.737123,20110.1435482
20548.0004004,20133.23341224,20575.317734559998
21219.9999648,21017.19887836,21559.47163584
23447.9997321,22899.70678436,23458.671246439997
25075.9997608,24228.841744,24885.8028842
25263.0007714,24673.9982041,25068.4135962
25131.99954596,24544.161238,24861.7678294
24820.0001818,24319.2561854,24668.66146496
24336.9994906,23862.91972904,24363.4002004
23867.9999062,23578.1062936,23897.92910202
23522.0000986,23185.02138158,23594.1106192
23537.00031524,22784.676319,23348.0316153
23270.00052976,22965.98618856,23255.0863694
23241.0004561,22813.91992122,23148.8140052
24259.99983064,23830.6600506,23857.000056800003
24461.00034118,23929.27786938,24028.6912624
24229.9995759,23539.0319219,23666.382539960003
23408.0005232,22876.9770355,23122.596477439998
22548.0001242,22219.78004396,22386.335725
21846.0004836,21301.757715760003,21236.96715662
21041.9991556,20293.123838,20233.761073399997
20570.0000992,19998.4042892,19576.8195726
20162.0004912,19572.3774974,20122.3806798
19990.0004114,19689.64863976,20152.82817724
20264.0003932,19569.5137158,20331.7563232
20710.0004548,19777.9430972,20676.545629599997
21804.000734,20878.0190926,21570.2758054
24249.99980524,23287.0307462,23633.89932944
25363.99959962,24380.23955758,25327.47263664
25595.9992962,24923.4328673,25601.073403000002
25361.99995162,25256.2832039,25578.61199976
25283.0008222,25306.32635904,25680.0291472
25124.0002398,24981.76170676,25627.4401902
24992.0002616,24780.592833,25390.285508200002
24906.00040024,24702.9618556,25320.85772964
24735.99961136,24187.08427318,25429.8606846
24950.000512,24298.46038182,25775.468596900002
25170.00035664,24286.9850804,25890.1600148
25949.9994812,25394.86613044,26241.630288
26302.0000182,25117.9013134,26006.92053276
26132.00012202,24854.7931643,25612.15823744
25652.0001526,24083.59481196,25070.657844
24857.99956416,23517.886537,24227.74657964
23911.9993038,22557.9287336,23059.971429960002
23243.0001041,21471.33500776,22095.32730864
22347.9996162,20979.77689436,21381.33513624
22619.99995,20249.3440446,21981.0204659
22571.999471000003,20454.8667948,21988.196167039998
22677.9995617,20414.16985158,22112.91189178
23177.999939,20648.79087244,22451.226088
24043.999282,21450.17480404,23501.093778759998
26094.00038258,23630.6684696,25533.6843727
27191.998708,24774.51229622,26887.0898814
27379.9995426,25299.78483198,26902.7746204
27095.9995354,25307.2510177,26729.90148
26823.9992016,25335.33910904,26556.4123766
26322.000069,24838.8522204,26299.79379942
25739.0000165,24685.61598044,25880.9634194
25482.00025642,24360.997052,25622.05828044
24989.99954236,24067.56174142,25515.10692862
24841.9998806,24486.6677872,25428.1234904
25023.9999858,24189.4790302,25323.898979999998
26216.99944522,25105.9293137,25920.51967056
26646.0001778,24918.78868482,26070.468096419998
26206.00013144,24795.3973698,25864.2743929
25534.0003885,24342.33658682,25451.771113400002
24803.0004957,23776.8668413,24689.9784268
23649.0000641,22683.497701,23469.7307282
