True,Baseline,Proposed
19338.0008978,19021.3048604,19261.834841099997
19363.9998926,18972.2992012,19094.7829974
19412.0003716,19014.7470862,19132.9459224
19553.0005512,19115.20136742,19124.6098898
19853.9993518,19540.182093360003,19176.3132884
20286.000092,20023.3302586,19756.903943600002
20841.000609,20593.22583218,20453.3652734
21213.99994956,21031.467081000003,21013.4220432
21892.9993532,21372.4043869,21596.1194704
21848.9999556,21557.303089,21872.0673236
21621.9997361,21466.6440478,21866.426173760003
21234.0001789,21376.99857818,21637.821058200003
20719.0006562,21093.3963581,21439.78199064
20574.0002879,21147.58878284,21265.631218000002
20494.0009774,21151.9869372,21451.9412788
21015.0003368,21670.8884516,21883.8447147
21890.9997052,22762.76696144,22697.94444364
22758.99976744,23167.612481800003,23063.1308738
22706.99963536,23023.48713804,22819.83370164
22349.00051144,22423.032836600003,22530.522129440003
21576.000511960003,21419.532698000003,21937.155866
20854.000106400003,20656.7000159,20991.3241474
20491.999544,19898.4950906,20231.23705342
20175.9998126,19383.5580569,19743.74090356
20323.9996529,19554.7484578,19860.7285244
20296.0001174,19639.6245884,19878.214732
20237.999613,19807.3459571,20110.1435482
20548.0004004,20157.66482584,20575.317734559998
21219.9999648,21223.54148424,21559.47163584
23447.9997321,23045.9035492,23458.671246439997
25075.9997608,24418.5726312,24885.8028842
25263.0007714,24599.8764304,25068.4135962
25131.99954596,24305.5139616,24861.7678294
24820.0001818,24019.68320524,24668.66146496
24336.9994906,23736.56839936,24363.4002004
23867.9999062,23285.56725382,23897.92910202
23522.0000986,23087.33804116,23594.1106192
23537.00031524,23169.5264306,23348.0316153
23270.00052976,22926.7120306,23255.0863694
23241.0004561,23080.57298202,23148.8140052
24259.99983064,23939.9800926,23857.000056800003
24461.00034118,24126.9971718,24028.6912624
24229.9995759,23775.4358432,23666.382539960003
23408.0005232,23140.327999,23122.596477439998
22548.0001242,22123.12902182,22386.335725
21846.0004836,21097.3608388,21236.96715662
21041.9991556,20174.9624952,20233.761073399997
20570.0000992,19541.6686174,19576.8195726
20162.0004912,19936.155604040003,20122.3806798
19990.0004114,19965.95053778,20152.82817724
20264.0003932,20235.06387978,20331.7563232
20710.0004548,20528.4011719,20676.545629599997
21804.000734,21720.9367844,21570.2758054
24249.99980524,23839.0862459,23633.89932944
25363.99959962,25310.7887878,25327.47263664
25595.9992962,25740.83147982,25601.073403000002
25361.99995162,25273.2668214,25578.61199976
25283.0008222,25288.2498982,25680.0291472
25124.0002398,24933.8569252,25627.4401902
24992.0002616,24620.93825858,25390.285508200002
24906.00040024,24446.5560981,25320.85772964
24735.99961136,24491.108077,25429.8606846
24950.000512,24376.341493760003,25775.468596900002
25170.00035664,24623.870421,25890.1600148
25949.9994812,25566.2482833,26241.630288
26302.0000182,25722.6537868,26006.92053276
26132.00012202,25465.4374577,25612.15823744
25652.0001526,24935.72516776,25070.657844
24857.99956416,23776.2731958,24227.74657964
23911.9993038,22772.87553916,23059.971429960002
23243.0001041,21823.6204946,22095.32730864
22347.9996162,21097.8643216,21381.33513624
22619.99995,20917.585342,21981.0204659
22571.999471000003,21071.8019451,21988.196167039998
22677.9995617,21271.7533546,22112.91189178
23177.999939,21637.30043556,22451.226088
24043.999282,22758.83158276,23501.093778759998
26094.00038258,24622.1600078,25533.6843727
27191.998708,26250.5180092,26887.0898814
27379.9995426,26574.928760000003,26902.7746204
27095.9995354,26026.1735722,26729.90148
26823.9992016,25939.1496054,26556.4123766
26322.000069,25605.858275,26299.79379942
25739.0000165,25056.21288676,25880.9634194
25482.00025642,24888.4292076,25622.05828044
24989.99954236,25090.13584384,25515.10692862
24841.9998806,24754.195694,25428.1234904
25023.9999858,24912.79206184,25323.898979999998
26216.99944522,25768.8242308,25920.51967056
26646.0001778,25690.64799224,26070.468096419998
26206.00013144,25499.2261527,25864.2743929
25534.0003885,24904.95487,25451.771113400002
24803.0004957,23917.93468756,24689.9784268
23649.0000641,22939.66046556,23469.7307282
22813.9997286,21943.9653816,22504.4292226
21705.000304,21195.19486698,21840.4059327
21618.9993714,20961.1562436,21519.1080268
21794.00017298,21232.45080878,21467.419804099998
21905.99992184,21250.3589064,21555.15096784
22130.0004908,21734.0630452,21745.0137961
22839.99997318,22812.5919407,22727.713846159997
24629.9996992,24371.8576402,24733.62860016
25494.00010836,25830.8963399,26188.9770566
25725.9996264,26249.67405062,26278.63680942
25547.9997099,25697.63211996,26025.9557534
25102.000541,25688.3812484,25723.5036372
24649.99975,25345.9897342,25308.21834742
24206.00005056,24701.21144944,24768.19965744
23784.000407,24452.695196,24436.5855318
23437.99952816,24705.1489706,24166.7973086
23552.9999988,24186.88412984,23929.1694956
23542.9999734,24390.6650438,23879.9495884
24352.99970978,25146.81515224,24711.824581200002
24845.99971222,24877.8382148,24894.07000036
24622.0002145,24679.923054,24461.07479236
23907.000183800003,23732.7138993,23850.134658180003
22873.000057,22824.1800794,23029.435912300003
21882.9993278,21816.721709,21847.632339199998
21064.99974964,21174.1276826,20943.923562800002
20765.9995258,20363.2918434,20333.5524356
20796.00013762,19859.2993117,20151.7630076
20777.9991992,19910.0055644,20059.21965524
20865.9997798,20002.89028524,20163.839453200002
21213.99994956,20267.5997596,20395.4424339
21963.999355,21128.7678102,21301.681122100003
23689.99981116,22493.2918974,23039.2199043
25084.9999622,23986.9191513,24355.37072098
25145.0001146,24380.4088135,24664.588253399997
24999.99956776,24050.3347739,24545.30692918
24774.99971042,23980.8362935,24375.2963206
24438.00010422,23657.0423984,24016.617316360003
23994.00022624,23160.1923594,23506.9616744
23672.0004796,22840.2683188,23099.4726908
23125.00034,22709.0324918,22769.551124359998
23107.9997612,22435.0958917,22491.6725396
23214.00003044,22578.284079,22527.20074982
23766.0000042,23098.16809902,23268.0876522
24190.000367,23164.74227276,23325.188315
23717.9995252,22756.008151200003,22834.641809239998
22774.0005197,21979.9626164,22228.08393936
21965.999003,21250.999865,21521.10892458
21337.99955036,20534.787369160003,20646.52537838
20642.999749,19867.755858800003,19942.030284200002
19621.9991196,19403.1055088,19418.2671256
19270.000368,19352.5501224,19500.5026496
19235.99974602,19392.309195,19378.0126045
19289.9995261,19404.208886,19334.442595599998
19502.0006002,19655.58838542,19261.933930799998
19726.000455,20260.46583682,19524.676965600003
20520.00050782,20903.837762,20430.4603768
20905.0000574,21811.9046998,21272.41288136
21631.9997615,22384.5378272,21687.9104552
22201.99978098,22458.11308996,21980.0983068
22107.99954222,22614.331305,22057.7819535
21872.000371100003,22456.02934962,21809.8514898
