True,Baseline,Proposed
7618.9997988,7584.3866768,7456.493979520001
7566.00007248,7530.3340803,7525.029029019999
7485.0000273,7577.026197,7513.2078825
7377.99991488,7379.1671733,7439.34873679
7285.00008055,7219.7842479,7541.6370386
7210.99996676,7192.52768992,7220.14283842
7155.000040999999,7286.25443541,7150.5206259999995
7349.999952,7479.10535448,7355.0809732
7711.00004129,7661.6491693,7569.3216032
7981.99996172,7728.7549591,7650.9009465
8048.9999068,7799.33968211,7691.72734342
8197.00007505,7750.29091848,7837.2855481999995
8073.0000784,7883.1826429,7812.79157301
7880.0001817,7602.69140572,7762.4466862
7749.000135,7782.8295077,7670.84982838
7697.00000052,7709.9936265,7728.6629976
7501.9998522,7967.1440857,7827.3584525999995
7991.000085400001,8255.9233679,8003.38919801
8058.9999783,8009.233381,7956.15777161
7772.000002799999,7610.95726132,7685.888084820001
7741.99996629,7405.41749448,7505.7512881
7861.00004585,7348.3932956,7597.01589792
7726.0002672,7228.60917009,7574.56613788
7758.000199350001,7375.0633172,7544.48102215
7892.00003018,7669.777972600001,7858.9605771
7966.0002033,7665.8117621,7883.74722718
7966.9999138,7682.2989758,7950.722135
7802.0002173,7696.1246457,7783.4981568
7952.0001032,7859.1919641,8050.09116349
8120.9998283,8184.89378855,8268.623547700001
8845.999969,8819.87257958,8981.04495711
9304.0002772,9118.43116635,9395.16527195
9345.0002737,9146.1344199,9555.687036700001
9401.99996929,9204.57476655,9615.0876394
9229.99998542,9118.74098761,9515.200838
9041.00011732,8923.306959,9410.3849002
9178.99991742,8839.59013379,9469.92463175
9295.00009419,8619.8702003,9403.0066214
9190.0000554,8656.4133272,9338.37228208
9161.9998552,8673.3182241,9341.605411100001
8997.9998692,8721.320347199999,9422.821061499999
9346.99993202,8914.94890458,9486.803957420001
9250.99989825,8712.98056642,9164.11936012
8751.9998902,8214.83354578,8723.22923062
8370.9998359,7948.535231199999,8370.32620308
8280.9997857,7817.853193299999,8269.5384163
8108.999979820001,7396.25201809,8100.1690653000005
7913.9998315,7429.54208109,8024.3186268
8352.9997072,7856.2675884,8028.59056479
8243.9998178,7897.6194118,8031.5129826
8161.000114300001,7919.36777258,8031.0656344
8007.0001998,7895.033217100001,7838.35259825
7780.00006,8103.5016314,8148.47228815
8495.0001292,8375.86234471,8465.9171565
9170.99997888,9142.0715015,9221.2402669
9576.99979662,9483.862138699998,9633.9255077
9652.00003622,9446.2255599,9783.274721490001
9612.0001062,9429.70298552,9877.700018399999
9404.00010225,9470.55661491,9734.605788519999
9257.9999483,9326.38590151,9592.6282679
9297.99999698,9196.9707371,9672.8103897
9159.9998409,9051.39414002,9588.13366442
9608.000077600002,9036.799316,9505.667871590002
9095.00008811,9027.5361231,9448.753611200002
9001.9998978,9212.02014758,9425.995809799999
9380.00004931,9402.88125711,9539.7409126
9251.9999054,9226.2928097,9288.865787499999
8811.99996322,8591.434517900001,8896.5058181
8415.999861,8253.9304732,8556.05461498
8348.99991592,8196.1994167,8374.801464979999
8165.0001429,7621.6494766,8082.8933559
8392.000104710001,7662.39334549,8011.5134329
8570.000190809998,8402.149272499999,8303.5582383
8442.0000469,8283.1671106,8233.3720349
8320.00012388,8366.17488298,8241.25141488
8116.000089200001,8376.74499712,7990.8523537
8374.000154,8416.8577728,8200.82502082
8595.00001358,8678.978602750001,8591.13335882
9222.9999947,9287.0437632,9235.81978378
