True,Baseline,Proposed
7618.9997988,7361.69947202,7456.493979520001
7566.00007248,7381.07261558,7525.029029019999
7485.0000273,7354.49206362,7513.2078825
7377.99991488,7063.73638046,7439.34873679
7285.00008055,7084.130830640001,7541.6370386
7210.99996676,6858.99638202,7220.14283842
7155.000040999999,6723.13447914,7150.5206259999995
7349.999952,6844.645404299999,7355.0809732
7711.00004129,6996.944209040001,7569.3216032
7981.99996172,7220.3425432,7650.9009465
8048.9999068,7302.3277037,7691.72734342
8197.00007505,7318.520047299999,7837.2855481999995
8073.0000784,7234.6499727,7812.79157301
7880.0001817,7144.2363924,7762.4466862
7749.000135,7151.73665368,7670.84982838
7697.00000052,7582.4103945,7728.6629976
7501.9998522,7867.0051318,7827.3584525999995
7991.000085400001,8041.56508651,8003.38919801
8058.9999783,7784.556603999999,7956.15777161
7772.000002799999,7449.2370899,7685.888084820001
7741.99996629,7319.0374049,7505.7512881
7861.00004585,7317.21330405,7597.01589792
7726.0002672,7370.516621979999,7574.56613788
7758.000199350001,7182.26027744,7544.48102215
7892.00003018,7885.38954091,7858.9605771
7966.0002033,8111.992941,7883.74722718
7966.9999138,7961.829719609999,7950.722135
7802.0002173,7873.4940539,7783.4981568
7952.0001032,8011.5300453,8050.09116349
8120.9998283,8239.5957519,8268.623547700001
8845.999969,9268.5927265,8981.04495711
9304.0002772,9265.8789723,9395.16527195
9345.0002737,9774.6372821,9555.687036700001
9401.99996929,9890.3278156,9615.0876394
9229.99998542,9555.52963421,9515.200838
9041.00011732,9614.59258988,9410.3849002
9178.99991742,9511.9833721,9469.92463175
9295.00009419,9776.8443581,9403.0066214
9190.0000554,9585.1888792,9338.37228208
9161.9998552,9464.9679069,9341.605411100001
8997.9998692,9567.51180235,9422.821061499999
9346.99993202,9478.41718728,9486.803957420001
9250.99989825,9074.7717026,9164.11936012
8751.9998902,8783.929872280001,8723.22923062
8370.9998359,8591.51069762,8370.32620308
8280.9997857,8178.2805701,8269.5384163
8108.999979820001,8390.53038195,8100.1690653000005
7913.9998315,8237.7618616,8024.3186268
8352.9997072,8143.93407712,8028.59056479
8243.9998178,8004.53598758,8031.5129826
8161.000114300001,8065.6508713,8031.0656344
8007.0001998,7910.88476918,7838.35259825
7780.00006,7951.5153771,8148.47228815
8495.0001292,8239.713818600001,8465.9171565
9170.99997888,9161.350785,9221.2402669
9576.99979662,9560.161112,9633.9255077
9652.00003622,9441.56773959,9783.274721490001
9612.0001062,9904.42420829,9877.700018399999
9404.00010225,9825.8788232,9734.605788519999
9257.9999483,9395.425434,9592.6282679
9297.99999698,9357.28787268,9672.8103897
9159.9998409,9481.4859722,9588.13366442
9608.000077600002,9350.2960695,9505.667871590002
9095.00008811,9363.91319445,9448.753611200002
9001.9998978,9545.1007848,9425.995809799999
9380.00004931,9699.9882761,9539.7409126
9251.9999054,9297.85926622,9288.865787499999
8811.99996322,8652.0258737,8896.5058181
8415.999861,8620.7186193,8556.05461498
8348.99991592,8270.66177052,8374.801464979999
8165.0001429,8323.14396125,8082.8933559
8392.000104710001,8097.7039038,8011.5134329
8570.000190809998,8047.7130391,8303.5582383
8442.0000469,8050.76770348,8233.3720349
8320.00012388,8369.293505099999,8241.25141488
8116.000089200001,8042.0731293,7990.8523537
8374.000154,8190.097326200001,8200.82502082
8595.00001358,8323.941653099999,8591.13335882
9222.9999947,9215.54838402,9235.81978378
9558.00013541,9646.7467207,9577.75981392
9575.0001383,9773.88646095,9627.8133311
9497.9998844,9703.21013242,9642.437582800001
9274.0000627,9618.1199957,9401.1792574
9085.00001661,9343.2915697,9166.3801891
9254.00009769,9416.62736548,9192.837216
8914.99986905,9206.41506449,9068.7218225
8973.9996976,9094.60293309,9011.1052729
8999.000173,9267.231103,8906.8683959
8921.999919099999,9312.107721699998,9041.8649114
9266.0000055,9627.20846175,9407.6871651
9073.9998193,9186.3441408,9286.0909234
8636.00001008,8516.6271008,8775.2121594
8196.0000679,8201.5836142,8380.99177919
8089.0001928,8058.978382179999,8185.8670972
7880.9998922,7858.3838895,7911.3216753
7743.0000921,7871.46692579,7789.1419230500005
7673.9998954,7684.5398699,7734.523021700001
7735.0000349,7586.64359,7758.6331911199995
7711.00004129,7573.7772862,7819.4681559
7586.999925980001,7639.52946205,7701.53892351
7874.0001388,7875.68896725,7890.0518703
8347.9999681,8220.99733948,8323.84945428
8960.0001908,9224.0400496,8954.229755
9415.9998914,9561.478238,9292.8788687
9645.0000455,9719.3512149,9330.19061575
9761.9999921,9647.9914641,9319.61356
9664.999951180002,9630.0607515,9205.852438099999
9524.0000703,9174.3553277,8879.18584852
9504.99987512,9265.6226667,8814.78093831
9294.0002057,9096.24595878,8656.750558920001
9116.0001196,8984.89179565,8535.08798628
8997.9998692,8957.6667419,8505.5757017
8905.9998047,9153.7832435,8641.44104572
9246.99992898,9150.93617479,8924.8697112
9171.9999267,8938.109794,8743.002495699999
