True,Baseline,Proposed
13105.2816457155,12859.439237898,13023.150573424178
12371.864892063839,12752.2399960925,12408.85810308016
11972.14738801096,11962.121442553898,12076.73956866834
11794.714651252798,12163.77528282113,11740.13166071878
11849.2793323445,11486.378556627798,11856.098073821839
12301.647163575399,11686.836942890219,12251.81369323875
12781.7970305488,12092.67615812323,12794.99864705714
13377.92526262233,13508.85888192856,13338.065860989498
13945.838644080739,13265.913943358199,13894.098194466898
14622.356262744901,14643.392540481529,14786.772511800398
15365.65757227126,15032.96178183074,15593.34031917885
16253.345109550659,16095.40582571586,16353.6767846993
17058.709833989997,16382.78269484066,17224.26610012773
17812.219674801,18046.010909402597,17869.8969610871
18328.8383907065,17258.361587599098,18233.128323956797
18812.5128253265,18651.725406019697,18536.2258836958
19125.9450480639,17073.59007034215,18757.9354293443
18978.07697469634,18295.8407068809,18785.30906280394
18597.00636615733,17815.21097994003,18664.486070125502
17896.6872353706,16599.295410444,18157.2484004309
17249.005971169197,16633.040729831002,17475.72162350536
16937.542013481198,16486.877214683867,16849.7889252064
15951.508104055829,14253.6803837631,15811.308889744438
14820.365252501399,13612.580346884499,14632.785015933
13726.2336671078,14309.653874722198,13553.766349387699
13095.823801565979,13787.605900573199,13006.725223578469
12818.809313900869,13103.17148248812,12584.7136848207
12494.372607733529,12894.311605178918,12264.940546190948
12425.92199472678,12706.12359684462,12349.19271651548
12740.333009734868,13073.124161854139,12704.51541749418
13310.169391232497,13323.4996824327,13246.943835327818
13970.738468444699,14062.14988501416,13890.24456545416
14587.85161009724,14182.525313547,14400.2423835785
15134.958599039259,15706.03976831684,15277.1146349986
15804.6122112159,16868.285530714562,16120.5340095132
16468.75518984984,17688.751984898558,16749.1149652055
17254.7454727409,18300.0874803079,17532.04019659263
18050.525712721337,19046.891487869198,18131.18389209714
18494.43076713325,19656.9519340592,18479.0241343144
18894.6433890222,19739.455298344357,18665.91166364836
19258.3019722127,19257.444988593,18807.490443578998
19359.97201673537,19780.9551751495,18776.7509243062
19093.2855803256,19461.49278844357,18855.630036203238
18562.711000607298,18705.6365417397,18401.55561236943
17943.96806429047,17989.7271751153,17794.13782902095
17417.0739367763,18065.7673062615,17193.2994929106
16362.78420646664,15442.74032443846,16187.5592832949
15301.64064158186,15008.31294940525,15054.435197502758
14297.1983679884,13678.290900988499,14120.6877150893
13110.11177831864,13176.69660829342,13463.579631071198
12544.9516792491,12851.94304705482,13018.599151220798
12234.855843778898,12653.1630263384,12706.896662187019
12038.277279203649,12245.336219422428,12683.474053801348
12045.59825885574,12923.571365495329,13034.371464290429
11815.870703257939,12879.44916967347,13453.167661538559
12150.69979802655,13055.1112307806,14229.68382522026
12815.5855805635,13603.1306402649,14762.2556599383
13612.420139264197,15091.21149248715,15570.0733410529
14258.193406997168,15654.138093891457,16288.572222276529
14646.70146358525,16300.01613232215,16839.67473840927
15013.4535796344,17078.6010086882,17394.59070450077
15385.187898377068,18061.30539688724,17840.3882432147
15629.022116389,17815.368644582228,17995.02546998665
15978.47918408224,18243.5240184296,18021.94797913135
16163.74251330373,17830.7376413252,18005.513983160097
16363.459621449998,18385.21011203606,17810.9710725539
16337.889976654498,17584.1450549682,17795.563168245997
15973.379495800498,17411.301376489297,17378.1485709996
15404.825538158699,16635.705770879802,16878.93526869955
15098.68250784714,16341.324268578548,16319.2067165538
14451.1731489653,15133.472991233239,15395.0859320357
13623.8635407142,14383.9317220451,14380.826745785
12901.66386346164,13083.20986729655,13526.017372360498
12304.601341234169,12714.428454723598,12946.859958935129
11892.35305829573,12410.6264900509,12512.001294816158
11587.549668847249,12066.635808081419,12221.87953513022
11250.987788801298,12037.72774163624,11996.975500392498
11307.49606805483,12356.308477834898,12169.972520450829
11261.197337277179,12633.49715949986,12296.1873895947
11510.9818697453,12928.773535794498,12802.15204445244
12103.377264265839,12910.791374755969,13347.2104102371
12664.84851930352,14136.118506200099,14168.264292362199
13262.408956642968,15004.39167717505,14763.279462921359
13811.6879031802,15467.970990253229,15318.872878378697
14385.6914628903,16393.110746095997,15853.0305142399
15031.70071899095,16829.312865545202,16128.422327579397
15814.093196466129,17052.90345209427,16407.9134216161
16306.901245527899,17401.978818774696,16515.51089379206
16777.88723662014,17371.597859414,16516.5036724423
16943.77358131525,18077.299711945,16716.81990622893
16678.67345464426,17264.2536678568,16645.048672419198
16123.979744838698,16654.01851907133,16290.57914059305
15108.066351333948,16219.095771904238,15961.0689388184
14679.565641060599,15776.3342947439,15603.962593000359
13969.027044183398,14971.0545057731,14627.144690507199
13028.576017200528,14367.81559833635,13801.249740973128
12169.83062227285,13823.4517198708,12561.23080785406
11700.0599204146,13842.7758104527,11938.02062190896
11407.520042853368,13097.3450110654,11682.98712834463
11310.03421449644,13001.33919596267,11488.16677882772
11336.3911653117,12170.666499174318,11493.24612328466
11504.085313138099,12498.29922021774,11945.78331685702
11803.045447508399,12975.313086598218,12589.52652517276
12317.34344159984,14274.247990635899,13214.06312849482
12859.01634063997,13661.507245528499,13584.2668287191
13313.47627995374,15488.583607838398,14299.866969206538
13955.639281678139,15738.349830864197,14692.743353574799
14527.049512321859,16921.33179958275,15068.8625294553
14974.445312771639,17649.73252893216,15695.66009460607
15404.14045985856,18903.4598940949,15848.91419558943
15977.5042062787,17486.48808418514,16164.21855880405
16264.296190440498,19811.551270457458,16208.538852619899
16532.421952454868,17287.4049404792,16352.119464910858
16651.84961304984,19260.061713057898,16474.0689968876
16560.07658499456,18434.56372240524,16262.966212894198
16045.695689817057,16344.847564736101,16025.831979282339
15316.576569154398,16784.6200254377,15528.805129552667
14895.08150924874,16814.19358925165,15174.06451626106
14142.669217785698,14352.43541248974,14275.28476280727
13362.8319247054,14064.92376552564,13409.526088577599
12645.254873043019,13151.59080270336,12603.8012784393
12005.12727098986,13086.5983856148,11892.7464570078
11473.12328328155,12475.7928468415,11642.1690239681
11128.67359376502,12221.7595065639,11343.161335907329
11026.088840019778,12567.330903720338,11326.0361584885
11164.25087457526,12521.477448407999,11652.54590040296
11113.1710906718,13342.795800255499,12083.49905875595
11437.792925644819,13683.440431640998,12517.403597491799
12218.838133322619,13862.37327118035,13154.967623322349
13233.18174644624,14935.095523950047,14154.4355774544
14438.414010646358,15744.893930706738,15055.088488576648
15537.118887855,16328.953951611098,16071.635083628298
16386.95546760495,17037.12173000567,17158.892999217598
16873.45743957434,17884.18442924414,17789.54826214607
17168.00372685647,18105.984504912998,18284.59413193584
17523.431452830697,18265.694464398828,18560.821567879
17620.48344912377,18231.0710546739,18763.687645806498
17714.950762475997,18825.0166486442,18817.166475249498
