True,Baseline,Proposed
13105.2816457155,13041.2825158728,13023.150573424178
12371.864892063839,12418.740624572378,12408.85810308016
11972.14738801096,12030.64020737373,12076.73956866834
11794.714651252798,11725.525303108,11740.13166071878
11849.2793323445,11744.3026533984,11856.098073821839
12301.647163575399,12175.29115914698,12251.81369323875
12781.7970305488,12880.07982824227,12794.99864705714
13377.92526262233,13392.05481183936,13338.065860989498
13945.838644080739,14058.86384871334,13894.098194466898
14622.356262744901,14802.385380143158,14786.772511800398
15365.65757227126,15576.763916433998,15593.34031917885
16253.345109550659,16265.682113504998,16353.6767846993
17058.709833989997,16937.5470994374,17224.26610012773
17812.219674801,17733.2729196865,17869.8969610871
18328.8383907065,18022.7045151161,18233.128323956797
18812.5128253265,18382.399866937747,18536.2258836958
19125.9450480639,18519.52512932186,18757.9354293443
18978.07697469634,18505.459154557328,18785.30906280394
18597.00636615733,18432.698702266698,18664.486070125502
17896.6872353706,17778.6345630343,18157.2484004309
17249.005971169197,17282.7334897095,17475.72162350536
16937.542013481198,16683.343379627102,16849.7889252064
15951.508104055829,15636.14169217557,15811.308889744438
14820.365252501399,14422.189556070549,14632.785015933
13726.2336671078,13781.2204825641,13553.766349387699
13095.823801565979,13061.185642568069,13006.725223578469
12818.809313900869,12488.07466817107,12584.7136848207
12494.372607733529,12178.16650448465,12264.940546190948
12425.92199472678,12215.123859509758,12349.19271651548
12740.333009734868,12624.91435411455,12704.51541749418
13310.169391232497,13171.17478564708,13246.943835327818
13970.738468444699,13741.890783269499,13890.24456545416
14587.85161009724,14460.175291439298,14400.2423835785
15134.958599039259,15242.23896184615,15277.1146349986
15804.6122112159,16167.6172490347,16120.5340095132
16468.75518984984,17096.2213039431,16749.1149652055
17254.7454727409,18023.9887190566,17532.04019659263
18050.525712721337,18730.96536650913,18131.18389209714
18494.43076713325,18944.572221037597,18479.0241343144
18894.6433890222,19233.6834012266,18665.91166364836
19258.3019722127,19451.9090668781,18807.490443578998
19359.97201673537,19353.450040802298,18776.7509243062
19093.2855803256,18955.76234186884,18855.630036203238
18562.711000607298,18366.44217076463,18401.55561236943
17943.96806429047,17715.810289073797,17794.13782902095
17417.0739367763,16940.15263479866,17193.2994929106
16362.78420646664,16020.8797837304,16187.5592832949
15301.64064158186,14751.073422339168,15054.435197502758
14297.1983679884,14296.603311113,14120.6877150893
13110.11177831864,13523.488634937861,13463.579631071198
12544.9516792491,12972.5407318736,13018.599151220798
12234.855843778898,12595.47963690486,12706.896662187019
12038.277279203649,12646.217135956058,12683.474053801348
12045.59825885574,12643.48750326352,13034.371464290429
11815.870703257939,12957.17885546931,13453.167661538559
12150.69979802655,13148.78284628534,14229.68382522026
12815.5855805635,13994.372906906101,14762.2556599383
13612.420139264197,14652.1853958579,15570.0733410529
14258.193406997168,15482.281090915358,16288.572222276529
14646.70146358525,16390.78722700603,16839.67473840927
15013.4535796344,17137.31150697633,17394.59070450077
15385.187898377068,17553.1563238416,17840.3882432147
15629.022116389,17573.256022743997,17995.02546998665
15978.47918408224,17706.17825092443,18021.94797913135
16163.74251330373,18035.470265178097,18005.513983160097
16363.459621449998,18097.162913884098,17810.9710725539
16337.889976654498,17576.09042613426,17795.563168245997
15973.379495800498,17235.58565854426,17378.1485709996
15404.825538158699,16648.11931847495,16878.93526869955
15098.68250784714,15963.75076352266,16319.2067165538
14451.1731489653,15351.066981124697,15395.0859320357
13623.8635407142,14349.3929934909,14380.826745785
12901.66386346164,12689.333838237178,13526.017372360498
12304.601341234169,12206.5270677449,12946.859958935129
11892.35305829573,11838.8709229812,12512.001294816158
11587.549668847249,11401.70806640582,12221.87953513022
11250.987788801298,11439.24064307715,11996.975500392498
11307.49606805483,11486.029660032478,12169.972520450829
11261.197337277179,11796.09853993482,12296.1873895947
11510.9818697453,11874.5743355052,12802.15204445244
12103.377264265839,12643.5505691204,13347.2104102371
12664.84851930352,13361.89941463613,14168.264292362199
13262.408956642968,14163.985986006757,14763.279462921359
13811.6879031802,14771.9647503241,15318.872878378697
14385.6914628903,15304.9933039089,15853.0305142399
15031.70071899095,15954.154581364499,16128.422327579397
15814.093196466129,16089.7614315251,16407.9134216161
16306.901245527899,16338.142748677641,16515.51089379206
16777.88723662014,16682.120207161,16516.5036724423
16943.77358131525,16891.2725269517,16716.81990622893
16678.67345464426,16631.53884696514,16645.048672419198
16123.979744838698,16260.2681131301,16290.57914059305
15108.066351333948,15768.301026925998,15961.0689388184
14679.565641060599,15333.15271760144,15603.962593000359
13969.027044183398,14577.269261031899,14627.144690507199
13028.576017200528,13698.620993706758,13801.249740973128
12169.83062227285,12132.1703881009,12561.23080785406
11700.0599204146,11668.8804659305,11938.02062190896
11407.520042853368,11313.1712322806,11682.98712834463
11310.03421449644,11091.12677641633,11488.16677882772
11336.3911653117,11177.87360825696,11493.24612328466
11504.085313138099,11638.379986599099,11945.78331685702
11803.045447508399,12393.911494999598,12589.52652517276
12317.34344159984,12837.616417035038,13214.06312849482
12859.01634063997,13450.6028138269,13584.2668287191
13313.47627995374,13983.8449775721,14299.866969206538
13955.639281678139,14727.06720047955,14692.743353574799
14527.049512321859,15198.10532262284,15068.8625294553
14974.445312771639,15754.698637069097,15695.66009460607
15404.14045985856,16456.76250513024,15848.91419558943
15977.5042062787,16706.2072957242,16164.21855880405
16264.296190440498,16924.6465715361,16208.538852619899
16532.421952454868,17052.94897140226,16352.119464910858
16651.84961304984,17234.77165125445,16474.0689968876
16560.07658499456,17093.02630625826,16262.966212894198
16045.695689817057,16493.49633238036,16025.831979282339
15316.576569154398,16131.24376178135,15528.805129552667
14895.08150924874,15514.472396385449,15174.06451626106
14142.669217785698,14573.820982728299,14275.28476280727
13362.8319247054,13569.2912306882,13409.526088577599
12645.254873043019,12397.95381298736,12603.8012784393
12005.12727098986,11963.99485452017,11892.7464570078
11473.12328328155,11633.0499045015,11642.1690239681
11128.67359376502,11265.4929358837,11343.161335907329
11026.088840019778,11328.744430165,11326.0361584885
11164.25087457526,11724.72807947365,11652.54590040296
11113.1710906718,12476.514289728468,12083.49905875595
11437.792925644819,12891.79024239277,12517.403597491799
12218.838133322619,13525.725947070241,13154.967623322349
13233.18174644624,14401.112082088699,14154.4355774544
14438.414010646358,15272.99628196565,15055.088488576648
15537.118887855,15803.95001971866,16071.635083628298
16386.95546760495,16544.22340522135,17158.892999217598
16873.45743957434,17466.7484709817,17789.54826214607
17168.00372685647,17891.90262207545,18284.59413193584
17523.431452830697,18342.9264893805,18560.821567879
17620.48344912377,18503.4850406583,18763.687645806498
17714.950762475997,18575.626786377197,18817.166475249498
17559.720513211127,18566.1847086919,18532.81218989436
17061.0468308639,17819.03841627834,18047.5799268903
16421.600492643727,17324.0823136155,17298.9856627466
15794.21753393434,16774.074295257,16571.3251943221
15031.6969045238,15452.78941099623,15509.567245928358
