True,Baseline,Proposed
1093.1880185529399,1049.46339615352,1060.32745785812
1008.57501476474,1005.0127797471999,997.69597320062
954.33300450203,977.8703326566,948.82454787188
923.1110084136999,926.80743122175,919.40546743029
910.4530067662299,919.23948814444,910.09143447768
917.36199884922,933.3051691723199,930.2910830360199
947.45299519072,986.8966749647599,960.25829200578
999.3529980415999,1019.60340715652,1026.54608357036
1045.3550068556,1098.0023540838101,1059.21961990495
1099.9979725973099,1125.35830487871,1094.4254852089398
1112.25503911885,1177.1586794519399,1141.0572790679498
1187.2539649965,1207.6848447831098,1195.5640420652198
1266.4019659589999,1284.44207237806,1266.0710250408
1346.23600785199,1369.54627715764,1325.9737736033999
1424.7610013417898,1425.56738997519,1408.0838179022098
1519.0699634411499,1531.3495811642501,1489.8644274099997
1619.7719672989997,1602.2323021651,1581.0308347952196
1694.4850343085,1689.0784447936999,1665.3839298795197
1696.2549372756998,1705.94251012202,1687.4371732289
1653.14300334249,1624.0483508366997,1620.5923995507
1576.3989645368997,1551.3593966386998,1545.4053095409
1502.2738977197,1478.4749715564199,1462.4676890628198
1381.1639723382,1355.17357006881,1351.6942941645898
1178.5870171983997,1219.51415083246,1226.53142124785
1099.25699873089,1069.2515463425998,1072.3853085305
1024.30899623438,1008.60625672719,1003.4292498419899
965.59901898606,989.0010195781999,955.70758979062
930.53900378169,938.1507873717799,926.5215723535999
919.8690085995399,928.5721238030299,921.4335287373699
933.96399804822,939.2170440029399,942.61979236396
956.5269840357499,996.9640157442099,973.8182399502999
1012.1980240493,1044.64336176305,1044.4733118631998
1086.77702538671,1104.96929135709,1077.7535121552799
1158.4810334681997,1134.07452745928,1109.9498911167898
1216.42302832621,1192.6412190948,1158.41600540955
1298.02198668425,1238.21333036426,1220.7768960014
1376.45502500379,1317.4303689402,1305.0127574025
1444.81302908342,1403.47390860642,1379.0613984418499
1527.4659101122002,1479.4310366666,1468.7505596534
1634.5570479391,1582.1209655774896,1559.44620052952
1703.4770206344997,1666.8577770905,1648.1215549712997
1746.1909909899996,1740.7202893046997,1725.0734596808002
1746.8160337697,1745.303597138,1733.8851788658098
1666.2150271398996,1664.2122850519,1652.9002522766
1583.5829876547996,1570.8670001108999,1569.2078178445
1524.9780526007498,1494.8283376523,1478.5194226612998
1423.20802139465,1382.9552460288999,1370.3862076503997
1278.4469738442099,1234.05676534965,1236.7553789009498
1128.3010127985199,1118.24101947734,1131.50472848801
1069.59699899971,1053.7284226781599,1068.4003809552
1012.42897033459,1024.3380197122,1018.4670749053499
976.72797589671,972.0594090531799,986.16485997984
958.61201358576,966.24726426556,983.4755070753899
952.71601414974,972.84709321525,1008.4298159633599
959.26001462842,1040.5892337497498,1048.72726631776
1017.6640445285,1080.24796406141,1123.8451965957
1103.6010155201998,1164.9830862696099,1159.9506268875498
1204.51401965474,1209.34909496394,1202.7798973846
1269.25898745411,1287.18902447061,1250.0022762757999
1313.0679936817498,1341.7166697177,1307.2342949929998
1368.12300732561,1419.4476899468,1383.7787312410999
1434.57201555766,1506.6080839761999,1456.0604205083998
1421.7999756589797,1588.3779674161,1531.35794627602
1494.0020030103,1679.3301383864996,1609.8612433931999
1609.69994531345,1742.116306376,1674.9123010122998
1701.2149804347,1799.7721370698096,1723.6767506051197
1691.7660676871997,1800.3580408959,1722.2460111963996
1633.8999694272197,1723.6577001316,1647.7524316937797
1577.1799118328,1620.5953710989197,1567.5321495914
1544.8539448746,1549.9479112342,1478.9439877014997
1460.2910096386,1426.7285326186898,1366.6480814019199
1356.2449963797499,1277.8636548580098,1236.22536460508
1220.2479807713098,1110.50483792341,1183.7748112107
1175.51299127095,1041.1989099615998,1132.5647163736098
1113.4369825998901,1007.75161096482,1080.4329734677099
1081.6479906875,958.81867865854,1045.4358085435
1062.29899868981,941.9387379356199,1042.1251781772999
