True,Baseline,Proposed
3006.01202138568,3135.47097485184,2954.09557498176
2793.1999920232797,2938.66564303644,2783.331084378
2670.2269857797996,2801.1882779644798,2671.14282765678
2605.30600518168,2735.1422013226797,2601.5765562699
2617.60000715412,2728.4344945315197,2618.8443054678
2707.97700095412,2761.58039788308,2710.9799878862395
2859.50900719956,2856.5856473838,2878.52714420328
3049.20095438928,3062.11147050216,3096.7324911083997
3188.9599809478796,3259.8462765996,3274.5197292663597
3306.694069098,3476.6133072417597,3451.1769732509997
3449.5750247810397,3611.6559551123996,3651.22651404672
3613.2970452731997,3798.9899080163996,3880.6438964292
3806.8949691,3979.10033339724,4092.44578408248
3995.394936936,4096.99194192888,4290.9218549142
4177.237999821,4330.6346329932,4516.6411494184795
4366.7429511588,4422.411451559519,4711.9986721356
4552.729961758079,4539.879436896719,4880.623937128799
4646.32489669272,4601.408874508799,4940.052987397199
4593.0911568395995,4531.5476750328,4864.910043703199
4440.6509593355995,4290.83572585584,4681.68432117876
4232.8779350232,4148.162398854,4487.3474733168
4081.8569814189595,3984.0840719402395,4259.761644649439
3749.9700334271997,3724.1503882824,3921.57856279512
3406.9780285771194,3376.5430015767597,3591.4327481783994
3117.62700188076,3197.0478766405195,3093.2408615618397
2927.2730269566,3006.20577925728,2926.8472364481595
2788.667011446,2879.8605624686397,2820.3786730849197
2719.33801759584,2791.07671784376,2766.80301777516
2725.9969858297677,2794.095049359,2796.09426648516
2810.4359900710797,2785.27221748896,2908.6002731119197
2961.92803104636,2851.2668420964,3087.57376891464
3175.2440042600397,3026.0282498326796,3324.89486864604
3386.7690392229597,3263.2280666726397,3500.7718362443998
3596.6529406787995,3582.8422523691597,3724.74323535396
3813.2308948475998,3773.61096450036,3966.3548799185996
4035.9120052403996,4060.05622997064,4229.96259426924
4251.14700496224,4291.44136008,4442.5152828384
4443.9019303356,4399.1507974008,4628.184305127599
4543.33196809872,4681.3290117216,4788.2538813743995
4612.9108099068,4779.810892956,4925.7829585583995
4616.6290538052,4869.924341373599,5005.9300568932795
4412.481078889199,4933.408002673199,4950.2601694116
4121.445052250399,4864.212602058,4790.92938716112
3951.5330529353996,4631.808054135599,4602.953302465199
3878.2930542796794,4428.0549638304,4416.39464112528
3804.64603405476,4261.189991268,4169.91581616456
3598.9189541583596,4016.3706352907993,3841.6102678652396
3362.5708917204,3655.2044455085997,3541.3560912827998
3154.4359693162796,3063.7822095184797,3167.55212018148
2982.05396892804,2880.5338168895996,2993.7189296851197
2878.40798527956,2724.78690506952,2870.0490019517997
2800.21896845112,2694.63434410278,2798.28260343096
2769.1029713919597,2670.64163629428,2774.5071688509597
2785.17902298696,2669.1106456846796,2797.267997055
2813.5860075849596,2780.7401905298398,2824.4180695718396
2941.11700520928,2944.85055034452,2963.81818893204
3139.8260189497196,3163.2110335857597,3183.0344144330397
3370.8049510692,3421.930154478,3476.46462950136
3569.4650702057997,3592.56681690204,3780.2800931023194
3760.51605331236,3803.2382769192,4063.29289669824
3976.0760634416397,4036.2961833200397,4291.31730302664
4059.92202988776,4145.5512189468,4480.3177903578
4109.6480153781595,4381.63512915444,4626.3709135038
4233.73896552912,4508.359322469119,4743.22299154848
4317.3910440648,4568.5814362763995,4828.748713037159
4396.1169912636,4657.7044221959995,4798.1834738116795
4336.879011397439,4595.415817835999,4668.470554490999
4246.6460139396,4365.9596838792,4517.58731201832
4152.16404073104,4176.673978025639,4357.90620513288
4034.1899875748395,4019.84496967164,4171.457860075559
3827.5980193535997,3752.985200664,3877.1910184569597
3575.6000859456,3413.0237943263996,3603.1967985315596
3363.1760057891997,3219.82157868972,3334.28536339896
3182.44299778872,3032.70210317916,3152.28543032664
3068.2549821128396,2886.33432938664,3028.4113849607998
2991.64801781184,2799.6245175671997,2943.1847961504
2958.8720316137997,2804.49976037136,2906.9538947049596
2947.28799836148,2818.1361966353998,2909.88679070232
2952.08500113024,2939.8747875170397,2919.87819493488
3079.92198014508,3099.66456352644,3094.9148082028796
3300.9299674761596,3383.3054113732796,3352.9764527200796
3545.41603390644,3636.5532781113598,3687.1391671044
3792.4940344955994,3876.6889818419995,4054.909379376
4128.015047909999,4102.094405932799,4364.1449485207195
4386.9280133664,4308.84805577844,4625.121456982799
4625.414044372799,4414.908904032,4833.1454562563995
4716.8291815788,4579.0432776858,5015.1244097292
4687.7659343016,4698.36557353512,5164.844194700399
4833.2910997572,4770.087455426399,5304.4252847796
5033.685070093799,4819.3652403815995,5397.464607097199
4976.1318300923995,4728.5513160792,5359.6339244958
4792.663064976,4504.93236557232,5220.5628034008
4628.40606469608,4338.459069996,5029.973414829959
4467.4588996644,4124.02094828568,4834.8580677792
4187.38007572284,3795.33252229512,4472.09781855
3874.98495288264,3438.7006134785997,4124.28059250288
3584.2249987011596,3465.3770845401596,3627.5714087399997
3376.9159096236,3226.27857059736,3443.50628550336
3263.0360426522398,3090.37753634388,3307.034337396
3202.7590091081997,2990.1645347251197,3228.3183598416
3221.4349705776,2984.3319026346,3233.24041662816
3262.0809940649997,3057.5990360615997,3315.2545259352
3387.47697066792,3240.6128819693995,3448.51650862344
3636.9149594716796,3439.4865248812794,3638.02466758596
3836.0960575475997,3714.0598077612,3858.0232067484
4021.24995264528,4014.7792633131594,4161.96892592076
4206.9169810056,4295.3312552472,4501.6591145843995
4419.684797162399,4555.9241057849995,4794.326261739599
4632.997042596,4816.7757336143995,5027.11719840192
4852.8129638808,4977.9419707452,5210.314875883199
5115.693847808399,5235.2862343284,5297.7755319648
5244.057917588039,5385.805974896999,5352.69583222644
5422.34303111808,5463.3451009494,5356.82036080728
5511.65505016476,5445.7085832744,5257.23965137488
5415.6560438487595,5246.5454305584,5045.458569936
5096.1381735864,4996.84597699368,4860.2977827798
4785.9478592784,4800.91255560048,4696.4273879712
4600.53787435848,4585.96953642072,4467.980658836759
4301.28096564,4215.07657144536,4121.79516015396
3976.6979525208,3900.7730419355994,3812.7891962544
3700.6339910716797,3654.9939993191997,3682.7186267774396
3453.6920544554396,3445.8987400816795,3463.15346372244
3277.76593217556,3283.58803112004,3305.4474300852
3162.96703737564,3214.2841347659996,3204.0518119092
3107.17101221916,3186.8020730906396,3179.2724774844
3102.22004346384,3259.2251244071995,3218.9304225192
3130.9229964616798,3441.81712431804,3323.77631789064
3311.84594786112,3695.91124048056,3588.2182747461598
3593.5409811987597,3955.22971038636,3878.4727679565594
3928.8550161261596,4213.34410732632,4246.10904022296
4264.0670139104395,4444.40362018032,4605.74237550552
4557.0638962176,4690.62834924768,4938.5627422908
4708.622863849199,4925.3694350472,5180.0513701128
4829.1638837069995,5031.097297177799,5370.178297222319
4909.1900025744,5228.011428156,5538.79281233808
5071.01787732312,5352.5158151256,5701.29571870524
5198.7000667720795,5429.9797353822,5842.9729048464
5102.8780866636,5447.800041284399,5893.8174410922
5008.4859269472,5254.89552789876,5830.866548920079
4873.1759192215195,5016.75527016792,5623.8375201576
4679.9948132232,4807.7050910616,5377.365370523999
4506.6638760732,4567.18724652648,5090.9790993408
4301.0750708099995,4194.3094987362,4702.210215186
4025.2130163331194,3790.7621772244797,4322.6326929738
3726.4520757503997,3599.7927284705997,3621.05880355512
3460.2910487763597,3371.4388904141997,3432.466551489
3286.83904546632,3173.3181723859198,3299.3406327736798
3183.62799839136,3079.3019983022396,3219.41490389076
3185.6110040087997,3086.76080943324,3225.4490528369997
3280.98695089608,3115.16588679492,3325.60717806528
3485.5219647462,3248.04291117048,3472.12848438156
3767.8640280053996,3434.2812435011997,3766.6323434591995
4061.5469952324,3772.65036758928,4043.7047994587997
4381.1419351806,4089.5317003706396,4367.2201937016
4711.8989756916,4362.676636632,4742.615450088
4987.9928894202,4655.027789406,5079.855750352319
5225.6109111696,4946.1791171496,5383.125657673199
5352.448064889959,5121.5696527938,5611.00294672728
5373.1841883552,5398.0034013576,5745.9986072304
5316.4781513964,5502.4744380996,5805.7199848111195
5226.6031075188,5566.276694557199,5787.066606753599
5389.0701665124,5499.922642596,5671.4542756632
5477.9820560483995,5310.3099757524,5484.90532389
5383.0749425256,5050.2305619012,5309.342920245599
5163.1099100376,4873.6824638496,5127.03427496712
4988.84806817832,4619.065548204,4904.2203515723995
4595.6719943508,4238.1271695312,4541.2156293240005
4194.67395425844,3877.5070995307196,4207.32200864592
3870.4780667659197,3922.53608212032,3832.0331240306396
3601.31500647792,3705.1593427036796,3608.1847850099994
3421.9710300200395,3461.88744892248,3458.02078736136
3331.2719733596396,3306.1246290176396,3362.9889665909996
3320.6889790976397,3292.3113399311997,3368.3292282869998
3407.9670173016,3325.2115999139996,3464.0945548075197
3570.0730017828,3471.2359844763596,3667.673219682
3918.2780036507997,3662.4702790010397,3941.9257834361997
4276.01801676924,4050.563914806,4182.97999484004
4590.3971855376,4402.0337584836,4431.2248772868
4908.465859620719,4755.12969450912,4706.2851989688
5143.1959788114,5087.49041734128,4909.31254250796
5302.0529428752,5293.6112548452,5042.597281993199
5311.283966663999,5477.1237997044,5149.9105343148
5327.651088529199,5615.4192391188,5159.55794246928
5182.072000301279,5638.013617607639,5141.8266698262
5331.1469660112,5721.468297184199,5107.4463511128
5553.4110851904,5674.532728468799,5044.39294498848
5579.654873685,5516.366053914,4929.978011536799
5423.00492881368,5208.9620384844,4831.5897582672
5196.76205459328,5010.099275488799,4703.06704110276
4980.46312042884,4886.45895326472,4516.632393469919
4636.6030196291995,4474.5000693876,4161.97525447764
4228.6969695858,4084.2249020027994,3848.2676929716
3885.5219567415597,4050.8209582463996,3891.8281035948
3626.1949476185996,3821.9389457682,3685.94740448208
3450.28200260784,3611.1515777983195,3540.74724943392
3348.7629342264,3481.2230974271997,3442.39506026928
3319.1279495159997,3458.0121614516397,3446.6561729784
3397.0379896863597,3462.93257107956,3551.60514580368
3556.7899677396,3571.36931563248,3758.26269694656
3865.1740425599996,3799.6916842896,4017.2643055455596
4200.7519696400395,4175.714421425279,4262.184571662599
4532.2490178432,4608.4740580711195,4531.7761099284
4881.9420975036,4923.98551836564,4796.466701046
5162.1649611336,5219.4626748144,5021.891197499999
5131.380996579239,5518.7843428752,5127.144851327399
4951.3681003284,5589.409910652719,5179.95006985644
4848.3591336108,5807.56393556232,5184.400735847999
5044.8569235695995,5786.28871441272,5160.435444561599
5261.150092678799,5877.4409997768,5152.4387060958
5425.230933676799,5844.180835631159,5062.2383483868
5361.062834615999,5666.8877450652,4964.8826035068
5091.83505833196,5360.3534727438,4849.503345363959
4886.3718705882,5124.099991888799,4757.4017331216
4738.5070896696,4965.5074834792795,4569.8926612464
4461.58794946236,4596.1106587044,4235.647328852399
4146.5620541964,4136.089376217,3948.9660428875195
3880.08802373448,3835.22713801872,3868.4697902672397
3657.3019719977997,3602.78197463196,3666.4034771019597
3485.9499225686395,3422.37896186112,3495.741283719
3363.3599674015195,3298.58077248528,3384.6098743236
3299.7090328074,3304.1702319449996,3329.8420229287194
3285.9860340222,3311.9667105972,3311.7972266424
3310.18197086448,3362.73708135792,3303.55956955236
3472.7879113392,3578.5248328423195,3476.1394457088
3751.9499614587594,3910.3175460213597,3793.2136694361598
4101.266058522,4263.15149713056,4187.094293698799
4423.9771191931195,4474.150264907999,4585.88180355
4735.885940118,4768.3644407964,4916.9407509012
4955.8619825611195,5057.5775396297995,5180.117256458399
5060.2190619329995,5151.7947971063995,5379.179195610599
5151.9889884408,5405.2075530936,5513.7041588592
5268.238076384399,5419.246762991399,5541.8337272652
5320.803893409,5443.20204128712,5541.539232638879
5291.5969532136,5460.72993318444,5365.9301883972
5161.6640948682,5325.4122531672,5187.055695498
4987.722885442079,5035.2435855912,5003.0281968324
4826.3639307504,4786.053017353679,4863.33848097552
4678.086103129679,4609.4487425232,4656.438537434879
4371.6779251368,4369.02036471,4347.0288462834
4046.3179732948797,3931.2974923116,4052.88497806116
3759.98896254756,3795.5354695780798,3740.48881491024
3517.8770152191596,3583.28611827636,3555.27094070328
3357.9339667636796,3403.9826272439996,3407.48210246724
3247.87000285956,3257.9363961565195,3307.56524263344
3201.8919968156397,3262.62503322528,3258.90345166332
3180.42002690112,3275.10364700424,3273.7456947443998
3185.61399490212,3348.73415229648,3295.87249691088
3313.69002865116,3543.0132195672,3418.5732885159596
3562.79399102124,3882.8296759444797,3658.7339163576
3858.8580561011995,4209.883817140199,3959.4526350227998
4143.24593373756,4482.0007096787995,4282.782507187199
4372.048102368,4708.1460547691995,4540.366042235999
4573.152084771,4999.349831511599,4726.3614620135995
4739.2090393279195,5130.637911301199,4851.792592449599
4795.758986332439,5360.9757085932,4918.9301284218
4511.0050060152,5376.9559649094,4908.4999297968
4236.8931009396,5398.707084867119,4860.36059153952
4149.6179669364,5355.6826943424,4722.96415397232
4097.63398702824,5278.3282234428,4562.156867386199
4051.6590152239196,4981.972741322399,4424.9364157158
3980.29903142436,4833.573890887919,4350.347524172759
3912.92894265996,4667.033408577599,4186.674484977
3656.0889263519994,4352.2644267132,3917.1327949332
3375.27403922976,4003.5990873516,3671.98543765524
3121.71299561868,3244.33450687764,3199.99516360284
2955.3039825756,3090.41407725792,3023.2620636282
2830.93999420692,2952.4711297924796,2902.0850238039598
2777.62402646064,2851.8862604376,2822.36445286428
2796.6180195864,2874.90781651584,2807.9017498108797
2906.68198349052,2898.07709671632,2853.80242609128
3103.06902370392,2959.3678263644397,2931.35568303096
3336.3959804647197,3100.9375137312,3096.2242559754
3480.11195888568,3297.74444935896,3316.7651437932
3573.38301041616,3494.3464004285997,3562.23434720016
3689.82802354536,3660.82953561048,3836.7113146459196
3869.88305238036,3845.9681728176,4097.2560941592
4130.939924845559,4083.3333990620395,4322.917261302
4366.8599861147995,4176.661580989559,4503.41576592768
4572.9589770936,4343.5158470208,4702.8968202611995
4777.0740088368,4481.928754854,4870.3213932984
4979.6810234988,4533.4028958168,5021.2964865384
5114.126012860799,4584.1408002138,5098.7415511632
5091.40796743512,4535.3651819124,5041.495853018399
4962.212039196,4278.918619787999,4865.970727174799
4710.3801220404,4097.6583476376,4702.812295015199
4463.2778908807195,3965.1808459247995,4506.557244224399
4079.1320175267597,3654.1302813439197,4178.874972085199
3661.8830235995997,3333.47656516044,3861.59875469304
3343.1290448296795,3498.1988010635996,3315.9933632778
3109.3329946267195,3276.62371435128,3113.74486569768
2961.49097050512,3149.8600325755197,2972.09832537648
2880.06598048956,3044.9767727107196,2880.29731958592
2875.6779932188797,3058.6505734681195,2851.61131498356
2954.24095840488,3065.9184875819997,2863.37922315564
3144.5619901562395,3185.4991706063997,2897.11264198632
3428.0220406691997,3333.8776916355596,3090.57918323844
3673.76696976324,3590.8561559618397,3375.8922005288396
3910.2760636313997,3862.29090809208,3667.2902986444797
4125.7220296979995,4112.53279700472,3998.6812351542
4337.78494864944,4364.729082989999,4304.645937356399
4555.7578728011995,4629.8665742544,4559.63810174796
4750.65692191476,4735.960495719599,4765.12838091672
4929.83310492276,4972.685584101,4966.121440189199
5096.780998918799,5077.03880565396,5125.2126908964
5259.647103766079,5180.5346811348,5259.9324956736
5391.12100905804,5146.0756889232,5332.579127102399
5368.615923906,5047.257440556,5282.2588641132
5201.190917405999,4772.4433257444,5086.264757928
4915.6941118884,4585.9286175324,4903.245927198
4662.7880739144,4440.6418566167995,4695.122664943199
4273.2220516704,4094.23325463084,4337.691970878839
3853.31805474696,3728.8287522827995,3985.51449918024
3519.60198043176,3691.26157171752,3501.3510292377596
3270.7570554309596,3494.0164485452397,3295.44991402716
3114.5450380264797,3353.04493984248,3143.5810638398398
3025.27298424996,3236.06780778,3052.1591646141596
3006.1479553197596,3242.589255606,3036.8095966719598
3087.29401202352,3314.5154718612,3095.0741924744398
3242.6389737891595,3515.46865255608,3205.51990706652
3531.7869665099997,3693.9644723531997,3429.9000615964796
3789.43005934752,3971.4162083027995,3722.130234903
4082.7249473296797,4241.982170943,4029.18353558112
4382.65697435916,4539.1451942598,4377.1265525328
4632.0479757954,4808.23408906272,4702.50483985116
4846.622074786079,5099.994692118,4939.333439149199
5031.7637462328,5244.556269769199,5132.73353055408
5229.095085156,5453.2048889376,5307.938934236399
5372.1731363742,5591.9411600196,5448.605718590759
5521.4550372248395,5706.212357206799,5580.522882941999
5637.5139216918,5680.38634015884,5620.9805668428
5605.459997825999,5478.30567937488,5543.6356321248
5433.6149711544,5205.43382467752,5320.54810701072
5216.7439961328,5027.76955991592,5111.013749956799
4989.3390081456,4813.211195624879,4854.189641733599
4574.2940425176,4392.04616872368,4467.4675689204
4157.80798646472,4009.989629412,4091.3791188242394
3805.3739481348,3886.3083016070395,3891.69992864484
3539.1480317796,3706.56319867404,3663.99424751328
3353.7208817327996,3541.3456881755997,3487.9168467162
3243.25097991648,3399.6180903107997,3383.1426027456
3234.6889626131997,3382.7078395572,3371.7121887096
3329.3600556413994,3489.2749723611596,3448.6745925065998
3498.0139725256795,3709.2594673288795,3584.5172826671997
3808.8020753811597,3919.4923063387196,3885.6883197641996
4059.6530662203595,4190.66854125504,4197.5279600262
4313.26196412456,4520.207637990599,4552.292771177999
4609.2359122884,4846.4107183248,4920.2190300576
4940.8670305356,5099.125599204,5253.57038877288
5221.1800544279995,5378.198702756999,5500.1749179456
5478.48990106488,5514.445813709999,5685.824651140199
5632.656971017799,5696.37777981528,5831.043141664799
5780.22799419684,5817.9950444592,5991.792821044799
5961.8210357388,5918.199506860799,6149.0865015204
6064.3560108845995,5894.4253726691995,6259.6390213464
5979.64389907152,5629.518917077199,6211.8818238936
5822.601020172,5384.6761541088,6014.21559161112
5647.35010289568,5178.851761813799,5734.925800004399
5481.5880330816,4958.9125203624,5429.908690829279
5126.70796417128,4491.4623356772,4994.914206679199
4779.591994242,4102.844946771,4560.057173583
