True,Baseline,Proposed
3006.01202138568,3048.76168318776,2954.09557498176
2793.1999920232797,2888.3070619357195,2783.331084378
2670.2269857797996,2753.72219412816,2671.14282765678
2605.30600518168,2704.2849165356997,2601.5765562699
2617.60000715412,2735.38103932548,2618.8443054678
2707.97700095412,2808.5032227921597,2710.9799878862395
2859.50900719956,3007.4918633848797,2878.52714420328
3049.20095438928,3181.8691363877997,3096.7324911083997
3188.9599809478796,3368.4640785640795,3274.5197292663597
3306.694069098,3558.60951453516,3451.1769732509997
3449.5750247810397,3736.8992227708795,3651.22651404672
3613.2970452731997,3965.7241915445998,3880.6438964292
3806.8949691,4136.8803591344395,4092.44578408248
3995.394936936,4320.8310048456,4290.9218549142
4177.237999821,4456.93745712,4516.6411494184795
4366.7429511588,4598.412346172399,4711.9986721356
4552.729961758079,4775.6600531832,4880.623937128799
4646.32489669272,4807.9781726256,4940.052987397199
4593.0911568395995,4719.74959384752,4864.910043703199
4440.6509593355995,4570.7821269119995,4681.68432117876
4232.8779350232,4416.8976313584,4487.3474733168
4081.8569814189595,4230.02626995456,4259.761644649439
3749.9700334271997,3914.0025866692795,3921.57856279512
3406.9780285771194,3613.0543061051994,3591.4327481783994
3117.62700188076,3177.3237154281596,3093.2408615618397
2927.2730269566,2992.27415482644,2926.8472364481595
2788.667011446,2899.6847668952396,2820.3786730849197
2719.33801759584,2818.55834605632,2766.80301777516
2725.9969858297677,2807.2984562858396,2796.09426648516
2810.4359900710797,2831.5371325602,2908.6002731119197
2961.92803104636,2998.34969947008,3087.57376891464
3175.2440042600397,3084.2540507145595,3324.89486864604
3386.7690392229597,3347.4404392235997,3500.7718362443998
3596.6529406787995,3581.4795753647995,3724.74323535396
3813.2308948475998,3775.3969612752,3966.3548799185996
4035.9120052403996,4063.4799358964397,4229.96259426924
4251.14700496224,4229.818294503119,4442.5152828384
4443.9019303356,4371.7628838456,4628.184305127599
4543.33196809872,4488.0041694588,4788.2538813743995
4612.9108099068,4600.854475587599,4925.7829585583995
4616.6290538052,4669.18104336648,5005.9300568932795
4412.481078889199,4705.3129419084,4950.2601694116
4121.445052250399,4593.7474195188,4790.92938716112
3951.5330529353996,4445.67969131724,4602.953302465199
3878.2930542796794,4243.9275519894,4416.39464112528
3804.64603405476,4075.27658265216,4169.91581616456
3598.9189541583596,3786.7305397216796,3841.6102678652396
3362.5708917204,3551.22573581484,3541.3560912827998
3154.4359693162796,3073.1727476176798,3167.55212018148
2982.05396892804,2927.1761480207997,2993.7189296851197
2878.40798527956,2841.8262390438,2870.0490019517997
2800.21896845112,2754.69726869676,2798.28260343096
2769.1029713919597,2733.5165857838397,2774.5071688509597
2785.17902298696,2842.9385045885997,2797.267997055
2813.5860075849596,3005.41479633984,2824.4180695718396
2941.11700520928,3066.4519502499597,2963.81818893204
3139.8260189497196,3244.62041894052,3183.0344144330397
3370.8049510692,3424.4997219563998,3476.46462950136
3569.4650702057997,3570.4387143471595,3780.2800931023194
3760.51605331236,3810.05924754,4063.29289669824
3976.0760634416397,3962.91847353276,4291.31730302664
4059.92202988776,4089.1330012871995,4480.3177903578
4109.6480153781595,4265.138837376,4626.3709135038
4233.73896552912,4423.58310150792,4743.22299154848
4317.3910440648,4542.3157579104,4828.748713037159
4396.1169912636,4549.638895185,4798.1834738116795
4336.879011397439,4472.2525647696,4668.470554490999
4246.6460139396,4328.95860573072,4517.58731201832
4152.16404073104,4205.21750340564,4357.90620513288
4034.1899875748395,4050.5757049941594,4171.457860075559
3827.5980193535997,3707.4365828697596,3877.1910184569597
3575.6000859456,3432.2597030408397,3603.1967985315596
3363.1760057891997,3366.20174951832,3334.28536339896
3182.44299778872,3165.0843731147997,3152.28543032664
3068.2549821128396,3019.83085879596,3028.4113849607998
2991.64801781184,2928.1722888814797,2943.1847961504
2958.8720316137997,2903.4313592607596,2906.9538947049596
2947.28799836148,2845.9696232564397,2909.88679070232
2952.08500113024,2918.0768102306397,2919.87819493488
3079.92198014508,3047.3056816425596,3094.9148082028796
3300.9299674761596,3312.0638929569595,3352.9764527200796
3545.41603390644,3651.9429847088395,3687.1391671044
3792.4940344955994,3954.7129793824797,4054.909379376
4128.015047909999,4292.558480408159,4364.1449485207195
4386.9280133664,4496.5802309568,4625.121456982799
4625.414044372799,4683.3974962032,4833.1454562563995
4716.8291815788,4852.27720386,5015.1244097292
4687.7659343016,4974.638810824079,5164.844194700399
4833.2910997572,5148.230865964799,5304.4252847796
5033.685070093799,5181.4432191636,5397.464607097199
4976.1318300923995,5125.970383870799,5359.6339244958
4792.663064976,4964.2358770092,5220.5628034008
4628.40606469608,4816.459089038999,5029.973414829959
4467.4588996644,4594.1583422532,4834.8580677792
4187.38007572284,4301.7018580188,4472.09781855
3874.98495288264,3966.5226733684794,4124.28059250288
3584.2249987011596,3632.1062965536,3627.5714087399997
3376.9159096236,3473.9146978878,3443.50628550336
3263.0360426522398,3318.6056268419998,3307.034337396
3202.7590091081997,3209.28379459776,3228.3183598416
3221.4349705776,3225.7054460831996,3233.24041662816
3262.0809940649997,3305.39511112524,3315.2545259352
3387.47697066792,3541.7508892010396,3448.51650862344
3636.9149594716796,3763.29875444952,3638.02466758596
3836.0960575475997,3958.0980637728,3858.0232067484
4021.24995264528,4149.24102768552,4161.96892592076
4206.9169810056,4316.131401168,4501.6591145843995
4419.684797162399,4574.0760107292,4794.326261739599
4632.997042596,4774.7229066096,5027.11719840192
4852.8129638808,4885.58465879712,5210.314875883199
5115.693847808399,5041.5290129226,5297.7755319648
5244.057917588039,5113.535203064399,5352.69583222644
5422.34303111808,5184.190506389999,5356.82036080728
5511.65505016476,5216.050455652799,5257.23965137488
5415.6560438487595,5071.660702655519,5045.458569936
5096.1381735864,4892.0686554372,4860.2977827798
4785.9478592784,4693.4226238415995,4696.4273879712
4600.53787435848,4477.9486994244,4467.980658836759
4301.28096564,4128.70858839,4121.79516015396
3976.6979525208,3787.9897925019595,3812.7891962544
3700.6339910716797,3678.2813547864,3682.7186267774396
3453.6920544554396,3434.4992752895996,3463.15346372244
3277.76593217556,3261.6575876019597,3305.4474300852
3162.96703737564,3163.1286756537597,3204.0518119092
3107.17101221916,3134.1503003927996,3179.2724774844
3102.22004346384,3125.1772303162797,3218.9304225192
3130.9229964616798,3331.5730999667994,3323.77631789064
3311.84594786112,3521.32564525596,3588.2182747461598
3593.5409811987597,3721.2756629928,3878.4727679565594
3928.8550161261596,4016.0746668909596,4246.10904022296
4264.0670139104395,4289.542359553199,4605.74237550552
4557.0638962176,4599.865313478,4938.5627422908
4708.622863849199,4851.43125785952,5180.0513701128
4829.1638837069995,5015.621158098,5370.178297222319
4909.1900025744,5161.661277359999,5538.79281233808
5071.01787732312,5325.46400862552,5701.29571870524
5198.7000667720795,5427.296600650199,5842.9729048464
5102.8780866636,5473.934380422,5893.8174410922
5008.4859269472,5347.979930347559,5830.866548920079
4873.1759192215195,5105.88952612032,5623.8375201576
4679.9948132232,4890.467227122599,5377.365370523999
4506.6638760732,4700.311214659199,5090.9790993408
4301.0750708099995,4360.4492880341995,4702.210215186
4025.2130163331194,3985.6454916383996,4322.6326929738
3726.4520757503997,3665.961041622,3621.05880355512
3460.2910487763597,3486.45425653644,3432.466551489
3286.83904546632,3311.9873000802,3299.3406327736798
3183.62799839136,3222.42101175504,3219.41490389076
3185.6110040087997,3226.77003072,3225.4490528369997
3280.98695089608,3245.9110977738,3325.60717806528
3485.5219647462,3361.1989819583996,3472.12848438156
3767.8640280053996,3594.2119382668798,3766.6323434591995
4061.5469952324,3831.30247913496,4043.7047994587997
4381.1419351806,4113.5458429146,4367.2201937016
4711.8989756916,4404.014900210999,4742.615450088
4987.9928894202,4766.1403431696,5079.855750352319
5225.6109111696,5017.5778091772,5383.125657673199
5352.448064889959,5201.836603592879,5611.00294672728
5373.1841883552,5319.6359278944,5745.9986072304
5316.4781513964,5442.807243368879,5805.7199848111195
5226.6031075188,5530.9431911466,5787.066606753599
5389.0701665124,5548.4145594948,5671.4542756632
5477.9820560483995,5394.51125165568,5484.90532389
5383.0749425256,5191.877102222399,5309.342920245599
5163.1099100376,5002.2457964784,5127.03427496712
4988.84806817832,4785.829784011679,4904.2203515723995
4595.6719943508,4421.0627754035995,4541.2156293240005
4194.67395425844,4011.887112819,4207.32200864592
3870.4780667659197,3926.290130046,3832.0331240306396
3601.31500647792,3677.7496693159196,3608.1847850099994
3421.9710300200395,3466.5214696784396,3458.02078736136
3331.2719733596396,3399.6358622855996,3362.9889665909996
3320.6889790976397,3404.9323442387995,3368.3292282869998
3407.9670173016,3509.98838237568,3464.0945548075197
3570.0730017828,3759.6923872997995,3667.673219682
3918.2780036507997,4124.5675015301995,3941.9257834361997
4276.01801676924,4357.9948049292,4182.97999484004
4590.3971855376,4597.9957884216,4431.2248772868
4908.465859620719,4818.5308244916,4706.2851989688
5143.1959788114,5036.24908924836,4909.31254250796
5302.0529428752,5251.313954821199,5042.597281993199
5311.283966663999,5351.156909247599,5149.9105343148
5327.651088529199,5513.978237387641,5159.55794246928
5182.072000301279,5498.707906445279,5141.8266698262
5331.1469660112,5621.0759286588,5107.4463511128
5553.4110851904,5572.9879990896,5044.39294498848
5579.654873685,5431.762177762079,4929.978011536799
5423.00492881368,5259.6052312596,4831.5897582672
5196.76205459328,5060.4533485764,4703.06704110276
4980.46312042884,4822.491807558,4516.632393469919
4636.6030196291995,4456.7993992182,4161.97525447764
4228.6969695858,4007.3703870967197,3848.2676929716
3885.5219567415597,3937.1106619224,3891.8281035948
3626.1949476185996,3669.31899124104,3685.94740448208
3450.28200260784,3439.2743014944,3540.74724943392
3348.7629342264,3377.9011705679995,3442.39506026928
3319.1279495159997,3396.415450413,3446.6561729784
3397.0379896863597,3431.5124131736397,3551.60514580368
3556.7899677396,3693.2410229399998,3758.26269694656
3865.1740425599996,3970.4994344807997,4017.2643055455596
4200.7519696400395,4167.09462353076,4262.184571662599
4532.2490178432,4449.6559322742,4531.7761099284
4881.9420975036,4675.827718595399,4796.466701046
5162.1649611336,4859.970735097199,5021.891197499999
5131.380996579239,5085.17572598928,5127.144851327399
4951.3681003284,5168.3305360008,5179.95006985644
4848.3591336108,5247.64711961088,5184.400735847999
5044.8569235695995,5289.306969241199,5160.435444561599
5261.150092678799,5333.20925197476,5152.4387060958
5425.230933676799,5346.9172096008,5062.2383483868
5361.062834615999,5204.235126650399,4964.8826035068
5091.83505833196,4973.37903788844,4849.503345363959
4886.3718705882,4804.306959441,4757.4017331216
4738.5070896696,4562.329472273159,4569.8926612464
4461.58794946236,4261.276683828,4235.647328852399
4146.5620541964,3852.1145886290396,3948.9660428875195
3880.08802373448,3734.5422254495998,3868.4697902672397
3657.3019719977997,3456.83244909516,3666.4034771019597
3485.9499225686395,3288.0131228064,3495.741283719
3363.3599674015195,3220.4148158778,3384.6098743236
3299.7090328074,3253.2173299992,3329.8420229287194
3285.9860340222,3318.95343739272,3311.7972266424
3310.18197086448,3580.59730518168,3303.55956955236
3472.7879113392,3874.47715121244,3476.1394457088
3751.9499614587594,4051.5016682275195,3793.2136694361598
4101.266058522,4291.7963661132,4187.094293698799
4423.9771191931195,4435.811477212439,4585.88180355
4735.885940118,4689.427830676799,4916.9407509012
4955.8619825611195,4873.1818143156,5180.117256458399
5060.2190619329995,5003.806045826999,5379.179195610599
5151.9889884408,5082.06294292992,5513.7041588592
5268.238076384399,5147.299787870399,5541.8337272652
5320.803893409,5182.909363738319,5541.539232638879
5291.5969532136,5215.980234679199,5365.9301883972
5161.6640948682,5054.64434020848,5187.055695498
4987.722885442079,4823.92812989208,5003.0281968324
4826.3639307504,4618.4105859132,4863.33848097552
4678.086103129679,4388.07122815512,4656.438537434879
4371.6779251368,4079.9408157652797,4347.0288462834
4046.3179732948797,3743.1295569803997,4052.88497806116
3759.98896254756,3775.63419546564,3740.48881491024
3517.8770152191596,3576.53532528288,3555.27094070328
3357.9339667636796,3383.0314195374,3407.48210246724
3247.87000285956,3297.818918268,3307.56524263344
3201.8919968156397,3304.9282716896396,3258.90345166332
3180.42002690112,3306.17200650168,3273.7456947443998
3185.61399490212,3502.218301608,3295.87249691088
3313.69002865116,3725.28463039116,3418.5732885159596
3562.79399102124,3902.0578256748,3658.7339163576
3858.8580561011995,4085.3849351481595,3959.4526350227998
4143.24593373756,4239.61711121364,4282.782507187199
4372.048102368,4445.505742695599,4540.366042235999
4573.152084771,4612.55827461156,4726.3614620135995
4739.2090393279195,4712.017007612039,4851.792592449599
4795.758986332439,4758.56050922484,4918.9301284218
4511.0050060152,4792.2007768998,4908.4999297968
4236.8931009396,4803.628243388759,4860.36059153952
4149.6179669364,4819.1580451632,4722.96415397232
4097.63398702824,4681.584754773599,4562.156867386199
4051.6590152239196,4518.8840593308,4424.9364157158
3980.29903142436,4365.635453704799,4350.347524172759
3912.92894265996,4188.771491310839,4186.674484977
3656.0889263519994,3892.2994943897997,3917.1327949332
3375.27403922976,3548.1852976968,3671.98543765524
3121.71299561868,3134.8772175083996,3199.99516360284
2955.3039825756,3010.71327222192,3023.2620636282
2830.93999420692,2897.75156615352,2902.0850238039598
2777.62402646064,2832.1125544272,2822.36445286428
2796.6180195864,2834.83049622204,2807.9017498108797
2906.68198349052,2910.3778607084396,2853.80242609128
3103.06902370392,3089.13588215328,2931.35568303096
3336.3959804647197,3243.69341539644,3096.2242559754
3480.11195888568,3473.05566131076,3316.7651437932
3573.38301041616,3679.6149030906,3562.23434720016
3689.82802354536,3855.8474402238,3836.7113146459196
3869.88305238036,4096.20251947752,4097.2560941592
4130.939924845559,4248.266297885999,4322.917261302
4366.8599861147995,4439.52031496808,4503.41576592768
4572.9589770936,4614.2311375956,4702.8968202611995
4777.0740088368,4719.6796329516,4870.3213932984
4979.6810234988,4977.932868026399,5021.2964865384
5114.126012860799,5012.80898149044,5098.7415511632
5091.40796743512,4961.9458930368,5041.495853018399
4962.212039196,4824.24026645436,4865.970727174799
4710.3801220404,4676.553552054,4702.812295015199
4463.2778908807195,4463.2005611172,4506.557244224399
4079.1320175267597,4080.9856344984,4178.874972085199
3661.8830235995997,3803.4934564695595,3861.59875469304
3343.1290448296795,3404.9222012092796,3315.9933632778
3109.3329946267195,3186.58633865508,3113.74486569768
2961.49097050512,3052.1046783402,2972.09832537648
2880.06598048956,2956.349928312,2880.29731958592
2875.6779932188797,2965.41684308472,2851.61131498356
2954.24095840488,3019.0518827980795,2863.37922315564
3144.5619901562395,3209.07447541164,2897.11264198632
3428.0220406691997,3348.4352363496,3090.57918323844
3673.76696976324,3607.5718686108,3375.8922005288396
3910.2760636313997,3917.4326211519597,3667.2902986444797
4125.7220296979995,4222.62684322716,3998.6812351542
4337.78494864944,4498.3552611228,4304.645937356399
4555.7578728011995,4698.698299580399,4559.63810174796
4750.65692191476,4841.5160563872,4765.12838091672
4929.83310492276,4999.3136373678,4966.121440189199
5096.780998918799,5163.424864108079,5125.2126908964
5259.647103766079,5299.257541278,5259.9324956736
5391.12100905804,5341.043355198,5332.579127102399
5368.615923906,5232.4006724688,5282.2588641132
5201.190917405999,5029.6282484023195,5086.264757928
4915.6941118884,4810.372057631159,4903.245927198
4662.7880739144,4594.6750299108,4695.122664943199
4273.2220516704,4257.4932037782,4337.691970878839
3853.31805474696,3908.7652290419996,3985.51449918024
3519.60198043176,3542.08118785464,3501.3510292377596
3270.7570554309596,3305.0574436040397,3295.44991402716
3114.5450380264797,3122.6058422941196,3143.5810638398398
3025.27298424996,3041.8906042672797,3052.1591646141596
3006.1479553197596,3045.56212087584,3036.8095966719598
3087.29401202352,3097.73522060364,3095.0741924744398
3242.6389737891595,3319.4387423435996,3205.51990706652
3531.7869665099997,3524.02659530904,3429.9000615964796
3789.43005934752,3734.4270977299198,3722.130234903
4082.7249473296797,4048.49833452516,4029.18353558112
4382.65697435916,4320.390736679639,4377.1265525328
4632.0479757954,4607.886542591999,4702.50483985116
4846.622074786079,4844.032307941199,4939.333439149199
5031.7637462328,4994.30549486916,5132.73353055408
5229.095085156,5143.7779026204,5307.938934236399
5372.1731363742,5317.2280420404,5448.605718590759
5521.4550372248395,5422.5963467783995,5580.522882941999
5637.5139216918,5474.4731746824,5620.9805668428
5605.459997825999,5331.64562161632,5543.6356321248
5433.6149711544,5085.250888438799,5320.54810701072
5216.7439961328,4875.697198943999,5111.013749956799
4989.3390081456,4654.769272192079,4854.189641733599
4574.2940425176,4292.98851885204,4467.4675689204
4157.80798646472,3890.5916943040797,4091.3791188242394
3805.3739481348,3839.6438638730397,3891.69992864484
3539.1480317796,3584.9900171968798,3663.99424751328
