True,Baseline,Proposed
3006.01202138568,3009.93815404296,2954.09557498176
2793.1999920232797,2847.5946752936397,2783.331084378
2670.2269857797996,2752.5086283269998,2671.14282765678
2605.30600518168,2695.7345377086,2601.5765562699
2617.60000715412,2681.7984919572,2618.8443054678
2707.97700095412,2816.07495098256,2710.9799878862395
2859.50900719956,2957.2504472789997,2878.52714420328
3049.20095438928,3178.82934846396,3096.7324911083997
3188.9599809478796,3376.36268105196,3274.5197292663597
3306.694069098,3516.3358815800398,3451.1769732509997
3449.5750247810397,3674.31378308544,3651.22651404672
3613.2970452731997,3863.8194713099997,3880.6438964292
3806.8949691,4009.4602846406397,4092.44578408248
3995.394936936,4145.1399927884395,4290.9218549142
4177.237999821,4332.47286203544,4516.6411494184795
4366.7429511588,4360.827484327199,4711.9986721356
4552.729961758079,4520.9169998628,4880.623937128799
4646.32489669272,4508.9796510822,4940.052987397199
4593.0911568395995,4434.5430350208,4864.910043703199
4440.6509593355995,4308.75182703684,4681.68432117876
4232.8779350232,4213.82104644516,4487.3474733168
4081.8569814189595,3997.1080686141595,4259.761644649439
3749.9700334271997,3692.19698443992,3921.57856279512
3406.9780285771194,3355.8899295839997,3591.4327481783994
3117.62700188076,3105.19078076364,3093.2408615618397
2927.2730269566,2928.5244774064795,2926.8472364481595
2788.667011446,2798.36088681264,2820.3786730849197
2719.33801759584,2735.5943463693598,2766.80301777516
2725.9969858297677,2699.8579392861598,2796.09426648516
2810.4359900710797,2786.79263160624,2908.6002731119197
2961.92803104636,2925.43605495648,3087.57376891464
3175.2440042600397,3152.3089240104,3324.89486864604
3386.7690392229597,3377.2230180173997,3500.7718362443998
3596.6529406787995,3543.7691786903997,3724.74323535396
3813.2308948475998,3823.2802964027996,3966.3548799185996
4035.9120052403996,4016.34519102444,4229.96259426924
4251.14700496224,4217.76352065,4442.5152828384
4443.9019303356,4426.16263863072,4628.184305127599
4543.33196809872,4600.72157589312,4788.2538813743995
4612.9108099068,4661.9345856612,4925.7829585583995
4616.6290538052,4816.8208137455995,5005.9300568932795
4412.481078889199,4876.171667324879,4950.2601694116
4121.445052250399,4721.11452485844,4790.92938716112
3951.5330529353996,4580.245703492999,4602.953302465199
3878.2930542796794,4404.092923515,4416.39464112528
3804.64603405476,4241.0508761172005,4169.91581616456
3598.9189541583596,3914.4461924988,3841.6102678652396
3362.5708917204,3562.829404932,3541.3560912827998
3154.4359693162796,3035.8287137018397,3167.55212018148
2982.05396892804,2871.5209115817597,2993.7189296851197
2878.40798527956,2763.9691680276,2870.0490019517997
2800.21896845112,2675.66256594552,2798.28260343096
2769.1029713919597,2642.01263205012,2774.5071688509597
2785.17902298696,2672.08316018196,2797.267997055
2813.5860075849596,2712.46221393084,2824.4180695718396
2941.11700520928,2807.29238780664,2963.81818893204
3139.8260189497196,3067.93261582848,3183.0344144330397
3370.8049510692,3278.2915925131197,3476.46462950136
3569.4650702057997,3542.4817941743995,3780.2800931023194
3760.51605331236,3684.9831231372,4063.29289669824
3976.0760634416397,3875.69648206884,4291.31730302664
4059.92202988776,4056.2369892398397,4480.3177903578
4109.6480153781595,4135.503551242799,4626.3709135038
4233.73896552912,4230.0714801245995,4743.22299154848
4317.3910440648,4355.689216295999,4828.748713037159
4396.1169912636,4438.2266018952,4798.1834738116795
4336.879011397439,4273.240993994759,4668.470554490999
4246.6460139396,4240.9446777312,4517.58731201832
4152.16404073104,4114.944497331359,4357.90620513288
4034.1899875748395,3956.7140170524,4171.457860075559
3827.5980193535997,3666.5364201427196,3877.1910184569597
3575.6000859456,3443.1399227448,3603.1967985315596
3363.1760057891997,3292.1658698155197,3334.28536339896
3182.44299778872,3104.0638641762,3152.28543032664
3068.2549821128396,2985.4570853708396,3028.4113849607998
2991.64801781184,2921.0307291738,2943.1847961504
2958.8720316137997,2830.5679530856796,2906.9538947049596
2947.28799836148,2832.16071214428,2909.88679070232
2952.08500113024,2827.4844721115996,2919.87819493488
3079.92198014508,2975.6908217166,3094.9148082028796
3300.9299674761596,3239.58072035004,3352.9764527200796
3545.41603390644,3568.7626437383997,3687.1391671044
3792.4940344955994,3889.7420638697995,4054.909379376
4128.015047909999,4131.339360815759,4364.1449485207195
4386.9280133664,4386.38154681444,4625.121456982799
4625.414044372799,4571.262143616719,4833.1454562563995
4716.8291815788,4709.80595721552,5015.1244097292
4687.7659343016,4818.547296078,5164.844194700399
4833.2910997572,4937.751733392,5304.4252847796
5033.685070093799,4973.47747729032,5397.464607097199
4976.1318300923995,4740.3174470538,5359.6339244958
4792.663064976,4710.316403008799,5220.5628034008
4628.40606469608,4550.33338928316,5029.973414829959
4467.4588996644,4373.92920088116,4834.8580677792
4187.38007572284,4059.6564038839197,4472.09781855
3874.98495288264,3743.9264783381996,4124.28059250288
3584.2249987011596,3512.9543082384,3627.5714087399997
3376.9159096236,3293.84432446968,3443.50628550336
3263.0360426522398,3123.7414714838396,3307.034337396
3202.7590091081997,3054.26644401636,3228.3183598416
3221.4349705776,2988.91637859252,3233.24041662816
3262.0809940649997,3098.6639146526395,3315.2545259352
3387.47697066792,3212.86051289196,3448.51650862344
3636.9149594716796,3455.34866258448,3638.02466758596
3836.0960575475997,3736.2279622787996,3858.0232067484
4021.24995264528,3986.95381240764,4161.96892592076
4206.9169810056,4342.94965791144,4501.6591145843995
4419.684797162399,4584.3736130836805,4794.326261739599
4632.997042596,4871.3816433072,5027.11719840192
4852.8129638808,5126.9249989952405,5210.314875883199
5115.693847808399,5269.296592541999,5297.7755319648
5244.057917588039,5349.698567003279,5352.69583222644
5422.34303111808,5482.1844778944,5356.82036080728
5511.65505016476,5485.488331355999,5257.23965137488
5415.6560438487595,5280.048810681119,5045.458569936
5096.1381735864,5129.5057064676,4860.2977827798
4785.9478592784,4885.990640055599,4696.4273879712
4600.53787435848,4636.9467556295995,4467.980658836759
4301.28096564,4278.08996895324,4121.79516015396
3976.6979525208,3887.65437698616,3812.7891962544
3700.6339910716797,3498.24921278724,3682.7186267774396
3453.6920544554396,3276.5177760429597,3463.15346372244
3277.76593217556,3133.11081325212,3305.4474300852
3162.96703737564,3082.1465112346796,3204.0518119092
3107.17101221916,3022.60770818532,3179.2724774844
3102.22004346384,3163.68454834848,3218.9304225192
3130.9229964616798,3324.1769242104,3323.77631789064
3311.84594786112,3529.4766097859997,3588.2182747461598
3593.5409811987597,3794.34700127304,3878.4727679565594
3928.8550161261596,4049.4852859744797,4246.10904022296
4264.0670139104395,4317.7620015290395,4605.74237550552
4557.0638962176,4566.3031557996,4938.5627422908
4708.622863849199,4786.263420196799,5180.0513701128
4829.1638837069995,5017.289816492879,5370.178297222319
4909.1900025744,5149.251237396,5538.79281233808
5071.01787732312,5281.1782413528,5701.29571870524
5198.7000667720795,5403.104391588,5842.9729048464
5102.8780866636,5391.4763185152,5893.8174410922
5008.4859269472,5235.0658184946005,5830.866548920079
4873.1759192215195,5012.5795496304,5623.8375201576
4679.9948132232,4839.0357822456,5377.365370523999
4506.6638760732,4561.455177805559,5090.9790993408
4301.0750708099995,4184.23721034516,4702.210215186
4025.2130163331194,3795.34864711128,4322.6326929738
3726.4520757503997,3580.46427544836,3621.05880355512
3460.2910487763597,3377.5591684188,3432.466551489
3286.83904546632,3197.9198304089996,3299.3406327736798
3183.62799839136,3129.0956906819997,3219.41490389076
3185.6110040087997,3068.07483497316,3225.4490528369997
3280.98695089608,3174.96034620372,3325.60717806528
3485.5219647462,3227.82083123976,3472.12848438156
3767.8640280053996,3466.89819219792,3766.6323434591995
4061.5469952324,3767.48617848264,4043.7047994587997
4381.1419351806,4039.3411294512,4367.2201937016
4711.8989756916,4416.920171424,4742.615450088
4987.9928894202,4691.5960116024,5079.855750352319
5225.6109111696,4976.65354591848,5383.125657673199
5352.448064889959,5228.819099391239,5611.00294672728
5373.1841883552,5393.03652451752,5745.9986072304
5316.4781513964,5461.779953471159,5805.7199848111195
5226.6031075188,5629.9099005228,5787.066606753599
5389.0701665124,5625.7421557008,5671.4542756632
5477.9820560483995,5389.1954372616,5484.90532389
5383.0749425256,5235.837599009999,5309.342920245599
5163.1099100376,4999.75104467928,5127.03427496712
4988.84806817832,4757.3124397848,4904.2203515723995
4595.6719943508,4407.993005058001,4541.2156293240005
4194.67395425844,3996.01114765248,4207.32200864592
3870.4780667659197,3989.562694962,3832.0331240306396
3601.31500647792,3765.538283352,3608.1847850099994
3421.9710300200395,3549.28399585596,3458.02078736136
3331.2719733596396,3453.484079004,3362.9889665909996
3320.6889790976397,3413.9201953967995,3368.3292282869998
3407.9670173016,3528.584760075,3464.0945548075197
3570.0730017828,3677.19457685424,3667.673219682
3918.2780036507997,3997.60837137792,3941.9257834361997
4276.01801676924,4239.15256913088,4182.97999484004
4590.3971855376,4410.81632165952,4431.2248772868
4908.465859620719,4736.83106240712,4706.2851989688
5143.1959788114,4978.902090847199,4909.31254250796
5302.0529428752,5188.337011534799,5042.597281993199
5311.283966663999,5330.39954610516,5149.9105343148
5327.651088529199,5457.063141320399,5159.55794246928
5182.072000301279,5505.707507085959,5141.8266698262
5331.1469660112,5593.293997418399,5107.4463511128
5553.4110851904,5685.76114884,5044.39294498848
5579.654873685,5409.9030388746,4929.978011536799
