True,Baseline,Proposed
10040.89338611923,10018.257975243334,9860.304512118058
9492.146053478633,9449.700623558832,9346.087355481784
9042.788694434586,9026.173287617848,9041.523564418252
8711.041235163539,8706.024483608633,8708.053973198033
8562.008968142993,8561.355374688479,8611.807263296872
8642.085047319359,8566.194851550335,8782.036693269838
8972.77790555437,8876.958855567893,9399.626757951064
9576.23465363838,9316.375383376151,10120.94574716425
10170.454534405619,9749.930598540132,10700.349375861597
10501.255224557368,10133.649373926623,11072.459959830358
10751.887897209186,10527.92345131254,11461.030682436423
11071.110226994997,10941.42192996325,11874.514734594874
11426.256967681373,11419.148130231659,12184.85352386593
11835.871785711792,11647.702890352619,12638.697032969823
12294.369183412678,11845.294485810238,12883.545904808669
12641.349551411487,11974.30400415522,13143.573647158497
12885.147489966568,11990.81377970658,13187.804294366519
13017.843099342897,11932.044162500279,13127.102016230749
12930.618081958668,11823.241513994819,12904.091430441118
12499.771379587673,11682.30544333507,12495.4573693677
11966.766773240368,11441.798456633453,12178.571886811511
11564.708013919786,11311.802801961478,11710.313133219244
11135.130109317393,10835.425845494794,11181.600530578295
10431.417064550662,10256.839881036838,10415.127843169137
9648.030415289992,9810.369287546098,9617.51251575223
9055.407229344293,9186.524482660432,9053.912498035857
8550.66876715779,8784.982387376283,8684.509204275993
8256.189094185394,8457.882703781783,8420.48556808641
8113.125971725865,8301.546474890758,8328.754594780072
8212.336959011638,8384.422027116407,8491.844133667439
8564.168785196387,8626.649189632655,9055.997492942945
9279.828921690598,9260.455854200458,9851.55325520184
9967.182813265857,9923.174187328583,10642.25462507298
10525.109551770996,10557.351050358837,11269.340011347598
10870.187823442582,11162.564407263357,11901.847558061367
11162.126233125502,11795.909424078778,12602.80758797424
11651.963840423085,12622.147645693947,13260.755887016818
12271.541093284199,13109.979481533479,13967.34469408005
12971.864156886179,13724.482032353817,14647.316133886252
13482.060723484077,14278.426569961004,15042.86292130986
13884.885064961818,14532.576861556568,15260.072101075617
14175.409189369426,14706.243953473799,15310.775108456097
14104.162857007857,14782.787498180518,15186.624872835233
13789.466289006406,14399.761683456238,14670.91860877734
13300.127985051176,13819.704216787559,14085.734847019288
12872.186876028478,13414.53838226065,13617.386111237998
12377.705405323437,12746.189804881258,12940.075258928453
11652.012010236233,11999.53422750373,12015.821737267528
10796.488498362838,11207.08456238389,10997.170786399978
10075.438966683088,10358.234158990534,10315.369871761499
9623.584846410442,9898.900513772089,9733.881248157066
9289.065055456913,9492.41062067571,9526.73100125019
9138.888938761762,9269.727198388566,9343.015001663614
9234.936856489889,9354.75376506216,9556.943010248633
9632.74982578272,9669.354726987773,10244.571249693687
10354.434612155634,10268.355645097365,11138.937725207292
11236.421934724349,10916.495396502694,12078.103105013945
12112.462852796121,11694.820547630765,12915.34262730457
13123.92769889947,12589.929620720632,13838.422957272729
14281.951035375658,13426.25465011194,14712.835148819806
15282.292322394549,14230.141833910544,15619.184170999497
16156.817969745178,14926.754110282558,16357.845026495697
16455.700657059297,15535.446941507218,16838.667787747258
15971.674725491937,15783.993396667856,16886.4170319663
15368.499660782265,15954.285911979867,16664.65983938574
14823.616182899703,15965.138790946798,16465.063206020517
14676.9019353138,15927.432830510288,16064.500645109278
14622.730701386805,15318.135064677897,15451.086194129037
14405.6472032655,14844.38128463472,14827.235765356558
14016.102570173338,14365.334693549108,14453.927048979598
13647.547260738298,13696.450624338298,13750.086366433869
12866.311136891938,12826.129688189998,12717.284738275024
11886.841805457525,12035.210698350838,11751.730125402539
11112.929938377538,11141.094852575687,10907.820917867326
10528.437670180792,10534.73079952566,10219.238818315253
10114.659953323926,10125.049228403925,9945.992985817977
9863.391781462127,9834.27936459423,9691.8764375433
9872.975862660454,9764.254882772206,9824.749321612679
10195.468604887017,9896.138451795958,10429.998133455809
10889.618107868133,10288.2529566453,11249.746389687623
11849.970869954488,11135.819646744154,12216.061449864088
12982.116747064918,12048.883589779763,13193.860975948379
14089.308460314358,12987.294635202885,14168.776426164359
15029.216437697278,13897.870130581707,15168.927234582026
15859.71169711383,14701.542873130928,16139.506179030777
16525.777709997186,15384.09836666976,16881.37851841459
16785.887609997866,15973.476080890145,17412.229909662587
16489.179899779854,16414.998387535015,17644.69644983791
16280.662314826726,16689.072398494856,17618.857379612575
15914.470015920839,16698.757709655838,17539.71217596234
15601.802692991967,16662.938440987018,17299.689577077177
15416.406373832098,16038.004802710797,16672.652116098885
15052.007850303058,15382.154457966657,15943.129832158618
14574.725692576138,14936.520111993479,15533.692533338066
14068.350923843576,14438.105832787727,14863.314221852459
13197.50769977203,13542.673263947643,13748.336115050626
12193.651238977569,12321.005378464692,12255.77073659047
11345.399412754678,11542.78072374882,11457.691316252998
10679.174952973253,10781.560746623938,10793.840870257534
10176.175249879545,10370.434325624645,10353.008345556238
9871.240037769474,9997.194318473541,10045.764650167428
9713.181921446092,9899.787376270973,10035.62404869133
9683.177018192495,9861.370605444537,10363.110068858274
9804.665932766247,10122.001081750737,10718.40547576999
10136.670868246647,10759.65815265159,11264.236945355939
10659.535362151491,11523.53725017222,11879.185983885947
11076.411351609238,12314.959944656457,12623.576112944704
11636.12379643623,12976.807064362049,13471.375338537477
12286.614332529807,13713.085103466838,14090.575057431599
12861.978298876978,14194.159717040937,14719.29137088228
13292.146222561205,14403.249960381827,15039.997184202897
13604.217658004609,14646.041467714018,15265.05388672555
13791.060783176585,14810.249915560551,15393.184611626635
13798.695331784998,14683.798532165487,15156.562508129404
13452.498640187878,14548.640638431898,14861.738310960449
13120.320097766698,14099.918045047378,14189.227812821879
12704.290136499232,13534.273866732527,13647.89691978804
12472.95693177534,13285.386066093959,13214.961799274506
12174.091849672115,12746.737522553578,12668.19236317471
11662.829923298188,12083.515973814012,11877.796150292435
11011.045159686933,11170.134158915002,11545.800506451118
10443.961999898152,10515.95044080235,10908.551045085875
9923.578129111918,10005.338440130668,10425.637665040415
9523.04001988248,9639.87015552288,9973.282285290868
9343.315268316119,9452.586411044867,9679.935703253086
9195.556933917353,9428.565567878184,9629.3412613398
9152.239067990928,9598.92214659651,9858.869931946852
9171.802125048653,9973.156848163233,9988.50467979546
9389.28785333557,10496.17000829342,10111.551900050326
9692.925903726155,10964.163461138158,10271.912631248813
9981.647205634647,11287.477290839566,10451.667458383787
10196.845968122812,11756.825855889658,10600.558883717164
10238.99748882738,11985.766463549422,10671.521332053035
10268.234364755639,12097.870578131518,10765.778653122945
10315.953288889248,12162.553345547512,10599.908713498102
10253.492934832053,12195.719362224212,10644.91374546873
10279.381152937804,12209.939482291822,10532.079014634448
10331.091080574808,12076.002216513689,10446.545809113959
10549.225756496699,12093.245053485412,10195.366641373912
10608.17631614832,11919.874560468417,10083.019721591543
10442.779272049487,11628.774843471238,10012.061430041578
10301.517994021797,11391.10302927433,10092.882796479207
10124.942619071278,11125.095139106674,9917.110659275819
9677.331354624568,10591.18093019641,9439.005946973148
9071.300088963839,9353.483744709467,9494.403677259226
8585.070571832663,8837.522938644035,8974.417635335878
8248.249633104935,8538.788428521622,8637.546815177278
7987.3778186993695,8358.518404451122,8399.90214234717
7891.1641185686385,8174.050515649198,8211.454253298658
7980.9169508173545,8391.17411452866,8305.529164822343
8208.370896223678,8805.121526057219,8560.197343038431
8637.83632308979,9518.951209651881,9009.672070155118
9312.618626984398,10540.527804246803,9529.116996360233
10027.874332661639,11246.997776136484,10261.52482326972
10762.363731242758,11986.957749486719,11063.099856037317
11566.540911987515,12820.724643928108,11860.294614527267
12283.495520516219,13556.288693924338,12752.589543558772
13004.371445255189,14164.131584689632,13490.714173673097
13663.325931003837,14815.296009133617,14151.000053495756
14066.135601472499,15272.142918313006,14720.460161272316
14472.266788396872,15559.771474561856,14982.391467050278
14838.878433645627,15793.22488461463,15103.548327785189
14886.960465253967,15859.008711262077,15016.203252643318
14450.77522719558,15489.546244432258,14466.724081166447
13784.718750468117,14835.753508711587,13816.811582830618
12994.599330623816,14282.457185188918,13339.003713944998
12389.325578065253,13587.403459014837,12832.94510545811
11632.840180087305,12711.764282075039,12020.046254332114
10817.065811181628,10992.597588352925,11139.425780776017
