True,Baseline,Proposed
10796.487960656032,10780.391459051276,10865.194795084108
10075.439003061034,10095.329477576764,10215.664825191194
9623.585271369622,9562.377649273292,9763.899210785194
9289.06473754077,9038.048169237747,9493.41693847047
9138.889262018394,8922.397005058692,9339.372723855558
9234.937103115295,9111.583379022777,9476.533543344955
9632.750290658654,9515.651250617466,9937.00263964997
10354.434966198509,10193.802700739216,10672.287365776228
11236.421826830163,11066.707318925708,11499.437134863978
12112.463132815015,11817.08125722164,12351.01038632693
13123.927766174385,12415.341139716174,13358.243130569044
14281.949725912777,13267.950642239482,14146.774934471468
15282.292478961901,13926.19682893047,15139.545557621665
16156.818537360577,14588.373991398093,15863.355112689645
16455.70045617863,14997.727051503001,16526.782349280824
15971.67569924866,15350.238300470526,16727.724062082438
15368.499529513363,15518.274266518638,16826.90427754415
14823.61633320314,15573.196599725585,16800.41363348977
14676.901463798686,15344.1881964105,16583.50543829474
14622.730284234498,14913.674047506536,15940.655333760376
14405.647908484623,14289.268184838553,15197.317837996592
14016.102546051576,13867.868321028991,14688.860561021122
13647.547583689902,13326.152417355184,13807.377550508607
12866.311644537507,12555.258859449796,12961.277019214569
11886.84241805067,11406.181523086107,11663.326453457878
11112.930278265594,10609.470832965173,10878.02048164721
10528.438259462777,9952.003939935832,10315.309042862089
10114.659821935587,9594.770919040553,9963.592287274436
9863.392252880185,9334.431993824668,9730.398210201578
9872.975675223715,9451.284141145432,9834.922975235238
10195.468918499695,9804.020921067224,10215.417521667572
10889.618072057712,10480.479245819197,10947.57726788654
11849.970161044132,11328.381559928193,11843.0214249942
12982.115832906846,12045.516590079162,12766.873650070696
14089.307675469116,12693.811274763555,13787.521378059691
15029.216348838818,13377.4816604137,14728.872792251585
15859.711288346585,14035.688615399527,15694.955175010424
16525.7785516729,14512.23367314953,16458.76710203218
16785.888454107357,15042.857890547955,17149.32727347372
16489.179684192888,15270.829015794692,17451.064274499695
16280.66234966519,15450.720556660008,17576.172333638096
15914.470327283367,15461.734395729865,17609.598568040157
15601.802880236193,15167.957733622456,17429.417000118898
15416.407398159117,14692.266119510861,16723.242199220793
15052.006477709168,14104.714849312015,15895.440896265161
14574.725876837829,13572.19682918287,15256.533680800101
14068.351577464558,13095.965008869347,14442.690032612454
13197.507342704517,12267.129919672529,13458.033594177497
12193.650168318878,11708.262777189819,12187.481342135383
11345.399082297,11054.524333961786,11357.449994033606
10679.174892150048,10354.274752952308,10777.7635510104
10176.174724822065,9909.496490096602,10303.914389230109
9871.240031723217,9587.169622114754,10065.739734216406
9713.181859086204,9610.816481049082,10002.027445037815
9683.176793695311,9878.83290718351,10164.091154231426
9804.666087485575,10300.897039760008,10587.320324670036
10136.67127334909,10825.791579590805,11265.091165631262
10659.535007583501,11523.45022484699,11958.966518859554
11076.412133613474,12217.450051443486,12753.58724772397
11636.124503670693,12822.115382762053,13426.140888103811
12286.614931434415,13421.691889497795,14020.921267533438
12861.978903235786,13737.16306835347,14534.699062093932
13292.146128841247,14123.2831537434,14820.902978097623
13604.216884247124,14357.80042790859,14919.068509666731
13791.060447587932,14454.178965577777,14902.488492701008
13798.694608769361,14564.384317197217,14828.437108700977
13452.499048127678,14373.766294097217,14632.647073371083
13120.321530323701,13954.179304788886,14013.81026422133
12704.290864277815,13475.415704382207,13339.309416695365
12472.95854728644,13051.159525955136,12901.672761989825
12174.092444391408,12605.400265068854,12374.290603409376
11662.829381591462,11929.376364696,11574.011060528539
11011.044923762278,10747.280516101677,11090.676452966816
10443.962333576665,10108.79478471508,10458.14428688933
9923.578412831193,9577.563605595478,10033.29901668008
9523.039956889652,9161.78784293233,9719.963192834015
9343.31479131847,8994.856526676607,9460.322633050284
9195.556687199336,8922.919341321624,9484.476628529312
9152.238928057212,9025.850189957193,9724.5395404306
9171.801787024622,9363.716510410855,10024.274902887064
9389.288187717157,9864.024273596286,10316.248755171531
9692.925975128179,10488.32497064625,10619.638622854138
9981.646882309991,11235.466914802491,10982.583245976446
10196.84634161382,11849.414755123971,11155.716868876085
10238.996803476259,12470.440118297136,11383.73811211266
10268.234077694977,12808.413042180002,11373.046137346384
10315.952976870854,13089.719773291512,11508.239414931484
10253.492815831794,13259.231139015847,11420.434339949976
10279.381222401738,13473.136568254215,11387.559814239323
10331.091074620777,13653.50854345653,11385.033374587707
10549.225928157226,13532.539942716414,11336.600499458253
10608.176186694918,13234.784651661703,11119.405974436038
10442.77901497236,12859.087054141875,10957.611546737004
10301.51817419143,12503.531342693354,10920.58749794977
