True,Baseline,Proposed
10796.487960656032,10844.224524369309,10865.194795084108
10075.439003061034,10149.378443190324,10215.664825191194
9623.585271369622,9699.94228830375,9763.899210785194
9289.06473754077,9228.973062324701,9493.41693847047
9138.889262018394,9190.226926542415,9339.372723855558
9234.937103115295,9202.118241237617,9476.533543344955
9632.750290658654,9593.300038199479,9937.00263964997
10354.434966198509,10258.384660282436,10672.287365776228
11236.421826830163,11057.992950742015,11499.437134863978
12112.463132815015,11730.178716860391,12351.01038632693
13123.927766174385,12524.011935999253,13358.243130569044
14281.949725912777,13316.317788857677,14146.774934471468
15282.292478961901,13991.355761561606,15139.545557621665
16156.818537360577,14703.994550739093,15863.355112689645
16455.70045617863,15168.265836018993,16526.782349280824
15971.67569924866,15387.369774293353,16727.724062082438
15368.499529513363,15558.834920014939,16826.90427754415
14823.61633320314,15655.597558671807,16800.41363348977
14676.901463798686,15432.229483229356,16583.50543829474
14622.730284234498,14880.553656083446,15940.655333760376
14405.647908484623,14405.402248173785,15197.317837996592
14016.102546051576,13882.439510369286,14688.860561021122
13647.547583689902,13416.84851982421,13807.377550508607
12866.311644537507,12522.600827023109,12961.277019214569
11886.84241805067,11891.54549843303,11663.326453457878
11112.930278265594,11117.147994672607,10878.02048164721
10528.438259462777,10418.186076279062,10315.309042862089
10114.659821935587,9948.654250680664,9963.592287274436
9863.392252880185,9796.69157585677,9730.398210201578
9872.975675223715,9798.499109916462,9834.922975235238
10195.468918499695,10095.848732815732,10215.417521667572
10889.618072057712,10758.914257193372,10947.57726788654
11849.970161044132,11720.636991041194,11843.0214249942
12982.115832906846,12507.712497615978,12766.873650070696
14089.307675469116,13548.313963812794,13787.521378059691
15029.216348838818,14471.136921483254,14728.872792251585
15859.711288346585,15280.402784263131,15694.955175010424
16525.7785516729,16066.554805254693,16458.76710203218
16785.888454107357,16499.257918985262,17149.32727347372
16489.179684192888,16698.66384404093,17451.064274499695
16280.66234966519,16879.7695137502,17576.172333638096
15914.470327283367,16908.2609747677,17609.598568040157
15601.802880236193,16665.10266078919,17429.417000118898
15416.407398159117,16011.038861430416,16723.242199220793
15052.006477709168,15517.618213815611,15895.440896265161
14574.725876837829,14904.255562645954,15256.533680800101
14068.351577464558,14372.47431804773,14442.690032612454
13197.507342704517,13405.171233593806,13458.033594177497
12193.650168318878,12296.543428462068,12187.481342135383
11345.399082297,11440.288458382916,11357.449994033606
10679.174892150048,10781.678505462416,10777.7635510104
10176.174724822065,10251.434281019723,10303.914389230109
9871.240031723217,9989.759629214044,10065.739734216406
9713.181859086204,9931.033669221033,10002.027445037815
