True,Baseline,Proposed
1770.99998475,1806.64609835,1799.306233
1677.99999,1684.2763197499999,1699.56992375
1602.9999991,1610.2396354,1628.11589915
1556.0000094,1570.51210265,1588.99885635
1567.00001295,1562.7686058,1583.2899812
1635.00000355,1628.04525825,1646.31470175
1744.00003285,1734.6348123,1774.41734065
1876.9999739,1886.4200176499999,1898.22234925
1983.9999908,1972.8017057000002,2028.19876065
2100.9999835,2107.4570962,2149.8202155
2224.0000134,2235.0782219000002,2295.53297565
2316.0000234999998,2343.9186950000003,2407.78643
2440.0000165,2441.2129367,2523.5832
2555.0000183499997,2550.1924934999997,2639.5325439999997
2639.9999635000004,2605.848601,2720.2952635
2707.999911,2671.1879854999997,2761.7316897
2761.00004565,2686.103818,2804.8963828
2725.0000595,2731.1246988000003,2817.8462950000003
2554.0000337,2670.8385307,2790.6666592
2405.000015,2572.9734295,2708.4352209999997
2293.99995175,2469.820691,2611.7853243
2256.00001785,2359.687261,2500.8288567
2137.99997585,2234.2151013000002,2332.508401
1977.9999966999999,2000.0862900000002,2129.66697875
1832.99998125,1831.91838675,1827.6556458999999
1742.0000420000001,1728.6391282,1734.312295
1675.99999915,1641.8906376,1665.29723475
1633.0000127,1580.00352,1629.3497875
1633.0000127,1611.5873724,1632.7776598
1688.99999355,1664.4840886,1709.3808414
1790.00001635,1764.8139495,1830.54289335
1925.0000559999999,1889.1358132999999,1936.7851907
2037.0000177000002,2017.0687675,2035.1310293000001
2195.000006,2148.19765135,2142.8535315
2312.9999833499996,2305.5866324999997,2270.3998787
2420.00000025,2448.0859213,2368.00513
2546.00004875,2575.3929342,2484.84093325
2654.0000287499997,2681.9470385,2589.5382680000002
2755.99995,2778.4656095,2667.450569
2806.9999645,2776.2613462,2705.7368377499997
2863.99993,2832.51107,2762.5876557
2866.9999055,2866.201478,2769.0530005
2809.00002,2807.4724051499998,2721.9451315
2698.9999845,2698.986839,2623.803199
2591.0000044999997,2564.0134567,2535.68195185
2512.999995,2449.210271,2431.4971192000003
2367.000038,2303.459863,2271.4510014999996
2180.0000207499997,2087.351291,2081.97924235
2025.9999926,2052.7410643499998,2005.2710045
1900.99997185,1888.005171,1888.7192518000002
1794.9999827,1782.9040323499999,1801.1226824999999
1694.99998765,1734.916557,1737.3989446
1668.9999988499999,1699.1507547,1722.87905025
1661.9999985499999,1690.4809311,1751.1651708
1660.0000077,1718.5907942,1824.5647294
1708.0000036000001,1825.2471748,1901.6502431
1782.00000985,1935.4234677499999,1990.6399768
1850.000022,2089.6513225,2051.8824477
1882.999968,2193.3318205,2136.5712755
1897.99999635,2341.63385625,2189.0873325000002
