True,Baseline,Proposed
1940.5740075432395,1979.3694863780484,1946.582484482341
1791.927049048149,1865.9024802683848,1841.810365608177
1699.584028967614,1808.2085440524725,1765.743258520688
1645.0220245413034,1764.7572058526748,1725.340198934589
1654.7890044117485,1764.069810036323,1728.5853108149208
1716.17099472702,1890.8769376767327,1832.3873146256847
1818.5620200733501,2052.3406175278883,2005.9894822143738
1982.125960540137,2215.265860414641,2136.6807272881865
2063.6960453247625,2308.101637352776,2211.6424036595827
2167.971981141301,2386.0930754590813,2278.878229953254
2298.235990620922,2447.21659940389,2341.376584027396
2352.3420409674345,2558.743067413717,2390.347337985126
2490.684991610556,2648.97897447857,2460.1208620954376
2642.131040036592,2724.0789692397598,2503.412208303033
2800.0060255891276,2780.8561082241295,2545.68019860863
2890.1449596442694,2796.524467410407,2561.6117592507985
2897.954886360823,2793.2069818666146,2557.442843752355
2874.7890391030146,2784.66496474686,2571.462392297147
2727.764906024496,2715.627034233035,2566.0691684907147
2549.4939826999357,2638.503425645548,2474.0561800148835
2419.1530184579437,2492.6190622766358,2363.681454166437
2299.4710394885415,2365.7538047256808,2248.749920780705
2116.440007926306,2151.782146611817,2061.3900972177125
1922.3960530798581,1979.5096911026876,1872.3055091632314
1777.6320186226549,1770.585595558975,1819.359285270295
1683.6690218761305,1672.0955491697684,1711.90171851547
1620.40600925023,1608.5580170789035,1639.23548067127
1587.2580244597011,1552.9495587728945,1600.0049899231115
1591.091980784865,1570.5332022700554,1592.4783214064191
1657.175987923896,1621.5526313598875,1663.9234846595084
1776.2919509497597,1717.4630571029284,1774.551518330065
1940.3089967457622,1802.9586816942983,1892.572483226431
2068.8300328281416,1899.9961347625813,2010.0951477505491
2181.924969013687,2035.8312224769247,2131.078043320645
2290.584015575207,2138.535071434572,2233.5626154766596
2371.737951794938,2260.778038681462,2344.933172137012
2470.122016963131,2341.765399985346,2436.0135797632065
2584.6179994827,2415.130967601043,2519.3396498058446
2657.2270698320926,2472.540375228321,2607.383212317302
2711.15488078402,2552.18458912895,2677.5033215830013
2760.0950299212977,2616.9321857748887,2726.00303078217
2797.193076871563,2656.9269886051397,2754.835081446195
2773.01819445793,2641.7205119796035,2706.37898892825
2669.8749449711695,2559.1315369020017,2615.7584235414333
2546.013001970657,2414.49215453112,2464.0944841924274
2426.4039741141573,2292.659792334477,2345.268670263105
2208.855979119743,2123.6324872023088,2155.965960305877
1982.18809410015,1942.409680824318,1944.30664073956
1801.966046102641,1828.1829822281015,1829.4189550148285
1681.6410194340704,1733.4510923005732,1712.8904274509184
1602.134969936717,1663.5745512097205,1639.652630148532
1559.0749884724164,1613.1059703914038,1597.0184599031309
1558.241035987558,1628.1420609347729,1590.5556842393007
1614.3449844118613,1701.484992532324,1649.4855547453103
1725.204998771785,1831.4691700121102,1740.434419388503
1869.494985733325,1934.2316878331148,1854.825537089314
1979.9619495060533,2041.32661633805,1988.7783321042548
2088.615953009109,2169.068557632608,2120.898610561737
2203.8360186329437,2260.963207469357,2232.84965789832
2322.8500425838915,2395.150908917507,2350.098611386693
