True,Baseline,Proposed
1801.9660561452401,1848.50627183896,1788.1072025745798
1681.64095750471,1728.6437018330398,1670.77921717961
1602.13504023491,1663.87995166661,1603.8802096138002
1559.0749867986501,1618.8152280933,1575.7752263797101
1558.2410159023602,1597.91410239988,1572.1290264854501
1614.34499947576,1662.01473975434,1623.2113423302198
1725.2050155094498,1766.69300049825,1715.1988711438198
1869.4949689956602,1881.3548767107,1842.8779976554001
1979.9620516058098,2020.44698180649,1989.19742649819
2088.61597644184,2102.63735273965,2127.93328713212
2203.83602030671,2215.45346620656,2258.94029662499
2322.8499572218,2311.08927038488,2348.3029243873
2446.20808813698,2397.3961695988,2464.3031442931497
2577.58603776158,2494.86012849908,2557.9649417367
2689.5159588174,2566.5630802472,2650.9058479487003
2786.44792777332,2654.17089773558,2721.27892526191
2882.5748819933997,2730.8215032577,2806.36785806911
2908.2551466495997,2769.7679407669098,2850.97263060822
2871.76690304828,2721.5408027685003,2806.61487252918
2739.6338838802,2621.3926580075,2704.15796773341
2596.6078584288,2522.3371480176997,2575.596732801
2462.5040126823,2363.49185324485,2452.8088876077
2244.99795558131,2179.89737664442,2228.2534281386597
2025.70903587985,1988.5635041739802,2030.4908193937
1832.8089531447,1881.95401816704,1780.4627427404498
1718.53100549202,1759.54638577188,1673.94584949629
1632.2210934984,1690.87562941516,1607.9629612865901
1583.73900738671,1641.8500043702602,1582.1748056418
1590.05399448989,1626.8320674983502,1580.9811088493302
1643.6730038914,1685.3876168643,1641.0626646086603
1749.8949794782598,1788.09940282269,1723.6146695318098
1894.61599478888,1903.8261962330998,1852.80691443472
2046.70004283432,2056.2651497272,1998.74365330495
2193.61098075821,2160.82487432758,2143.57373124071
2338.6529910082,2286.35542025844,2282.38819194948
2503.7359113966,2409.9497531020997,2396.5920921722
2668.43098661162,2521.7694064209,2530.8311782519
2770.5439993422997,2639.4811864743197,2643.9921880438
2859.490963932,2714.9622309169004,2745.2982444695
2907.58108740472,2807.30583681571,2835.66600249039
2953.6928858251,2868.9431920121197,2911.233781513
2980.5729063085,2896.19519036248,2949.5821153010997
2832.6179732678997,2824.8329505231,2892.5830014035
2639.17990850432,2721.01671300202,2777.37915959835
2530.0950557452,2599.3514964756,2642.4995230791
2437.40809338658,2445.61092172511,2500.1259318094003
2272.30803362922,2255.51540213736,2278.36780481648
2079.30200147462,2065.7858683325,2065.55478812951
1905.983011745,1916.6352634549598,1827.51506403251
1771.6050030458,1797.7698565790802,1724.9896017608999
1696.60201979095,1731.78469204694,1655.20384911254
1645.1710249089,1687.95704929378,1624.4511346520999
1623.36496061959,1670.2787275207802,1622.8680862964002
1632.5640482542499,1723.0483673742,1690.5278542117899
1670.7110279324,1832.7858551670001,1762.54918982354
1796.4169176418,1933.26925535795,1873.5024011759501
1993.32597242242,2063.95098506921,2008.3103335383398
2136.21401256356,2164.92078180506,2143.26913921304
2253.66796562532,2285.653509539,2270.51355508924
2311.0830439735,2412.7527429089896,2381.58162029888
2364.16397092059,2495.90884363732,2508.87621569475
2466.87307885258,2602.9973950918898,2620.0523057943
2575.3439940595,2668.0391913493,2703.01806579625
2701.9550566921,2746.8093208656996,2790.3918572526
2803.21310949458,2794.5160179086,2841.4521128549
2825.7959353412098,2817.5580918074997,2870.6723936586
2790.8240237628997,2737.55225395948,2807.09253201295
2669.31707859672,2643.17328104601,2696.99849848032
2569.1480452298,2523.8950898759,2574.585777835
2484.3319363621,2381.84001637115,2434.2665675673998
2314.10794174296,2194.93385884915,2220.5021485265
2159.8739741036,2015.3392155290999,2015.5163000247999
2004.8179862607599,1963.77428585172,1946.3837180154
1880.18401009329,1842.7098510728101,1835.9347790341099
1789.7669763866402,1773.6188788986,1766.65088853311
1748.78001666195,1719.1678066946101,1729.9380254674902
1723.5610085778198,1713.7589632991999,1742.2089767595999
1724.16497048168,1747.07344433855,1826.1610873599998
1744.3390120075,1851.4485190186501,1919.7585117439603
1892.81197577985,1984.1456644478899,2051.3547205201603
2142.32697605019,2151.64834906534,2219.58181127881
2386.9600011439898,2290.98927628902,2386.6977888841
2589.8819951252,2441.6867092152,2559.0133890723
2776.8960771111197,2593.6074646009,2717.2154553792
2952.6310483575,2714.53126951848,2872.0063855591
3097.6029947417996,2850.8481358559497,3006.1293122437
3189.1349243141,2938.0317874378998,3101.17163229645
3232.576864315,3022.23516386528,3185.0090898915996
3305.6169211693095,3080.5663950448998,3233.8850802114002
3362.3059530851197,3119.8771445704997,3263.5442225914
3347.37505207121,3037.97754035372,3212.9465960497
3250.5969692073,2930.9166060464,3075.1517604173996
3099.7390555490997,2788.15389754078,2933.0399462283
2940.6438674377996,2634.9893327936,2773.40932021365
2708.8720641299997,2438.81238348008,2522.86056827758
2460.8258943893998,2225.3155662272,2299.01910412211
2251.270998096,2242.41526692115,2218.85034184298
2099.139013378,2085.33693396702,2076.6014127022
2024.9020460995403,1994.9449398072102,1990.0697601226598
1978.13195531471,1956.6934501488,1939.4211841287001
1972.1080027305502,1941.31277460101,1939.1232536917
2017.2140013857502,2030.9867564076499,2009.78954142038
2120.19894603694,2158.95728566688,2129.87679784126
2333.7960553785,2393.64720044144,2301.53594680816
2551.250125292,2606.4462579158,2501.2125410211997
2709.8010045375,2763.2036294058903,2685.78597017215
2929.8119201564,2931.27090893912,2872.61510095982
3072.5590961088997,3086.9779249997996,3034.1900076162
3189.69004571149,3217.34271028662,3179.99636007608
3291.11299798955,3352.5380526431,3294.7258229798
3386.29805684942,3425.7223212190497,3369.6154922426
3480.83208749145,3458.3050315446,3422.32993127685
3629.8220107849897,3518.8669248141,3477.7424819090998
3670.8020745917,3556.9866220983,3502.2480972356
3609.1520657205497,3544.2310819291097,3456.6438517686797
3380.62408884041,3376.7333516604995,3291.0274685214
3080.8609779488997,3210.5323552501,3141.4983246122197
2838.0091751644,2975.7969809774,2970.5858763562997
2613.01294602525,2748.3508598122003,2687.0926796787
2390.14598220141,2492.3907873063004,2441.3912894279497
2208.2659111516,2134.45297587825,2164.8636059414202
2066.94401432451,1988.1757259512601,2037.6527992965403
1960.2930523837,1893.2837436055402,1952.84331854418
1885.9529810888398,1842.5189077904902,1907.05850714724
1849.91203484698,1827.74005172544,1899.5613387651101
1849.5979693009199,1898.4521337055603,1961.87867833981
1903.2960139565598,2003.66563150084,2074.19995947866
2067.1169813546203,2133.66891669899,2247.5910550691
2287.87503286379,2311.0599459958,2419.64568158462
2531.78207847588,2443.2998853679,2591.0784034194
2759.7020094619,2631.5510816492997,2761.2525867475
2924.5700182317,2781.8186578629497,2905.30486539071
3045.2428920755997,2957.6214166525797,3041.81287586248
3135.74194034075,3092.95243452155,3145.8322416859996
3190.67693191522,3186.9908294275997,3215.1624620437196
3249.5150465417,3219.8793368927,3265.7303624923798
3327.20911157525,3237.9744265241998,3305.0017450299
3419.90906236191,3243.0024210901997,3315.6114161201
3392.4771341128,3252.3286480282,3256.1222732757797
3219.1281504875,3008.26995917121,3114.3089920796197
3038.0130576788497,2817.8530094648,2956.25666092381
2857.42399620582,2648.5481804568003,2788.7914017252997
2715.0271730571003,2447.38970033532,2546.2351861047
2495.70193262259,2227.74882101424,2308.7089735699
2281.0829888327803,2215.6455476501,2295.65135202279
2104.03196846278,2052.9534353303,2162.02961797895
2004.98201537776,1979.4526575092,2069.80036380742
1935.2370356813399,1930.3714634164999,2016.79478982816
1925.18097959868,1912.7605274827902,2012.5118222066399
1972.3890281259,2003.9187719463002,2058.2204437525
2112.60101691151,2141.2991829932002,2163.53764812012
2322.86595842954,2340.92379001875,2358.4452798707002
2566.4901040278,2538.9154704469,2581.9806790839802
2802.5630185859795,2693.9812330861,2800.9851254311
3015.84904168585,2885.5940220060997,3019.1465290675
3204.7461444595997,3096.2951135987,3221.4773487209095
3324.6320132951996,3256.84098861088,3376.4749221128995
3403.9628545891,3417.7637288881997,3513.3742926676996
3468.3951655132,3517.82865397882,3581.3951589678
3513.7810179271996,3583.8174338465997,3643.1310320604
3531.8319201230997,3616.52206132401,3675.4370687835
3535.3059898704996,3642.30332105082,3671.7701811353
3507.8890250939,3639.46762584652,3596.1798732156
3415.0050269429,3373.44185636292,3412.1966810832096
3230.1278091721997,3141.3224452284,3235.1052559899
3084.9409511692998,2946.93907062095,3049.1521411129997
2815.76304418691,2710.37667978751,2786.5144097786997
2534.2978834267,2468.1446057873004,2527.7494393721
2314.3579355074,2330.8843711751,2321.8095439654
2148.80595879504,2182.33772820142,2176.43468850922
2042.6269655319002,2077.66736763539,2082.20642153141
1970.9809553201103,2035.32482442235,2027.6112715071
1947.21102732102,2027.63888865435,2016.76198400476
2000.0739963944802,2097.4659163846,2060.69246297168
2130.39198316996,2210.7916248001,2165.45672183836
2345.8769672221997,2416.7649955367997,2354.26196830659
2556.56992430961,2628.73199020868,2572.5287188065
2797.9679939382,2797.66561128231,2783.9766450114
3011.62294865,3006.7501457138796,2989.0351349792
3209.0129100214,3178.8579980041,3172.1632667574
3307.7259673853,3343.60194720092,3321.7467746025
3408.6500702957,3489.6031260813998,3445.0032744157998
3495.38608976489,3572.8987854605,3517.5192080282995
3523.55096036435,3620.3350018369997,3574.5615051016
3505.1729707190198,3661.15599087555,3606.9067079608
3459.8010440423,3679.29590397392,3612.4237770981
3403.4190143779197,3656.0802939643,3533.0095822324997
3268.6329079306897,3430.8606169974,3356.4807770105
3131.1479534282,3234.2091214057996,3190.9660248651
3006.758983201,3027.76887024159,3013.77253349062
2771.5620845535896,2790.40437702602,2750.87238904445
2518.1959149433997,2540.0375635085,2491.83727272475
2317.0470087663,2350.46693709515,2271.10657056019
2166.14497462316,2210.24637862506,2140.28210204181
2068.26297580184,2116.3583883767,2047.98090938611
2008.5320071736,2054.44861094475,1998.58273739364
1982.31198629648,2028.7985410362103,1984.6493677384
2033.56994719776,2058.27885820335,2032.2593210776
2146.84999526314,2162.5657253889,2110.14781082779
2323.00903198996,2333.03810695664,2278.7745300759802
2518.8918670541,2527.5931095809997,2477.88344964288
2716.1670080436,2685.6195643067203,2668.2591242674002
2930.88600959478,2860.14795075858,2848.01203894769
3116.12707072725,3045.4896052577,3005.8231468755203
3272.0620203098997,3163.3311356901995,3140.6231455847
3368.90196558365,3294.8044900053,3253.7155309501
3418.4409348141,3346.8318478912997,3323.0780884765995
3388.48908414858,3381.62292573695,3368.5611867242496
3315.1410877336,3385.2698955637998,3382.3481687614
3264.3009659013796,3403.0690632780997,3389.36044698848
3203.8560354348997,3336.2757373291,3329.3235807947
3049.8229867262,3175.2880883869097,3197.6744809971
