True,Baseline,Proposed
1801.9660561452401,1882.9821125019998,1788.1072025745798
1681.64095750471,1812.6755506695,1670.77921717961
1602.13504023491,1680.01231574955,1603.8802096138002
1559.0749867986501,1627.4460385258799,1575.7752263797101
1558.2410159023602,1773.5897553615,1572.1290264854501
1614.34499947576,1732.00586355225,1623.2113423302198
1725.2050155094498,1867.6246353579,1715.1988711438198
1869.4949689956602,1944.4916923638002,1842.8779976554001
1979.9620516058098,2133.21211234581,1989.19742649819
2088.61597644184,2176.66911624521,2127.93328713212
2203.83602030671,2310.9978157833198,2258.94029662499
2322.8499572218,2408.1214979541496,2348.3029243873
2446.20808813698,2467.8674300549,2464.3031442931497
2577.58603776158,2471.4968253335,2557.9649417367
2689.5159588174,2708.7353508822803,2650.9058479487003
2786.44792777332,2698.20022935199,2721.27892526191
2882.5748819933997,2819.7577557418,2806.36785806911
2908.2551466495997,2828.4161498463,2850.97263060822
2871.76690304828,2790.8216804898,2806.61487252918
2739.6338838802,2632.2065286107,2704.15796773341
2596.6078584288,2510.5012755896,2575.596732801
2462.5040126823,2446.4288244629997,2452.8088876077
2244.99795558131,2132.35802277619,2228.2534281386597
2025.70903587985,2070.29117909588,2030.4908193937
1832.8089531447,1972.07128029354,1780.4627427404498
1718.53100549202,1885.4750203271,1673.94584949629
1632.2210934984,1711.51725435042,1607.9629612865901
1583.73900738671,1647.01069514438,1582.1748056418
1590.05399448989,1802.7934993521799,1580.9811088493302
1643.6730038914,1732.9469220292099,1641.0626646086603
1749.8949794782598,1869.07364849228,1723.6146695318098
1894.61599478888,2014.2017238157,1852.80691443472
2046.70004283432,2219.7243827092802,1998.74365330495
2193.61098075821,2276.83182277476,2143.57373124071
2338.6529910082,2445.04585815471,2282.38819194948
2503.7359113966,2571.0725419515,2396.5920921722
2668.43098661162,2682.4278924431997,2530.8311782519
2770.5439993422997,2747.7166362100197,2643.9921880438
2859.490963932,2979.7939353794,2745.2982444695
2907.58108740472,2970.3196135814796,2835.66600249039
2953.6928858251,3031.9203802422,2911.233781513
2980.5729063085,3111.73306543612,2949.5821153010997
2832.6179732678997,3035.25897532909,2892.5830014035
2639.17990850432,2770.6317047068997,2777.37915959835
2530.0950557452,2724.578688966,2642.4995230791
2437.40809338658,2711.61894928381,2500.1259318094003
2272.30803362922,2291.89555389811,2278.36780481648
2079.30200147462,2189.6981498605,2065.55478812951
1905.983011745,1930.3355109120798,1827.51506403251
1771.6050030458,1870.04567164949,1724.9896017608999
1696.60201979095,1703.9741243402,1655.20384911254
1645.1710249089,1673.48365561498,1624.4511346520999
1623.36496061959,1767.20657901111,1622.8680862964002
1632.5640482542499,1745.3739687851098,1690.5278542117899
1670.7110279324,1901.5197459961,1762.54918982354
1796.4169176418,2057.40642415289,1873.5024011759501
1993.32597242242,2155.46771684169,2008.3103335383398
2136.21401256356,2214.43220083892,2143.26913921304
2253.66796562532,2433.6131291258002,2270.51355508924
2311.0830439735,2555.8370489099198,2381.58162029888
2364.16397092059,2699.8633172217196,2508.87621569475
2466.87307885258,2681.2221110566,2620.0523057943
2575.3439940595,2890.5503793659,2703.01806579625
2701.9550566921,2921.4055952868,2790.3918572526
2803.21310949458,2986.22106483808,2841.4521128549
2825.7959353412098,3037.1257940571995,2870.6723936586
2790.8240237628997,3003.76920105271,2807.09253201295
2669.31707859672,2716.3953097942,2696.99849848032
2569.1480452298,2685.0372944167,2574.585777835
2484.3319363621,2593.5505565399003,2434.2665675673998
2314.10794174296,2235.9761867696598,2220.5021485265
2159.8739741036,2156.385175211,2015.5163000247999
2004.8179862607599,1940.2454806546202,1946.3837180154
1880.18401009329,1899.06419663928,1835.9347790341099
1789.7669763866402,1718.6298581415099,1766.65088853311
1748.78001666195,1741.63199597172,1729.9380254674902
1723.5610085778198,1856.97164719068,1742.2089767595999
1724.16497048168,1771.1892394472002,1826.1610873599998
1744.3390120075,1935.34167956292,1919.7585117439603
