True,Baseline,Proposed
1801.9660561452401,1988.2294873312403,1788.1072025745798
1681.64095750471,1844.6833222023001,1670.77921717961
1602.13504023491,1759.3044930372998,1603.8802096138002
1559.0749867986501,1694.9682563103001,1575.7752263797101
1558.2410159023602,1702.49729320659,1572.1290264854501
1614.34499947576,1724.22415486512,1623.2113423302198
1725.2050155094498,1794.5792894014498,1715.1988711438198
1869.4949689956602,2000.7872217754602,1842.8779976554001
1979.9620516058098,2104.78409217722,1989.19742649819
2088.61597644184,2260.49435534491,2127.93328713212
2203.83602030671,2417.3927918756203,2258.94029662499
2322.8499572218,2532.58916868218,2348.3029243873
2446.20808813698,2594.6351572319,2464.3031442931497
2577.58603776158,2676.70444789645,2557.9649417367
2689.5159588174,2819.5344752907,2650.9058479487003
2786.44792777332,2828.0054075472,2721.27892526191
2882.5748819933997,2962.9377677111997,2806.36785806911
2908.2551466495997,3040.0147150362,2850.97263060822
2871.76690304828,2948.8409714949,2806.61487252918
2739.6338838802,2885.0835232236,2704.15796773341
2596.6078584288,2792.89628059122,2575.596732801
2462.5040126823,2673.0827854190798,2452.8088876077
2244.99795558131,2356.3785799471602,2228.2534281386597
2025.70903587985,2206.7956746580003,2030.4908193937
1832.8089531447,1983.2865870541,1780.4627427404498
1718.53100549202,1813.2607663885601,1673.94584949629
1632.2210934984,1741.74293321534,1607.9629612865901
1583.73900738671,1692.2791830514002,1582.1748056418
1590.05399448989,1727.124323555,1580.9811088493302
1643.6730038914,1758.67395172142,1641.0626646086603
1749.8949794782598,1841.2354301629603,1723.6146695318098
1894.61599478888,1984.11921893719,1852.80691443472
2046.70004283432,2117.61257509048,1998.74365330495
2193.61098075821,2323.62296954216,2143.57373124071
2338.6529910082,2552.5861257123,2282.38819194948
2503.7359113966,2639.7090195703,2396.5920921722
2668.43098661162,2710.2331710478,2530.8311782519
2770.5439993422997,2829.52572313448,2643.9921880438
2859.490963932,2900.88029712329,2745.2982444695
2907.58108740472,2961.6215177356,2835.66600249039
2953.6928858251,3108.51009413905,2911.233781513
2980.5729063085,3076.6791058239796,2949.5821153010997
2832.6179732678997,3097.306403318,2892.5830014035
2639.17990850432,2975.57661288001,2777.37915959835
2530.0950557452,2831.3566228335,2642.4995230791
2437.40809338658,2720.4391296582,2500.1259318094003
2272.30803362922,2443.9998545181998,2278.36780481648
2079.30200147462,2318.11339887878,2065.55478812951
