True,Baseline,Proposed
13026.726045426198,13015.604414511597,13010.147980127902
12430.49675358932,12207.461356955502,12442.61875635988
11749.742300233007,11868.40096715083,11931.988332948878
11504.335113789519,11497.46154982392,11645.435583770792
11463.5076769708,11617.327306562318,11647.227565335503
11742.744552174943,11849.53111764408,11910.4682007116
12185.959111315904,12646.83643014304,12555.478588309847
12781.430522456798,13345.95581990588,13231.530144090439
13432.81441585408,13700.169479742224,13793.051770743397
13857.905507657191,14115.545849299677,14142.50861768816
14537.88674894808,14514.90502615752,14480.912824880801
15422.791673584838,14886.682047301505,14855.96232683175
16122.59714213012,15315.082415198238,15143.15643829808
16729.4497953748,15699.525702727902,15487.115711684479
16675.55619895084,15946.293803732016,15682.97906673696
16611.663994423758,15856.541411802014,15669.523234825121
16747.93176123472,15751.241989168559,15797.84807465204
16873.890459711398,15650.97227780272,15676.24092986808
16619.17508783524,15467.360220069742,15514.994784919822
16230.594119216543,14981.952199092959,15157.957342355454
15695.038721938465,14499.737191324879,14830.290204227296
15181.978020948398,13779.962614084,14257.510241948892
14132.91373564696,12877.791501183912,13329.286788482239
13117.65128711836,11953.97428329431,12469.965575552833
12342.820484604319,12334.53132419376,12621.880538014255
11769.447198328591,11764.943608555592,11984.7678498602
11334.18246528792,11411.025333103791,11551.11112195096
11115.412000109489,11181.132470442286,11272.163498583583
11147.87055339656,11245.24263593824,11253.43929708651
11422.914299058863,11568.193333781008,11288.811066090007
11958.752815625936,12190.340816701855,11705.239934159517
12544.994742363951,12850.143165058636,12258.869993916063
13034.500327346399,13196.8978581396,12939.055653466152
13625.456905710038,13491.5667787764,13532.25367804192
14176.72056859352,13885.160338633503,14172.476334486879
14868.74281191976,14332.705498595615,14722.485124781693
15449.165461863999,14696.71462589,15155.26566492744
15838.405934891438,15065.858228809839,15589.828987816232
16224.022327706085,15430.51740616848,15914.984847630118
16440.11184741511,15548.883243929999,15984.820513043438
16669.622703454737,15679.727794324384,16227.01271131536
16836.44486746832,15656.196697462223,16227.41388214904
16749.07471482647,15440.6948802484,16063.912492756159
16311.124692428384,15080.390578379192,15854.931618010814
15744.11801283544,14501.63138201919,15370.944814981118
15161.99102565512,13830.53313618184,14827.23185154684
14096.755467391189,13016.16145426792,13901.59658876448
13032.376932678959,12159.660191224175,12920.813112492322
12187.6210317632,12124.30963061507,12307.116280406797
11587.69687989128,11493.78866475174,11664.089005445614
11186.428947538161,11084.340424711087,11228.925970488895
10909.586832240544,10822.707538943601,10948.926104132288
10894.214834671528,10836.857370845422,10875.662600035006
11207.094100406335,11035.087889339438,10766.921796007919
11669.552849991207,11455.658782385992,10965.85985720159
12272.433145413983,12038.28582773288,11322.459078122798
12783.072512123823,12497.872756298815,12018.379577651984
13266.26285051111,12978.805295013239,12925.086476200893
13976.216919057199,13600.13076100928,13796.432848750566
14655.020966697919,14222.006878691038,14500.823163326879
15318.02859335896,14838.56556640536,15134.610732972222
15922.182670059374,15437.922457607998,15777.311449764336
16455.395434087022,15945.788124063318,16232.347005789183
16884.0666561772,16157.611690225662,16544.975859156468
17240.794405078883,16372.076340296871,16893.122385059756
17378.292258764573,16348.20207628208,16929.93044785696
17139.85650152828,16148.894273562077,16789.313682581516
16673.705958182254,15676.647211158239,16466.667567944958
15969.50319735876,15082.916932540078,15945.945270600077
15341.488143830398,14423.72426164136,15343.415808014654
14279.122106879991,13483.993082273038,14349.505102182318
13196.08529555928,12566.21131348632,13298.038902335278
12390.10242795728,12386.792640818006,12621.835054951582
11761.57760639504,11771.632429519439,11952.619245758638
11321.594388886382,11394.292676496974,11528.675195912463
11072.983201752759,11049.991513572062,11314.838876465472
11028.149678099366,11093.012358312,11228.41901320608
11317.208850658073,11318.92775269512,11213.055958935904
11790.017296706239,11824.897184273535,11508.270165279118
12399.5899904124,12449.182882185616,12020.740353022918
13049.134119476877,12895.608341132958,12719.760088884399
13800.028821452719,13609.70264599632,13568.20829460696
14677.881571669905,14442.526908645399,14441.63002353316
15583.562801603277,15066.05753661256,15187.78094428144
16383.156576513984,15702.226067931935,15806.86164226864
17090.8101730756,16358.494535632799,16397.5895277048
17429.06259971078,16803.917578541594,16759.826348691917
17480.124747722,16787.6067901172,16948.162001349356
17473.621691851196,16771.64760109863,17074.023345630096
17400.120551527598,16514.82595458424,16960.555624881832
16943.49002203534,16288.771044739215,16717.7458279443
16322.36105309096,15600.59084259464,16337.806641233286
15846.411464967361,15055.49166784016,15776.717614721358
15336.473763932223,14424.2889670824,15103.757374065519
14495.97078489912,13382.256669897439,14150.338859106816
13615.7508712404,12525.839473862792,13163.82809425752
12818.347437977023,12628.269886228376,12727.629425295128
12209.058374605504,12081.665426517711,12043.72284238195
11731.685013306575,11653.298276588095,11610.549052610071
11459.550906041159,11421.449131186047,11411.837895684112
11296.58994742104,11423.052025860998,11302.616453225079
11287.868186869448,11638.615424075408,11342.76803217432
11369.285168757742,11999.37608970828,11644.123985115199
11795.318373212944,12632.264730058792,12206.574948279047
12619.5823657352,13152.577424316798,12886.861794867438
13479.603200156718,13710.445074586562,13778.374284210015
14414.177928936719,14529.617263794968,14639.70237339912
15434.37580081088,15192.501217409192,15444.665704933357
16339.550073461438,15746.0957594932,16066.212198172161
17062.498244176397,16360.53488538244,16715.669449476478
17574.200585834078,16758.419951068623,17056.37591731336
17833.878977520788,16865.1068626364,17302.039904194968
17967.030387970244,16955.363656620975,17404.35456472128
17655.4006288448,16825.62347587192,17242.539625966798
16678.278028072087,16544.553479928396,16980.52575566873
16184.438520471775,16084.21889157944,16532.14273636672
15717.80427241992,15422.997369458159,15955.674046601054
15302.648674582399,14776.230773490559,15216.306234738679
14619.155783121278,13787.63085403224,14236.030993363454
13809.3349627028,12922.363113942703,13246.422269795981
13058.585908736639,12882.259828807199,12759.952807008303
12436.556988406128,12191.047592833038,12156.326129416622
11989.240776894321,11747.063143423367,11737.962953569431
11731.245003003647,11425.594733482623,11489.392139042
11612.858723416206,11348.523939307743,11445.638965888478
11607.665222018408,11229.367769451592,11527.584113453982
11666.872415567448,11213.19496335216,11863.828130692526
12061.999367891376,11677.093584050272,12508.058151586278
12830.999395084556,12405.49077898703,13203.597666584881
13942.62588861416,13269.877731902237,14100.20425894672
15028.988840534877,14136.07710820808,14929.965058458862
15907.331428005671,15036.11026163976,15724.768291465216
16645.85805873144,15824.745684720401,16415.2269906314
17420.881780977597,16461.99661072224,17097.74506251896
17899.640587028254,16943.378614084082,17538.64790667119
18375.36429297544,17117.825834688647,17861.1795470826
18786.469854052557,17293.83327765656,18188.548234552327
19058.03184571504,17356.03596527135,18288.86215136672
18958.132642443998,17200.34514203968,18234.69310133849
18636.585275950638,16741.983189892002,17852.771568558877
18094.44505549808,16112.639673201664,17318.72784430758
17436.880064988236,15535.622631455695,16590.1515278712
16423.118813050638,14650.1328150748,15437.886684412639
15347.133409581033,13661.420465573918,14378.90044785528
14383.5586289368,14381.05271660183,14207.040906889359
13748.414488618839,13630.481762043999,13490.267700739185
13257.0287666974,13089.71114392808,12955.675113461935
12920.649577884958,12607.041816578927,12691.890214470719
12784.7523191688,12564.021993930288,12610.15178486983
12959.478059651527,12637.883932481374,12738.38208125187
13312.173147344838,12917.759614745519,13252.948578243768
13971.915447837984,13759.42879994736,14095.436203050878
14732.046788855774,14621.670894277911,14927.67659604712
15584.086623392479,15662.809883670167,15793.828956153342
16557.833001091676,16616.4064980372,16621.155134198416
17505.18898152816,17369.393165373127,17418.43898278016
18364.02419004632,17939.530510605717,18067.29320021984
19089.134083852317,18400.901244006,18656.686489946245
19583.97856271942,18669.11333144584,18989.14289236464
19661.88338339184,18531.608834166716,18955.3793840154
19206.69374710412,18342.77235677424,18873.197877837694
18763.10229179776,18145.039596741375,18616.589337358517
18357.907995731057,18158.60836974142,18368.29908689184
17726.42754166361,17672.52321328104,17833.18574409928
16992.730292311437,17115.45151660804,17230.688477389678
16283.903334942013,16440.76521927608,16456.975587230638
15313.430204618255,15281.743585782486,15321.374409216416
14251.26424203904,14197.858949731744,14258.425524704462
13425.744099314,13364.165653958242,13525.28046017496
12827.404188950879,12673.441466577919,12808.044246667694
12431.09339938336,12196.26869069583,12327.26246641943
12128.511703455753,11891.398276833655,12045.490549278382
12026.572150435071,11799.58662646504,11953.76909846664
12060.54569854564,11845.33798810224,11984.875169446279
12203.893747286815,12154.291401169112,12377.79593770779
12791.83157900772,12792.673526712799,13055.989796844799
13762.886023756078,13537.743841438383,13875.08865100272
14851.490677411753,14496.10110153936,14914.84679505408
15905.94393907135,15583.10030529184,15928.191544788559
16837.13222386488,16498.61814185792,16795.985383516156
17584.2119700784,17251.39093659016,17580.7113073896
18205.94882782108,18094.30451794488,18339.174595412318
18556.85704440616,18594.609008515214,18854.330583559182
18721.162564126167,18925.612252633517,19093.354043290678
18896.238370877774,18995.566736159995,19312.057305966395
18961.67572192158,18910.09690676024,19285.91604345708
18748.875547525913,18776.911767298014,19096.774216289923
18201.52956058,18078.64096883368,18637.80156459288
