True,Baseline,Proposed
12187.6211109005,12042.354421111999,12278.2579352915
11587.6970409751,11471.2564604208,11743.769546982501
11186.428984034399,11090.351333180399,11367.9257812718
10909.5870144164,10869.293100638799,10995.6194673049
10894.2149560969,10853.5745009286,11037.1291602774
11207.093994273,11152.164158820699,11180.907537101699
11669.552987715999,11678.584450106999,11544.3735984827
12272.4331415304,12351.1734518297,11990.267688332
12783.072222096,12932.4221346614,12565.0968431523
13266.263198453998,13633.681069839298,13403.8031267512
13976.2169035552,14403.4095770143,14062.914440143999
14655.0209977876,14969.105825536699,14928.173560849798
15318.0282637214,15532.278076491999,15545.211682175599
15922.1820239786,16145.6343890026,16198.816181321301
16455.395117458,16635.441871832,16502.373073179
16884.0672398506,17097.840364748,16873.4811953135
17240.7939646205,17437.0101179803,17062.913269812
17378.291261151,17540.286346655,17053.185347866
17139.857277255,17403.169640648997,17010.342532815997
16673.706344676,16742.3370169136,16392.589942476
15969.504129208999,16201.465963704999,15872.0579001547
15341.4881169096,15308.859479203998,15001.4439200138
14279.1219374092,14331.887120284999,14048.3021558845
13196.0859639076,13261.2132335352,13070.478850018299
12390.1018827828,12200.5151801932,12684.9665372974
11761.5778067555,11592.5417261988,12080.5896285848
11321.5939148996,11246.2088512686,11713.456672471999
11072.9828981688,11049.961462752999,11399.9111436066
11028.1498971783,11064.6139868979,11447.667023545699
11317.2090336811,11390.9048663187,11602.9787706008
11790.0171347136,12170.0002620623,12139.834277203401
12399.590335201,12738.9635390427,12695.9207908558
13049.134826888301,13298.6439246978,13191.1548895593
13800.0281130192,14079.1135265977,13941.66575608
14677.882036457398,14914.2107427127,14738.217101551
15583.564232531,15732.8888192944,15559.925410341999
16383.1556591343,16341.2610139714,16206.6187795197
17090.809640715,16956.426714336,16742.433536359
17429.062459216,17306.083178681998,16959.317654634302
17480.124904004,17473.7647509284,17119.0557890834
17473.621800846,17455.926100193,17160.7450138523
17400.120695486,17328.92142413,17037.172406056998
16943.490153975497,16860.906231126,16786.842330166
16322.360790035498,16170.597047141699,16206.400274128
15846.4117267594,15492.2403754113,15653.872176355499
15336.473889511399,14617.37222333,14776.0237401744
14495.970177464998,13671.8857456508,13893.415882303001
13615.7498392277,12706.401170518999,12943.051092362999
12818.347828207301,12645.1781546675,12820.968063822
12209.0578546056,12071.2162678668,12158.557642622
11731.684918461498,11674.78135884,11781.566195984
11459.5510154353,11491.6932570436,11485.032289719798
11296.5900319828,11448.5024936139,11512.7456113539
11287.867966472899,11696.188696475,11637.9936616504
11369.2850733447,12258.96319164,12121.9722704506
11795.31810647,12774.7163958228,12714.830160220201
12619.5819293817,13301.034821105499,13236.7772113788
13479.6032521372,14050.0344407413,14014.250911601
14414.177123132398,14781.5610860828,14890.7311916785
15434.375560904999,15318.888496796,15713.9617218686
16339.550678143,15865.787512977298,16398.863706427
17062.499615046,16360.022368093,16931.0087545565
17574.200409511,16776.375738995,17137.966284039
17833.878520317998,17066.612806688598,17283.2580182317
17967.030331322,17189.317161572,17312.1463163797
17655.399573786697,17101.490094213998,17181.5698580413
16678.2782147326,16878.7251840154,16907.7795068654
16184.438582826999,16188.16288271,16322.465610715999
15717.8026611397,15654.113474968999,15770.6028780416
15302.647622769,14843.026526139,14902.804142190798
14619.156988876499,14014.281865359,14040.4694481215
13809.3339382652,12998.613087973,13090.594712450198
13058.585994098,12845.3013757814,12804.676116094299
12436.5570013914,12237.88649642,12183.545063767499
11989.241008458699,11815.5244382946,11787.989100769
11731.2449530012,11527.0608802355,11401.208106066799
11612.8590694555,11445.1881903255,11395.4312906306
11607.665028863099,11433.9743472966,11496.387816540999
11666.8719701765,11654.6503009269,11848.5090442172
12061.99880153,12014.784471657,12406.8526496234
12830.999895392,12621.046886328499,13236.6317287162
13942.6258853736,13560.3776464338,14062.259486764498
15028.989106462399,14343.4445500277,14981.136566379
15907.330692288,14941.318777679,15883.3098725855
16645.8583741946,15663.851245838,16615.552675328
17420.88222517,16278.661822179,17311.806809933998
17899.641186178,16763.306218174,17784.7459016424
18375.3633021284,17216.466421316,18087.786569236
18786.470573845,17720.975532206397,18342.804732475
19058.032113745998,17857.325992003,18345.397813202
18958.133080768,17705.115108005,18345.504744366
18636.585442664,17141.1310243967,17641.819597356498
18094.444441184,16470.963450743,17148.532771429
17436.881097089,15713.492631736,16307.330630042998
16423.118789797998,14817.634032860398,15219.23990786
15347.133800970998,13747.5709200355,14170.9326438454
14383.557947116598,14095.538294087,14314.2291269372
13748.4149727366,13415.850047967,13624.795371508699
13257.0280040558,12883.5937070076,13205.7730831726
12920.6498576984,12584.391305406,12837.4023988365
12784.7531518543,12536.7889279668,12898.1242452062
12959.4781110347,12754.0990825113,13145.472207911698
13312.173249524,13267.0380272963,13805.345405847998
13971.91601958,13983.8181616277,14513.3384717777
14732.0471733882,14744.0072833827,15114.1704717048
15584.087632439,15753.814122497999,16063.7588851146
16557.8332027854,16804.9004711854,16914.713711452998
17505.18900605,17709.929824363,17878.154212965597
18364.0242370785,18347.190317188,18521.6179795927
19089.133605591,18806.559562787,19051.838548167998
19583.978671835997,18980.7021692203,19207.5014796775
19661.883652766,18957.6230472555,19267.463833384998
19206.6938679915,19011.0194053967,19176.967707894
18763.101893543997,18775.5654242027,18894.7558240586
18357.9080558955,18514.038107753,18588.159695262
17726.428177377,17862.87374963,17841.231444832
16992.7302666107,17271.946811564,17279.7575702986
16283.903700397399,16342.6581540484,16385.396007719
15313.430082970499,15365.3621876594,15347.517908967999
14251.263836606999,14232.4319923365,14283.780759386
13425.7451202062,13105.8477395003,13365.614349915399
12827.403631508,12461.8500205477,12751.897285425199
12431.092818911,12083.540788012298,12329.1899521992
12128.5119553226,11820.3411244372,11962.9092093237
12026.572225499,11732.9205362013,11962.147606178
12060.5459446886,11816.2972973523,12198.742655451
12203.8939235778,12081.5930931396,12749.4304116115
12791.832135609999,12584.2805753717,13335.477208331
13762.886698794999,13387.8532180494,14045.213955728399
14851.4899870707,14607.7062089,15021.9797686622
15905.943401134,15765.998647238,15993.361738187501
16837.1316344985,16686.543712312,17020.550238011
17584.2115583427,17745.782718061,17822.9245481574
18205.9490229285,18540.994610004,18535.066965347
18556.85700399,18917.0777045436,18949.4740483653
18721.161802636398,19211.675312545998,19227.877635074397
18896.2378055723,19220.61813463,19339.317354626
18961.6753162744,18944.811708916,19157.6926620885
18748.875827765,18321.041004526298,18952.0864048416
18201.529389081697,17514.452621626,18176.664657376998
17470.864102405998,17073.467094301,17560.755222627
16683.809932685,16258.444797238,16606.006254963
16019.9311777646,15290.769821631,15466.713796081
15099.364867156699,14252.9783934024,14360.564370083
14085.028086257,14002.6719549266,13857.0277699894
13387.91709535,13285.373345148699,13191.476949341399
12862.276979464199,12702.749752666201,12772.757585737
12538.5751005023,12423.9112656572,12375.7339925126
12387.7607937857,12177.0879691498,12385.634411309999
12721.8449852775,12233.208680091699,12540.5996169744
13149.315961160799,12455.0625649128,13052.3555654082
13829.5859972323,13292.80463895,13679.637973642999
14732.739693373998,14157.9082873713,14446.417431874
15722.343014642698,15254.897230087,15474.108930265
16681.9110603306,16363.607376065,16535.2974599724
17637.528984401,17228.7546411453,17617.231761087
18455.6404665124,17855.938700849,18413.52703456
19073.620144877,18323.272911177,19112.578263298
19269.178952976,18580.376232114,19387.0137189304
19296.819251881,18533.69796505,19571.841984722
19497.560000467,18409.558481386597,19580.577979423
19711.6636270805,18141.180394797,19388.579416289598
19493.565558696,17700.242705098,19063.008633839
19009.140090189398,17036.969799641,18323.9786568594
18187.478774830997,16441.2291301093,17678.02353481
17484.635710738,15836.7876406016,16766.8317105113
16351.624754246499,14980.903006205,15679.5922166733
15164.513945113798,13997.852454806,14550.2051010502
14194.7272197167,14014.4442318896,14408.4437836563
13448.9750713918,13381.081942788,13739.4793262965
12981.295867361001,12903.699861215398,13327.102809803
12667.0130762596,12559.0662069005,12966.631665207398
12588.442026737,12499.6739651358,12976.7463684295
12858.186158946699,12622.268856275,13211.0111625207
13337.227221249199,12779.7230254804,13837.5539166382
14149.9220771084,13314.348454518,14474.2397951556
14966.602932804599,14100.744716182598,15075.7252007743
16195.859956733399,15437.348528662,15865.616282415998
16929.1612373006,16319.860851980298,16637.816869264
17729.904847195998,17031.732564486298,17458.541692744
18188.179455352998,17802.421060255998,18004.459615495598
18439.1067980745,18050.530907505,18444.5939144756
18787.157887971498,18217.255445833598,18610.8549906276
18872.261306023298,18461.432196032,18587.950053901
19106.03295047,18404.419594763,18477.9253431867
19427.815555736997,18179.4624550035,18214.096192733
19244.9697374464,17852.4544332894,17988.9800632165
18677.509124718,17420.9151487126,17285.6262621165
18043.916652216,17075.013375212,16772.682814966698
