True,Baseline,Proposed
12187.6211109005,11992.4973438003,12278.2579352915
11587.6970409751,11523.543407735498,11743.769546982501
11186.428984034399,11032.7247219118,11367.9257812718
10909.5870144164,10335.446017916,10995.6194673049
10894.2149560969,10872.793407873,11037.1291602774
11207.093994273,10964.6099925405,11180.907537101699
11669.552987715999,11270.658943315,11544.3735984827
12272.4331415304,12131.024274881,11990.267688332
12783.072222096,12652.012603735,12565.0968431523
13266.263198453998,13407.374346231001,13403.8031267512
13976.2169035552,14168.532883406999,14062.914440143999
14655.0209977876,14477.711681212,14928.173560849798
15318.0282637214,14985.280571080699,15545.211682175599
15922.1820239786,15694.723398475999,16198.816181321301
16455.395117458,15883.819906098,16502.373073179
16884.0672398506,15963.587740464,16873.4811953135
17240.7939646205,16458.65651796,17062.913269812
17378.291261151,16672.4915503734,17053.185347866
17139.857277255,16567.1545049104,17010.342532815997
16673.706344676,15430.196803575,16392.589942476
15969.504129208999,15126.9059733372,15872.0579001547
15341.4881169096,15098.1455704893,15001.4439200138
14279.1219374092,13570.2143286295,14048.3021558845
13196.0859639076,12609.2574440997,13070.478850018299
12390.1018827828,12642.312821569,12684.9665372974
11761.5778067555,11946.9504365912,12080.5896285848
11321.5939148996,11531.7430582297,11713.456672471999
11072.9828981688,10722.4044339311,11399.9111436066
11028.1498971783,11182.2686582603,11447.667023545699
11317.2090336811,11223.4972348306,11602.9787706008
11790.0171347136,11049.0916621532,12139.834277203401
12399.590335201,11865.0573453407,12695.9207908558
13049.134826888301,12349.921794415299,13191.1548895593
13800.0281130192,13996.8291517063,13941.66575608
14677.882036457398,14876.764715369998,14738.217101551
15583.564232531,15720.654205746,15559.925410341999
16383.1556591343,16264.164207523,16206.6187795197
17090.809640715,17309.5801091426,16742.433536359
17429.062459216,17878.833225857,16959.317654634302
17480.124904004,18169.158371062,17119.0557890834
17473.621800846,18261.513129021998,17160.7450138523
17400.120695486,18593.3351635996,17037.172406056998
16943.490153975497,17690.338909527,16786.842330166
16322.360790035498,17043.8381571434,16206.400274128
15846.4117267594,16230.248737678,15653.872176355499
15336.473889511399,16217.1561422374,14776.0237401744
14495.970177464998,14728.237609971799,13893.415882303001
13615.7498392277,13519.770677603701,12943.051092362999
12818.347828207301,11860.0322841272,12820.968063822
12209.0578546056,11650.871409870699,12158.557642622
11731.684918461498,11164.627830178299,11781.566195984
11459.5510154353,10625.9589961525,11485.032289719798
11296.5900319828,10912.0993339748,11512.7456113539
11287.867966472899,11041.466063171,11637.9936616504
11369.2850733447,11316.5726525564,12121.9722704506
11795.31810647,11739.446854677799,12714.830160220201
12619.5819293817,12385.561247882,13236.7772113788
13479.6032521372,13486.919032141599,14014.250911601
14414.177123132398,14295.1230605106,14890.7311916785
15434.375560904999,14749.6730873868,15713.9617218686
16339.550678143,15375.2697821007,16398.863706427
17062.499615046,16666.5667196944,16931.0087545565
17574.200409511,16075.591099808998,17137.966284039
17833.878520317998,16675.5233302706,17283.2580182317
17967.030331322,16714.437269236998,17312.1463163797
17655.399573786697,17050.889141818,17181.5698580413
16678.2782147326,16725.071292098997,16907.7795068654
16184.438582826999,15784.327492941,16322.465610715999
15717.8026611397,15350.5730448826,15770.6028780416
15302.647622769,14847.371870966599,14902.804142190798
14619.156988876499,13739.7427146373,14040.4694481215
13809.3339382652,12668.714688756201,13090.594712450198
13058.585994098,11780.174683863,12804.676116094299
12436.5570013914,11582.003941384399,12183.545063767499
11989.241008458699,11078.5742724548,11787.989100769
11731.2449530012,10557.7037085801,11401.208106066799
11612.8590694555,10910.0541347644,11395.4312906306
11607.665028863099,10959.0609686234,11496.387816540999
11666.8719701765,11381.7884217921,11848.5090442172
12061.99880153,11814.4610360084,12406.8526496234
12830.999895392,12304.1874762714,13236.6317287162
13942.6258853736,13420.583158963,14062.259486764498
15028.989106462399,14278.6505960942,14981.136566379
15907.330692288,14947.177479875,15883.3098725855
16645.8583741946,15413.1633726443,16615.552675328
17420.88222517,16559.8660204926,17311.806809933998
17899.641186178,16253.236546056698,17784.7459016424
18375.3633021284,16636.812279118,18087.786569236
18786.470573845,16647.056566027,18342.804732475
19058.032113745998,16961.909750469,18345.397813202
18958.133080768,16646.468866721698,18345.504744366
18636.585442664,15744.8535723526,17641.819597356498
18094.444441184,15311.947820058998,17148.532771429
17436.881097089,14851.84694018,16307.330630042998
16423.118789797998,13419.2448310262,15219.23990786
15347.133800970998,12635.4856888443,14170.9326438454
14383.557947116598,12667.389586516001,14314.2291269372
13748.4149727366,13047.243270876701,13624.795371508699
13257.0280040558,12017.137238662799,13205.7730831726
12920.6498576984,11688.631758556,12837.4023988365
12784.7531518543,12258.9789499168,12898.1242452062
12959.4781110347,11970.869530988999,13145.472207911698
13312.173249524,12454.2555160224,13805.345405847998
13971.91601958,13002.2898316278,14513.3384717777
14732.0471733882,13563.6788647245,15114.1704717048
15584.087632439,15068.4793481232,16063.7588851146
16557.8332027854,16175.653343511,16914.713711452998
17505.18900605,17417.1470914717,17878.154212965597
18364.0242370785,17656.319322496,18521.6179795927
19089.133605591,19693.4854698994,19051.838548167998
19583.978671835997,18976.838999523,19207.5014796775
19661.883652766,19756.56838451,19267.463833384998
19206.6938679915,18642.033304072,19176.967707894
18763.101893543997,19423.877393526,18894.7558240586
18357.9080558955,19132.378819495,18588.159695262
17726.428177377,17860.024596904997,17841.231444832
16992.7302666107,17432.622141386,17279.7575702986
16283.903700397399,16971.3838515994,16385.396007719
15313.430082970499,15302.838129079599,15347.517908967999
14251.263836606999,13921.7733235013,14283.780759386
13425.7451202062,12143.4575552762,13365.614349915399
12827.403631508,11988.21629837,12751.897285425199
12431.092818911,11438.0101545442,12329.1899521992
12128.5119553226,11056.5426538005,11962.9092093237
12026.572225499,11431.2508386893,11962.147606178
12060.5459446886,11268.2809912061,12198.742655451
12203.8939235778,11880.8920216434,12749.4304116115
12791.832135609999,12268.8128181345,13335.477208331
13762.886698794999,12754.9712749924,14045.213955728399
14851.4899870707,14102.888404623,15021.9797686622
15905.943401134,15096.069276822,15993.361738187501
16837.1316344985,15851.553427361,17020.550238011
17584.2115583427,16469.5077799236,17822.9245481574
18205.9490229285,17484.755304803,18535.066965347
18556.85700399,17394.6114893576,18949.4740483653
18721.161802636398,17872.131737249998,19227.877635074397
18896.2378055723,17863.8169950556,19339.317354626
18961.6753162744,18028.1827163257,19157.6926620885
18748.875827765,17667.698064635697,18952.0864048416
18201.529389081697,16859.392310962,18176.664657376998
17470.864102405998,16139.983358383,17560.755222627
16683.809932685,15442.087689710701,16606.006254963
16019.9311777646,13968.0541161728,15466.713796081
15099.364867156699,13369.9463283475,14360.564370083
14085.028086257,12772.167353851499,13857.0277699894
13387.91709535,12666.6035017617,13191.476949341399
12862.276979464199,12109.9274597183,12772.757585737
12538.5751005023,11423.3036020217,12375.7339925126
12387.7607937857,12123.566529686499,12385.634411309999
12721.8449852775,11964.488835873999,12540.5996169744
13149.315961160799,12567.608740614,13052.3555654082
13829.5859972323,13189.3827869138,13679.637973642999
14732.739693373998,13582.4189733122,14446.417431874
15722.343014642698,14877.7864707818,15474.108930265
16681.9110603306,15902.518789908,16535.2974599724
17637.528984401,16770.1451696063,17617.231761087
18455.6404665124,16969.8516405784,18413.52703456
19073.620144877,18360.0423175096,19112.578263298
19269.178952976,17980.859626203,19387.0137189304
19296.819251881,18614.6808751164,19571.841984722
19497.560000467,18501.452591147998,19580.577979423
19711.6636270805,18546.092131151,19388.579416289598
19493.565558696,18389.384510309,19063.008633839
19009.140090189398,17427.262920285,18323.9786568594
18187.478774830997,16812.072456914,17678.02353481
17484.635710738,16144.3638779356,16766.8317105113
16351.624754246499,14668.573256534499,15679.5922166733
15164.513945113798,13815.363167528,14550.2051010502
14194.7272197167,13023.4412379637,14408.4437836563
13448.9750713918,13030.128938078498,13739.4793262965
12981.295867361001,12353.8751521075,13327.102809803
12667.0130762596,11749.734476848,12966.631665207398
12588.442026737,12233.8502670757,12976.7463684295
12858.186158946699,12093.6908066583,13211.0111625207
13337.227221249199,12530.6676816234,13837.5539166382
14149.9220771084,13192.8116191068,14474.2397951556
14966.602932804599,13689.4013517118,15075.7252007743
16195.859956733399,15268.09056594,15865.616282415998
16929.1612373006,16096.674829974,16637.816869264
17729.904847195998,17152.4164831657,17458.541692744
18188.179455352998,17435.6238117186,18004.459615495598
18439.1067980745,19012.4099326254,18444.5939144756
18787.157887971498,18633.232587877,18610.8549906276
18872.261306023298,19047.6944027674,18587.950053901
19106.03295047,18440.722724941,18477.9253431867
19427.815555736997,19148.751950488,18214.096192733
19244.9697374464,18743.095916953,17988.9800632165
18677.509124718,17424.5043776516,17285.6262621165
18043.916652216,17106.7077722216,16772.682814966698
17269.2051527986,16722.862319369,15961.20148712
16185.548697147999,14946.0326129257,15014.244424538
15038.762896249798,13944.0835259776,14074.4787641328
14054.874904998,12878.601147239999,14436.1865113605
13293.781089315999,12993.4753269406,13751.025781525
12851.480027276,12182.2237603976,13357.370238568801
12532.571900536,11567.0448343364,12993.8355161246
12520.1009128356,12148.8806536778,12996.2566627958
12785.0978641593,11949.529728825999,13195.7664367057
13311.788156634699,12445.369254896199,13788.674274584799
13805.199923185399,13247.6097603887,14425.912959080299
15036.452057516199,13390.265078593198,15073.021390013
16132.197784751499,14865.2380986864,15837.705841623
17115.5142570715,16035.458145573,16628.920477817
18108.1981807557,17299.706704534,17472.327370966
18798.377077558598,17414.059313412297,17968.0679857095
19188.970731053,19130.6165657725,18412.8073596865
19313.382326389,18642.824453986697,18547.1819848304
19292.425225233997,19087.6133539765,18532.160126073
19272.119559986,18498.789160971,18461.416719153
19320.951927209,19011.289125188,18242.9711244855
18720.544697261,18843.031531645,17978.7990908125
18016.436750057,17521.612788647,17311.649227166
17428.146509377,17149.931318495,16793.472062334
16811.1038856864,16717.4908574637,15978.475091073
15879.418844505999,14691.7421443975,15066.0888738122
15028.5920541666,13745.6105622618,14117.358864391299
