True,Baseline,Proposed
12187.6211109005,12060.08529649,12278.2579352915
11587.6970409751,11681.3494648898,11743.769546982501
11186.428984034399,11358.923584252,11367.9257812718
10909.5870144164,11061.4175892877,10995.6194673049
10894.2149560969,11243.5872086649,11037.1291602774
11207.093994273,11600.8639254349,11180.907537101699
11669.552987715999,12367.540954866701,11544.3735984827
12272.4331415304,13170.714153367298,11990.267688332
12783.072222096,13383.359857979,12565.0968431523
13266.263198453998,13978.740338326701,13403.8031267512
13976.2169035552,14576.8371516378,14062.914440143999
14655.0209977876,15299.543805034999,14928.173560849798
15318.0282637214,15720.818823458998,15545.211682175599
15922.1820239786,16258.757148796,16198.816181321301
16455.395117458,16444.9870570294,16502.373073179
16884.0672398506,16743.8582534204,16873.4811953135
17240.7939646205,17051.4806399936,17062.913269812
17378.291261151,17099.056003244,17053.185347866
17139.857277255,16683.421603721,17010.342532815997
16673.706344676,16291.051767313,16392.589942476
15969.504129208999,15702.896034781399,15872.0579001547
15341.4881169096,15051.0899489755,15001.4439200138
14279.1219374092,13892.996599581,14048.3021558845
13196.0859639076,13139.703130915,13070.478850018299
12390.1018827828,12189.3809727417,12684.9665372974
11761.5778067555,11667.6750794977,12080.5896285848
11321.5939148996,11239.7406414378,11713.456672471999
11072.9828981688,11042.061219518,11399.9111436066
11028.1498971783,11069.8681059206,11447.667023545699
11317.2090336811,11372.545207556599,11602.9787706008
11790.0171347136,11886.056234069,12139.834277203401
12399.590335201,12621.548477907,12695.9207908558
13049.134826888301,12975.9597208796,13191.1548895593
13800.0281130192,13737.988621451,13941.66575608
14677.882036457398,14468.716800535,14738.217101551
15583.564232531,15403.931695718598,15559.925410341999
16383.1556591343,15953.177428853,16206.6187795197
17090.809640715,16561.1818366054,16742.433536359
17429.062459216,16803.388520806,16959.317654634302
17480.124904004,17092.389689362,17119.0557890834
17473.621800846,17177.2852951385,17160.7450138523
17400.120695486,17289.273881098998,17037.172406056998
16943.490153975497,16913.709121307,16786.842330166
16322.360790035498,16364.203939400999,16206.400274128
15846.4117267594,15756.369214522,15653.872176355499
15336.473889511399,15049.700547338,14776.0237401744
14495.970177464998,14085.571184011,13893.415882303001
13615.7498392277,13320.7761430656,12943.051092362999
12818.347828207301,12698.744336381,12820.968063822
12209.0578546056,12161.3606461078,12158.557642622
11731.684918461498,11660.1593663564,11781.566195984
11459.5510154353,11408.0622529803,11485.032289719798
11296.5900319828,11333.8323273183,11512.7456113539
11287.867966472899,11402.6962783321,11637.9936616504
11369.2850733447,11668.0604537848,12121.9722704506
11795.31810647,12129.8038526224,12714.830160220201
12619.5819293817,12683.792264278,13236.7772113788
13479.6032521372,13500.556413723,14014.250911601
14414.177123132398,14252.39927673,14890.7311916785
15434.375560904999,15138.5175721564,15713.9617218686
16339.550678143,15679.632034462,16398.863706427
17062.499615046,16138.1168467756,16931.0087545565
17574.200409511,16438.1547184454,17137.966284039
17833.878520317998,16723.865502525998,17283.2580182317
17967.030331322,16819.373322835,17312.1463163797
17655.399573786697,16998.416894052,17181.5698580413
16678.2782147326,16717.3911019436,16907.7795068654
16184.438582826999,16194.0812412396,16322.465610715999
15717.8026611397,15839.188808029,15770.6028780416
15302.647622769,15217.216657678,14902.804142190798
14619.156988876499,14312.0184658204,14040.4694481215
13809.3339382652,13396.845847543998,13090.594712450198
13058.585994098,12779.899461900999,12804.676116094299
12436.5570013914,12399.968815242,12183.545063767499
11989.241008458699,11877.9756148442,11787.989100769
11731.2449530012,11516.0049013724,11401.208106066799
11612.8590694555,11527.8668035347,11395.4312906306
11607.665028863099,11432.5207869607,11496.387816540999
11666.8719701765,11851.611173564399,11848.5090442172
12061.99880153,12277.915333469999,12406.8526496234
12830.999895392,12870.457494908,13236.6317287162
