True,Baseline,Proposed
2734.165993948465,2741.398501437147,2710.196771250956
2578.656038309027,2617.111361191925,2569.12524314562
2469.830982325795,2485.2446308527788,2489.35568414544
2403.574993392289,2453.0531810830453,2461.05772848385
2419.9440227354607,2435.5384819415467,2466.371120581548
2520.75898892035,2591.569061488848,2616.028183933955
2648.189993925551,2768.4737961693936,2839.5781780796196
2815.346012797464,2901.83657222079,3026.80478476637
2947.3230288151562,3008.354504823077,3106.85668474258
3027.3959738370895,3142.178785875264,3174.876521611404
3130.121982790462,3292.114254298203,3220.88669461081
3140.637035464476,3410.236039554614,3245.056126378804
3224.0229686959,3496.298990959193,3308.348699770724
3259.1809666666977,3601.348710323823,3396.574511571056
3299.57307635302,3624.6097913300996,3436.919430553703
3341.8270299891,3679.1210382575737,3482.598826842073
3360.142967035548,3727.056029694706,3507.256150242615
3423.797965031692,3706.869212180775,3491.42798660701
3376.323032752515,3688.63412184624,3450.3648451955796
3235.21700523062,3591.5220796512494,3373.21426984361
3208.9899784577938,3488.198776957406,3322.721180806584
3159.346964683734,3312.5597170305737,3198.798955228248
3021.932937005866,3068.4350981925218,2979.11526531295
2800.926983654745,2827.949023175866,2763.2331379988073
2603.301995778386,2592.506730730295,2570.19918307436
2461.261993946736,2460.852820424148,2429.056728345458
2380.516972979868,2366.438921772639,2339.536806882304
2340.436000639393,2320.394048545169,2287.4439529906954
2357.955037309399,2318.26709324651,2278.432556784971
2440.283979103105,2429.85603845996,2377.096550615203
2528.149012953554,2619.153252737066,2515.5025871277708
2662.113982546144,2788.8421874461455,2656.1699619981437
2828.8049621347777,2908.116068469043,2792.836127469091
2988.453964190674,3045.5486109676717,2938.7845236225558
3179.4699643013755,3178.93596634728,3078.966296111538
3334.4849597432903,3284.7604164982,3219.5959585812716
3515.9329342375577,3428.36835456089,3339.78758834432
3690.7159347185748,3541.3672375132455,3458.76639694177
3855.10485137619,3617.561026368493,3558.766028254058
3962.7349985800697,3687.1834595341197,3659.170977508038
3963.2470679178195,3717.3686417196996,3727.2452744570173
4056.305006962967,3732.5067366995227,3747.97111021267
3983.5400343932934,3715.9253291086625,3703.4210778284196
3857.22100301588,3652.9934935043248,3570.578403574974
3706.553014385002,3547.1800879861794,3455.48594019609
3590.0019365584,3428.671740582644,3297.50311135948
3367.3179621091977,3199.7593964943617,3079.16236846502
3075.756002905705,2954.056479551612,2834.619539586655
2810.7039737232817,2874.34748530134,2826.082681048396
2640.800973949872,2682.257545261898,2669.044108070597
2522.69802481263,2550.680184301457,2553.648740617571
2432.336020384409,2484.9953032881713,2487.392992657871
2436.684995148194,2456.640156509957,2459.3364927498933
2520.366000805065,2548.6792181410347,2547.68218901871
2662.209970445534,2684.70109997934,2654.382779765945
2826.18405069612,2834.36752114788,2799.296354071844
3028.576986460296,3008.84018752907,3010.1914079839144
3222.19799373846,3221.71885748753,3221.87348234638
3358.7129883084426,3430.9244842080343,3441.147075006167
3471.632068768712,3619.318608984855,3660.1820232734117
3680.7579733217317,3787.544913016117,3839.2965680795796
3837.7189928963,3923.4395606848534,3995.98335946292
3941.35499926573,4041.2308503663357,4114.9636540655065
4115.25213987359,4131.937326850233,4211.7023073481
